index,id,name,normalized_name
69,70,STREET NEIGHBOR #2'S HOUSE,street neighbor 2 house
70,71,School Bus,school bus
71,72,NEAR SCHOOL ENTRANCE,near school entrance
72,73,PLAYGROUND,playground
73,74,ROOM,room
74,75,STAIRCASE,staircase
75,76,Springfield Elementary School Hallway,springfield elementary school hallway
76,77,Springfield Elementary School Cafeteria,springfield elementary school cafeteria
77,78,MORTUARY,mortuary
78,79,Springfield Retirement Castle,springfield retirement castle
79,80,Grampa's Room at Springfield Retirement Castle ,grampa room at springfield retirement castle
80,81,Outside Herman's Military Antiques,outside herman military antiques
81,82,Herman's Military Antiques,herman military antiques
82,83,Bart's Class In School,bart class in school
83,84,Bart's Treehouse,bart treehouse
84,85,CITY PARK,city park
85,86,ANOTHER NEIGHBORHOOD STREET,another neighborhood street
86,87,NEIGHBORHOOD STREET,neighborhood street
87,88,PARADING DOWN ELM STREET,parading down elm street
88,89,Base Of Tree Below Bart's Treehouse,base of tree below bart treehouse
89,90,Springfield Library,springfield library
90,91,Simpson Bathroom,simpson bathroom
91,92,Bathroom,bathroom
92,93,DEN,den
93,94,FOYER,foyer
94,95,Music Class,music class
95,96,LUNCHROOM,lunchroom
96,97,EXERCISE ROOM,exercise room
97,98,Lisa's Bedroom,lisa bedroom
98,99,Bridge,bridge
99,100,Simpson Master Bedroom,simpson master bedroom
100,101,Noiseland Arcade,noiseland arcade
101,102,Marge's Car,marge car
102,103,Springfield Elementary School Yard,springfield elementary school yard
103,104,JAZZ HOLE NIGHTCLUB,jazz hole nightclub
104,105,Simpson Front Yard,simpson front yard
105,106,Bob's RV Round-Up (Formerly RVs Я Us),bob rv round-up
106,107,INSIDE THE ULTIMATE BEHEMOTH,inside the ultimate behemoth
107,108,INSIDE CREDIT OFFICE,inside credit office
108,109,BACK OF THE RV LOT,back of the rv lot
109,110,Freeway,freeway
110,111,A NARROW DIRT ROAD,a narrow dirt road
111,112,Van,van
112,113,OVERHEAD SHOT OF VAN,overhead shot of van
113,114,NEAR THE EDGE OF CLIFF,near the edge of cliff
114,115,Marge and Lisa's Campsite,marge and lisa campsite
115,116,DEEP WOODS,deep woods
116,117,The Girls' Campsite,the girls campsite
117,118,THE WOODS,the woods
118,119,BASE OF WATERFALL,base of waterfall
119,120,BEAR CAVE,bear cave
120,121,SOMEWHERE IN WOODS,somewhere in woods
121,122,Forest,forest
122,123,A CAMPGROUND NEAR THE BEAR CAVE,a campground near the bear cave
123,124,A CLEARING IN THE WOODS,a clearing in the woods
124,125,THE DEEP WOODS,the deep woods
125,126,CREEK,creek
126,127,ALONG THE INTERSTATE,along the interstate
127,128,OUTSIDE THE BEAR CAVE,outside the bear cave
128,129,SCIENCE LABORATORY,science laboratory
129,130,Streets,streets
130,131,First Church of Springfield,first church of springfield
131,132,Sunday School Classroom,sunday school classroom
132,133,House,house
133,134,Movie Theatre,movie theatre
134,135,Theatre,theatre
135,136,Kwik-E-Mart,kwik-e-mart
136,137,Hallway,hallway
137,138,Various Street Locations,various street locations
138,139,Old Folk's Home,old folk home
139,140,Simpson Kitchen,simpson kitchen
140,141,"GIRDLES 'N' SUCH, FANCY LINGERIE",girdles n such fancy lingerie
141,142,THE JOCK SHOPPE,the jock shoppe
142,143,The Singing Sirloin,the singing sirloin
143,144,Barney's Bowlarama,barney bowlarama
144,145,Maggie's Bedroom,maggie bedroom
145,146,Simpson Foyer,simpson foyer
146,147,Coffee Shop,coffee shop
147,148,YARD,yard
148,149,Jacques's Apartment,jacques apartment
149,150,LUNCHROOM AT THE POWER PLANT,lunchroom at the power plant
150,151,Simpson Car,simpson car
151,152,PUBLIC MAILBOX,public mailbox
152,153,Master Bathroom,master bathroom
153,154,PARTY ROOM,party room
154,155,The Rusty Barnacle,the rusty barnacle
155,156,Springfield Elementary School Library,springfield elementary school library
156,157,LIBRARY NEAR XEROX MACHINE,library near xerox machine
157,158,LEWIS' HOUSE,lewis house
158,159,EXECUTIVE OFFICE,executive office
159,160,Rev. Lovejoy's Study,rev lovejoy study
160,161,AEROBIC STUDIO,aerobic studio
161,162,QUICK-E-MART,quick-e-mart
162,163,Kwik-E-Mart Parking Lot,kwik-e-mart parking lot
163,164,INTERSECTION,intersection
164,165,Barney's Apartment,barney apartment
165,166,Florence of Arabia,florence of arabia
166,167,Girlesque,girlesque
167,168,Foxy Boxing,foxy boxing
168,169,Club Mud,club mud
169,170,Ye Olde Off-Ramp Inn,ye olde off-ramp inn
170,171,Sapphire Lounge,sapphire lounge
171,172,UPSTAIRS HALLWAY,upstairs hallway
172,173,DOWNSTAIRS HALLWAY,downstairs hallway
173,174,Boys' Bathroom,boys bathroom
174,175,Girls' Bathroom,girls bathroom
175,176,Springfield Airport,springfield airport
176,177,CHARTER FLIGHT,charter flight
177,178,"TIRANA, ALBANIA AIRPORT",tirana albania airport
178,179,FRENCH COUNTRYSIDE,french countryside
179,180,Chateau Maison,chateau maison
180,181,FRENCH MOUNTAINSIDE,french mountainside
181,182,VINEYARDS,vineyards
182,183,PLUTONIUM ISOLATION MODULE,plutonium isolation module
183,184,Albanian Intelligence Headquarters,albanian intelligence headquarters
184,185,WINERY,winery
185,186,Country Road,country road
186,187,Town,town
187,188,Flanders Home,flanders home
188,189,SIDEWALK CAFE,sidewalk cafe
189,190,TV Studio,tv studio
190,191,Krusty's Apartment,krusty apartment
191,192,Springfield Police Station,springfield police station
192,193,Springfield Courthouse Steps,springfield courthouse steps
193,194,Courtroom,courtroom
194,195,Springfield High School Football Field,springfield high school football field
195,196,Sideshow Bob's Dressing Room,sideshow bob dressing room
196,197,TELEVISION STATION,television station
197,198,Jailhouse,jailhouse
198,199,Radio Station,radio station
199,200,Howard's Flowers,howard flowers
200,201,RUBBER BABY BUGGY BUMPER BABYSITTING SERVICE,rubber baby buggy bumper babysitting service
201,202,Chez Pierre Restaurant,chez pierre restaurant
202,203,Restaurant,restaurant
203,204,Motel Room,motel room
204,205,Ye Olde Off-Ramp Inn Motel Room,ye olde off-ramp inn motel room
205,206,PUBLIC PAY PHONE,public pay phone
206,207,INFIRMARY,infirmary
207,208,OUTSIDE BART'S WINDOW,outside bart window
208,209,Springfield County,springfield county
209,210,Simpson Hallway,simpson hallway
210,211,NEIGHBORHOOD,neighborhood
211,212,"CONTINENTAL CONGRESS, PHILADELPHIA",continental congress philadelphia
212,213,Simpson Basement,simpson basement
213,214,SNOWY STREET,snowy street
214,215,WINFIELD'S HOUSE,winfield house
215,216,Springfield,springfield
216,217,Jake's Unisex Hair Palace,jake unisex hair palace
217,218,Karl's Elegant Apartment,karl elegant apartment
218,219,"HUGE OLD HOUSE LIKE IN ""THE SHINING""",huge old house like in the shining
219,220,Living Room Of House,living room of house
220,221,Spacecraft,spacecraft
221,222,Space Ship,space ship
222,223,SPACESHIP GALLEY,spaceship galley
223,224,CHAMBER,chamber
224,225,Marge & Homer's Room,marge homer room
225,226,SUNNY SKY,sunny sky
226,227,SECURITY CLEARANCE BOOTH AT POWER PLANT,security clearance booth at power plant
227,228,COOLING TOWER,cooling tower
228,229,Other Part of Nuclear Plant,other part of nuclear plant
229,230,ROLLS ROYCE,rolls royce
230,231,Studio,studio
231,232,STADIUM,stadium
232,233,BALL PARK,ball park
233,234,PRESS BOX,press box
234,235,Parking Lot,parking lot
235,236,BALLPARK,ballpark
236,237,OWNER'S OFFICE,owner office
237,238,Highway,highway
238,239,Capital City,capital city
239,240,Hotel Room,hotel room
240,241,Capital City Cap Dome,capital city cap dome
241,242,CAP CITY DOME,cap city dome
242,243,Locker Room,locker room
243,244,CAP DOME,cap dome
244,245,Lovejoy Bedroom,lovejoy bedroom
245,246,Family Fun Center,family fun center
246,247,MINIATURE GOLF COURSE,miniature golf course
247,248,Library,library
248,249,LIBRARY STACKS,library stacks
249,250,Lake Springfield,lake springfield
250,251,TOP OF MOUNT SPRINGFIELD,top of mount springfield
251,252,MINIATURE GOLF,miniature golf
252,253,SIMPSON AND FLANDERS HOUSES,simpson and flanders houses
253,254,RICH NEIGHBORHOOD,rich neighborhood
254,255,SKID ROW,skid row
255,256,Springfield Plasma Center,springfield plasma center
256,257,PLASMA CENTER,plasma center
257,258,RESCUE MISSION,rescue mission
258,259,MISSION,mission
259,260,Dining Room,dining room
260,261,Springfield Speedway,springfield speedway
261,262,SPEEDWAY,speedway
262,263,SPEEDWAY STANDS,speedway stands
263,264,Springfield General Hospital,springfield general hospital
264,265,EMERGENCY WAITING AREA,emergency waiting area
265,266,HOSPITAL CORRIDOR,hospital corridor
266,267,HOSPITAL WARD,hospital ward
267,268,MARTIN PRINCE'S BACK YARD,martin prince back yard
268,269,Sidewalk,sidewalk
269,270,Springfield Street,springfield street
270,271,Springfield Gorge,springfield gorge
271,272,SPRINGFIELD HOSPITAL HALLWAY,springfield hospital hallway
272,273,GARAGE,garage
273,274,Springfield Elementary School Grounds,springfield elementary school grounds
274,275,Van Houten Home,van houten home
275,276,JANEY'S HOUSE,janey house
276,277,Itchy & Scratchy International,itchy scratchy international
277,278,I & S INTERNATIONAL,i s international
278,279,CHAIRMAN I & S INTERNATIONAL'S OFFICE,chairman i s international office
279,280,ART MUSEUM,art museum
280,281,Various,various
281,282,Springfield Museum,springfield museum
282,283,A BUSY DOWNTOWN STREET,a busy downtown street
283,284,SAME SCENE,same scene
284,947,ARAB CITY,arab city
285,285,THE OFFICE OF LIONEL HUTZ,the office of lionel hutz
286,286,The Law Office of Lionel Hutz,the law office of lionel hutz
287,287,Waiting Room Of Dr. Nick Riviera's Office,waiting room of dr nick riviera office
288,288,DREAMLIKE SUBURBAN SPRINGFIELD STREET,dreamlike suburban springfield street
289,289,Burns's Car,burns car
290,290,LARGE PUBLIC PARK,large public park
291,291,"GLASS-ENCLOSED CONSULTATION ROOM (LIKE IN ""L.A. LAW"")",glass-enclosed consultation room
292,292,GLASS BOOTH,glass booth
293,293,Burns's Living Room,burns living room
294,294,The Happy Sumo,the happy sumo
295,295,THE HAPPY SUMO CORRIDOR,the happy sumo corridor
296,296,TATAMI ROOM,tatami room
297,297,Hospital,hospital
298,298,Bedroom,bedroom
299,299,FLANDERS DOOR,flanders door
300,300,SIDE OF THE HIGHWAY,side of the highway
301,301,JAIL CELLBLOCK,jail cellblock
302,302,Jail,jail
303,303,View Out Barney's Window,view out barney window
304,304,Barney's Car,barney car
305,305,Police Captain's Office,police captain office
306,306,Dr. Hibbert's Office,dr hibbert office
307,307,Springfield High School,springfield high school
308,308,Boy's Bathroom,boy bathroom
309,309,DETENTION HALL,detention hall
310,310,HOMER'S HOUSE,homer house
311,311,GUIDANCE COUNSELOR'S OFFICE,guidance counselor office
312,312,Shelbyville High School,shelbyville high school
313,313,Marge's Bedroom,marge bedroom
314,314,MARGE'S HOUSE,marge house
315,315,Limo,limo
316,316,Springfield High School Gym,springfield high school gym
317,317,Inspiration Point,inspiration point
318,318,FOOT MOUNT SINAI,foot mount sinai
319,319,Sunday School,sunday school
320,320,Grocery Store,grocery store
321,321,QUICKIE MART,quickie mart
322,322,DEPT. OF MOTOR VEHICLES,dept of motor vehicles
323,323,Selma's Car,selma car
324,324,Football Field,football field
325,325,Patty and Selma's Apartment,patty and selma apartment
326,326,Hallway Outside Selma And Patty's Apt.,hallway outside selma and patty apt
327,327,SPRINGFIELD REVOLVING RESTAURANT,springfield revolving restaurant
328,328,Movie Theater,movie theater
329,329,Apartment,apartment
330,330,SPRINGFIELD JEWELRY STORE,springfield jewelry store
331,331,CORPORATE HEADQUARTERS,corporate headquarters
332,332,Aztec Theater,aztec theater
333,333,Carnival Grounds,carnival grounds
334,334,Hospital Room,hospital room
335,335,Shelbyville Orphanage,shelbyville orphanage
336,336,Powell Estate,powell estate
337,337,Michigan Highway,michigan highway
338,338,Mansion,mansion
339,339,ESTATE GROUNDS,estate grounds
340,340,Powell Motors Corporate Headquarters,powell motors corporate headquarters
341,341,POWELL SHOWROOM THEATRE,powell showroom theatre
342,342,SHOWROOM THEATRE,showroom theatre
343,343,CANINE COLLEGE,canine college
344,344,Simply Shoes,simply shoes
345,345,SIMPY SHOES,simpy shoes
346,346,SPRINGFIELD STARDUST BALLROOM,springfield stardust ballroom
347,347,Ice Cream Parlor,ice cream parlor
348,348,Beach,beach
349,349,Grandma's World,grandma world
350,350,Discount Lion Safari,discount lion safari
351,351,Cemetery,cemetery
352,352,Taxi,taxi
353,353,Lake,lake
354,354,Amusement Park,amusement park
355,355,Casino,casino
356,356,PLATO'S REPUBLIC,plato republic
357,357,Home,home
358,358,Mt. Splashmore,mt splashmore
359,359,TOP OF H 2 WHOA!,top of h 2 whoa
360,360,H 2 WHOA! TUBE,h 2 whoa tube
361,361,CONTROL ROOM,control room
362,362,HIGH SCHOOL ART CLASS,high school art class
363,363,Young Marge's Bedroom,young marge bedroom
364,364,SPRINGFIELD COMMUNITY COLLEGE REGISTRATION,springfield community college registration
365,365,COMMUNITY COLLEGE REGISTRATION,community college registration
366,366,Professor Lombardo's Class,professor lombardo class
367,367,Community College Painting Studio,community college painting studio
368,368,OLD ARMORY HALL,old armory hall
369,369,ENGLISH COUNTRY MANOR,english country manor
370,370,SPRINGFIELD ART MUSEUM,springfield art museum
371,371,Elementary - Bart's Classroom,elementary - bart classroom
372,372,Museum,museum
373,373,SIMPSON HOUSE - BASEMENT STAIRCASE,simpson house - basement staircase
374,374,Apartment Building,apartment building
375,375,Train Station,train station
376,376,CHURCH FOYER,church foyer
377,377,Mountain Road,mountain road
378,378,CAFE,cafe
379,379,RETREAT,retreat
380,380,Retreat Cabin,retreat cabin
381,381,Supermarket,supermarket
382,382,Dormitory Cabin,dormitory cabin
383,383,Catfish Lake,catfish lake
384,384,Simpson Cabin,simpson cabin
385,385,School Bus Garage,school bus garage
386,386,BAIT SHOP,bait shop
387,387,Springfield Convention Center,springfield convention center
388,388,Krusty Burger,krusty burger
389,389,Bouvier House,bouvier house
390,390,QUIK-E-MART,quik-e-mart
391,391,Springfield Bank,springfield bank
392,392,Beauty Parlor,beauty parlor
393,393,MRS. GLICK'S HOUSE,mrs glick house
394,394,WORLD WORLD I BATTLEFIELD,world world i battlefield
395,395,GLICK HOUSE,glick house
396,396,The Android's Dungeon & Baseball Card Shop,the android dungeon baseball card shop
397,397,HILL NEAR NUCLEAR POWER PLANT,hill near nuclear power plant
398,398,Bloodmobile,bloodmobile
399,399,BACK OF BLOODMOBILE,back of bloodmobile
400,400,Burns's Private Fronton,burns private fronton
401,401,CORNER MAILBOX,corner mailbox
402,402,Post Office,post office
403,403,SMITHERS' OFFICE,smithers office
404,404,Burns's Study,burns study
405,405,Plunderer Pete's,plunderer pete
406,406,New Bedlam Rest Home for the Emotionally Interesting,new bedlam rest home for the emotionally interesting
407,407,Kearny's House,kearny house
408,408,Krusty's House,krusty house
409,409,SPRINGFIELD JAIL,springfield jail
410,410,Evergreen Terrace,evergreen terrace
411,411,Bank,bank
412,412,Springfield National Forest,springfield national forest
413,413,VETERANS OF POPULAR WARS HALL,veterans of popular wars hall
414,414,Hall,hall
415,415,LEGION,legion
416,416,Airplane,airplane
417,417,Cockpit,cockpit
418,418,Cabin,cabin
419,419,Airport,airport
420,420,Hotel,hotel
421,421,Elevator,elevator
422,422,White House,white house
423,423,Bureau of Engraving and Printing,bureau of engraving and printing
424,424,NAT'L AIR AND SPACE MUSEUM,natl air and space museum
425,425,Washington Monument,washington monument
426,426,CAPITAL,capital
427,427,Washington D.C.,washington dc
428,428,W.B. HOWE MEMORIAL,wb howe memorial
429,429,Lincoln Memorial,lincoln memorial
430,430,Jefferson Memorial,jefferson memorial
431,431,CAPITAL BUILDING,capital building
432,432,Kennedy Center,kennedy center
433,433,SENATOR'S OFFICE,senator office
434,434,Kennedy Center Ballroom,kennedy center ballroom
435,435,FLANDERS' YARD,flanders yard
436,436,Store,store
437,437,KARATE SCHOOL,karate school
438,438,Leftorium,leftorium
439,439,Bus Stop,bus stop
440,440,ROAD ON THE WAY TO SCHOOL,road on the way to school
441,441,Bart's Classroom,bart classroom
442,442,Springfield Elementary School Bus Stop,springfield elementary school bus stop
443,443,"THE ""AH FUDGE!"" CHOCOLATE FACTORY IN SHELBYVILLE",the ah fudge chocolate factory in shelbyville
444,444,CHOCOLATE FACTORY ORIENTATION ROOM,chocolate factory orientation room
445,445,"Ah, Fudge! Chocolate Factory",ah fudge chocolate factory
446,446,Legitimate Businessman's Social Club,legitimate businessman social club
447,447,Club,club
448,448,PIZZA DELIVERY TRUCK,pizza delivery truck
449,449,Downtown Springfield,downtown springfield
450,450,Deathhouse,deathhouse
451,451,Springfield Prison,springfield prison
452,452,DEATH CHAMBER,death chamber
453,453,SPRINGFIELD COUNTY JAIL,springfield county jail
454,454,Skinner's Garage,skinner garage
455,455,Skinner Home,skinner home
456,456,Courthouse Steps,courthouse steps
457,457,Homer's Workstation,homer workstation
458,458,Stop 'n Go Gas Station,stop n go gas station
459,459,RANDOM SHOTS OF SPRINGFIELD NUCLEAR POWER PLANT,random shots of springfield nuclear power plant
460,460,Shelbyville Nuclear Power Plant,shelbyville nuclear power plant
461,461,Basketball Court,basketball court
462,462,KRUSTY THE CLOWN SHOW,krusty the clown show
463,463,Backstage,backstage
464,464,BACKSTAGE AT THE KRUSTY SHOW,backstage at the krusty show
465,465,MISS PENNYCANDY'S OFFICE,miss pennycandy office
466,466,PENNYCANDY'S OFFICE,pennycandy office
467,467,Krusty's Dressing Room,krusty dressing room
468,468,Lower East Side of Springfield,lower east side of springfield
469,469,Yeshiva Classroom,yeshiva classroom
470,470,Krustofsky Home,krustofsky home
471,471,GROSSINGERS,grossingers
472,472,Downtown Street,downtown street
473,473,Bus Station,bus station
474,474,Rabbi Krustofsky's Bedroom,rabbi krustofsky bedroom
475,475,Rev. Lovejoy's Office,rev lovejoy office
476,476,Temple Beth Springfield,temple beth springfield
477,477,RABBI'S OFFICE,rabbi office
478,478,YIDDLE'S SHOP,yiddle shop
479,479,Temple,temple
480,480,Krusty's Office,krusty office
481,481,Izzy's Deli,izzy deli
482,482,TEMPLE HALLWAY,temple hallway
483,483,STEAMBATH,steambath
484,484,Gammill's Home,gammill home
485,485,KRUSTY SET,krusty set
486,486,MARRAKESH,marrakesh
487,487,BAZAAR AREA,bazaar area
488,488,CAMEL STALL,camel stall
489,489,MARRAKESH AIRPORT,marrakesh airport
490,490,Simpsons Store,simpsons store
491,491,Record Store,record store
492,492,Spaceship,spaceship
493,493,Springfield Town Square,springfield town square
494,494,AERIAL VIEW OF SPRINGFIELD,aerial view of springfield
495,495,Main Street,main street
496,496,Marvin Monroe's Office,marvin monroe office
497,497,SECRET PASSAGEWAY,secret passageway
498,498,SPRINGFIELD ELEMENTARY AUDITORIUM,springfield elementary auditorium
499,499,King Toot's Music Store,king toot music store
500,500,Phineas Q. Butterfat's 5600 Flavors Ice Cream Parlor,phineas q butterfat 5600 flavors ice cream parlor
501,501,PET SHOP,pet shop
502,502,PONY RANCH,pony ranch
503,503,Grateful Gelding Stables,grateful gelding stables
504,504,EMPLOYEE CREDIT UNION,employee credit union
505,505,VHS Village,vhs village
506,506,Fabrizio's Salon,fabrizio salon
507,507,NATIONAL FATHERHOOD INSTITUTE,national fatherhood institute
508,508,Dr. Hibbert's Waiting Room,dr hibbert waiting room
509,509,SOAPBOX DERBY TRACK,soapbox derby track
510,510,Wooded Area,wooded area
511,511,Flaming Moe's,flaming moe
512,512,Tipsy McStagger's Research Lab,tipsy mcstagger research lab
513,513,SPRINGFIELD BUS TERMINAL,springfield bus terminal
514,514,THE ARISTOCRAT,the aristocrat
515,515,Moe's Bedroom,moe bedroom
516,516,Walnut Street,walnut street
517,517,Burns's Private Bathroom,burns private bathroom
518,518,Meeting Room,meeting room
519,519,The Land of Chocolate,the land of chocolate
520,520,FUN CENTER,fun center
521,521,FREE GAME CASTLE,free game castle
522,522,Grampa's House,grampa house
523,523,Jewelry Store,jewelry store
524,524,WEDDING CHAPEL,wedding chapel
525,525,Chapel,chapel
526,526,Darkened Room,darkened room
527,527,Olde Springfield Towne,olde springfield towne
528,528,YE OLD CANDLEMAKER SHOP,ye old candlemaker shop
529,529,Suburban Home,suburban home
530,530,Pitiless Pup Attack Dog School,pitiless pup attack dog school
531,531,Gulp 'N' Blow,gulp n blow
532,532,Warehouse,warehouse
533,533,Barber Shop,barber shop
534,534,Dance Studio,dance studio
535,535,Wall E. Weasel's,wall e weasel
536,536,Springfield Elementary School Back Field,springfield elementary school back field
537,537,Well,well
538,538,Wee Monsieur,wee monsieur
539,539,Security Station,security station
540,540,Springfield Public Library,springfield public library
541,541,The Gilded Truffle Restaurant,the gilded truffle restaurant
542,542,SOUTH PACIFIC ISLAND,south pacific island
543,543,LIVING ROOM IN FRANCE,living room in france
544,544,Mt. Springfield,mt springfield
545,545,Nick's Bowling Shop,nick bowling shop
546,546,THE OTHER NICKS,the other nicks
547,547,Springfield Memorial Bridge,springfield memorial bridge
548,548,Marge's Station Wagon,marge station wagon
549,549,TRAFFIC COPTER,traffic copter
550,550,SMOKE FILLED ROOM,smoke filled room
551,551,PRESS CONFERENCE,press conference
552,552,Patty and Selma's Car,patty and selma car
553,553,Rancho Relaxo,rancho relaxo
554,554,Patty and Selma's Bedroom,patty and selma bedroom
555,555,HAIR SALON,hair salon
556,556,Patty and Selma's Apartment Building,patty and selma apartment building
557,557,Marge's Train,marge train
558,558,Springfield Elementary - Bart's Classroom,springfield elementary - bart classroom
559,559,Edna's Apartment,edna apartment
560,560,Lovejoy Home,lovejoy home
561,561,Theater,theater
562,562,SPRINGFIELD TOWERS,springfield towers
563,1232,London,london
564,563,MILLIONAIRE'S CLUB,millionaire club
565,564,Baseball Card Show,baseball card show
566,565,Woods,woods
567,566,SOUTHERN MANSION,southern mansion
568,567,NIGHT CLUB,night club
569,568,BALL FIELD,ball field
570,569,SPRINGFIELD SUBURBS,springfield suburbs
571,570,Springfield City Jail,springfield city jail
572,571,Springfield Mystery Spot,springfield mystery spot
573,572,SOFTBALL DIAMOND,softball diamond
574,573,Mrs. Krabappel's Classroom,mrs krabappel classroom
575,574,Miss Hoover's Classroom,miss hoover classroom
576,575,Iowa Non-International Airport,iowa non-international airport
577,576,National Testing Center,national testing center
578,577,Springfield Elementary School Psychologist's Office,springfield elementary school psychologist office
579,578,DREAM CLOUD,dream cloud
580,579,Li'l Ludwig's Music School,lil ludwig music school
581,580,WINFIELD RESIDENCE,winfield residence
582,581,Squad Car,squad car
583,582,Who's To Know Motel,who to know motel
584,583,Police Car,police car
585,584,Fleeing Car,fleeing car
586,585,Warehouse District,warehouse district
587,586,OUTDOOR PARKING LOT,outdoor parking lot
588,587,Alley,alley
589,588,Teachers' Lounge,teachers lounge
590,589,DETENTION ROOM,detention room
591,590,Newsroom,newsroom
592,591,The Krusty the Clown Show,the krusty the clown show
593,592,Springfield Animal Hospital,springfield animal hospital
594,593,Animal Hospital,animal hospital
595,594,Springfield Barber College,springfield barber college
596,595,Dog Pound,dog pound
597,596,Springfield Googolplex Theatres,springfield googolplex theatres
598,597,MOVIE THEATRE #1,movie theatre 1
599,598,MOVIE THEATRE #6,movie theatre 6
600,599,COUNTRY BAR,country bar
601,600,The Beer -N- Brawl,the beer -n- brawl
602,601,HOSPITAL OPERATING ROOM,hospital operating room
603,602,TRAILER PARK,trailer park
604,603,KUDD RADIO STATION,kudd radio station
605,604,The Corpulent Cowboy,the corpulent cowboy
606,605,Recording Studio,recording studio
607,606,Lurleen's Trailer,lurleen trailer
608,607,LURLEEN'S DRESSING ROOM,lurleen dressing room
609,608,AWARDS SHOW SET,awards show set
610,609,Prison Gate,prison gate
611,610,Sideshow Mel's Apartment,sideshow mel apartment
612,611,RECEPTION HALL,reception hall
613,612,Shelbyville Falls Hotel,shelbyville falls hotel
614,613,Shelbyville Hotel Suite,shelbyville hotel suite
615,614,Springfield Coliseum,springfield coliseum
616,615,COLISEUM,coliseum
617,616,CONCERT ARENA,concert arena
618,617,Arena,arena
619,618,EXT. SCHOOL BUS STOP,ext school bus stop
620,619,TIRE YARD,tire yard
621,620,Spinal Tap Tour Bus,spinal tap tour bus
622,621,SPINAL TOUR BUS,spinal tour bus
623,622,Department of Motor Vehicles,department of motor vehicles
624,623,SERPENTINE COURSE,serpentine course
625,624,Springfield Elementary School Parking Lot,springfield elementary school parking lot
626,625,Simpson Garage,simpson garage
627,626,TESTING COURSE,testing course
628,627,POOL,pool
629,628,MARTIN'S ROOM,martin room
630,629,Milhouse's Bedroom,milhouse bedroom
631,630,St. Jerome's Catholic School,st jerome catholic school
632,631,MEDICAL TESTING AREA,medical testing area
633,632,Testing Area,testing area
634,633,HOBO JUNGLE,hobo jungle
635,634,HERB'S ESTATE,herb estate
636,635,Powell Motors Showroom,powell motors showroom
637,636,Springfield Civic Center,springfield civic center
638,637,TRAIN YARD,train yard
639,638,Train,train
640,639,Furniture Store,furniture store
641,640,BABY EXPO,baby expo
642,641,Kremlin,kremlin
643,642,Simpson,simpson
644,643,Springfield Elementary School Bell Tower,springfield elementary school bell tower
645,644,FRONT HALLWAY,front hallway
646,645,Kamp Krusty,kamp krusty
647,646,Club House,club house
648,647,CAMP MESS HALL,camp mess hall
