index,id,name,normalized_name,gender
73,17,Moe Szyslak,moe szyslak,m
74,3,Seymour Skinner,seymour skinner,m
75,11,Ned Flanders,ned flanders,m
76,31,Grampa Simpson,grampa simpson,m
77,71,Chief Wiggum,chief wiggum,m
78,25,Milhouse Van Houten,milhouse van houten,m
79,14,Waylon Smithers,waylon smithers,m
80,101,Nelson Muntz,nelson muntz,m
81,40,Edna Krabappel-Flanders,edna krabappel-flanders,f
82,33,Announcer,announcer,m
83,22,Selma Bouvier,selma bouvier,f
84,18,Barney Gumble,barney gumble,m
85,10,Patty Bouvier,patty bouvier,f
86,38,Martin Prince,martin prince,m
87,52,Otto Mann,otto mann,m
88,91,Lou,lou,m
89,5,Todd Flanders,todd flanders,m
90,96,Dr. Marvin Monroe,dr marvin monroe,m
91,43,Dr. J. Loren Pyror,dr j loren pyror,m
92,6,Dewey Largo,dewey largo,m
93,90,Eddie,eddie,m
94,21,Teacher,teacher,m
95,28,Clerk,clerk,m
96,32,Father,father,m
97,54,Sherri Mackleberry,sherri mackleberry,f
98,4,JANEY,janey,f
99,44,Ms. Melon,ms melon,f
100,19,Interviewer,interviewer,m
101,45,Ethan Foley,ethan foley,m
102,55,Terri Mackleberry,terri mackleberry,f
103,23,Voice,voice,m
104,98,Receptionist,receptionist,f
105,110,Ms. Barr,ms barr,
106,113,Newsman,newsman,
107,114,Barflies,barflies,
108,116,Boy Onlooker,boy onlooker,
109,117,Champ,champ,
110,122,NED,ned,
111,125,Homer's Canyon Echo,homers canyon echo,
112,126,Camper Father,camper father,
113,127,Camper Mother,camper mother,
114,128,Photographer,photographer,
115,129,Game Warden,game warden,
116,130,Reporter #1,reporter 1,
117,131,Reporter #2,reporter 2,
118,132,Flunky,flunky,
119,133,Map Boy,map boy,
120,134,Man #1,man 1,
121,135,Man #2,man 2,
122,136,German Scientist,german scientist,
123,137,Beautiful French Scientist,beautiful french scientist,
124,138,English Scientist,english scientist,
125,141,Announcer #1,announcer 1,
126,142,Radio Announcer #1,radio announcer 1,
127,143,Churchgoing Woman,churchgoing woman,
128,147,Girl On Screen,girl on screen,
129,148,Boy On Screen,boy on screen,
130,149,Usher,usher,
131,150,Mr. Dandy,mr dandy,
132,151,Radio Announcer #3,radio announcer 3,
133,152,Jebediah Springfield,jebediah springfield,
134,154,TV ANNOUNCER #3 CONT'D,tv announcer 3 contd,
135,155,Mob,mob,
136,157,Waiters,waiters,
137,158,1st Waiter Quartet,1st waiter quartet,
138,159,2nd Waiter Quartet,2nd waiter quartet,
139,160,3rd Waiter Quartet,3rd waiter quartet,
140,161,4TH QUARTET OF WAITERS,4th quartet of waiters,
141,162,Counter Guy,counter guy,
142,164,HELEN,helen,
143,166,Another Worker,another worker,
144,167,Female Mail Carrier,female mail carrier,
145,168,Mr. Fisk,mr fisk,
146,169,Eugene Fisk,eugene fisk,
147,172,Workers,workers,
148,173,Princess Kashmir,princess kashmir,
149,174,Hoyt,hoyt,
150,175,Girl #1,girl 1,
151,176,Boy #1,boy 1,
152,177,All Kids,all kids,
153,178,Freddie,freddie,
154,179,Lewis's Dad,lewiss dad,
155,180,Al,al,
156,181,Happy Man,happy man,
157,182,Funky Guy,funky guy,
158,184,Man At Door,man at door,
159,185,Ticket-seller,ticket-seller,
160,186,Stage Manager,stage manager,
161,188,Theatre-goer #1,theatre-goer 1,
162,189,Theatre-goer #2,theatre-goer 2,
163,190,Theatre-goer #3,theatre-goer 3,
164,193,Steward,steward,
165,195,Adil Hoxha,adil hoxha,
166,196,UGOLIN,ugolin,
167,198,Male Announcer,male announcer,
168,199,Military Man,military man,
169,200,MARGE & BART,marge bart,
170,201,Gendarme,gendarme,
171,202,Cia Agent #1,cia agent 1,
172,203,Cia Agent #2,cia agent 2,
173,204,Brad,brad,
174,205,Female Announcer,female announcer,
175,206,Brittany,brittany,
176,207,ITCHY & SCRATCHY CHORUS,itchy scratchy chorus,
177,209,Police Artist,police artist,
178,210,Scott Christian,scott christian,
179,212,Reporter #3,reporter 3,
180,215,District Attorney,district attorney,
181,216,Merchant,merchant,
182,211,Kent Brockman,kent brockman,m
183,208,Apu Nahasapeemapetilon,apu nahasapeemapetilon,m
184,165,Lenny Leonard,lenny leonard,m
185,170,Carl Carlson,carl carlson,m
186,153,Sideshow Bob,sideshow bob,m
187,119,Ralph Wiggum,ralph wiggum,m
188,144,Jimbo Jones,jimbo jones,m
189,192,Agnes Skinner,agnes skinner,f
190,145,Kearney Zzyzwicz,kearney zzyzwicz,m
191,146,DOLPH,dolph,m
192,214,Judge Snyder,judge snyder,m
193,163,Jacques,jacques,m
194,124,Salesman,salesman,m
195,118,Woman,woman,f
196,121,Rod Flanders,rod flanders,m
197,183,Manager,manager,m
198,111,Bleeding Gums Murphy,bleeding gums murphy,m
199,123,Cowboy Bob,cowboy bob,m
200,112,Jacqueline Bouvier,jacqueline bouvier,f
201,171,Waiter,waiter,m
202,187,Gulliver Dark,gulliver dark,m
203,197,Cesar,cesar,m
204,120,Stan,stan,m
205,115,Cashier,cashier,m
206,191,Krusty Doll,krusty doll,m
207,213,Lawyer,lawyer,m
208,194,Mother,mother,f
209,217,Foreperson,foreperson,
210,219,Merchandiser #1,merchandiser 1,
211,220,Merchandiser #3,merchandiser 3,
212,221,Kbbl Weatherman,kbbl weatherman,
213,224,Screener,screener,
214,225,Worker One,worker one,
215,226,Florist,florist,
216,227,Lucille Botzcowski,lucille botzcowski,
217,228,Maitre D',maitre d,
218,229,Doofy,doofy,
219,230,U-Squeal Operator,u-squeal operator,
220,231,Tv Reporter,tv reporter,
221,233,Bart's Voice,barts voice,
222,234,Krabappel's Mouth,krabappels mouth,
223,235,GRANDMA,grandma,
224,236,Nurse Farrell,nurse farrell,
225,241,Entire Town,entire town,
226,242,Thomas Jefferson,thomas jefferson,
227,243,John Adams,john adams,
228,244,Samuel Chase,samuel chase,
229,245,Roger Sherman,roger sherman,
230,246,Benjamin Franklin,benjamin franklin,
231,247,Tv Host,tv host,
232,248,Tv Contestant,tv contestant,
233,249,Good-looking Man,good-looking man,
234,250,Dr. H. Boyle,dr h boyle,
235,251,Mr. Winfield,mr winfield,
236,252,Mourners,mourners,
237,253,Other Runner,other runner,
238,254,Jake,jake,
239,255,Woman Applicant,woman applicant,
240,257,Man In Tuxedo,man in tuxedo,
241,258,Executive #1,executive 1,
242,259,Executive #3,executive 3,
243,260,Moving Man,moving man,
244,261,House,house,
245,262,Kang,kang,
246,263,Serak The Preparer,serak the preparer,
247,264,Kodos,kodos,
248,265,V.O.,vo,
249,266,Raven,raven,
250,267,Dave Shutton,dave shutton,
251,268,Chief Inspector,chief inspector,
252,269,Dean Danielson,dean danielson,
253,271,DANEILSON,daneilson,
254,274,OLD BEARDED GUY,old bearded guy,
255,275,Charles Darwin,charles darwin,
256,276,Singers,singers,
257,277,MARY BAILEY,mary bailey,
258,278,Investigator #1,investigator 1,
259,279,Investigator #2,investigator 2,
260,280,Investigator #3,investigator 3,
261,281,Make-up Man,make-up man,
262,282,Gregor,gregor,
263,283,GAMMILL,gammill,
264,284,FLASH,flash,
265,285,Player #1,player 1,
266,286,P.A. Announcer,pa announcer,
267,288,Dan Hoard,dan hoard,
268,289,Vendor,vendor,
269,290,VENDER,vender,
270,291,MR. O'HARA,mr ohara,
271,292,Man On Bus,man on bus,
272,293,Player #2,player 2,
273,294,Rasta #1,rasta 1,
274,295,Rasta #2,rasta 2,
275,296,Supervisor,supervisor,
276,297,Tony Bennett,tony bennett,
277,298,Capital City Goofball,capital city goofball,
278,299,Dave Glass,dave glass,
279,300,First Wife #3,first wife 3,
280,301,First Wife #1,first wife 1,
281,302,Hot Dog Man,hot dog man,
282,303,Spectator #1,spectator 1,
283,304,Spectator #2,spectator 2,
284,305,Spectator #3,spectator 3,
285,306,Clubhouse Attendant,clubhouse attendant,
286,307,Dave Rosenfield,dave rosenfield,
287,310,Librarian,librarian,
288,312,SENIOR CITIZENS,senior citizens,
289,314,Announcer #2,announcer 2,
290,315,Mrs. Spencer,mrs spencer,
291,316,Security Guard #1,security guard 1,
292,317,Casey,casey,
293,318,Rory,rory,
294,319,Transient,transient,
295,320,Uncle Sam,uncle sam,
296,321,Audience,audience,
297,322,Tv Voice #1,tv voice 1,
298,323,Tv Voice #2,tv voice 2,
299,324,Tv Voice #3,tv voice 3,
300,325,ALL THREE TV VOICES,all three tv voices,
301,240,Mayor Joe Quimby,mayor joe quimby,m
302,308,Maude Flanders,maude flanders,f
303,309,Helen Lovejoy,helen lovejoy,f
304,273,Jasper Beardly,jasper beardly,m
305,311,Man,man,m
306,238,Marty,marty,m
307,272,TV Announcer,tv announcer,m
308,239,Bill,bill,m
309,218,Director,director,m
310,222,Arnie Pye,arnie pye,m
311,237,Nurse,nurse,f
312,256,Karl,karl,m
313,223,Radio Announcer,radio announcer,m
314,313,British Commentator,british commentator,m
315,270,DANIELSON,danielson,m
316,326,ALL 3 ANNOUNCERS,all 3 announcers,
317,327,LARGO,largo,
318,328,SCRAPER,scraper,
319,329,CLARK,clark,
320,333,SMYTHE,smythe,
321,334,Itchy & Scratchy Singers,itchy scratchy singers,
322,336,Her Group,her group,
323,337,Animator,animator,
324,338,1ST BOARD MEMBER,1st board member,
325,339,2nd Board Member,2nd board member,
326,340,Squirrel,squirrel,
327,342,Scratchy,scratchy,
328,343,Itchy,itchy,
329,344,Curator,curator,
330,348,Della,della,
331,350,Bailiff,bailiff,
332,352,BURNS LAWYER,burns lawyer,
333,354,Sushi Bar Chefs,sushi bar chefs,
334,355,Hostess,hostess,
335,357,Toshiro,toshiro,
336,358,Master,master,
337,359,Richie Sakai,richie sakai,
338,360,Cellmate,cellmate,
339,361,Crazy Calls,crazy calls,
340,362,Smitty,smitty,
341,363,Larry King,larry king,
342,364,LARRY KING V.O.,larry king vo,
343,365,Bald One,bald one,
344,366,Police Captain,police captain,
345,368,Fat One,fat one,
346,369,Kim,kim,
347,371,Estelle,estelle,
348,372,MCINTYRE,mcintyre,
349,374,Mrs. Bloominstein,mrs bloominstein,
350,375,Coach Flanagan,coach flanagan,
351,376,Mr. Seckofsky,mr seckofsky,
352,377,Mr. Bouvier,mr bouvier,
353,378,Chauffeur,chauffeur,
354,379,PRINCIPAL,principal,
355,380,Homer The Thief,homer the thief,
356,381,Hezron,hezron,
357,382,Zohar,zohar,
358,383,Moses,moses,
359,384,Cable Guy,cable guy,
360,385,Comic,comic,
361,386,Woman #1,woman 1,
362,387,Woman #2,woman 2,
363,388,Mexican Announcer,mexican announcer,
364,389,Representative,representative,
365,390,Cockfight Announcer,cockfight announcer,
366,391,Davey,davey,
367,392,Goliath,goliath,
368,394,Panelist #1,panelist 1,
369,395,Blockbuster Announcer,blockbuster announcer,
370,396,Top Hat Announcer,top hat announcer,
371,397,Stock Reporter,stock reporter,
372,398,Boxing Announcer #1,boxing announcer 1,
373,399,Boxing Announcer #2,boxing announcer 2,
374,400,Challenger,challenger,
375,401,Referee,referee,
376,402,Kindly Old Gent,kindly old gent,
377,403,Stanley,stanley,
378,405,Busboy,busboy,
379,406,Australian Boy,australian boy,
380,407,Australian Girl,australian girl,
381,408,Jeweler,jeweler,
382,409,Senator Mendoza,senator mendoza,
383,410,Board Member,board member,
384,411,Female Commando,female commando,
385,412,Theatre Manager,theatre manager,
386,413,Floozy,floozy,
387,416,Attendant,attendant,
388,418,Policeman,policeman,
389,419,Executive #2,executive 2,
390,420,Head Engineer,head engineer,
391,421,Engineer #2,engineer 2,
392,422,Engineer #3,engineer 3,
393,423,Female Singer,female singer,
394,424,Counter Man,counter man,
395,425,Flanders's Thoughts,flanderss thoughts,
396,428,Kelly,kelly,
397,430,Father McGrath,father mcgrath,
398,431,Salesboy,salesboy,
399,432,Hula Woman,hula woman,
400,434,BEA,bea,
401,435,Checker,checker,
402,332,Dr. Julius Hibbert,dr julius hibbert,m
403,404,Groundskeeper Willie,groundskeeper willie,m
404,426,Troy McClure,troy mcclure,m
405,347,Lionel Hutz,lionel hutz,m
406,417,HERB,herb,m
407,414,Mona Simpson,mona simpson,f
408,335,"Roger Meyers, Jr.",roger meyers jr,m
409,351,Blue-Haired Lawyer,blue-haired lawyer,m
410,349,Dr. Nick Riviera,dr nick riviera,m
411,373,Artie Ziff,artie ziff,m
412,353,Larry,larry,m
413,370,Principal Dondelinger,principal dondelinger,m
414,427,Emily,emily,f
415,356,Akira,akira,m
416,429,Jack,jack,m
417,330,Track Announcer,track announcer,m
418,346,Devil,devil,m
419,433,Farmer,farmer,m
420,345,Reporter,reporter,m
421,331,MURDOCK,murdock,m
422,437,Tracker,tracker,
423,438,Mr. Hazelwood,mr hazelwood,
424,439,Cabbie,cabbie,
425,440,KENT,kent,
426,441,MONROE,monroe,
427,443,Old Man Daly,old man daly,
428,444,Old Man McGrath,old man mcgrath,
429,445,Plato,plato,
430,446,Croupier,croupier,
431,447,Recorded Announcer,recorded announcer,
432,448,Old Woman In Line,old woman in line,
433,449,Monitor #1,monitor 1,
434,450,Monitor #2,monitor 2,
435,451,Female Newscaster,female newscaster,
436,452,Mr. Schindler,mr schindler,
437,453,Student,student,
438,454,Registrar,registrar,
439,455,Professor Lombardo,professor lombardo,
440,456,BART & LISA,bart lisa,
441,457,Artist,artist,
442,458,Delivery Man,delivery man,
443,459,MR. BURNS' GEOMETRIC SHAPES,mr burns geometric shapes,
444,460,RINGO,ringo,
445,461,WETHERBY,wetherby,
446,462,MRS. HOOVER,mrs hoover,
447,463,Chuck,chuck,
448,466,Classmate,classmate,
449,467,Terri/sherri,terrisherri,
450,468,Woman In Booth,woman in booth,
451,469,Landlady,landlady,
452,470,Kid Reporter,kid reporter,
453,471,Husband Of Marge's Friend,husband of marges friend,
454,472,Sophisticate #1,sophisticate 1,
455,473,Sophisticate #2,sophisticate 2,
456,474,Sophisticate #3,sophisticate 3,
457,475,Sultan,sultan,
458,476,Worm Man,worm man,
459,480,Convict,convict,
460,481,Customer,customer,
461,482,DIAMOND JOE,diamond joe,
462,483,Lost And Found Guy,lost and found guy,
463,484,Radioactive Man,radioactive man,
464,485,Fallout Boy,fallout boy,
465,486,Convention Director,convention director,
466,487,BUDDY,buddy,
467,488,Dealer,dealer,
468,489,Young Patty,young patty,
469,490,Young Selma,young selma,
470,492,Older Patty,older patty,
471,493,Older Selma,older selma,
472,494,Adult Narrator,adult narrator,
473,495,Teller,teller,
474,497,Asa,asa,
475,498,Soap Actress,soap actress,
476,499,Soap Actor,soap actor,
477,500,Osvaldo,osvaldo,
478,501,Mail Person,mail person,
479,502,Roman,roman,
480,503,Postal Worker,postal worker,
481,505,Joey,joey,
482,506,Guard #1,guard 1,
483,507,Guard #2,guard 2,
484,509,Psychiatrist,psychiatrist,
485,510,Orderly,orderly,
486,512,Floyd,floyd,
487,513,Bart's Head,barts head,
488,515,Voice On Phone,voice on phone,
489,519,Leon Kompowsky,leon kompowsky,
490,520,Minnesota Girl,minnesota girl,
491,521,Alabama Boy,alabama boy,
492,522,QUEENS BOY,queens boy,
493,523,Female Judge,female judge,
494,524,Dad,dad,
495,525,Flight Attendant,flight attendant,
496,527,Irs Man,irs man,
497,528,Hotel Guest,hotel guest,
498,529,Miss Crowley,miss crowley,
499,530,Truong/maria,truongmaria,
500,531,TRUONG,truong,
501,532,MARIA,maria,
502,534,Worker,worker,
503,535,Guide,guide,
504,536,Lobbyist,lobbyist,
505,537,Arnold,arnold,
506,538,Newlywed Wife,newlywed wife,
507,539,White Trash Woman #1,white trash woman 1,
508,540,Man #3,man 3,
509,541,Old Timer,old timer,
510,542,Guy,guy,
511,543,Songster,songster,
512,544,Page,page,
513,545,Senator,senator,
514,546,Oil Developer,oil developer,
515,442,Professor Jonathan Frink,professor jonathan frink,m
516,518,Snake Jailbird,snake jailbird,m
517,464,Miss Hoover,miss hoover,f
518,465,BERGSTROM,bergstrom,m
519,511,MICHAEL,michael,m
520,526,Pilot,pilot,m
521,478,John,john,m
522,508,Host,host,m
523,436,Guard,guard,m
524,477,Gloria,gloria,f
525,479,Captain,captain,m
526,496,Mrs. Glick,mrs glick,f
527,516,Doctor,doctor,m
528,533,BARBARA,barbara,f
529,517,Dave,dave,m
530,514,Wiseguy,wiseguy,m
531,547,Agent,agent,
532,548,Speaker,speaker,
533,549,Majority Leader,majority leader,
534,550,Everyone Else,everyone else,
535,551,President,president,
536,552,Foreign Dignitary,foreign dignitary,
537,553,Paper Boy,paper boy,
538,554,Sportscaster #1,sportscaster 1,
539,555,Girl,girl,
540,556,Neighborhood Guy,neighborhood guy,
541,557,Homemaker,homemaker,
542,558,Landscaper,landscaper,
543,559,Choreographer,choreographer,
544,560,George Washington,george washington,
545,561,Video Voice,video voice,
546,562,Man Shopper,man shopper,
547,563,HOMER (CONT'D,homer contd,
548,564,Collection Agent,collection agent,
549,565,Wife,wife,
550,566,Shoppers,shoppers,
551,569,Legs,legs,
552,571,Race Announcer,race announcer,
553,572,Jack Larson,jack larson,
554,573,Fbi Agent #1,fbi agent 1,
555,574,Fbi Agent #2,fbi agent 2,
556,575,Rival Gang Leader,rival gang leader,
557,576,Psychic,psychic,
558,577,Skinner Body,skinner body,
559,578,Prosecuting Attorney,prosecuting attorney,
560,579,Joe,joe,
561,580,Neil,neil,
562,581,Calm Woman,calm woman,
563,582,Mr. Devereaux,mr devereaux,
564,583,Margarita,margarita,
565,584,Program Voices,program voices,
566,586,Female Worker,female worker,
567,587,Male Worker,male worker,
568,588,Contestant,contestant,
569,589,Magic Johnson,magic johnson,
570,590,Aristotle,aristotle,
571,592,Thought Bubble Barney,thought bubble barney,
572,593,Female Voice,female voice,
573,594,SCOTT,scott,
574,595,Miss Lois Pennycandy,miss lois pennycandy,
575,596,Sexy Female Recording,sexy female recording,
576,597,PENNYCANDY,pennycandy,
577,600,Rabbi #1,rabbi 1,
578,601,Rowdy Rabbi,rowdy rabbi,
579,602,Martian,martian,
580,604,Caller,caller,
581,605,MONSIGNOR DALEY,monsignor daley,
582,606,Yiddle,yiddle,
583,607,Rabbi #2,rabbi 2,
584,608,Waitress,waitress,
585,609,Stagehand,stagehand,
586,610,Airport Announcer,airport announcer,
587,611,Customs Agent,customs agent,
588,612,Military Cops,military cops,
589,613,English Diplomat,english diplomat,
590,614,Argentine Diplomat,argentine diplomat,
591,616,Female Office Worker,female office worker,
592,617,Male Office Worker,male office worker,
593,618,Townspeople,townspeople,
594,619,Patrons,patrons,
595,620,Vin Scully,vin scully,
596,621,Kids In Audience,kids in audience,
597,622,DR MONROE,dr monroe,
598,623,Crypt Keeper Willie,crypt keeper willie,
599,624,Robot,robot,
600,625,Homer-Ape,homer-ape,
601,627,Little Man,little man,
602,628,Teenager,teenager,
603,630,Baby Lisa,baby lisa,
604,631,Salesclerk,salesclerk,
605,632,Millicent,millicent,
606,633,Female Clerk,female clerk,
607,634,Kevin,kevin,
608,635,Johnny Carson,johnny carson,
609,636,Scoey,scoey,
610,637,Teenage Clerk,teenage clerk,
611,639,DAVE JR.,dave jr,
612,640,Official,official,
613,641,Voice From Trunk,voice from trunk,
614,642,Ronnie,ronnie,
615,643,DREDERICK,drederick,
616,644,Wanda,wanda,
617,646,Girls,girls,
618,647,Patron #1,patron 1,
619,648,Patron #2,patron 2,
620,649,Collette,collette,
621,650,HARV,harv,
622,651,Bernard,bernard,
623,653,Aerosmith,aerosmith,
624,654,Steven Tyler,steven tyler,
625,655,Joe Perry,joe perry,
626,656,Brad Whitford,brad whitford,
627,568,Fat Tony,fat tony,m
628,570,Louie,louie,m
629,598,Rabbi Hyman Krustofsky,rabbi hyman krustofsky,m
630,591,Luann Van Houten,luann van houten,f
631,615,Colonel,colonel,m
632,638,Football Announcer,football announcer,m
633,567,Executive,executive,m
634,603,D.J.,dj,m
635,645,Becky,becky,f
636,585,Instructor,instructor,m
637,652,Aide,aide,m
638,626,Lunchlady Doris,lunchlady doris,f
639,658,Everyone,everyone,
640,659,Bartender,bartender,
641,660,One-eyed Bartender,one-eyed bartender,
642,661,Flowers,flowers,
643,662,Tom Hamilton,tom hamilton,
644,663,Joey Kramer,joey kramer,
645,664,Snappy,snappy,
646,665,Broker,broker,
647,666,Hans,hans,
648,667,Fritz,fritz,
649,670,German Teacher,german teacher,
650,671,Boxer,boxer,
651,672,Mr. Thorson,mr thorson,
652,673,Angel,angel,
653,674,Patient,patient,
654,675,Justice Of The Peace,justice of the peace,
655,676,Groom,groom,
656,677,Applicant #1,applicant 1,
657,678,Applicant #2,applicant 2,
658,679,Applicants,applicants,
659,680,Tourist Kid,tourist kid,
660,681,Tourist Dad,tourist dad,
661,682,Boss,boss,
662,683,Elderly Lady,elderly lady,
663,684,Repo Man,repo man,
664,685,Driver,driver,
665,686,M.C.,mc,
666,687,Boy,boy,
667,688,Operator,operator,
668,689,Barber,barber,
669,690,Rosarita,rosarita,
670,691,Weasel,weasel,
671,692,Robot Weasel,robot weasel,
672,693,Señor Beaver-otti,señor beaver-otti,
673,694,Robot Animals,robot animals,
674,695,Fat Cop,fat cop,
675,696,Falcon Man,falcon man,
676,697,Sailor,sailor,
677,698,Sting,sting,
678,700,Choir,choir,
679,701,Souvenir Hawker,souvenir hawker,
680,702,Station Announcer,station announcer,
681,703,Old Lady #1,old lady 1,
682,704,Bret,bret,
683,705,JIMMY,jimmy,
684,706,Sportscaster,sportscaster,
685,707,Coach,coach,
686,708,Football Announcer #2,football announcer 2,
687,709,Player,player,
688,710,Marco,marco,
689,711,Box,box,
690,712,Nutty Comedian,nutty comedian,
691,713,Alien,alien,
692,714,Duff Announcer,duff announcer,
693,716,Nick #2,nick 2,
694,717,Commercial Guy,commercial guy,
695,718,Man On Phone,man on phone,
696,719,Bus Driver,bus driver,
697,720,Policewoman,policewoman,
698,721,Different Announcer,different announcer,
699,722,Chef Rodrigo,chef rodrigo,
700,723,Gregory,gregory,
701,724,FABRIZIO,fabrizio,
702,725,Woman On Tv #1,woman on tv 1,
703,726,Woman On Tv #2,woman on tv 2,
704,727,Teenage Boy,teenage boy,
705,728,CHIF WIGGUM,chif wiggum,
706,729,Service Manager,service manager,
707,730,Ted,ted,
708,731,Sound-alikes,sound-alikes,
709,732,Mister Amazing,mister amazing,
710,733,Sparkle,sparkle,
711,734,Romantic Lover Voice,romantic lover voice,
712,735,Southern Private,southern private,
713,736,Charles Boyer,charles boyer,
714,737,Umpire,umpire,
715,738,Dispatcher,dispatcher,
716,739,ARI,ari,
717,740,Jose Canseco,jose canseco,
718,743,Ozzie Smith,ozzie smith,
719,744,Don Mattingly,don mattingly,
720,745,Steve Sax,steve sax,
721,746,Roger Clemens,roger clemens,
722,747,Wade Boggs,wade boggs,
723,748,KEN GRIFFEY JR.,ken griffey jr,
724,749,Darryl Strawberry,darryl strawberry,
725,750,Hypnotist,hypnotist,
726,751,ALL THE PLAYERS,all the players,
727,752,JOSE CONSECO,jose conseco,
728,753,Ticket Taker,ticket taker,
729,754,Courier,courier,
730,756,FORTE,forte,
731,757,Donna,donna,
732,759,PRINCIPAL WILLIE,principal willie,
733,760,Prosecutor,prosecutor,
734,761,Steve Allen,steve allen,
735,762,Mr. Montone,mr montone,
736,763,Former Teacher,former teacher,
737,764,Teacher #1,teacher 1,
738,765,Teacher #2,teacher 2,
739,766,Hippie Teacher,hippie teacher,
740,768,Employer,employer,
741,699,Sideshow Mel,sideshow mel,m
742,742,Tour Guide,tour guide,m
743,657,HUGH,hugh,m
744,758,Tammy,tammy,f
745,767,Employee,employee,m
746,741,Mike Scioscia,mike scioscia,m
747,668,Charlie,charlie,m
748,715,Nick,nick,m
749,769,Window Washers,window washers,
750,770,Sanjay Nahasapeemapetilon,sanjay nahasapeemapetilon,
751,771,Lottery Announcer,lottery announcer,
752,772,Vet,vet,
753,773,Mr. Danielson,mr danielson,
754,775,Sadistic Barfly,sadistic barfly,
755,776,Young Barfly,young barfly,
756,777,Trainee,trainee,
757,778,Butler,butler,
758,779,Ticket Man,ticket man,
759,780,General,general,
760,781,Cowboy #1,cowboy 1,
761,782,Cowboy #2,cowboy 2,
762,783,Bar Owner,bar owner,
763,784,Yodelin' Zeke,yodelin zeke,
764,786,Male Nurse,male nurse,
765,787,Music Store Owner,music store owner,
766,788,Mr. Boylan,mr boylan,
767,789,Mule,mule,
768,790,Young Girl,young girl,
769,791,Pretty Girl,pretty girl,
770,792,Orville,orville,
771,793,Hurley,hurley,
772,794,Dinosaur Dad,dinosaur dad,
773,795,Dinosaur Son,dinosaur son,
774,796,Cellmate #1,cellmate 1,
775,797,FAMILY/EVERYONE,familyeveryone,
776,798,Crooner,crooner,
777,799,MacGyver,macgyver,
778,800,T-shirt Guy,t-shirt guy,
779,802,David,david,
780,804,DEREK,derek,
781,805,Roadie,roadie,
782,806,Stoned Guy,stoned guy,
783,807,Promoter,promoter,
784,808,DAVID/NIGEL,davidnigel,
785,809,DAVID/NIGEL/DEREK,davidnigelderek,
786,810,Landlord,landlord,
787,811,Samantha Stanky,samantha stanky,
788,812,Grave Digger,grave digger,
789,813,Crane Operator,crane operator,
790,814,Worker #1,worker 1,
791,815,Worker #2,worker 2,
792,816,Mr. Stanky,mr stanky,
793,818,Nun,nun,
794,819,NUN #2,nun 2,
795,820,Bum,bum,
