Case_No;Measurement
554;0,09266
555;0,107041818
556;0,121012727
557;0,136627273
558;0,134367273
559;0,092249091
560;0,04294
561;0,006369091
562;-0,007190909
563;0,024654545
564;0,057527273
565;0,073963636
566;0,09266
567;0,111561818
568;0,141969091
569;0,162309091
570;0,152447273
571;0,093481818
572;0,011505455
573;-0,036570909
574;-0,053212727
575;-0,046021818
576;-0,025681818
577;0,005547273
578;0,03616
579;0,084647273
580;0,142585455
581;0,15142
582;0,103549091
583;0,007807273
584;-0,078278182
585;-0,109301818
586;-0,095330909
587;-0,059787273
588;0,004314545
589;0,063690909
590;0,109918182
591;0,162103636
592;0,156761818
593;0,120601818
594;0,049309091
595;-0,043556364
596;-0,073347273
597;-0,068210909
598;-0,031845455
599;0,020545455
600;0,056910909
601;0,103754545
602;0,164363636
603;0,190456364
604;0,173814545
605;0,116698182
606;0,022189091
607;-0,041707273
608;-0,0565
609;-0,031023636
610;0,010067273
611;0,054650909
612;0,103549091
613;0,16272
614;0,205249091
615;0,1808
616;0,118136364
617;0,018285455
618;-0,041501818
619;-0,061841818
620;-0,071087273
621;-0,02034
622;0,012327273
623;0,039241818
624;0,087318182
625;0,134572727
626;0,145050909
627;0,124094545
628;0,058349091
629;-0,016025455
630;-0,030201818
631;-0,053829091
632;-0,025270909
633;0,009861818
634;0,026092727
635;0,073963636
636;0,103343636
637;0,121012727
638;0,09718
639;0,041501818
640;-0,033283636
641;-0,056910909
642;-0,063485455
643;-0,04294
644;0,003287273
645;-0,022805455
646;0,016847273
647;0,050541818
648;0,067594545
649;0,097796364
650;0,050952727
651;-0,000205455
652;-0,039241818
653;-0,041090909
654;-0,001027273
655;0,060609091
656;0,070470909
657;0,086907273
658;0,110945455
659;0,095741818
660;0,112178182
661;0,069649091
662;0,027941818
663;-0,003698182
664;-0,020545455
665;0,009656364
666;0,041912727
667;0,056089091
668;0,048076364
669;0,067389091
670;0,0565
671;0,079716364
672;0,057116364
673;-0,028558182
674;-0,071498182
675;-0,125943636
676;-0,098001818
677;-0,029790909
678;0,020134545
679;0,058554545
680;0,058965455
681;0,049309091
682;0,043350909
683;0,025476364
684;-0,027325455
685;-0,079716364
686;-0,130052727
687;-0,127792727
688;-0,064307273
689;-0,014587273
690;0,006574545
691;0,015614545
692;0,008629091
693;-0,009245455
694;0,006369091
695;-0,02938
696;-0,083825455
697;-0,111767273
698;-0,131285455
699;-0,060403636
700;0,011094545
701;0,059992727
702;0,083209091
703;0,064718182
704;0,066156364
705;0,058554545
706;0,043350909
707;-0,003081818
708;-0,061636364
709;-0,092043636
710;-0,05424
711;0,026914545
712;0,06554
713;0,080332727
714;0,048692727
715;0,007190909
716;0,002876364
717;0,001027273
718;-0,017463636
719;-0,034516364
720;-0,054650909
721;-0,034516364
722;0,047049091
723;0,094303636
724;0,130874545
725;0,115054545
726;0,072525455
727;0,081770909
728;0,069032727
729;0,058143636
730;0,022189091
731;-0,022394545
732;-0,019107273
733;0,011710909
734;0,069443636
735;0,107863636
736;0,103138182
737;0,059787273
738;0,048692727
739;0,069854545
740;0,087318182
741;0,101083636
742;0,057527273
743;0,017258182
744;0,00452
745;0,02034
746;0,065129091
747;0,069238182
748;0,038009091
749;0,02938
750;0,054445455
751;0,079305455
752;0,098823636
753;0,050747273
754;-0,010683636
755;-0,02034
756;0,001849091
757;0,068005455
758;0,081770909
759;0,047665455
760;0,018696364
761;0,024243636
762;0,052185455
763;0,069649091
764;0,069854545
765;0,013765455
766;-0,021572727
767;-0,035749091
768;-0,018490909
769;0,020545455
770;0,008629091
771;-0,012943636
772;-0,024449091
773;0,001643636
774;0,044789091
775;0,062458182
776;0,028763636
777;-0,018490909
778;-0,035338182
779;-0,023832727
780;0,013970909
781;0,002670909
782;-0,024038182
783;-0,03164
784;-0,016025455
785;0,039652727
786;0,072114545
787;0,070676364
788;0,032461818
789;-0,000616364
790;-0,012943636
791;0,000821818
792;0,016641818
793;-0,001849091
794;-0,01356
795;-0,017874545
796;0,033694545
797;0,103343636
798;0,129230909
799;0,10622
800;0,054034545
801;0,005547273
802;-0,001438182
803;0,02034
804;-0,014381818
805;-0,024654545
806;-0,037392727
807;-0,018285455
808;0,057527273
809;0,079305455
810;0,091016364
811;0,04746
812;-0,004725455
813;-0,030201818
814;-0,03616
815;-0,03616
816;-0,058554545
817;-0,060403636
818;-0,041296364
819;0,034927273
820;0,096358182
821;0,124505455
822;0,092249091
823;0,005341818
824;-0,042734545
825;-0,062252727
826;-0,056910909
827;-0,073141818
828;-0,077045455
829;-0,068416364
830;-0,014176364
831;0,070470909
832;0,106425455
833;0,116698182
834;0,050541818
835;-0,009450909
836;-0,039241818
837;-0,055883636
838;-0,044583636
839;-0,046227273
840;-0,037598182
841;0,002465455
842;0,083003636
843;0,15368
844;0,165185455
845;0,09944
846;0,027325455
847;-0,028763636
848;-0,060814545
849;-0,045816364
850;-0,041296364
851;-0,023010909
852;0,008012727
853;0,077250909
854;0,152858182
855;0,18306
856;0,186758182
857;0,13108
858;0,087318182
859;0,060814545
860;0,028763636
861;0,015203636
862;-0,007190909
863;-0,010889091
864;0,030818182
865;0,099645455
866;0,161281818
867;0,182854545
868;0,136421818
869;0,078689091
870;0,041090909
871;0,014381818
872;0,024038182
873;0,014587273
874;-0,001232727
875;0,008218182
876;0,050336364
877;0,127176364
878;0,169089091
879;0,140736364
880;0,072730909
881;0,024038182
882;-0,022189091
883;-0,035954545
884;-0,031229091
885;-0,044583636
886;-0,021778182
887;0,013970909
888;0,091838182
889;0,158610909
890;0,154912727
891;0,109712727
892;0,030818182
893;-0,030818182
894;-0,044994545
895;-0,028147273
896;-0,047254545
897;-0,050541818
898;-0,017463636
899;0,037803636
900;0,130669091
901;0,146489091
902;0,114438182
903;0,062252727
904;-0,021161818
905;-0,048281818
906;-0,051158182
907;-0,070676364
908;-0,073963636
909;-0,058143636
910;-0,011505455
911;0,068005455
912;0,11526
913;0,103138182
914;0,051774545
915;-0,013149091
916;-0,061430909
917;-0,067594545
918;-0,055678182
919;-0,049103636
920;-0,039858182
921;-0,025065455
922;0,041296364
923;0,110945455
924;0,130052727
925;0,112794545
926;0,05198
927;-0,003287273
928;-0,015409091
929;-0,013970909
930;-0,011505455
931;-0,000205455
932;-0,010067273
933;0,016847273
934;0,068416364
935;0,078689091
936;0,084441818
937;0,035543636
938;-0,003287273
939;-0,000205455
940;-0,012327273
941;0,002465455
942;0,001027273
943;-0,013354545
944;-0,012121818
945;0,016847273
946;0,046432727
947;0,060814545
948;0,053829091
949;0,001849091
950;-0,008218182
951;-0,006369091
952;-0,001438182
953;0,00226
954;-0,027736364
955;-0,039036364
956;-0,028969091
957;-0,013354545
958;0,009861818
959;0,036776364
960;0,028763636
961;0,030201818
962;0,02034
963;0,010478182
964;0,017463636
965;-0,022805455
966;-0,045816364
967;-0,034721818
968;0,011505455
969;0,073141818
970;0,115054545
971;0,107041818
972;0,081154545
973;0,06328
974;0,033283636
975;0,046432727
976;0,006985455
977;-0,039447273
978;-0,03164
979;-0,037598182
980;0,006369091
981;0,047254545
982;0,053829091
983;0,073963636
984;0,095125455
985;0,108069091
986;0,114232727
987;0,080127273
988;0,018901818
989;-0,008423636
990;-0,016641818
991;0,016230909
992;0,066772727
993;0,083209091
994;0,087729091
995;0,089372727
996;0,090810909
997;0,086701818
998;0,057116364
999;-0,019723636
