Name,University,Difficulty Level,Link,About,Course Description
Fat Chance: Probability from the Ground Up,Harvard University,Beginner,https://www.edx.org/course/fat-chance-probability-from-the-ground-up-2,Increase your quantitative reasoning skills through a deeper understanding of probability and statistics.,"Created specifically for those who are new to the study of probability, or for those who are seeking an approachable review of core concepts prior to enrolling in a college-level statistics course, Fat Chance prioritizes the development of a mathematical mode of thought over rote memorization of terms and formulae. Through highly visual lessons and guided practice, this course explores the quantitative reasoning behind probability and the cumulative nature of mathematics by tracing probability and statistics back to a foundation in the principles of counting. In Modules 1 and 2, you will be introduced to basic counting skills that you will build upon throughout the course. In Module 3, you will apply those skills to simple problems in probability. In Modules 4 through 6, you will explore how those ideas and techniques can be adapted to answer a greater range of probability problems. Lastly, in Module 7, you will be introduced to statistics through the notion of expected value, variance, and the normal distribution. You will see how to use these ideas to approximate probabilities in situations where it is difficult to calculate their exact values. Math"
Chasing your Dream: How to End Procrastination and Get a Job You Love,National Research Nuclear University,Beginner,https://www.edx.org/course/chasing-your-dream-how-to-end-procrastination-and,"According to the old saying, ""Choose a job you love, and you will never have to work a day in your life."" This courseis geared toward helping you find real purpose in your work and becoming the best version of yourself.","Do you love your job, do you wake up every morning all eager about it? Are you ready to do what you have chosen for the rest of your life? When you are off the chosen track, are you impatient to snap into action immediately to start working more effectively and overcome the difficulties? Is your life full of purpose, are you of any use to other people? If your answer to all the above questions is ""Yes"" then congratulations, you're doing great! However, most people share at least some level of insecurity about their work and their future. If that sounds more like you, here's a follow-up question: have you done anything to change it? Or are you planning to put up with that for the time being? This course is for those who may feel a little stuck in their careers. It draws from academic teachings in motivation and positive psychology from universities like Harvard andMoscow State University and combines those with cultural studies from Tibet. You'll learn how to resist procrastination and engage a process of self-determination. You'll find ways to contend with the ""bumps"" that prevent us from moving in the direction. This course can't promise a magic pill, butit will offer the tools for solvingkey problems thatcan hinder self-fulfillment. You willgain the basic skills of self-development, explore some well-considered hypotheses of future development, and build the toolsyou'll need to follow your passion and succeed. Communication"
English Grammar and Style,The University of Queensland,Beginner,https://www.edx.org/course/english-grammar-and-style,Learn key concepts and strategies in grammar and style to help enhance your writing and confidently respond to the demand of high levels of literacy in the 21st century.,"With the rise of social media and the Internet, many people are writing more today for different mediums than ever before. We'll present materials that cover grammatical principles, word usage, writing style, sentence and paragraph structure, and punctuation. We'll introduce you to some marvelous resources that we have annotated for your guidance. We'll show you video clips of interviews conducted with distinguished grammarians, challenge you with quizzes and writing activities that will give you strategies to help you to build skills that will enhance the quality of your writing, and invite you to participate in discussions and assess the work of your peers. Humanities"
Ethics in Action,SDG Academy,Intermediate,https://www.edx.org/course/ethics-in-action,What do the world's great religious and secular philosophies have to say about ethical conduct? Which virtues are common across faiths? And what role do religious communities have to play in building a more just and sustainable world?,"The challenges of sustainable development are more than technical or political--they are also moral, calling on us to examine who we are as human beings, and who we want to be going forward. This examination of what makes a ""good person""--called virtue ethics--has long been the purview of philosophers and theologians. So what do the world's great religious and secular philosophies have to say about ethical conduct? Which virtues are common across creeds and cultures? And what role do ethics, spirituality, and religious communities have to play in sustainable development? In 2016, distinguished leaders from the world's major religious traditions, philosophers, scholars, and scientists were invited by Pope Francis to the Vatican for a series of meetings. Known as the Ethics in Action initiative, these meetings sought to promote dialogue and find consensus about the values needed to advance transformative action for our common home and the human family. This course features Ethics in Action meeting participants, as well as other leading voices, and discusses the perspectives of some of the world's great traditions and their role in addressing our world's most pressing challenges, including poverty, corruption, and climate change. It presents multi-faith cooperation as essential for achieving sustainable development, and calls for the development of a new shared virtue ethics to bring us all into a sustainable and peaceful future. This course is for:  Ethics"
Introduction to FinTech,University of Hong Kong,Beginner,https://www.edx.org/course/introduction-to-fintech,"Learn from leading academics and practitioners from around the world about the innovations, technology and regulation driving the transformation of finance."," Over the past decade emerging technologies, paired with massive changes in regulations, have driven an unprecedented transformation of finance around the world. This process is happening more rapidly in China and Asia than anywhere else. This course is designed to explore FinTech fundamentals and help make sense of this wave of change as it happens.New players such as start-ups and technology firms are challenging traditional players in finance, bringing democratization, inclusion and disruption. Companies engaged in social media, e-commerce, and telecommunications, as well as, companies and start-ups with large customer data pools, creative energies, and technical capacities, have brought competition to the existing financial infrastructure and are remaking the industry.These transformations have not only created challenges but also unprecedented opportunities, building synergies with new business and regulatory models, particularly in emerging markets and developing countries. To meet these changes, 21st-century professionals and students must be equipped with up-to-date knowledge of the industry and its incredible evolution. This course - designed by HKU with the support of SuperCharger and the Centre for Finance, Technology and Education - is designed to enable learners with the necessary tools to understand the complex interaction of finance, technology and regulation.In this course, through a series of video lectures, case studies, and assessments you will explore the major areas of FinTech including, beginning with What is FinTech before turning to Money, Payment and Emerging Technologies, Digital Finance and Alternative Finance, FinTech Regulation and RegTech, Data and Security, and the Future of Data Driven Finance, as well as, the core technologies driving FinTech including Blockchain, AI and Big Data. These will set the stage for understanding the FinTech landscape and ecosystem and grappling with the potential direction of future change.**** Economics & Finance"
Data Science: R Basics,Harvard University,Beginner,https://www.edx.org/course/data-science-r-basics,"Build a foundation in R and learn how to wrangle, analyze, and visualize data.","The first in our Professional Certificate Program in Data Science, this course will introduce you to the basics of R programming. You can better retain R when you learn it to solve a specific problem, so you'll use a real-world dataset about crime in the United States. You will learn the R skills needed to answer essential questions about differences in crime across the different states. We'll cover R's functions and data types, then tackle how to operate on vectors and when to use advanced functions like sorting. You'll learn how to apply general programming features like ""if-else,"" and ""for loop"" commands, and how to wrangle, analyze and visualize data. Rather than covering every R skill you might need, you'll build a strong foundation to prepare you for the more in-depth courses later in the series, where we cover concepts like probability, inference, regression, and machine learning. We help you develop a skill set that includes R programming, data wrangling with dplyr, data visualization with ggplot2, file organization with UNIX/Linux, version control with git and GitHub, and reproducible document preparation with RStudio. The demand for skilled data science practitioners is rapidly growing, and this series prepares you to tackle real-world data analysis challenges. Data Analysis & Statistics"
Python Basics for Data Science,IBM,Beginner,https://www.edx.org/course/python-basics-for-data-science,"This Python course provides a beginner-friendly introduction to Python for Data Science. Practice through lab exercises, and you'll be ready to create your first Python scripts on your own!","Kickstart your learning of Python for data science, as well as programming in general with this introduction to Python course. This beginner-friendly Python course will quickly take you from zero to programming in Python in a matter of hours and give you a taste of how to start working with data in Python. ~~~~Upon its completion, you'll be able to write your own Python scripts and perform basic hands-on data analysis using our Jupyter-based lab environment. If you want to learn Python from scratch, this course is for you.You can start creating your own data science projects and collaborating with other data scientists using IBM Watson Studio. When you sign up, you will receive free access to Watson Studio. Start now and take advantage of this platform and learn the basics of programming, machine learning, and data visualization with this Beginner course.The objectives of this course is to get you started with Python as the programming language and give you a taste of how to start working with data in Python.In this course you will learn about: Data Analysis & Statistics"
The Science of Beer,Wageningen University & Research,Beginner,https://www.edx.org/course/the-science-of-beer,"Are you interested in more than just the taste of beer? Discover what's in your beer, howit's made and marketed and the effectit hason your body and health."," Have you ever taken a sip of beer and wondered why it tastes a certain way or what effect the alcohol has on your body?In this course, you will learn all about beer, including how it's made, the raw materials used, it's supply chain, how it's marketed and the effect of beer consumption on your body.After this course, tasting a beer will be an entirely new sensation: you will enjoy it even more since you will better understand what's inside your drink. Not to mention, to be a responsible drinker it is important to know what effects beer has on your health. You will gain a natural view on this, allowing you to form your own well-grounded opinion.This MOOC is developed by students of Wageningen University & Research in honour of the 100 year anniversary of the university. The students have received guidance from professors and experts in the field of food production, health risks, marketing, logistics and sustainable supply chains to ensure a high-quality learning experience for everyone. In this MOOC your teachers will truly be your peers!So, are you interested in the science behind your beer? Register for this course now! Food & Nutrition"
Strategic Social Media Marketing,Boston University,Advanced,https://www.edx.org/course/strategic-social-media-marketing,Learn how to drive social media engagement by linking strategy and tactics and measuring results.,"Social media technologies are continuously transforming the ways consumers interact with each other and firms. These changes constitute a fundamental shift in the marketplace--consumers have greater opportunities to voice their opinions and connect with their peers as well as increased influence over marketers and brands. In this course, part of the Digital Product Management MicroMasters program, we examine how organizations capitalize on social media and consumer-to-consumer interactions to support their marketing efforts. We view these issues from a strategic and a practical perspective, rather than a technical or platform perspective. We will give you the knowledge you need to create engaging content for platforms such as Facebook, Instagram, Twitter, and Snapchat and how to identify influencers, deliver content to a targeted audience, and measure the success of your efforts. Understanding social media is crucial for product managers who will be operating in a digital environment. Product managers will learn how to use social media conversations to inform their decision-making and how to leverage social media to promote their products, services and the brand. Additionally, learners will gain an understanding of how social media can be used to achieve specific organizational objectives and to measure the effectiveness of those efforts. Business & Management"
CS50's Introduction to Artificial Intelligence with Python,Harvard University,Beginner,https://www.edx.org/course/cs50s-introduction-to-artificial-intelligence-with-python,Learn to use machine learning in Python in this Beginner course on artificial intelligence.,"AI is transforming how we live, work, and play. By enabling new technologies like self-driving cars and recommendation systems or improving old ones like medical diagnostics and search engines, the demand for expertise in AI and machine learning is growing rapidly. This course will enable you to take the first step toward solving important real-world problems and future-proofing your career.CS50’s Introduction to Artificial Intelligence with Python explores the concepts and algorithms at the foundation of modern artificial intelligence, diving into the ideas that give rise to technologies like game-playing engines, handwriting recognition, and machine translation. Through hands-on projects, students gain exposure to the theory behind graph search algorithms, classification, optimization, reinforcement learning, and other topics in artificial intelligence and machine learning as they incorporate them into their own Python programs. By course’s end, students emerge with experience in libraries for machine learning as well as knowledge of artificial intelligence principles that enable them to design intelligent systems of their own.Enroll now to gain expertise in one of the fastest-growing domains of computer science from the creators of one of the most popular computer science courses ever, CS50. You’ll learn the theoretical frameworks that enable these new technologies while gaining practical experience in how to apply these powerful techniques in your work. Computer Science"
Rhetoric: The Art of Persuasive Writing and Public Speaking,Harvard University,Beginner,https://www.edx.org/course/rhetoric-art-of-persuasive-writing-public-speaking,Gain critical communication skills in writing and public speaking with this introduction to American political rhetoric.,"We are living in a contentious time in history. Fundamental disagreements on critical policy, economic, and political issues make it essential to learn how to compose an effectiveargument and to analyze the arguments of others. This ability will help you engage in civil discourse and make needed changes in society. Conveying a convincing message can benefit your personal, public, and professional lives.This course is an introduction to the theory and practice of rhetoric, the art of persuasive writing and speech. In it, you will learn to construct and defend compelling arguments, a crucial skill in many settings. We will be using selected speeches from prominent twentieth-century Americans -- including Martin Luther King Jr., John F. Kennedy, Margaret Chase Smith, Ronald Reagan, and more -- to explore and analyze rhetorical structure and style. Through this analysis, you will learn how speakers and writers persuade an audience to adopt their point of view.Built around Harvard Professor James Engell's on-campus course, ""Elements of Rhetoric,"" this course will help you analyze and apply rhetorical structure and style, appreciate the relevance of persuasive communication in your own life, and understand how to persuade and recognize when someone is trying to persuade you. You will be inspired to share your viewpoint and discover the most powerful ways to convince others to champion your cause. Join us to find your voice! Humanities"
CS50's Web Programming with Python and JavaScript,Harvard University,Intermediate,https://www.edx.org/course/cs50s-web-programming-with-python-and-javascript,"This course picks up where CS50 leaves off, diving more deeply into the design and implementation of web apps with Python, JavaScript, and SQL using frameworks like Django, React, and Bootstrap.","Topics include database design, scalability, security, and user experience. Through hands-on projects, you'll learn to write and use APIs, create interactive UIs, and leverage cloud services like GitHub and Heroku. By course's end, you'll emerge with knowledge and experience in principles, languages, and tools that empower you to design and deploy applications on the Internet. Computer Science"
Contract Law: From Trust to Promise to Contract,Harvard University,Intermediate,https://www.edx.org/course/contract-law-from-trust-to-promise-to-contract,"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What makes a contract enforceable? What happens when one party breaks a promise?","Learn about contracts from Harvard Law Professor Charles Fried, one of the world's leading authorities on contract law. Contracts are promises that the law will enforce. But when will the law refuse to honor a promise? What happens when one party does not hold to their part of the deal? This version of the course adds new units on Interpretation, Agency, Partnerships, Corporations, and Government Regulation.We are exposed to contracts in all areas of our life -- agreeing to terms when downloading a new computer program, hiring a contractor to repair a leaking roof, and even ordering a meal at a restaurant. Knowing the principles of contracts is not just a skill needed by lawyers, it illuminates for everyone a crucial institution that we use all the time and generally take for granted.This contract law course, with new materials and updated case examples, is designed to introduce the range of issues that arise when entering and enforcing contracts. It will provide an introduction to what a contract is and also analyze the purpose and significance of contracts. Then, it will discuss the intent to create legal relations, legality and morality, and the distinction between gifts and bargains. The course also investigates common pitfalls: one-sided promises, mistake, fraud, and frustration. With the knowledge of what makes contracts and how they can go wrong, Professor Fried will discuss remedies and specific performance. Finally, Professor Fried will introduce how contracts can create rights for third parties.The course's instructor, Charles Fried, has been teaching at Harvard Law School for more than 50 years and has written extensively on contracts. Not only is Professor Fried a leading authority on contract law, but he also utilizes a story-telling approach to explaining the topic, which creates a unique and interesting class experience. Business & Management"
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Harvard University,Beginner,https://www.edx.org/course/fundamentals-of-neuroscience-part-1-the-electrical,Learn how electricity makes the neurons in your brain tick.,"Fundamentals of Neuroscience is a three-courseseries that explores the structure and function of the nervous system—from the inner workings of a single nerve cell to the staggering complexity of the brain and the social interactions they enable. In this first course, you'll learn how individual neurons use electricity to transmit information. You'll build a neuron, piece by piece, using interactive simulations, then travel around Harvard's campus, where you'll see the inner workings of a lab and learn how to conduct DIY neuroscience experiments on your own. Join us as we study the electrical properties in individual neurons, building a foundation for understanding the function of the entire nervous system. Biology & Life Sciences"
Justice,Harvard University,Beginner,https://www.edx.org/course/justice-2,This introduction to moral and political philosophy is one of the most popular courses taught at Harvard College.,"Taught by lauded Harvard professor Michael Sandel, Justice explores critical analysis of classical and contemporary theories of justice, including discussion of present-day applications. Topics include affirmative action, income distribution, same-sex marriage, the role of markets, debates about rights (human rights and property rights), arguments for and against equality, dilemmas of loyalty in public and private life. The course invites learners to subject their own views on these controversies to critical examination.The principal readings for the course are texts by Aristotle, John Locke, Immanuel Kant, John Stuart Mill, and John Rawls. Other assigned readings include writings by contemporary philosophers, court cases, and articles about political controversies that raise philosophical questions. Humanities"
Data Science: Machine Learning,Harvard University,Beginner,https://www.edx.org/course/data-science-machine-learning,Build a movie recommendation system and learn the science behind one of the most popular and successful data science techniques.,"Perhaps the most popular data science methodologies come from machine learning. What distinguishes machine learning from other computer guided decision processes is that it builds prediction algorithms using data. Some of the most popular products that use machine learning include the handwriting readers implemented by the postal service, speech recognition, movie recommendation systems, and spam detectors. In this course,part ofourProfessional Certificate Program in Data Science, you will learn popular machine learning algorithms, principal component analysis, and regularization by building a movie recommendation system. You will learn about training data, and how to use a set of data to discover potentially predictive relationships. As you build the movie recommendation system, you will learn how to train algorithms using training data so you can predict the outcome for future datasets. You will also learn about overtraining and techniques to avoid it such as cross-validation. All of these skills are fundamental to machine learning. Data Analysis & Statistics"
Child Protection: Children's Rights in Theory and Practice,Harvard University,Beginner,https://www.edx.org/course/child-protection-childrens-rights-in-theory-and-pr,"Learn how to protect children from violence, exploitation, and neglect through law, policy, and practice in a human rights framework.","Across the world, children are at riskfrom violence, abuse, exploitation, and neglect. Conflict and natural disasters have forced millions to flee their homes and confront the dangers of migration and displacement. Commercial sexual exploitation and trafficking, child labor, and child marriage are problems in many countries. At-risk children and adolescents need their rights enforcedif we are to protect them from harm and to ensure that they develop to their full potential. Led by Jacqueline Bhabha, Research Director of the Harvard FXB Center for Health and Human Rights, this course will teach you the causes and consequences of child protection failures. You will consider the strategies, international laws, standards, and resources required to protect all children. You will be able to link legal frameworks and child-rights approaches to the work of policymakers, lawyers, health workers, educators, law enforcement, and social workers. Learners will come to understand how they can ensure the protection of children and apply child protection strategies to their own work. Join Harvard faculty, practitioners, and a global community of learners to master a child-centered systems approach to preventing and responding to violence, exploitation, and abuse against children. Social Sciences"
IELTS Academic Test Preparation,The University of Queensland,Beginner,https://www.edx.org/course/ielts-academic-test-preparation,"Prepare for the IELTS Academic tests in this comprehensive, self-paced course covering listening, speaking, reading and writing.","IELTS is the world's most popular English language test for those wanting to study in higher education in an English-speaking country.This IELTS course will prepare you to take the IELTS Academic tests with confidence. You will have immediate access to over 80 hours of interactive practice materials covering each of the four skills: listening, speaking, reading and writing.This innovative preparation course has been designed and written by experienced English teaching professionals from The University of Queensland, an IELTS testing centre and one of the world's leading centres of learning. All of the course writers have extensive experience enabling students to reach their academic IELTS goal of entering a university where English is the primary language.Each section of this course includes engaging multi-media presentations reviewing key test-taking skills, strategies and techniques. These are accompanied by a wide variety of authentic IELTS-style exercises and interactive activities that provide focused practice of the skills, strategies and techniques that you need to perform at your best.In the new release of this IELTS preparation course, you will find a number of enhancements to an already-successful formula. The course appears with new videos and improvements to the explanation of answers as well as a number of new and engaging practice activities. Significantly, we have responded to requests from existing users to offer more comprehensive feedback on your writing using several new features.As the course is self-paced, you can complete all of the course units in sequence, or only select the areas you want to focus on to prepare for the IELTS Academic tests. In completing this course, you will feel fully prepared to complete the IELTS Academic tests.Students who select Verified enrolment in this course will have access to additional materials provided by the IELTSx course team. Communication"
The Architectural Imagination,Harvard University,Beginner,https://www.edx.org/course/the-architectural-imagination,Learn fundamental principles of architecture — as an academic subject or a professional career — by studying some of history’s most important buildings.,"Architecture engages a culture’s deepest social values and expresses them in material, aesthetic form. This course will teach you how to understand architecture as both cultural expression and technical achievement. Vivid analyses of exemplary buildings, and hands-on exercises in drawing and modeling, will bring you closer to the work of architects and historians.The first part of the course introduces the idea of the architectural imagination. Perspective drawing and architectural typology are explored and you will be introduced to some of the challenges in writing architectural history.Then we address technology as a component of architecture. You will discover ways that innovative technology can enable and promote new aesthetic experiences, or disrupt age-old traditions. Technological advances changed what could be built, and even what could even be thought of as architecture.Finally, we'll confront architecture’s complex relationship to its social and historical contexts and its audiences, achievements, and aspirations. You will learn about architecture’s power of representation and see how it can produce collective meaning and memory.Architecture is one of the most complexly negotiated and globally recognized cultural practices, both as an academic subject and a professional career. Its production involves all of the technical, aesthetic, political, and economic issues at play within a given society. Join us as we examine how architecture engages, mediates, and expresses a culture’s complex aspirations.This course is eligible for American Institute of Architects (AIA) continuing education units (CEUs). Enroll in the course to learn more about options for earning credit. Architecture"
