Name,marketcap,earnings,employeeCount,OperatingMargin,PERatio,Revenue,country
Huya,967319360,-6103450,2075,-34.7681,10.973,1755472747,China
Keywords Studios,2125497538,58765600,7400,1013.08,7478.3,580067950,Ireland
KLab,135517136,-24071200,0,-1126.24,-4.59494,213730942,Japan
Koei Tecmo,4904237020,286464000,0,4468.53,20.8516,641069954,Japan
Konami Holdings,7728493186,499832000,4982,1891.58,15.963,2642404071,Japan
Krafton,9371475697,885671000,1487,5364.04,13.5374,1651127316,South Korea
Marvelous,301051843,47522000,582,1954.34,10.5208,243161457,Japan
Microsoft,1.82855E+12,84754000000,181000,4401.5,25.3358,1.92557E+11,United States
Mixi,1166140745,167772000,1168,1666.41,8.78453,1006787371,Japan
Nacon,517997334,30559500,700,1517.36,24,201398641,France
Nazara Technologies,476337200,4193680,0,676.947,120.917,61949879,India
NCsoft,6518560197,1002590000,0,4583.83,17.9383,2187239109,South Korea
Neowiz Games,413029801,0,0,0,0,0,South Korea
NetEase,70582460416,2538860000,28239,1873.27,26.6878,13553078918,China
Netmarble,4612905547,212466000,0,976.538,59.3061,2175712305,South Korea
Nexon,19250699135,1168310000,0,4863.45,16.7786,2402217692,Japan
Nexters,1253816832,-123256000,661,-2839.39,-8.19387,434094000,Cyprus
Nintendo,48365939334,6022310000,6574,4048.52,12.0785,14875313016,Japan
Paradox Interactive,1827856022,47011200,742,2687.26,55.7419,174940986,Sweden
Pearl Abyss,567673846,0,0,,0,0,South Korea
People Can Fly,333880316,16585000,281,3635.1,25.4091,45624454,Poland
Perfect World Entertainment,3967995887,106448000,5665,811.548,66,1311664606,China
Playstudios,700643776,-14189000,0,-500.791,-41.6729,283332000,United States
Playtech,1825932247,739071000,7000,5413.97,-495.024,1365118913,Isle of Man
Playtika,5526133248,547100000,3800,2087.37,15.4023,2621000000,Israel
PlayWay,470816003,39553600,0,6696.98,15.7522,59061815,Poland
Razer,2575805440,55114000,1526,340.296,54,1619590000,United States
Roblox,15494202368,-513802000,0,-2482.93,-29.0222,2069339000,United States
Rovio Entertainment,582786621,44455300,479,1273.87,16.5532,348977951,Finland
SciPlay,336201664,159400000,511,2600.33,18.1733,613000000,United States
Sea (Garena),39855308800,-1576240000,33800,-1583.33,-20.9292,9955190000,Singapore
Sega Sammy Holdings,3558380392,307653000,7535,1135.4,330.2,2709650435,Japan
Skillz,528288544,-285794000,277,-7256.42,-1.84286,393850000,United States
Sony,1.04563E+11,10806300000,109700,1249.52,13.2588,86483521753,Japan
Square Enix,5116246121,579566000,5550,1840.26,22.3724,3149372304,Japan
Starbreeze,63325463,-8346480,138,-6099.03,-9,13684936,Sweden
Super League Gaming,39922308,-27192000,47,-18559.8,-1.58824,14651000,United States
Take 2 Interactive,19666235392,485926000,6495,1386.46,33.5387,3504800000,United States
Team17,735937610,39486800,262,3232.05,2193.04,122172428,United Kingdom
Ten Square Games,156515751,41661100,147,2593.26,4.47182,160651221,Poland
Tencent,4.72802E+11,39673900000,112771,4580.4,17.7881,86616693449,China
The9,30169856,-75053800,105,-33882.4,-0.327366,22151258,China
Ubisoft,5650569560,227833000,0,1016.85,65.7143,2240590406,France
Unity Software,9993398272,-590918000,4934,-4941.28,-16.0762,1195880000,United States
Versus Systems,11691086,-11545800,0,-153192,-0.823529,753678,Canada
Webzen,500747702,0,0,0,0,0,South Korea
Wemade,868679469,0,0,0,0,0,South Korea
WonderPlanet,30439141,-1386590,0,-498.975,4.03768,27788691,Japan
