,Sr No,Paper Name,Paper Code,GEN,OBC,SC/ST,Year
75,76,Computer Science & Information Technology,CS,25.00,22.50,16.60,2017
76,77,Instrumentation Engineering,IN,34.60,31.10,23.00,2017
77,78,Chemical Engineering,CH,44.30,39.80,29.50,2017
78,79,Biotechnology,BT,38.90,35.00,25.90,2017
79,80,Mechanical Engineering,ME,29.60,26.60,19.70,2016
80,81,Civil Engineering,CE,25.00,22.50,16.60,2016
81,82,Electrical Engineering,EE,25.10,22.50,16.70,2016
82,83,Electronics and Communication Engineering ,EC,25.00,22.50,16.60,2016
83,84,Computer Science and Information Technology,CS,25.00,22.50,16.60,2016
84,85,Instrumentation Engineering ,IN,31.60,28.40,21.00,2016
85,86,Production and Industrial Engineering,PI,26.40,23.70,17.50,2016
86,87,Mechanical Engineering,ME,32.73,29.46,21.82,2015
87,88,Civil Engineering,CE,25.00,22.50,16.67,2015
88,89,Electrical Engineering,EE,25.00,22.50,16.67,2015
89,90,Electronics and Communication Engineering,EC,25.00,22.50,16.67,2015
90,91,Computer Science and Information Technology,CS,25.00,22.50,16.67,2015
91,92,Instrumentation Engineering,IN,25.45,22.90,16.96,2015
92,93,Production and Industrial Engineering,PI,26.82,24.14,17.88,2015
