"","h_a","xG","xGA","npxG","npxGA","deep","deep_allowed","scored","missed","xpts","result","date","wins","draws","loses","pts","npxGD","teamId","ppda_cal","allowed_ppda","matchtime","tot_points","round","tot_goal","tot_con","Referee.x","HS.x","HST.x","HF.x","HC.x","HY.x","HR.x","AS.x","AST.x","AF.x","AC.x","AY.x","AR.x","B365H.x","B365D.x","B365A.x","HtrgPerc","AtrgPerc","matchDay"
"11","a",1.08752,0.909241,1.08752,0.909241,9,0,0,3,1.5136,"l",2019-08-10 15:00:00,0,0,1,0,0.178279,"Southampton",5.5,9.27777777777778,15,0,1,0,3,"G Scott",10,4,6,2,0,0,11,3,12,7,0,0,2.62,3.2,2.75,0.4,0.272727272727273,"Sat"
"12","h",0.670022,0.855516,0.670022,0.855516,7,5,0,3,1.0922,"l",2019-08-10 15:00:00,0,0,1,0,-0.185494,"Watford",9.78571428571429,11.5,15,0,1,0,3,"C Pawson",11,3,15,5,0,0,5,3,11,2,1,0,1.9,3.4,4,0.272727272727273,0.6,"Sat"
"13","a",0.639599,2.57262,0.639599,2.57262,2,15,1,3,0.2794,"l",2019-08-10 17:30:00,0,0,1,0,-1.933021,"Aston Villa",13.4210526315789,5.25,17,0,1,1,3,"C Kavanagh",31,7,13,14,1,0,7,4,9,0,0,0,1.3,5.25,10,0.225806451612903,0.571428571428571,"Sat"
"14","h",2.57262,0.639599,2.57262,0.639599,15,2,3,1,2.5933,"w",2019-08-10 17:30:00,1,0,0,3,1.933021,"Tottenham",5.25,13.4210526315789,17,3,1,3,1,"C Kavanagh",31,7,13,14,1,0,7,4,9,0,0,0,1.3,5.25,10,0.225806451612903,0.571428571428571,"Sat"
"15","a",1.13309,0.380551,1.13309,0.380551,10,1,1,0,2.073,"w",2019-08-11 14:00:00,1,0,0,3,0.752539,"Arsenal",11.0526315789474,13.2068965517241,14,3,1,1,0,"M Atkinson",9,2,12,5,1,0,8,2,7,3,3,0,4.5,3.75,1.72,0.222222222222222,0.25,"Sun"
"16","h",0.543759,0.812949,0.543759,0.812949,7,3,0,0,1.0341,"d",2019-08-11 14:00:00,0,1,0,1,-0.26919,"Leicester",6.43478260869565,18.6666666666667,14,1,1,0,0,"A Marriner",15,1,3,12,0,0,8,2,13,3,2,0,2.2,3.2,3.4,0.0666666666666667,0.25,"Sun"
"17","h",0.380551,1.13309,0.380551,1.13309,1,10,0,1,0.6213,"l",2019-08-11 14:00:00,0,0,1,0,-0.752539,"Newcastle United",13.2068965517241,11.0526315789474,14,0,1,0,1,"M Atkinson",9,2,12,5,1,0,8,2,7,3,3,0,4.5,3.75,1.72,0.222222222222222,0.25,"Sun"
"18","a",0.812949,0.543759,0.812949,0.543759,3,7,0,0,1.584,"d",2019-08-11 14:00:00,0,1,0,1,0.26919,"Wolves",18.6666666666667,6.43478260869565,14,1,1,0,0,"A Marriner",15,1,3,12,0,0,8,2,13,3,2,0,2.2,3.2,3.4,0.0666666666666667,0.25,"Sun"
"19","a",1.09534,2.37442,1.09534,1.61326,4,8,0,4,0.4992,"l",2019-08-11 16:30:00,0,0,1,0,-0.51792,"Chelsea",6.45238095238095,9.06451612903226,16,0,1,0,4,"A Taylor",11,5,15,3,3,0,18,7,13,5,4,0,2.1,3.3,3.5,0.454545454545455,0.388888888888889,"Sun"
"20","h",2.37442,1.09534,1.61326,1.09534,8,4,4,0,2.3226,"w",2019-08-11 16:30:00,1,0,0,3,0.51792,"Man Utd",9.06451612903226,6.45238095238095,16,3,1,4,0,"A Taylor",11,5,15,3,3,0,18,7,13,5,4,0,2.1,3.3,3.5,0.454545454545455,0.388888888888889,"Sun"
"21","h",1.1644,1.39172,1.1644,1.39172,8,4,2,1,1.1533,"w",2019-08-17 12:30:00,1,0,0,3,-0.22732,"Arsenal",5.3125,11.3846153846154,12,6,2,3,1,"M Dean",16,9,13,10,2,0,18,5,11,7,1,0,1.3,5.5,10,0.5625,0.277777777777778,"Sat"
"22","a",1.39172,1.1644,1.39172,1.1644,4,8,1,2,1.5631,"l",2019-08-17 12:30:00,0,0,1,0,0.22732,"Burnley",11.3846153846154,5.3125,12,3,2,4,2,"M Dean",16,9,13,10,2,0,18,5,11,7,1,0,1.3,5.5,10,0.5625,0.277777777777778,"Sat"
"23","h",1.65069,1.62777,1.65069,0.866605,12,9,1,2,1.3698,"l",2019-08-17 15:00:00,0,0,1,0,0.784085,"Aston Villa",13,10.72,15,0,2,2,5,"M Atkinson",22,7,10,10,0,0,12,4,13,5,2,0,2.3,3.4,3.1,0.318181818181818,0.333333333333333,"Sat"
"24","a",1.62777,1.65069,0.866605,1.65069,9,12,2,1,1.3578,"w",2019-08-17 15:00:00,1,0,0,3,-0.784085,"Bournemouth",10.72,13,15,4,2,3,2,"M Atkinson",22,7,10,10,0,0,12,4,13,5,2,0,2.3,3.4,3.1,0.318181818181818,0.333333333333333,"Sat"
"25","h",2.40461,1.00856,2.40461,1.00856,8,4,1,1,2.3339,"d",2019-08-17 15:00:00,0,1,0,1,1.39605,"Brighton",5.48571428571429,8.87096774193548,15,4,2,4,1,"A Taylor",16,4,11,8,0,0,8,3,10,6,2,0,2.55,3.25,2.87,0.25,0.375,"Sat"
"26","h",0.832913,1.17279,0.832913,1.17279,4,3,1,0,1.015,"w",2019-08-17 15:00:00,1,0,0,3,-0.339877,"Everton",8.86363636363636,3.925,15,4,2,1,0,"L Mason",12,2,11,4,2,0,8,2,11,7,3,0,1.72,3.8,4.75,0.166666666666667,0.25,"Sat"
"27","a",1.52022,2.14047,1.52022,2.14047,6,1,2,1,0.9463,"w",2019-08-17 15:00:00,1,0,0,3,-0.62025,"Liverpool",9.42857142857143,12,15,6,2,6,2,"A Marriner",14,3,10,5,2,0,15,6,6,9,1,0,6.5,4.75,1.44,0.214285714285714,0.4,"Sat"
"28","a",0.920429,2.09572,0.920429,2.09572,6,9,1,3,0.565,"l",2019-08-17 15:00:00,0,0,1,0,-1.175291,"Newcastle United",17.5,13.9285714285714,15,0,2,1,4,"S Attwell",15,8,9,7,1,0,10,3,11,5,3,0,2.25,3.3,3.3,0.533333333333333,0.3,"Sat"
"29","h",2.09572,0.920429,2.09572,0.920429,9,6,3,1,2.2375,"w",2019-08-17 15:00:00,1,0,0,3,1.175291,"Norwich",13.9285714285714,17.5,15,3,2,4,5,"S Attwell",15,8,9,7,1,0,10,3,11,5,3,0,2.25,3.3,3.3,0.533333333333333,0.3,"Sat"
"30","h",2.14047,1.52022,2.14047,1.52022,1,6,1,2,1.8259,"l",2019-08-17 15:00:00,0,0,1,0,0.62025,"Southampton",12,9.42857142857143,15,0,2,1,5,"A Marriner",14,3,10,5,2,0,15,6,6,9,1,0,6.5,4.75,1.44,0.214285714285714,0.4,"Sat"
"31","a",1.17279,0.832913,1.17279,0.832913,3,4,0,1,1.663,"l",2019-08-17 15:00:00,0,0,1,0,0.339877,"Watford",3.925,8.86363636363636,15,0,2,0,4,"L Mason",12,2,11,4,2,0,8,2,11,7,3,0,1.72,3.8,4.75,0.166666666666667,0.25,"Sat"
"32","a",1.00856,2.40461,1.00856,2.40461,4,8,1,1,0.4871,"d",2019-08-17 15:00:00,0,1,0,1,-1.39605,"West Ham",8.87096774193548,5.48571428571429,15,1,2,1,6,"A Taylor",16,4,11,8,0,0,8,3,10,6,2,0,2.55,3.25,2.87,0.25,0.375,"Sat"
"33","h",3.20076,0.074542,3.20076,0.074542,10,2,2,2,2.9323,"d",2019-08-17 17:30:00,0,1,0,1,3.126218,"Man City",8.97674418604651,47.1428571428571,17,4,2,7,2,"M Oliver",30,10,14,13,1,0,3,2,4,2,0,0,1.36,5.25,8,0.333333333333333,0.666666666666667,"Sat"
"34","a",0.074542,3.20076,0.074542,3.20076,2,10,2,2,0.0376,"d",2019-08-17 17:30:00,0,1,0,1,-3.126218,"Tottenham",47.1428571428571,8.97674418604651,17,4,2,5,3,"M Oliver",30,10,14,13,1,0,3,2,4,2,0,0,1.36,5.25,8,0.333333333333333,0.666666666666667,"Sat"
"35","a",0.241912,1.84778,0.241912,1.84778,5,2,0,1,0.2206,"l",2019-08-18 14:00:00,0,0,1,0,-1.605868,"Crystal Palace",11.6,11.12,14,1,2,0,1,"D Coote",15,3,16,8,3,0,6,4,11,4,1,0,2.55,3.1,2.9,0.2,0.666666666666667,"Sun"
"36","h",1.84778,0.241912,1.84778,0.241912,2,5,1,0,2.6386,"w",2019-08-18 14:00:00,1,0,0,3,1.605868,"Sheffield United",11.12,11.6,14,4,2,2,1,"D Coote",15,3,16,8,3,0,6,4,11,4,1,0,2.55,3.1,2.9,0.2,0.666666666666667,"Sun"
"37","h",1.22629,0.947941,1.22629,0.947941,4,5,1,1,1.6181,"d",2019-08-18 16:30:00,0,1,0,1,0.278349,"Chelsea",10.5769230769231,6.2972972972973,16,1,2,1,5,"O Langford",14,5,9,4,1,0,12,3,14,5,0,0,1.7,3.75,5,0.357142857142857,0.25,"Sun"
"38","a",0.947941,1.22629,0.947941,1.22629,5,4,1,1,1.0811,"d",2019-08-18 16:30:00,0,1,0,1,-0.278349,"Leicester",6.2972972972973,10.5769230769231,16,2,2,1,1,"O Langford",14,5,9,4,1,0,12,3,14,5,0,0,1.7,3.75,5,0.357142857142857,0.25,"Sun"
"39","a",1.14332,0.307356,0.382148,0.307356,9,5,1,1,2.3024,"d",2019-08-19 20:00:00,0,1,0,1,0.074792,"Man Utd",8.36363636363636,19.95,20,4,2,5,1,"J Moss",6,2,17,4,2,0,9,2,8,6,2,0,3.3,3.3,2.25,0.333333333333333,0.222222222222222,"Mon"
"40","h",0.307356,1.14332,0.307356,0.382148,5,9,1,1,0.4379,"d",2019-08-19 20:00:00,0,1,0,1,-0.074792,"Wolves",19.95,8.36363636363636,20,2,2,1,1,"J Moss",6,2,17,4,2,0,9,2,8,6,2,0,3.3,3.3,2.25,0.333333333333333,0.222222222222222,"Mon"
"41","h",0.855926,1.25668,0.855926,1.25668,6,12,2,0,0.9697,"w",2019-08-23 20:00:00,1,0,0,3,-0.400754,"Aston Villa",13.25,5.40740740740741,20,3,3,4,5,"M Oliver",7,3,10,0,2,0,12,1,18,6,3,0,3.25,3.5,2.15,0.428571428571429,0.0833333333333333,"Fri"
"42","a",1.25668,0.855926,1.25668,0.855926,12,6,0,2,1.7245,"l",2019-08-23 20:00:00,0,0,1,0,0.400754,"Everton",5.40740740740741,13.25,20,4,3,1,2,"M Oliver",7,3,10,0,2,0,12,1,18,6,3,0,3.25,3.5,2.15,0.428571428571429,0.0833333333333333,"Fri"
"43","a",1.89428,1.07904,1.89428,1.07904,12,5,3,2,1.9533,"w",2019-08-24 12:30:00,1,0,0,3,0.81524,"Chelsea",13.7272727272727,10,12,4,3,4,7,"M Atkinson",6,5,9,1,1,0,23,8,9,8,1,0,4.33,3.75,1.8,0.833333333333333,0.347826086956522,"Sat"
"44","h",1.07904,1.89428,1.07904,1.89428,5,12,2,3,0.7872,"l",2019-08-24 12:30:00,0,0,1,0,-0.81524,"Norwich",10,13.7272727272727,12,3,3,6,8,"M Atkinson",6,5,9,1,1,0,23,8,9,8,1,0,4.33,3.75,1.8,0.833333333333333,0.347826086956522,"Sat"
"45","h",0.997711,2.07795,0.997711,2.07795,6,6,0,2,0.5691,"l",2019-08-24 15:00:00,0,0,1,0,-1.080239,"Brighton",9.17391304347826,10.75,15,4,3,4,3,"K Friend",12,3,9,8,1,1,12,4,10,5,3,0,2.4,3.3,3,0.25,0.333333333333333,"Sat"
"46","a",0.676993,2.23561,0.676993,1.47444,2,7,2,1,0.3503,"w",2019-08-24 15:00:00,1,0,0,3,-0.797447,"Crystal Palace",15.2777777777778,6.85714285714286,15,4,3,2,2,"P Tierney",22,3,8,8,2,0,5,3,18,1,4,0,1.33,5.25,9,0.136363636363636,0.6,"Sat"
"47","a",0.704879,0.654318,0.704879,0.654318,9,4,2,1,1.3218,"w",2019-08-24 15:00:00,1,0,0,3,0.0505610000000001,"Leicester",8.94117647058824,11.3913043478261,15,5,3,3,2,"A Madley",8,3,11,7,1,0,10,2,6,4,0,0,3.3,3.3,2.25,0.375,0.2,"Sat"
"48","h",2.23561,0.676993,1.47444,0.676993,7,2,1,2,2.4881,"l",2019-08-24 15:00:00,0,0,1,0,0.797447,"Man Utd",6.85714285714286,15.2777777777778,15,4,3,6,3,"P Tierney",22,3,8,8,2,0,5,3,18,1,4,0,1.33,5.25,9,0.136363636363636,0.6,"Sat"
"49","h",0.654318,0.704879,0.654318,0.704879,4,9,1,2,1.2765,"l",2019-08-24 15:00:00,0,0,1,0,-0.0505610000000001,"Sheffield United",11.3913043478261,8.94117647058824,15,4,3,3,3,"A Madley",8,3,11,7,1,0,10,2,6,4,0,0,3.3,3.3,2.25,0.375,0.2,"Sat"
"50","a",2.07795,0.997711,2.07795,0.997711,6,6,2,0,2.2194,"w",2019-08-24 15:00:00,1,0,0,3,1.080239,"Southampton",10.75,9.17391304347826,15,3,3,3,5,"K Friend",12,3,9,8,1,1,12,4,10,5,3,0,2.4,3.3,3,0.25,0.333333333333333,"Sat"
"51","h",2.29348,3.45768,2.29348,2.69651,20,10,1,3,0.6389,"l",2019-08-24 15:00:00,0,0,1,0,-0.40303,"Watford",9.28571428571429,12.9473684210526,15,0,3,1,7,"C Kavanagh",23,3,12,8,1,0,16,10,11,7,1,0,2.05,3.5,3.5,0.130434782608696,0.625,"Sat"
"52","a",3.45768,2.29348,2.69651,2.29348,10,20,3,1,2.1833,"w",2019-08-24 15:00:00,1,0,0,3,0.40303,"West Ham",12.9473684210526,9.28571428571429,15,4,3,4,7,"C Kavanagh",23,3,12,8,1,0,16,10,11,7,1,0,2.05,3.5,3.5,0.130434782608696,0.625,"Sat"
"53","a",0.985542,2.78821,0.985542,2.02704,7,9,1,3,0.3434,"l",2019-08-24 17:30:00,0,0,1,0,-1.041498,"Arsenal",28.4285714285714,9.78378378378378,17,6,3,4,4,"A Taylor",25,5,8,6,1,0,9,3,5,4,1,0,1.5,4.6,6,0.2,0.333333333333333,"Sat"
"54","h",2.78821,0.985542,2.02704,0.985542,9,7,3,1,2.5205,"w",2019-08-24 17:30:00,1,0,0,3,1.041498,"Liverpool",9.78378378378378,28.4285714285714,17,9,3,9,3,"A Taylor",25,5,8,6,1,0,9,3,5,4,1,0,1.5,4.6,6,0.2,0.333333333333333,"Sat"
"55","h",1.89345,3.12856,1.89345,3.12856,3,17,1,3,0.6611,"l",2019-08-25 14:00:00,0,0,1,0,-1.23511,"Bournemouth",22.9,5.17391304347826,14,4,3,4,5,"A Marriner",10,7,7,4,1,0,19,5,13,5,3,0,15,7.5,1.16,0.7,0.263157894736842,"Sun"
"56","a",3.12856,1.89345,3.12856,1.89345,17,3,3,1,2.1653,"w",2019-08-25 14:00:00,1,0,0,3,1.23511,"Man City",5.17391304347826,22.9,14,7,3,10,3,"A Marriner",10,7,7,4,1,0,19,5,13,5,3,0,15,7.5,1.16,0.7,0.263157894736842,"Sun"
"57","a",1.22762,1.32793,1.22762,0.56676,4,4,1,1,1.2223,"d",2019-08-25 16:30:00,0,1,0,1,0.66086,"Burnley",14.6190476190476,11.8333333333333,16,4,3,5,3,"C Pawson",17,2,9,4,0,0,13,4,11,3,2,0,1.85,3.4,4.5,0.117647058823529,0.307692307692308,"Sun"
"58","a",0.51428,1.25927,0.51428,1.25927,5,8,1,0,0.6756,"w",2019-08-25 16:30:00,1,0,0,3,-0.74499,"Newcastle United",32.3,4.84210526315789,16,3,3,2,4,"M Dean",17,2,10,6,2,0,8,3,5,6,2,0,1.2,6.5,14,0.117647058823529,0.375,"Sun"
"59","h",1.25927,0.51428,1.25927,0.51428,8,5,0,1,2.0469,"l",2019-08-25 16:30:00,0,0,1,0,0.74499,"Tottenham",4.84210526315789,32.3,16,4,3,5,4,"M Dean",17,2,10,6,2,0,8,3,5,6,2,0,1.2,6.5,14,0.117647058823529,0.375,"Sun"
"60","h",1.32793,1.22762,0.56676,1.22762,4,4,1,1,1.4707,"d",2019-08-25 16:30:00,0,1,0,1,-0.66086,"Wolves",11.8333333333333,14.6190476190476,16,3,3,2,2,"C Pawson",17,2,9,4,0,0,13,4,11,3,2,0,1.85,3.4,4.5,0.117647058823529,0.307692307692308,"Sun"
"61","a",1.90356,0.769616,1.90356,0.769616,13,6,1,1,2.202,"d",2019-08-31 12:30:00,0,1,0,1,1.133944,"Man Utd",13.5714285714286,6.66666666666667,12,5,4,7,4,"M Dean",10,2,17,2,1,1,21,8,7,3,2,0,3.8,3.3,2.05,0.2,0.380952380952381,"Sat"
"62","h",0.769616,1.90356,0.769616,1.90356,6,13,1,1,0.5769,"d",2019-08-31 12:30:00,0,1,0,1,-1.133944,"Southampton",6.66666666666667,13.5714285714286,12,4,4,4,6,"M Dean",10,2,17,2,1,1,21,8,7,3,2,0,3.8,3.3,2.05,0.2,0.380952380952381,"Sat"
"63","a",0.30354,1.41394,0.30354,1.41394,5,13,0,1,0.4799,"l",2019-08-31 15:00:00,0,0,1,0,-1.1104,"Aston Villa",9.04,9,15,3,4,4,6,"K Friend",22,5,15,13,2,0,10,2,16,2,4,1,2.15,3.3,3.5,0.227272727272727,0.2,"Sat"
"64","a",0.554726,2.23766,0.554726,2.23766,7,10,1,3,0.2616,"l",2019-08-31 15:00:00,0,0,1,0,-1.682934,"Bournemouth",10,6.91428571428571,15,4,4,5,8,"P Bankes",13,5,9,4,1,0,8,2,11,5,3,0,1.7,4,4.75,0.384615384615385,0.25,"Sat"
"65","a",0.861035,2.30818,0.861035,2.30818,7,16,0,4,0.4379,"l",2019-08-31 15:00:00,0,0,1,0,-1.447145,"Brighton",21.625,11.4375,15,4,4,4,7,"J Moss",15,6,10,8,1,0,6,2,6,1,1,0,1.08,10,26,0.4,0.333333333333333,"Sat"
"66","h",2.30579,1.04649,2.30579,1.04649,4,5,2,2,2.2781,"d",2019-08-31 15:00:00,0,1,0,1,1.2593,"Chelsea",14.8823529411765,20.9166666666667,15,5,4,6,9,"S Attwell",13,5,6,3,0,0,8,2,11,4,1,0,1.36,4.75,9,0.384615384615385,0.25,"Sat"
"67","h",1.41394,0.30354,1.41394,0.30354,13,5,1,0,2.2757,"w",2019-08-31 15:00:00,1,0,0,3,1.1104,"Crystal Palace",9,9.04,15,7,4,3,2,"K Friend",22,5,15,13,2,0,10,2,16,2,4,1,2.15,3.3,3.5,0.227272727272727,0.2,"Sat"
"68","h",2.23766,0.554726,2.23766,0.554726,10,7,3,1,2.6031,"w",2019-08-31 15:00:00,1,0,0,3,1.682934,"Leicester",6.91428571428571,10,15,8,4,6,3,"P Bankes",13,5,9,4,1,0,8,2,11,5,3,0,1.7,4,4.75,0.384615384615385,0.25,"Sat"
"69","h",2.30818,0.861035,2.30818,0.861035,16,7,4,0,2.3849,"w",2019-08-31 15:00:00,1,0,0,3,1.447145,"Man City",11.4375,21.625,15,10,4,14,3,"J Moss",15,6,10,8,1,0,6,2,6,1,1,0,1.08,10,26,0.4,0.333333333333333,"Sat"
"70","h",1.04131,1.1068,1.04131,1.1068,2,6,1,1,1.3018,"d",2019-08-31 15:00:00,0,1,0,1,-0.06549,"Newcastle United",19.6,12,15,4,4,3,5,"G Scott",13,5,5,6,2,0,13,3,11,5,3,0,2.5,3.25,2.87,0.384615384615385,0.230769230769231,"Sat"
"71","a",1.1674,2.20657,1.1674,2.20657,5,12,0,2,0.6576,"l",2019-08-31 15:00:00,0,0,1,0,-1.03917,"Norwich",8.74074074074074,7.84210526315789,15,3,4,6,10,"P Tierney",18,8,16,8,2,0,8,3,10,2,1,0,1.85,3.9,3.9,0.444444444444444,0.375,"Sat"
"72","a",1.04649,2.30579,1.04649,2.30579,5,4,2,2,0.527,"d",2019-08-31 15:00:00,0,1,0,1,-1.2593,"Sheffield United",20.9166666666667,14.8823529411765,15,5,4,5,5,"S Attwell",13,5,6,3,0,0,8,2,11,4,1,0,1.36,4.75,9,0.384615384615385,0.25,"Sat"
"73","a",1.1068,1.04131,1.1068,1.04131,6,2,1,1,1.3861,"d",2019-08-31 15:00:00,0,1,0,1,0.06549,"Watford",12,19.6,15,1,4,2,8,"G Scott",13,5,5,6,2,0,13,3,11,5,3,0,2.5,3.25,2.87,0.384615384615385,0.230769230769231,"Sat"
"74","h",2.20657,1.1674,2.20657,1.1674,12,5,2,0,2.1159,"w",2019-08-31 15:00:00,1,0,0,3,1.03917,"West Ham",7.84210526315789,8.74074074074074,15,7,4,6,7,"P Tierney",18,8,16,8,2,0,8,3,10,2,1,0,1.85,3.9,3.9,0.444444444444444,0.375,"Sat"
"75","h",0.61739,1.20057,0.61739,1.20057,0,11,0,3,0.8487,"l",2019-08-31 17:30:00,0,0,1,0,-0.58318,"Burnley",16.2631578947368,6.20833333333333,17,4,4,5,6,"C Kavanagh",7,2,10,6,0,0,15,7,16,4,0,0,9.5,5.5,1.3,0.285714285714286,0.466666666666667,"Sat"
"76","a",1.20057,0.61739,1.20057,0.61739,11,0,3,0,1.8342,"w",2019-08-31 17:30:00,1,0,0,3,0.58318,"Liverpool",6.20833333333333,16.2631578947368,17,12,4,12,3,"C Kavanagh",7,2,10,6,0,0,15,7,16,4,0,0,9.5,5.5,1.3,0.285714285714286,0.466666666666667,"Sat"
"77","h",1.48842,2.00172,1.48842,2.00172,4,5,3,2,0.9824,"w",2019-09-01 14:00:00,1,0,0,3,-0.5133,"Everton",5.33333333333333,20.1666666666667,14,7,4,4,4,"A Taylor",15,6,12,7,1,0,8,5,12,7,4,1,2.2,3.25,3.5,0.4,0.625,"Sun"
"78","a",2.00172,1.48842,2.00172,1.48842,5,4,2,3,1.7717,"l",2019-09-01 14:00:00,0,0,1,0,0.5133,"Wolves",20.1666666666667,5.33333333333333,14,3,4,4,5,"A Taylor",15,6,12,7,1,0,8,5,12,7,4,1,2.2,3.25,3.5,0.4,0.625,"Sun"
"79","h",1.92509,1.95514,1.92509,1.19397,12,6,2,2,1.2919,"d",2019-09-01 16:30:00,0,1,0,1,0.73112,"Arsenal",6.78787878787879,12.1764705882353,16,7,4,6,6,"M Atkinson",26,8,13,11,3,0,13,9,19,6,5,0,2.37,3.6,2.8,0.307692307692308,0.692307692307692,"Sun"
"80","a",1.95514,1.92509,1.19397,1.92509,6,12,2,2,1.4545,"d",2019-09-01 16:30:00,0,1,0,1,-0.73112,"Tottenham",12.1764705882353,6.78787878787879,16,5,4,7,6,"M Atkinson",26,8,13,11,3,0,13,9,19,6,5,0,2.37,3.6,2.8,0.307692307692308,0.692307692307692,"Sun"
"81","h",2.93281,0.291073,2.93281,0.291073,19,4,3,1,2.882,"w",2019-09-14 12:30:00,1,0,0,3,2.641737,"Liverpool",6.95833333333333,41.9,11,15,5,15,4,"A Marriner",21,9,5,10,0,0,8,1,4,1,0,0,1.14,8.5,17,0.428571428571429,0.125,"Sat"
"82","a",0.291073,2.93281,0.291073,2.93281,4,19,1,3,0.0716,"l",2019-09-14 12:30:00,0,0,1,0,-2.641737,"Newcastle United",41.9,6.95833333333333,11,4,5,4,8,"A Marriner",21,9,5,10,0,0,8,1,4,1,0,0,1.14,8.5,17,0.428571428571429,0.125,"Sat"
"83","h",1.68545,0.341654,1.68545,0.341654,13,4,1,1,2.4816,"d",2019-09-14 15:00:00,0,1,0,1,1.343796,"Brighton",3.96428571428571,12.1,14,5,5,5,8,"M Oliver",14,5,13,3,0,0,7,1,7,6,2,0,2.15,3.3,3.5,0.357142857142857,0.142857142857143,"Sat"
"84","a",0.341654,1.68545,0.341654,1.68545,4,13,1,1,0.3291,"d",2019-09-14 15:00:00,0,1,0,1,-1.343796,"Burnley",12.1,3.96428571428571,14,5,5,6,7,"M Oliver",14,5,13,3,0,0,7,1,7,6,2,0,2.15,3.3,3.5,0.357142857142857,0.142857142857143,"Sat"
"85","a",3.06799,1.49359,3.06799,1.49359,6,5,5,2,2.4323,"w",2019-09-14 15:00:00,1,0,0,3,1.5744,"Chelsea",7.1,13.1071428571429,14,8,5,11,11,"G Scott",11,4,8,7,1,0,15,6,11,5,2,0,2.9,3.3,2.5,0.363636363636364,0.4,"Sat"
