population_in_2023,population_in_2022,city,country,population_growthRate,type
1381498,1365580,Bucaramanga,Colombia,0.0117,w
1381005,1370131,Copenhagen,Denmark,0.0079,w
1379377,1346126,Dongying,China,0.0247,w
1378077,1322063,Liuan,China,0.0424,w
1377572,1339649,Nanchong,China,0.0283,w
1376453,1345424,Zunyi,China,0.0231,w
1374076,1377838,San Diego,CA,-0.0027,us
1373523,1310870,Liuyang,China,0.0478,w
1371998,1343882,Zhanjiang,China,0.0209,w
1369066,1354431,Taizhong,Taiwan,0.0108,w
1366783,1355522,Adelaide,Australia,0.0083,w
1365352,1349905,Suweon,South Korea,0.0114,w
1363510,1350505,Maceio,Brazil,0.0096,w
1358871,1341605,Samut Prakan,Thailand,0.0129,w
1354174,1333404,Qom,Iran,0.0156,w
1354025,1318236,Shiyan,China,0.0271,w
1351383,1326012,Mianyang Sichuan,China,0.0191,w
1348664,1317085,Bareilly,India,0.024,w
1348521,1334194,Joinville,Brazil,0.0107,w
1347240,1318826,Antalya,Turkey,0.0215,w
1337786,1327762,Helsinki,Finland,0.0075,w
1336387,1294612,Pointe-Noire,Republic of the Congo,0.0323,w
1329291,1304688,Ad-Dammam,Saudi Arabia,0.0189,w
1329284,1264636,Uyo,Nigeria,0.0511,w
1324652,1320347,Porto,Portugal,0.0033,w
1323339,1318085,Prague,Czech Republic,0.004,w
1323174,1288451,Yingkou,China,0.0269,w
1322916,1281380,Tengzhou,China,0.0324,w
1314178,1277242,Tanger,Morocco,0.0289,w
1312369,1278555,Aligarh,India,0.0264,w
1310754,1245444,Mwanza,Tanzania,0.0524,w
1310433,1266746,Suzhou,China,0.0345,w
1309168,1272145,Freetown,Sierra Leone,0.0291,w
1304565,1294781,Fushun Liaoning,China,0.0076,w
1303900,1272048,Maoming,China,0.025,w
1303355,1271197,Pekan Baru,Indonesia,0.0253,w
1301740,1267139,Moradabad,India,0.0273,w
1295928,1280550,Port Elizabeth,South Africa,0.012,w
1294486,1277547,Florianopolis,Brazil,0.0133,w
1293619,1277613,Ahvaz,Iran,0.0125,w
1291884,1286418,Kazan,Russia,0.0042,w
1291280,1253779,Astana,Kazakhstan,0.0299,w
1290039,1267317,Fes,Morocco,0.0179,w
1288245,1261097,Mysore,India,0.0215,w
1288114,1286789,Sofia,Bulgaria,0.001,w
1282479,1240240,Jieyang,China,0.0341,w
1281790,1246135,Ruian,China,0.0286,w
1276316,1222325,Lilongwe,Malawi,0.0442,w
1273325,1254382,San Luis Potosi,Mexico,0.0151,w
1270172,1255963,Dublin,Ireland,0.0113,w
1266034,1244528,Durg-Bhilainagar,India,0.0173,w
1261077,1230134,Baoji,China,0.0252,w
1259404,1273848,Dallas,TX,-0.0113,us
1257941,1215822,Jinhua,China,0.0346,w
1257642,1226033,Bhubaneswar,India,0.0258,w
1256581,1225598,Pingdingshan Henan,China,0.0253,w
1254519,1231664,Zhuzhou,China,0.0186,w
1254192,1240714,Barquisimeto,Venezuela,0.0109,w
1254160,1223886,Puning,China,0.0247,w
1252890,1188736,Abomey-Calavi,Benin,0.054,w
1252414,1223975,Chifeng,China,0.0232,w
1251332,1252917,Nizhniy Novgorod,Russia,-0.0013,w
1250668,1225251,Zhenjiang Jiangsu,China,0.0207,w
1248783,1190367,Bukavu,DR Congo,0.0491,w
1247551,1208296,Kigali,Rwanda,0.0325,w
1242945,1229520,Maracay,Venezuela,0.0109,w
1240926,1237272,Chelyabinsk,Russia,0.003,w
1239186,1176550,Nnewi,Nigeria,0.0532,w
1236271,1205931,Huaibei,China,0.0252,w
1232447,1198035,Islamabad,Pakistan,0.0287,w
1231445,1207036,Bogor,Indonesia,0.0202,w
1230644,1183380,Liupanshui,China,0.0399,w
1226427,1209458,Mendoza,Argentina,0.014,w
1224629,1197901,Nanyang Henan,China,0.0223,w
1223912,1197437,Xiangtan Hunan,China,0.0221,w
1221960,1200947,Tiruchirappalli,India,0.0175,w
1220634,1188374,Da Nang,Vietnam,0.0271,w
1220603,1201142,Merida,Mexico,0.0162,w
1216852,1196384,Benxi,China,0.0171,w
1215376,1191977,Jinzhou,China,0.0196,w
1214775,1191299,Chandigarh,India,0.0197,w
1213778,1164908,Tasikmalaya,Indonesia,0.042,w
1213348,1197931,Chiang Mai,Thailand,0.0129,w
1207275,1162776,Pizhou,China,0.0383,w
1206767,1139265,Bujumbura,Burundi,0.0593,w
1200222,1163766,Binzhou,China,0.0313,w
1197935,1149350,Luohe,China,0.0423,w
1196841,1175605,Guilin,China,0.0181,w
1190348,1159635,Quetta,Pakistan,0.0265,w
1188803,1150116,Aba,Nigeria,0.0336,w
1187398,1158048,Kaduna,Nigeria,0.0253,w
1183292,1175830,Tripoli,Libya,0.0063,w
1183042,1117707,Xiongan,China,0.0585,w
1181194,1158368,Hubli-Dharwad,India,0.0197,w
1180745,1181049,Omsk,Russia,-0.0003,w
1178477,1159544,Mexicali,Mexico,0.0163,w
1176330,1154876,Guwahati,India,0.0186,w
1175989,1119608,Bazhong,China,0.0504,w
1174429,1163950,Haifa,Israel,0.009,w
1174025,1165898,Amsterdam,Netherlands,0.007,w
1171689,1133891,Saharanpur,India,0.0333,w
1169953,1146334,Salem,India,0.0206,w
1169864,1135548,Yueqing,China,0.0302,w
1166792,1158761,Krasnoyarsk,Russia,0.0069,w
1162793,1138960,Maputo,Mozambique,0.0209,w
1162242,1138359,Bandar Lampung,Indonesia,0.021,w
1161448,1143281,Aguascalientes,Mexico,0.0159,w
1155732,1157631,Samara,Russia,-0.0016,w
1155073,1125804,Shimkent,Kazakhstan,0.026,w
1144799,1142399,Ufa,Russia,0.0021,w
1143715,1136992,Cologne,Germany,0.0059,w
1140599,1120346,Xinxiang,China,0.0181,w
1138854,1138025,Rostov-on-Don,Russia,0.0007,w
1135671,1120784,Yongin,South Korea,0.0133,w
1133629,1117176,Zaozhuang,China,0.0147,w
1131361,1101419,Wenling,China,0.0272,w
1128646,1074309,Bobo-Dioulasso,Burkina Faso,0.0506,w
1127198,1079377,Hargeysa,Somalia,0.0443,w
1126249,1091949,Siliguri,India,0.0314,w
1123843,1107476,Cuernavaca,Mexico,0.0148,w
1120694,1093520,Fuyang,China,0.0249,w
1120675,1098267,Panjin,China,0.0204,w
1118826,1096068,Jalandhar,India,0.0208,w
1116295,1096429,Chihuahua,Mexico,0.0181,w
1116052,1110681,San Salvador,El Salvador,0.0048,w
1112680,1083048,Ma'anshan,China,0.0274,w
1110824,1078342,Bien Hoa,Vietnam,0.0301,w
1106736,1081383,Shangrao,China,0.0234,w
1105283,1094880,Goyang,South Korea,0.0095,w
1104742,1082214,Bishkek,Kyrgyzstan,0.0208,w
1103202,1077519,Zhaoqing,China,0.0238,w
1100324,1071258,Samarinda,Indonesia,0.0271,w
1100271,1065779,Fuzhou Jiangxi,China,0.0324,w
1096937,1078994,Diyarbakir,Turkey,0.0166,w
1094813,1092028,Yerevan,Armenia,0.0026,w
1094510,1083094,Managua,Nicaragua,0.0105,w
1093308,1041166,Ikorodu,Nigeria,0.0501,w
1089886,1072008,Jingzhou Hubei,China,0.0167,w
1087599,1079004,Cartagena,Colombia,0.008,w
1087409,1055794,Leshan,China,0.0299,w
1086214,1065341,Johor Bahru,Malaysia,0.0196,w
1085992,1071062,Oslo,Norway,0.0139,w
1084969,1046252,Chenzhou,China,0.037,w
1084623,1066369,Kermanshah,Iran,0.0171,w
1082245,1080349,Tbilisi,Georgia,0.0018,w
1081768,1078878,Perm,Russia,0.0027,w
1080808,1077179,Voronezh,Russia,0.0034,w
1080680,1050796,Dezhou,China,0.0284,w
1079670,1044911,Aden,Yemen,0.0333,w
1079120,1073395,Lille,France,0.0053,w
1078630,1029428,Yichun Jiangxi,China,0.0478,w
1077929,1034917,Sekondi Takoradi,Ghana,0.0416,w
1077108,1023575,Tshikapa,DR Congo,0.0523,w
1074884,1051780,Kirkuk,Iraq,0.022,w
1072666,1034872,Asmara,Eritrea,0.0365,w
1070322,1054911,Solapur,India,0.0146,w
1069402,1052637,Mersin,Turkey,0.0159,w
1067651,1042111,Huzhou,China,0.0245,w
1063876,1033680,Xuchang,China,0.0292,w
1060460,1049246,Toulouse,France,0.0107,w
1059902,1022366,Changshu,China,0.0367,w
1057215,1052622,Antwerp,Belgium,0.0044,w
1056986,1042445,Aracaju,Brazil,0.0139,w
1056952,1012312,Nyala,Sudan,0.0441,w
