Year,State,Income Level,Percent of Total,Number of Households
2009,California,"$60,000 to $74,999",0.1004,1223969
2009,California,"$75,000 to $99,999",0.1284,1564337
2009,California,"$100,000 to $124,999",0.0908,1106644
2009,California,"$125,000 to $149,999",0.0583,710490
2009,California,"$150,000 to $199,999",0.0619,754969
2009,California,"$200,000 or more",0.063,767989
2009,California,"Less than $10,000",0.0532,648213
2009,Colorado,"$10,000 to $14,999",0.0467,87257
2009,Colorado,"$15,000 to $19,999",0.0458,85585
2009,Colorado,"$20,000 to $24,999",0.0495,92493
2009,Colorado,"$25,000 to $29,999",0.0495,92568
2009,Colorado,"$30,000 to $34,999",0.0489,91439
2009,Colorado,"$35,000 to $39,999",0.0473,88459
2009,Colorado,"$40,000 to $44,999",0.0496,92789
2009,Colorado,"$45,000 to $49,999",0.0443,82777
2009,Colorado,"$50,000 to $59,999",0.0832,155616
2009,Colorado,"$60,000 to $74,999",0.1087,203109
2009,Colorado,"$75,000 to $99,999",0.1309,244601
2009,Colorado,"$100,000 to $124,999",0.0873,163201
2009,Colorado,"$125,000 to $149,999",0.0513,95908
2009,Colorado,"$150,000 to $199,999",0.049,91592
2009,Colorado,"$200,000 or more",0.0434,81105
2009,Colorado,"Less than $10,000",0.0646,120777
2009,Connecticut,"$10,000 to $14,999",0.0414,54931
2009,Connecticut,"$15,000 to $19,999",0.0402,53304
2009,Connecticut,"$20,000 to $24,999",0.0397,52666
2009,Connecticut,"$25,000 to $29,999",0.0398,52832
2009,Connecticut,"$30,000 to $34,999",0.04,53092
2009,Connecticut,"$35,000 to $39,999",0.0383,50834
2009,Connecticut,"$40,000 to $44,999",0.0401,53267
2009,Connecticut,"$45,000 to $49,999",0.0371,49307
2009,Connecticut,"$50,000 to $59,999",0.0741,98349
2009,Connecticut,"$60,000 to $74,999",0.1015,134778
2009,Connecticut,"$75,000 to $99,999",0.14,185880
2009,Connecticut,"$100,000 to $124,999",0.1026,136220
2009,Connecticut,"$125,000 to $149,999",0.0637,84582
2009,Connecticut,"$150,000 to $199,999",0.068,90279
2009,Connecticut,"$200,000 or more",0.0784,104010
2009,Connecticut,"Less than $10,000",0.0551,73151
2009,Delaware,"$10,000 to $14,999",0.0407,13244
2009,Delaware,"$15,000 to $19,999",0.0454,14768
2009,Delaware,"$20,000 to $24,999",0.0507,16476
2009,Delaware,"$25,000 to $29,999",0.0486,15795
2009,Delaware,"$30,000 to $34,999",0.0499,16221
2009,Delaware,"$35,000 to $39,999",0.0456,14816
2009,Delaware,"$40,000 to $44,999",0.0495,16107
2009,Delaware,"$45,000 to $49,999",0.0437,14194
2009,Delaware,"$50,000 to $59,999",0.0896,29139
2009,Delaware,"$60,000 to $74,999",0.11,35756
2009,Delaware,"$75,000 to $99,999",0.1401,45565
2009,Delaware,"$100,000 to $124,999",0.09,29266
2009,Delaware,"$125,000 to $149,999",0.0525,17080
2009,Delaware,"$150,000 to $199,999",0.0495,16081
2009,Delaware,"$200,000 or more",0.0384,12494
2009,Delaware,"Less than $10,000",0.0558,18158
2009,District of Columbia,"$10,000 to $14,999",0.0486,12177
2009,District of Columbia,"$15,000 to $19,999",0.0441,11060
2009,District of Columbia,"$20,000 to $24,999",0.0407,10214
2009,District of Columbia,"$25,000 to $29,999",0.0414,10382
2009,District of Columbia,"$30,000 to $34,999",0.0453,11370
2009,District of Columbia,"$35,000 to $39,999",0.0392,9840
2009,District of Columbia,"$40,000 to $44,999",0.0457,11457
2009,District of Columbia,"$45,000 to $49,999",0.0349,8750
2009,District of Columbia,"$50,000 to $59,999",0.0707,17726
2009,District of Columbia,"$60,000 to $74,999",0.0856,21462
2009,District of Columbia,"$75,000 to $99,999",0.1061,26606
2009,District of Columbia,"$100,000 to $124,999",0.0715,17917
2009,District of Columbia,"$125,000 to $149,999",0.055,13789
2009,District of Columbia,"$150,000 to $199,999",0.0667,16712
2009,District of Columbia,"$200,000 or more",0.094,23557
2009,District of Columbia,"Less than $10,000",0.1105,27704
2009,Florida,"$10,000 to $14,999",0.0569,402848
2009,Florida,"$15,000 to $19,999",0.0575,406638
2009,Florida,"$20,000 to $24,999",0.0608,430392
2009,Florida,"$25,000 to $29,999",0.0606,428814
2009,Florida,"$30,000 to $34,999",0.0587,415526
2009,Florida,"$35,000 to $39,999",0.0562,397946
2009,Florida,"$40,000 to $44,999",0.0538,381065
2009,Florida,"$45,000 to $49,999",0.0472,333971
2009,Florida,"$50,000 to $59,999",0.0866,613049
2009,Florida,"$60,000 to $74,999",0.1035,732208
2009,Florida,"$75,000 to $99,999",0.1139,806311
2009,Florida,"$100,000 to $124,999",0.0672,475532
2009,Florida,"$125,000 to $149,999",0.0362,255994
2009,Florida,"$150,000 to $199,999",0.0334,236106
2009,Florida,"$200,000 or more",0.0351,248229
2009,Florida,"Less than $10,000",0.0723,511910
2009,Georgia,"$10,000 to $14,999",0.0575,196371
2009,Georgia,"$15,000 to $19,999",0.0536,183192
2009,Georgia,"$20,000 to $24,999",0.0548,187193
2009,Georgia,"$25,000 to $29,999",0.0542,185051
2009,Georgia,"$30,000 to $34,999",0.0547,187002
2009,Georgia,"$35,000 to $39,999",0.0518,176871
2009,Georgia,"$40,000 to $44,999",0.0508,173460
2009,Georgia,"$45,000 to $49,999",0.0444,151666
2009,Georgia,"$50,000 to $59,999",0.084,287047
2009,Georgia,"$60,000 to $74,999",0.1037,354538
2009,Georgia,"$75,000 to $99,999",0.1203,411020
2009,Georgia,"$100,000 to $124,999",0.072,245969
2009,Georgia,"$125,000 to $149,999",0.0406,138583
2009,Georgia,"$150,000 to $199,999",0.0381,130193
2009,Georgia,"$200,000 or more",0.0365,124898
2009,Georgia,"Less than $10,000",0.0832,284244
2009,Hawaii,"$10,000 to $14,999",0.037,16218
2009,Hawaii,"$15,000 to $19,999",0.0352,15426
2009,Hawaii,"$20,000 to $24,999",0.0389,17035
2009,Hawaii,"$25,000 to $29,999",0.0408,17853
2009,Hawaii,"$30,000 to $34,999",0.0432,18915
2009,Hawaii,"$35,000 to $39,999",0.0414,18114
2009,Hawaii,"$40,000 to $44,999",0.0439,19235
2009,Hawaii,"$45,000 to $49,999",0.0405,17738
2009,Hawaii,"$50,000 to $59,999",0.0825,36134
2009,Hawaii,"$60,000 to $74,999",0.1142,50026
2009,Hawaii,"$75,000 to $99,999",0.1495,65458
2009,Hawaii,"$100,000 to $124,999",0.1037,45403
2009,Hawaii,"$125,000 to $149,999",0.0611,26764
2009,Hawaii,"$150,000 to $199,999",0.0612,26807
2009,Hawaii,"$200,000 or more",0.0485,21234
2009,Hawaii,"Less than $10,000",0.0585,25616
2009,Idaho,"$10,000 to $14,999",0.0594,32857
2009,Idaho,"$15,000 to $19,999",0.0579,31977
2009,Idaho,"$20,000 to $24,999",0.064,35363
2009,Idaho,"$25,000 to $29,999",0.0659,36401
2009,Idaho,"$30,000 to $34,999",0.0628,34693
2009,Idaho,"$35,000 to $39,999",0.0568,31408
2009,Idaho,"$40,000 to $44,999",0.0571,31555
2009,Idaho,"$45,000 to $49,999",0.0506,27973
2009,Idaho,"$50,000 to $59,999",0.0983,54341
2009,Idaho,"$60,000 to $74,999",0.113,62445
2009,Idaho,"$75,000 to $99,999",0.1175,64965
2009,Idaho,"$100,000 to $124,999",0.0597,32998
2009,Idaho,"$125,000 to $149,999",0.0286,15795
2009,Idaho,"$150,000 to $199,999",0.0237,13093
2009,Idaho,"$200,000 or more",0.0202,11183
2009,Idaho,"Less than $10,000",0.0646,35679
2009,Illinois,"$10,000 to $14,999",0.0499,236950
2009,Illinois,"$15,000 to $19,999",0.0505,239636
2009,Illinois,"$20,000 to $24,999",0.0501,237775
2009,Illinois,"$25,000 to $29,999",0.0491,233321
2009,Illinois,"$30,000 to $34,999",0.049,232878
2009,Illinois,"$35,000 to $39,999",0.0468,222299
2009,Illinois,"$40,000 to $44,999",0.0463,219725
2009,Illinois,"$45,000 to $49,999",0.0424,201517
2009,Illinois,"$50,000 to $59,999",0.0836,397199
2009,Illinois,"$60,000 to $74,999",0.107,508408
2009,Illinois,"$75,000 to $99,999",0.1314,624148
2009,Illinois,"$100,000 to $124,999",0.0834,396324
2009,Illinois,"$125,000 to $149,999",0.0485,230309
2009,Illinois,"$150,000 to $199,999",0.0463,219763
2009,Illinois,"$200,000 or more",0.0452,214721
2009,Illinois,"Less than $10,000",0.0704,334415
2009,Indiana,"$10,000 to $14,999",0.057,140573
2009,Indiana,"$15,000 to $19,999",0.0567,140059
2009,Indiana,"$20,000 to $24,999",0.0596,147019
2009,Indiana,"$25,000 to $29,999",0.059,145626
2009,Indiana,"$30,000 to $34,999",0.0601,148267
2009,Indiana,"$35,000 to $39,999",0.0553,136425
2009,Indiana,"$40,000 to $44,999",0.0545,134550
2009,Indiana,"$45,000 to $49,999",0.0476,117489
2009,Indiana,"$50,000 to $59,999",0.0911,224821
2009,Indiana,"$60,000 to $74,999",0.1126,277906
2009,Indiana,"$75,000 to $99,999",0.1241,306247
2009,Indiana,"$100,000 to $124,999",0.0674,166226
2009,Indiana,"$125,000 to $149,999",0.0329,81103
2009,Indiana,"$150,000 to $199,999",0.0267,65931
2009,Indiana,"$200,000 or more",0.0213,52654
2009,Indiana,"Less than $10,000",0.0742,183110
2009,Iowa,"$10,000 to $14,999",0.0601,73103
2009,Iowa,"$15,000 to $19,999",0.0574,69744
2009,Iowa,"$20,000 to $24,999",0.0599,72809
2009,Iowa,"$25,000 to $29,999",0.0585,71117
2009,Iowa,"$30,000 to $34,999",0.0571,69469
2009,Iowa,"$35,000 to $39,999",0.0561,68173
2009,Iowa,"$40,000 to $44,999",0.0554,67341
2009,Iowa,"$45,000 to $49,999",0.0498,60549
2009,Iowa,"$50,000 to $59,999",0.0928,112802
2009,Iowa,"$60,000 to $74,999",0.1159,140982
2009,Iowa,"$75,000 to $99,999",0.1272,154623
2009,Iowa,"$100,000 to $124,999",0.0668,81227
2009,Iowa,"$125,000 to $149,999",0.0312,37978
2009,Iowa,"$150,000 to $199,999",0.0249,30281
2009,Iowa,"$200,000 or more",0.0221,26851
2009,Iowa,"Less than $10,000",0.0649,78921
2009,Kansas,"$10,000 to $14,999",0.055,60113
2009,Kansas,"$15,000 to $19,999",0.056,61297
2009,Kansas,"$20,000 to $24,999",0.0598,65429
2009,Kansas,"$25,000 to $29,999",0.06,65597
2009,Kansas,"$30,000 to $34,999",0.0577,63144
2009,Kansas,"$35,000 to $39,999",0.0559,61102
2009,Kansas,"$40,000 to $44,999",0.0532,58224
2009,Kansas,"$45,000 to $49,999",0.0479,52351
2009,Kansas,"$50,000 to $59,999",0.0873,95460
2009,Kansas,"$60,000 to $74,999",0.1085,118692
2009,Kansas,"$75,000 to $99,999",0.1237,135276
2009,Kansas,"$100,000 to $124,999",0.0705,77085
2009,Kansas,"$125,000 to $149,999",0.0351,38376
2009,Kansas,"$150,000 to $199,999",0.0323,35306
2009,Kansas,"$200,000 or more",0.0275,30092
2009,Kansas,"Less than $10,000",0.0696,76150
2009,Kentucky,"$10,000 to $14,999",0.0754,126327
2009,Kentucky,"$15,000 to $19,999",0.0659,110364
2009,Kentucky,"$20,000 to $24,999",0.0653,109339
2009,Kentucky,"$25,000 to $29,999",0.0613,102718
2009,Kentucky,"$30,000 to $34,999",0.0581,97324
2009,Kentucky,"$35,000 to $39,999",0.0529,88652
2009,Kentucky,"$40,000 to $44,999",0.0523,87600
2009,Kentucky,"$45,000 to $49,999",0.046,77113
2009,Kentucky,"$50,000 to $59,999",0.0826,138295
2009,Kentucky,"$60,000 to $74,999",0.0965,161690
2009,Kentucky,"$75,000 to $99,999",0.1069,179072
2009,Kentucky,"$100,000 to $124,999",0.058,97206
2009,Kentucky,"$125,000 to $149,999",0.0288,48171
2009,Kentucky,"$150,000 to $199,999",0.0226,37786
2009,Kentucky,"$200,000 or more",0.0192,32138
2009,Kentucky,"Less than $10,000",0.108,180943
2009,Louisiana,"$10,000 to $14,999",0.0755,124048
2009,Louisiana,"$15,000 to $19,999",0.0672,110523
2009,Louisiana,"$20,000 to $24,999",0.0624,102543
2009,Louisiana,"$25,000 to $29,999",0.0587,96469
2009,Louisiana,"$30,000 to $34,999",0.0562,92349
2009,Louisiana,"$35,000 to $39,999",0.0506,83271
2009,Louisiana,"$40,000 to $44,999",0.0484,79582
2009,Louisiana,"$45,000 to $49,999",0.0437,71863
2009,Louisiana,"$50,000 to $59,999",0.0777,127783
2009,Louisiana,"$60,000 to $74,999",0.0933,153376
2009,Louisiana,"$75,000 to $99,999",0.1081,177680
2009,Louisiana,"$100,000 to $124,999",0.0637,104682
2009,Louisiana,"$125,000 to $149,999",0.0338,55569
2009,Louisiana,"$150,000 to $199,999",0.028,46087
2009,Louisiana,"$200,000 or more",0.0251,41198
2009,Louisiana,"Less than $10,000",0.1077,177071
2009,Maine,"$10,000 to $14,999",0.0651,35342
2009,Maine,"$15,000 to $19,999",0.0614,33333
2009,Maine,"$20,000 to $24,999",0.0615,33344
2009,Maine,"$25,000 to $29,999",0.0571,30966
2009,Maine,"$30,000 to $34,999",0.0592,32130
2009,Maine,"$35,000 to $39,999",0.0539,29270
2009,Maine,"$40,000 to $44,999",0.0513,27812
2009,Maine,"$45,000 to $49,999",0.0504,27354
2009,Maine,"$50,000 to $59,999",0.091,49371
2009,Maine,"$60,000 to $74,999",0.1144,62072
2009,Maine,"$75,000 to $99,999",0.1205,65405
2009,Maine,"$100,000 to $124,999",0.0622,33736
2009,Maine,"$125,000 to $149,999",0.0299,16237
2009,Maine,"$150,000 to $199,999",0.0259,14045
2009,Maine,"$200,000 or more",0.0214,11599
2009,Maine,"Less than $10,000",0.0748,40601
2009,Maryland,"$10,000 to $14,999",0.0345,72289
2009,Maryland,"$15,000 to $19,999",0.0338,70685
2009,Maryland,"$20,000 to $24,999",0.0356,74470
2009,Maryland,"$25,000 to $29,999",0.0397,83017
2009,Maryland,"$30,000 to $34,999",0.0398,83266
2009,Maryland,"$35,000 to $39,999",0.04,83607
2009,Maryland,"$40,000 to $44,999",0.0419,87768
2009,Maryland,"$45,000 to $49,999",0.0392,82082
2009,Maryland,"$50,000 to $59,999",0.0794,166148
2009,Maryland,"$60,000 to $74,999",0.1045,218638
2009,Maryland,"$75,000 to $99,999",0.1433,299807
2009,Maryland,"$100,000 to $124,999",0.1066,223145
2009,Maryland,"$125,000 to $149,999",0.0687,143687
2009,Maryland,"$150,000 to $199,999",0.0757,158480
2009,Maryland,"$200,000 or more",0.0679,142037
2009,Maryland,"Less than $10,000",0.0494,103412
2009,Massachusetts,"$10,000 to $14,999",0.0503,124064
2009,Massachusetts,"$15,000 to $19,999",0.0422,104034
2009,Massachusetts,"$20,000 to $24,999",0.0409,100922
2009,Massachusetts,"$25,000 to $29,999",0.039,96079
2009,Massachusetts,"$30,000 to $34,999",0.0405,99951
2009,Massachusetts,"$35,000 to $39,999",0.0378,93208
2009,Massachusetts,"$40,000 to $44,999",0.0404,99610
2009,Massachusetts,"$45,000 to $49,999",0.0357,88089
2009,Massachusetts,"$50,000 to $59,999",0.0732,180564
2009,Massachusetts,"$60,000 to $74,999",0.1,246501
2009,Massachusetts,"$75,000 to $99,999",0.1372,338280
2009,Massachusetts,"$100,000 to $124,999",0.0998,246170
2009,Massachusetts,"$125,000 to $149,999",0.0642,158330
2009,Massachusetts,"$150,000 to $199,999",0.0665,164083
2009,Massachusetts,"$200,000 or more",0.0641,158107
2009,Massachusetts,"Less than $10,000",0.068,167662
2009,Michigan,"$10,000 to $14,999",0.0571,220515
2009,Michigan,"$15,000 to $19,999",0.0553,213274
2009,Michigan,"$20,000 to $24,999",0.0573,221320
2009,Michigan,"$25,000 to $29,999",0.0565,217934
2009,Michigan,"$30,000 to $34,999",0.0561,216368
2009,Michigan,"$35,000 to $39,999",0.0529,204151
2009,Michigan,"$40,000 to $44,999",0.0509,196524
2009,Michigan,"$45,000 to $49,999",0.0456,176202
2009,Michigan,"$50,000 to $59,999",0.0853,329460
2009,Michigan,"$60,000 to $74,999",0.1052,406082
2009,Michigan,"$75,000 to $99,999",0.123,474955
2009,Michigan,"$100,000 to $124,999",0.0731,282094
2009,Michigan,"$125,000 to $149,999",0.0403,155614
2009,Michigan,"$150,000 to $199,999",0.0342,131864
2009,Michigan,"$200,000 or more",0.0272,105109
2009,Michigan,"Less than $10,000",0.08,308694
2009,Minnesota,"$10,000 to $14,999",0.0472,97326
2009,Minnesota,"$15,000 to $19,999",0.0455,93829
2009,Minnesota,"$20,000 to $24,999",0.0471,97026
2009,Minnesota,"$25,000 to $29,999",0.0476,98054
2009,Minnesota,"$30,000 to $34,999",0.0492,101547
2009,Minnesota,"$35,000 to $39,999",0.0481,99122
2009,Minnesota,"$40,000 to $44,999",0.0498,102626
2009,Minnesota,"$45,000 to $49,999",0.0448,92280
2009,Minnesota,"$50,000 to $59,999",0.0878,180983
2009,Minnesota,"$60,000 to $74,999",0.1164,239908
2009,Minnesota,"$75,000 to $99,999",0.1428,294413
2009,Minnesota,"$100,000 to $124,999",0.0875,180400
2009,Minnesota,"$125,000 to $149,999",0.0472,97393
2009,Minnesota,"$150,000 to $199,999",0.0432,89054
2009,Minnesota,"$200,000 or more",0.0383,79045
2009,Minnesota,"Less than $10,000",0.0577,118876
2009,Mississippi,"$10,000 to $14,999",0.0853,92649
2009,Mississippi,"$15,000 to $19,999",0.077,83568
2009,Mississippi,"$20,000 to $24,999",0.0681,73993
2009,Mississippi,"$25,000 to $29,999",0.0641,69616
2009,Mississippi,"$30,000 to $34,999",0.0606,65845
2009,Mississippi,"$35,000 to $39,999",0.0539,58482
2009,Mississippi,"$40,000 to $44,999",0.0481,52190
2009,Mississippi,"$45,000 to $49,999",0.0449,48700
2009,Mississippi,"$50,000 to $59,999",0.0784,85139
2009,Mississippi,"$60,000 to $74,999",0.0891,96779
2009,Mississippi,"$75,000 to $99,999",0.093,100983
2009,Mississippi,"$100,000 to $124,999",0.0513,55690
2009,Mississippi,"$125,000 to $149,999",0.0248,26887
2009,Mississippi,"$150,000 to $199,999",0.0194,21068
2009,Mississippi,"$200,000 or more",0.0174,18913
2009,Mississippi,"Less than $10,000",0.1246,135334
2009,Missouri,"$10,000 to $14,999",0.0621,144276
2009,Missouri,"$15,000 to $19,999",0.0586,135989
2009,Missouri,"$20,000 to $24,999",0.0625,145184
2009,Missouri,"$25,000 to $29,999",0.0613,142255
2009,Missouri,"$30,000 to $34,999",0.0585,135852
2009,Missouri,"$35,000 to $39,999",0.0546,126777
2009,Missouri,"$40,000 to $44,999",0.0523,121372
2009,Missouri,"$45,000 to $49,999",0.0481,111668
2009,Missouri,"$50,000 to $59,999",0.0891,206827
2009,Missouri,"$60,000 to $74,999",0.1049,243639
2009,Missouri,"$75,000 to $99,999",0.1171,271971
2009,Missouri,"$100,000 to $124,999",0.0648,150531
2009,Missouri,"$125,000 to $149,999",0.0333,77235
2009,Missouri,"$150,000 to $199,999",0.0285,66165
2009,Missouri,"$200,000 or more",0.0241,55962
2009,Missouri,"Less than $10,000",0.0803,186535
2009,Montana,"$10,000 to $14,999",0.0679,25339
2009,Montana,"$15,000 to $19,999",0.0671,25035
2009,Montana,"$20,000 to $24,999",0.0676,25194
2009,Montana,"$25,000 to $29,999",0.065,24247
2009,Montana,"$30,000 to $34,999",0.0602,22443
2009,Montana,"$35,000 to $39,999",0.0564,21021
2009,Montana,"$40,000 to $44,999",0.0572,21336
2009,Montana,"$45,000 to $49,999",0.0491,18306
2009,Montana,"$50,000 to $59,999",0.0895,33375
2009,Montana,"$60,000 to $74,999",0.1053,39289
2009,Montana,"$75,000 to $99,999",0.1126,41999
2009,Montana,"$100,000 to $124,999",0.0564,21035
2009,Montana,"$125,000 to $149,999",0.0269,10033
2009,Montana,"$150,000 to $199,999",0.0205,7643
2009,Montana,"$200,000 or more",0.018,6722
2009,Montana,"Less than $10,000",0.0803,29930
2009,Nebraska,"$10,000 to $14,999",0.0584,41039
2009,Nebraska,"$15,000 to $19,999",0.0571,40098
2009,Nebraska,"$20,000 to $24,999",0.0609,42808
2009,Nebraska,"$25,000 to $29,999",0.0586,41202
2009,Nebraska,"$30,000 to $34,999",0.0607,42620
2009,Nebraska,"$35,000 to $39,999",0.0553,38838
2009,Nebraska,"$40,000 to $44,999",0.0521,36622
2009,Nebraska,"$45,000 to $49,999",0.0485,34065
2009,Nebraska,"$50,000 to $59,999",0.0931,65445
2009,Nebraska,"$60,000 to $74,999",0.1159,81407
2009,Nebraska,"$75,000 to $99,999",0.1249,87734
2009,Nebraska,"$100,000 to $124,999",0.0669,47035
2009,Nebraska,"$125,000 to $149,999",0.0325,22847
2009,Nebraska,"$150,000 to $199,999",0.0249,17498
2009,Nebraska,"$200,000 or more",0.022,15477
2009,Nebraska,"Less than $10,000",0.0682,47902
2009,Nevada,"$10,000 to $14,999",0.0396,37420
2009,Nevada,"$15,000 to $19,999",0.0447,42231
2009,Nevada,"$20,000 to $24,999",0.049,46247
2009,Nevada,"$25,000 to $29,999",0.0538,50832
2009,Nevada,"$30,000 to $34,999",0.053,50036
2009,Nevada,"$35,000 to $39,999",0.0516,48707
2009,Nevada,"$40,000 to $44,999",0.0512,48338
2009,Nevada,"$45,000 to $49,999",0.0467,44055
2009,Nevada,"$50,000 to $59,999",0.0938,88580
2009,Nevada,"$60,000 to $74,999",0.1174,110859
2009,Nevada,"$75,000 to $99,999",0.1391,131291
2009,Nevada,"$100,000 to $124,999",0.0845,79748
2009,Nevada,"$125,000 to $149,999",0.0468,44158
2009,Nevada,"$150,000 to $199,999",0.0404,38153
2009,Nevada,"$200,000 or more",0.0334,31534
2009,Nevada,"Less than $10,000",0.0551,51989
2009,New Hampshire,"$10,000 to $14,999",0.0402,20208
2009,New Hampshire,"$15,000 to $19,999",0.0382,19189
2009,New Hampshire,"$20,000 to $24,999",0.0446,22385
2009,New Hampshire,"$25,000 to $29,999",0.0428,21502
2009,New Hampshire,"$30,000 to $34,999",0.0451,22658
2009,New Hampshire,"$35,000 to $39,999",0.0451,22663
2009,New Hampshire,"$40,000 to $44,999",0.0459,23062
2009,New Hampshire,"$45,000 to $49,999",0.0431,21622
2009,New Hampshire,"$50,000 to $59,999",0.0827,41552
2009,New Hampshire,"$60,000 to $74,999",0.1166,58544
2009,New Hampshire,"$75,000 to $99,999",0.152,76318
2009,New Hampshire,"$100,000 to $124,999",0.0994,49932
2009,New Hampshire,"$125,000 to $149,999",0.0601,30161
2009,New Hampshire,"$150,000 to $199,999",0.0546,27428
2009,New Hampshire,"$200,000 or more",0.0425,21350
2009,New Hampshire,"Less than $10,000",0.047,23627
2009,New Jersey,"$10,000 to $14,999",0.0397,125320
2009,New Jersey,"$15,000 to $19,999",0.04,126029
2009,New Jersey,"$20,000 to $24,999",0.0391,123260
2009,New Jersey,"$25,000 to $29,999",0.0399,125839
2009,New Jersey,"$30,000 to $34,999",0.039,122811
2009,New Jersey,"$35,000 to $39,999",0.0379,119468
2009,New Jersey,"$40,000 to $44,999",0.0396,124925
2009,New Jersey,"$45,000 to $49,999",0.0359,113096
2009,New Jersey,"$50,000 to $59,999",0.0745,234808
2009,New Jersey,"$60,000 to $74,999",0.0972,306348
2009,New Jersey,"$75,000 to $99,999",0.1365,430450
2009,New Jersey,"$100,000 to $124,999",0.104,327868
2009,New Jersey,"$125,000 to $149,999",0.0688,217026
2009,New Jersey,"$150,000 to $199,999",0.0751,236860
2009,New Jersey,"$200,000 or more",0.0786,247697
2009,New Jersey,"Less than $10,000",0.0543,171072
2009,New Mexico,"$10,000 to $14,999",0.0686,50531
2009,New Mexico,"$15,000 to $19,999",0.0618,45495
2009,New Mexico,"$20,000 to $24,999",0.0676,49767
2009,New Mexico,"$25,000 to $29,999",0.0611,44987
2009,New Mexico,"$30,000 to $34,999",0.0602,44321
