Transaction_ID,Timestamp,Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Vehicle_Plate_Number,Fraud_indicator
19,1/24/2023 2:55,Van,FTG-099-FTD-321,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",55,KA56KL0223,Fraud
20,1/25/2023 7:35,Sedan,FTG-120-TTU-098,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",80,KA59MN4557,Not Fraud
21,1/26/2023 12:10,SUV,FTG-121-BTC-765,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",68,KA62OP7901,Fraud
22,1/27/2023 15:45,Bus ,FTG-122-XRW-432,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",90,KA65QR1345,Not Fraud
23,1/28/2023 21:25,Car,FTG-123-NMK-101,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",48,KA88ST6784,Fraud
24,1/29/2023 3:05,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",77,KA77UV0123,Not Fraud
25,1/30/2023 7:35,Truck,FTG-125-VTN-543,C-103,Express,Large,350,120,"13.059816123454882, 77.77068662374292",63,KA74WX3156,Fraud
26,1/31/2023 11:10,Van,FTG-126-PTM-210,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",87,KA77YZ5789,Not Fraud
27,2/1/2023 16:50,Sedan,FTG-127-HJT-987,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",52,KA80AB0122,Fraud
28,2/2/2023 21:25,SUV,FTG-128-WSX-652,B-102,Regular,Large,180,120,"13.059816123454882, 77.77068662374292",95,KA33CD4567,Fraud
29,2/3/2023 3:05,Bus ,FTG-129-QQZ-321,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",73,KA76EF8901,Not Fraud
30,2/4/2023 8:40,Car,FTG-130-LOO-098,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",82,KA59GH2345,Not Fraud
31,2/5/2023 13:20,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",57,KA92IJ5789,Not Fraud
32,2/6/2023 18:55,Truck,FTG-132-IOC-432,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",96,KA95KL0223,Not Fraud
33,2/7/2023 23:30,Van,FTG-033-JIP-109,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",66,KA98MN4567,Fraud
34,2/8/2023 5:10,Sedan,FTG-134-RPV-876,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",89,KA03AB1134,Not Fraud
35,2/9/2023 9:40,SUV,FTG-135-EPC-543,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",51,KA06CD5673,Fraud
36,2/10/2023 14:20,Bus ,FTG-136-OPM-210,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",76,KA09EF9016,Not Fraud
37,2/11/2023 17:55,Car,FTG-137-NJI-9879,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",61,KA12GH3453,Fraud
38,2/12/2023 23:35,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",85,KA15IJ6789,Not Fraud
39,2/13/2023 4:05,Truck,FTG-029-UUY-321,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",74,KA18KL0123,Not Fraud
40,2/14/2023 8:45,Van,FTG-140-POU-09P,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",93,KA21MN4567,Fraud
41,2/15/2023 13:20,Sedan,FTG-141-ZXC-769,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",49,KA24OP8901,Fraud
42,2/16/2023 16:55,SUV,FTG-142-VBN-439,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",83,KA27QR2345,Not Fraud
43,2/17/2023 22:35,Bus ,FTG-143-QWE-107,C-103,Express,Large,350,90,"13.059816123454882, 77.77068662374292",59,KA30ST6789,Fraud
44,2/18/2023 4:15,Car,FTG-034-MKH-875,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",91,KA33UV0123,Fraud
45,2/19/2023 8:45,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",71,KA36WX3456,Not Fraud
46,2/20/2023 13:25,Truck,FTG-036-POI-217,C-103,Regular,Large,350,140,"13.059816123454882, 77.77068662374292",86,KA39YZ6789,Fraud
47,2/21/2023 18:00,Van,FTG-347-XCV-985,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",56,KA42AB0123,Fraud
48,2/22/2023 22:35,Sedan,FTG-048-JKL-653,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",79,KA45CD4567,Not Fraud
49,2/23/2023 4:15,SUV,FTG-049-RFD-322,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",64,KA48EF8901,Not Fraud
50,2/24/2023 8:50,Bus ,FTG-040-HRT-098,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",97,KA51GH2345,Fraud
51,2/25/2023 13:30,Car,FTG-041-YUI-764,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",69,KA54IJ6789,Not Fraud
52,2/26/2023 18:05,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",94,KA57KL0123,Not Fraud
53,2/27/2023 23:40,Truck,FTG-043-NBH-106,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",54,KA60MN4567,Fraud
54,2/28/2023 5:20,Van,FTG-044-KJH-875,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",81,KA63OP8901,Not Fraud
55,3/1/2023 9:50,Sedan,FTG-053-EDC-545,A-101,Express,Medium,160,90,"13.059816123454882, 77.77068662374292",65,KA66QR2345,Fraud
56,3/2/2023 14:30,SUV,FTG-046-LMK-212,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",92,KA69ST6789,Not Fraud
57,3/3/2023 18:05,Bus ,FTG-057-PRN-887,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",50,KA72UV0123,Not Fraud
58,3/4/2023 23:45,Car,FTG-558-VFR-652,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",75,KA75WX3456,Fraud
59,3/5/2023 3:15,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",58,KA78YZ6789,Not Fraud
60,3/6/2023 7:55,Truck,FTG-060-QAZ-092,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",89,KA81AB0123,Fraud
61,3/7/2023 12:30,Van,FTG-061-POU-764,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",44,KA84CD4567,Fraud
62,3/8/2023 16:05,Sedan,FTG-052-NJH-434,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",78,KA87EF8901,Not Fraud
63,3/9/2023 21:45,SUV,FTG-053-ZXC-104,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",67,KA90GH2345,Not Fraud
64,3/10/2023 3:25,Bus ,FTG-054-OKM-874,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",95,KA93IJ6789,Not Fraud
65,3/11/2023 8:55,Car,FTG-055-LKJ-544,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",55,KA96KL0123,Fraud
66,3/12/2023 13:35,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",80,KA99MN4567,Not Fraud
67,3/13/2023 18:10,Truck,FTG-077-MKF-984,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",62,KA02XY8901,Not Fraud
68,3/14/2023 23:50,Van,FTG-068-DCV-653,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",87,KA05LM2345,Fraud
69,3/15/2023 5:30,Sedan,FTG-059-NBH-323,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",47,KA08UV6789,Not Fraud
70,3/16/2023 10:05,SUV,FTG-060-POI-093,B-102,Regular,Large,180,100,"13.059816123454882, 77.77068662374292",73,KA01OP0123,Fraud
71,3/17/2023 14:45,Bus ,FTG-061-RSX-765,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",68,KA04QR4567,Not Fraud
72,3/18/2023 19:20,Car,FTG-062-QAZ-431,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",91,KA10YZ8901,Not Fraud
73,3/19/2023 0:55,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",53,KA18AB2345,Not Fraud
74,3/20/2023 6:35,Truck,FTG-064-VFR-873,C-103,Regular,Large,350,100,"13.059816123454882, 77.77068662374292",82,KA03CD6789,Fraud
75,3/21/2023 11:05,Van,FTG-065-YUI-545,B-102,Express,Medium,140,110,"13.059816123454882, 77.77068662374292",56,KA29EF0123,Fraud
76,3/22/2023 15:40,Sedan,FTG-066-CDE-213,A-101,Regular,Medium,160,90,"13.059816123454882, 77.77068662374292",84,KA26GH4567,Fraud
77,3/23/2023 21:20,SUV,FTG-067-LMK-983,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",69,KA12IJ8801,Not Fraud
78,3/24/2023 2:00,Bus ,FTG-068-NJH-655,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",94,KA34KL2345,Not Fraud
79,3/25/2023 6:30,Car,FTG-069-RFD-326,A-101,Express,Small,120,100,"13.059816123454882, 77.77068662374292",49,KA38MN6788,Fraud
80,3/26/2023 11:05,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",76,KA41OP0123,Not Fraud
81,3/27/2023 16:45,Truck,FTG-083-BVC-766,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",63,KA44QR4567,Not Fraud
82,3/28/2023 21:20,Van,FTG-082-XCV-437,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",88,KA47ST8901,Fraud
83,3/29/2023 2:50,Sedan,FTG-073-LKJ-101,A-101,Express,Medium,160,60,"13.059816123454882, 77.77068662374292",74,KA50UV2344,Fraud
84,3/30/2023 7:30,SUV,FTG-074-POU-871,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",96,KA53WX6789,Fraud
85,3/31/2023 12:05,Bus ,FTG-055-ZWC-543,C-103,Express,Large,350,140,"13.059816123454882, 77.77068662374292",61,KA56YZ0123,Fraud
86,4/1/2023 16:40,Car,FTG-066-PLM-216,A-101,Regular,Small,120,60,"13.059816123454882, 77.77068662374292",85,KA59AB4567,Fraud
87,4/2/2023 22:20,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",52,KA62CD8901,Not Fraud
88,4/3/2023 3:00,Truck,FTG-058-WSX-656,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,KA65EF2345,Not Fraud
89,4/4/2023 7:30,Van,FTG-099-QAZ-322,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",66,KA68GH6789,Not Fraud
90,4/5/2023 12:05,Sedan,FTG-050-RFD-091,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",90,KA71IJ0123,Not Fraud
91,4/6/2023 15:40,SUV,FTG-081-YUI-764,B-102,Express,Large,180,140,"13.059816123454882, 77.77068662374292",48,KA74KL4567,Fraud
92,4/7/2023 21:20,Bus ,FTG-082-BVC-431,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",77,KA77MN8901,Fraud
93,4/8/2023 2:55,Car,FTG-063-NBH-102,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",60,KA80OP2345,Fraud
94,4/9/2023 6:30,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",83,KA83QR6789,Not Fraud
95,4/10/2023 11:10,Truck,FTG-055-EDC-541,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",71,KA86ST0123,Not Fraud
96,4/11/2023 15:50,Van,FTG-095-LMK-211,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",97,KA89UV4567,Fraud
97,4/12/2023 20:25,Sedan,FTG-077-PLN-983,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",46,KA92WX8901,Not Fraud
98,4/13/2023 1:00,SUV,FTG-088-VFR-652,B-102,Regular,Large,180,0,"13.059816123454882, 77.77068662374292",81,KA95YZ2345,Fraud
99,4/14/2023 6:40,Bus ,FTG-079-RSX-321,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",64,KA98AB6789,Fraud
100,4/15/2023 11:15,Car,FTG-170-QAZ-091,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",93,KA01CD0123,Not Fraud
101,4/16/2023 15:50,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",57,KA04EF4567,Not Fraud
102,4/17/2023 21:30,Truck,FTG-121-ABC-614,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",86,KA07GH8901,Not Fraud
103,4/18/2023 3:10,Van,FTG-131-PQR-329,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",55,KA10IJ2345,Fraud
104,4/19/2023 7:40,Sedan,FTG-114-DEF-092,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",82,KA13KL6789,Not Fraud
105,4/20/2023 12:20,SUV,FTG-125-LMN-669,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",63,KA16MN0123,Fraud
106,4/21/2023 16:55,Bus ,FTG-106-GHI-331,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",90,KA19OP4567,Not Fraud
107,4/22/2023 22:35,Car,FTG-107-JKL-000,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",48,KA22QR8901,Not Fraud
108,4/23/2023 4:15,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",76,KA25ST2345,Not Fraud
109,4/24/2023 8:50,Truck,FTG-109-RST-448,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",58,KA28UV6789,Fraud
110,4/25/2023 13:30,Van,FTG-110-MNO-118,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",87,KA31WX0123,Not Fraud
111,4/26/2023 18:05,Sedan,FTG-111-QWE-889,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",67,KA34YZ4567,Fraud
112,4/27/2023 23:40,SUV,FTG-112-ZXC-455,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",94,KA37AB8901,Fraud
113,1/1/2023 8:15,Bus ,FTG-113-PWI-323,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",71,KA40CD2345,Fraud
114,1/2/2023 12:45,Car,FTG-114-KJH-087,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",89,KA43EF6789,Not Fraud
115,1/3/2023 16:30,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",52,KA46GH0123,Not Fraud
116,1/4/2023 22:10,Truck,FTG-116-NBH-338,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,KA49IJ4567,Not Fraud
117,1/5/2023 5:40,Van,FTG-117-LKI-007,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",66,KA52KL8901,Fraud
118,1/6/2023 11:20,Sedan,FTG-118-UYT-884,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",95,KA55MN2345,Not Fraud
119,1/7/2023 14:55,SUV,FTG-119-FRD-338,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",44,KA02YZ5678,Fraud
120,1/8/2023 18:25,Bus ,FTG-120-TYU-118,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",78,KA05AB9012,Not Fraud
121,1/9/2023 2:05,Car,FTG-121-BVC-989,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",61,KA08CD3456,Fraud
122,1/10/2023 6:35,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",85,KA11EF6789,Not Fraud
123,1/11/2023 10:00,Truck,FTG-123-NMK-333,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",49,KA14GH0123,Not Fraud
124,1/12/2023 15:40,Van,FTG-124-CDE-792,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",74,KA17IJ4567,Fraud
125,1/13/2023 20:15,Sedan,FTG-125-VBN-752,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",69,KA20KL8901,Fraud
126,1/14/2023 1:55,SUV,FTG-126-PLM-410,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",92,KA23MN2345,Not Fraud
127,1/15/2023 7:30,Bus ,FTG-127-HGT-00W,C-103,Express,Large,350,140,"13.059816123454882, 77.77068662374292",57,KA26OP6789,Fraud
128,1/16/2023 12:10,Car,FTG-128-WSX-855,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",83,KA29QR0123,Not Fraud
129,1/17/2023 17:45,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",68,KA32ST4567,Not Fraud
130,1/18/2023 22:20,Truck,FTG-130-LPO-013,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",96,KA35UV8901,Not Fraud
131,1/19/2023 4:00,Van,FTG-131-ZAS-888,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",46,KA38WX2345,Fraud
132,1/20/2023 8:30,Sedan,FTG-132-IXC-452,A-101,Regular,Medium,160,120,"13.059816123454882, 77.77068662374292",81,KA41YZ6779,Fraud
133,1/21/2023 13:10,SUV,FTG-133-JOP-337,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",60,KA44AB0023,Fraud
134,1/22/2023 16:45,Bus ,FTG-134-RWV-098,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",88,KA47CD4557,Fraud
135,1/23/2023 22:25,Car,FTG-125-EDC-768,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",53,KA50EF8981,Fraud
136,1/24/2023 2:55,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",77,KA53GH2335,Not Fraud
137,1/25/2023 7:35,Truck,FTG-137-NJI-102,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",64,KA56IJ6779,Not Fraud
138,1/26/2023 12:10,Van,FTG-128-LKJ-872,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",91,KA59KL0113,Not Fraud
139,1/27/2023 15:45,Sedan,FTG-129-UTY-542,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",50,KA62MN4467,Not Fraud
140,1/28/2023 21:25,SUV,FTG-141-POU-211,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",75,KA65OP8801,Not Fraud
141,1/29/2023 3:05,Bus ,FTG-121-ZXC-981,C-103,Express,Large,350,90,"13.059816123454882, 77.77068662374292",59,KA68QR2245,Fraud
142,1/30/2023 7:35,Car,FTG-122-VBN-659,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",84,KA71ST6989,Fraud
143,1/31/2023 11:10,Motorcycle,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",66,KA74UV0113,Not Fraud
144,2/1/2023 16:50,Truck,FTG-124-MKH-099,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",93,KA77WX4567,Not Fraud
145,2/2/2023 21:25,Van,FTG-125-DCF-768,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",45,KA80YZ8901,Fraud
146,2/3/2023 3:05,Sedan,FTG-126-POI-430,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",80,KA83AB2245,Not Fraud
147,2/4/2023 8:40,SUV,FTG-127-XCV-103,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",62,KA86CD6689,Not Fraud
148,2/5/2023 13:20,Bus ,FTG-128-JKL-871,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",86,KA89EF0223,Fraud
149,2/6/2023 18:55,Car,FTG-229-RFD-540,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",51,KA92GH4467,Not Fraud
150,2/7/2023 23:30,Motorcycle,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",73,KA95IJ8101,Not Fraud
151,2/8/2023 5:10,Truck,FTG-121-YUI-986,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",56,KA98KL2245,Fraud
152,2/9/2023 9:40,Van,FTG-122-BVC-653,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",82,KA01MN6889,Not Fraud
153,2/10/2023 14:20,Sedan,FTG-123-NBH-323,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",70,KA04OP0122,Fraud
154,2/11/2023 17:55,SUV,FTG-144-KJH-092,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",97,KA07QR4562,Not Fraud
155,2/12/2023 23:35,Bus ,FTG-145-EDC-742,C-103,Express,Large,350,180,"13.059816123454882, 77.77068662374292",47,KA10ST8101,Fraud
156,2/13/2023 4:05,Car,FTG-156-LMK-421,A-101,Regular,Small,120,180,"13.059816123454882, 77.77068662374292",84,KA13UV2145,Fraud
157,2/14/2023 8:45,Motorcycle,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",65,KA16WX6889,Not Fraud
158,2/15/2023 13:20,Truck,FTG-158-VFR-862,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",92,KA19YZ0223,Fraud
159,2/16/2023 16:55,Van,FTG-159-WSX-441,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",53,KA22AB2245,Fraud
160,2/17/2023 22:35,Sedan,FTG-160-QAZ-212,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",79,KA25CD6889,Not Fraud
161,2/18/2023 4:15,SUV,FTG-161-POU-998,B-102,Express,Large,180,160,"13.059816123454882, 77.77068662374292",61,KA28EF0133,Fraud
162,2/19/2023 8:45,Bus ,FTG-162-NJH-552,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",89,KA31GH4467,Fraud
163,2/20/2023 13:25,Car,FTG-133-ZXC-322,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",44,KA34IJ8401,Not Fraud
164,2/21/2023 18:00,Motorcycle,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",78,KA37KL2342,Not Fraud
165,2/22/2023 22:35,Truck,FTG-135-LKJ-764,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",67,KA40MN6689,Fraud
166,2/23/2023 4:15,Van,FTG-136-HGT-431,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",95,KA43OP0223,Fraud
167,2/24/2023 8:50,Sedan,FTG-166-MKF-101,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",55,KA46QR3567,Not Fraud
168,2/25/2023 13:30,SUV,FTG-168-DCV-871,B-102,Regular,Large,180,120,"13.059816123454882, 77.77068662374292",80,KA49ST8903,Fraud
169,2/26/2023 18:05,Bus ,FTG-169-NBH-542,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",62,KA52UV2348,Not Fraud
170,2/27/2023 23:40,Car,FTG-140-POI-211,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",87,KA45WX6789,Not Fraud
171,2/28/2023 5:20,Motorcycle,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",47,KA58YZ0323,Not Fraud
172,3/1/2023 9:50,Truck,FTG-142-QAZ-651,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",73,KA60AB2345,Fraud
173,3/2/2023 14:30,Van,FTG-143-KJH-322,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",68,KA54CD6789,Fraud
174,3/3/2023 18:05,Sedan,FTG-144-VFR-092,A-101,Regular,Medium,160,90,"13.059816123454882, 77.77068662374292",91,KA57EF0123,Fraud
175,3/4/2023 23:45,SUV,FTG-145-YUI-764,B-102,Express,Large,180,90,"13.059816123454882, 77.77068662374292",52,KA70GH4467,Fraud
176,3/5/2023 3:15,Bus ,FTG-146-CDE-431,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",82,KA73IJ8801,Fraud
177,3/6/2023 7:55,Car,FTG-147-LMK-110,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",56,KA76KL2245,Not Fraud
178,3/7/2023 12:30,Motorcycle,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",84,KA79MN6689,Not Fraud
179,3/8/2023 16:05,Truck,FTG-139-RFD-443,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",69,KA82OP1123,Not Fraud
