,pokedex_nr,en_name,type_1,type_2,link,type_list,de_name,type_1_german,type_2_german,type_list_ger,fr_name,jp_name,kor_name,chi_name
29,030,Nidorina,Poison,,https://www.pokewiki.de/Nidorina,['Poison'],Nidorina,Gift,,['Gift'],Nidorina,ニドリーナ(Nidorina),니드리나(Nideurina),尼多娜 / 尼多娜(Níduōnà)
30,031,Nidoqueen,Poison,Ground,https://www.pokewiki.de/Nidoqueen,"['Poison', 'Ground']",Nidoqueen,Gift,Boden,"['Gift', 'Boden']",Nidoqueen,ニドクイン(Nidoqueen),니드퀸(Nideukwin),尼多后 / 尼多后(Níduōhòu)
31,032,Nidoran♂,Poison,,https://www.pokewiki.de/Nidoran%E2%99%82,['Poison'],Nidoran♂,Gift,,['Gift'],Nidoran♂,ニドラン♂(Nidoran♂),니드런♂(Nideureon♂),尼多朗 / 尼多朗(Níduōláng)
32,033,Nidorino,Poison,,https://www.pokewiki.de/Nidorino,['Poison'],Nidorino,Gift,,['Gift'],Nidorino,ニドリーノ(Nidorino),니드리노(Nideurino),尼多力諾 / 尼多力诺(Níduōlìnuò)
33,034,Nidoking,Poison,Ground,https://www.pokewiki.de/Nidoking,"['Poison', 'Ground']",Nidoking,Gift,Boden,"['Gift', 'Boden']",Nidoking,ニドキング(Nidoking),니드킹(Nideuking),尼多王 / 尼多王(Níduōwáng)
34,035,Clefairy,Fairy,,https://www.pokewiki.de/Piepi,['Fairy'],Piepi,Fee,,['Fee'],Mélofée,ピッピ(Pippi),삐삐(Ppippi),皮皮 / 皮皮(Pípí)
35,036,Clefable,Fairy,,https://www.pokewiki.de/Pixi,['Fairy'],Pixi,Fee,,['Fee'],Mélodelfe,ピクシー(Pixy),픽시(Piksi),皮可西 / 皮可西(Píkěxī)
36,037,Vulpix,Fire,,https://www.pokewiki.de/Vulpix,['Fire'],Vulpix,Feuer,,['Feuer'],Goupix,ロコン(Rokon),식스테일(Sikseuteil),六尾 / 六尾(Liùwěi)
37,038,Ninetales,Fire,,https://www.pokewiki.de/Vulnona,['Fire'],Vulnona,Feuer,,['Feuer'],Feunard,キュウコン(Kyukon),나인테일(Nainteil),九尾 / 九尾(Jiǔwěi)
38,039,Jigglypuff,Normal,Fairy,https://www.pokewiki.de/Pummeluff,"['Normal', 'Fairy']",Pummeluff,Normal,Fee,"['Normal', 'Fee']",Rondoudou,プリン(Purin),푸린(Purin),胖丁 / 胖丁(Pàngdīng)
39,040,Wigglytuff,Normal,Fairy,https://www.pokewiki.de/Knuddeluff,"['Normal', 'Fairy']",Knuddeluff,Normal,Fee,"['Normal', 'Fee']",Grodoudou,プクリン(Pukurin),푸크린(Pukeurin),胖可丁 / 胖可丁(Pàngkědīng)
40,041,Zubat,Poison,Flying,https://www.pokewiki.de/Zubat,"['Poison', 'Flying']",Zubat,Gift,Flug,"['Gift', 'Flug']",Nosferapti,ズバット(Zubat),주뱃(Jubaet),超音蝠 / 超音蝠(Chāoyīnfú)
41,042,Golbat,Poison,Flying,https://www.pokewiki.de/Golbat,"['Poison', 'Flying']",Golbat,Gift,Flug,"['Gift', 'Flug']",Nosferalto,ゴルバット(Golbat),골뱃(Golbaet),大嘴蝠 / 大嘴蝠(Dàzuǐfú)
42,043,Oddish,Grass,Poison,https://www.pokewiki.de/Myrapla,"['Grass', 'Poison']",Myrapla,Pflanze,Gift,"['Pflanze', 'Gift']",Mystherbe,ナゾノクサ(Nazonokusa),뚜벅쵸(Ttubeokchyo),走路草 / 走路草(Zǒulùcǎo)
43,044,Gloom,Grass,Poison,https://www.pokewiki.de/Duflor,"['Grass', 'Poison']",Duflor,Pflanze,Gift,"['Pflanze', 'Gift']",Ortide,クサイハナ(Kusaihana),냄새꼬(Naemsaekko),臭臭花 / 臭臭花(Chòuchòuhuā)
44,045,Vileplume,Grass,Poison,https://www.pokewiki.de/Giflor,"['Grass', 'Poison']",Giflor,Pflanze,Gift,"['Pflanze', 'Gift']",Rafflesia,ラフレシア(Ruffresia),라플레시아(Rapeullesia),霸王花 / 霸王花(Bàwánghuā)
45,046,Paras,Bug,Grass,https://www.pokewiki.de/Paras,"['Bug', 'Grass']",Paras,Käfer,Pflanze,"['Käfer', 'Pflanze']",Paras,パラス(Paras),파라스(Paraseu),派拉斯 / 派拉斯(Pàilāsī)
46,047,Parasect,Bug,Grass,https://www.pokewiki.de/Parasek,"['Bug', 'Grass']",Parasek,Käfer,Pflanze,"['Käfer', 'Pflanze']",Parasect,パラセクト(Parasect),파라섹트(Parasekteu),派拉斯特 / 派拉斯特(Pàilāsītè)
47,048,Venonat,Bug,Poison,https://www.pokewiki.de/Bluzuk,"['Bug', 'Poison']",Bluzuk,Käfer,Gift,"['Käfer', 'Gift']",Mimitoss,コンパン(Kongpang),콘팡(Konpang),毛球 / 毛球(Máoqiú)
48,049,Venomoth,Bug,Poison,https://www.pokewiki.de/Omot,"['Bug', 'Poison']",Omot,Käfer,Gift,"['Käfer', 'Gift']",Aéromite,モルフォン(Morphon),도나리(Donari),摩魯蛾 / 摩鲁蛾(Mólǔ'é)
49,050,Diglett,Ground,,https://www.pokewiki.de/Digda,['Ground'],Digda,Boden,,['Boden'],Taupiqueur,ディグダ(Digda),디그다(Digeuda),地鼠 / 地鼠(Dìshǔ)
50,051,Dugtrio,Ground,,https://www.pokewiki.de/Digdri,['Ground'],Digdri,Boden,,['Boden'],Triopikeur,ダグトリオ(Dugtrio),닥트리오(Dakteurio),三地鼠 / 三地鼠(Sāndìshǔ)
51,052,Meowth,Normal,,https://www.pokewiki.de/Mauzi,['Normal'],Mauzi,Normal,,['Normal'],Miaouss,ニャース(Nyarth),나옹(Naong),喵喵 / 喵喵(Miāomiāo)
52,053,Persian,Normal,,https://www.pokewiki.de/Snobilikat,['Normal'],Snobilikat,Normal,,['Normal'],Persian,ペルシアン(Persian),페르시온(Pereusion),貓老大 / 猫老大(Māolǎodà)
53,054,Psyduck,Water,,https://www.pokewiki.de/Enton,['Water'],Enton,Wasser,,['Wasser'],Psykokwak,コダック(Koduck),고라파덕(Gorapadeok),可達鴨 / 可达鸭(Kědáyā)
54,055,Golduck,Water,,https://www.pokewiki.de/Entoron,['Water'],Entoron,Wasser,,['Wasser'],Akwakwak,ゴルダック(Golduck),골덕(Goldeok),哥達鴨 / 哥达鸭(Gēdáyā)
55,056,Mankey,Fight,,https://www.pokewiki.de/Menki,['Fight'],Menki,Kampf,,['Kampf'],Férosinge,マンキー(Mankey),망키(Mangki),猴怪 / 猴怪(Hóuguài)
56,057,Primeape,Fight,,https://www.pokewiki.de/Rasaff,['Fight'],Rasaff,Kampf,,['Kampf'],Colossinge,オコリザル(Okorizaru),성원숭(Seongwonsung),火爆猴 / 火爆猴(Huǒbàohóu)
57,058,Growlithe,Fire,,https://www.pokewiki.de/Fukano,['Fire'],Fukano,Feuer,,['Feuer'],Caninos,ガーディ(Gardie),가디(Gadi),卡蒂狗 / 卡蒂狗(Kǎdìgǒu)
58,059,Arcanine,Fire,,https://www.pokewiki.de/Arkani,['Fire'],Arkani,Feuer,,['Feuer'],Arcanin,ウインディ(Windie),윈디(Windi),風速狗 / 风速狗(Fēngsùgǒu)
59,060,Poliwag,Water,,https://www.pokewiki.de/Quapsel,['Water'],Quapsel,Wasser,,['Wasser'],Ptitard,ニョロモ(Nyoromo),발챙이(Balchaengi),蚊香蝌蚪 / 蚊香蝌蚪(Wénxiāngkēdǒu)
60,061,Poliwhirl,Water,,https://www.pokewiki.de/Quaputzi,['Water'],Quaputzi,Wasser,,['Wasser'],Têtarte,ニョロゾ(Nyorozo),슈륙챙이(Syuryukchaengi),蚊香君 / 蚊香君(Wénxiāngjūn)
61,062,Poliwrath,Water,Fight,https://www.pokewiki.de/Quappo,"['Water', 'Fight']",Quappo,Wasser,Kampf,"['Wasser', 'Kampf']",Tartard,ニョロボン(Nyorobon),강챙이(Gangchaengi),蚊香泳士 / 蚊香泳士(Wénxiāngyǒngshì)
62,063,Abra,Psychic,,https://www.pokewiki.de/Abra,['Psychic'],Abra,Psycho,,['Psycho'],Abra,ケーシィ(Casey),캐이시(Kaeisi),凱西 / 凯西(Kǎixī)
63,064,Kadabra,Psychic,,https://www.pokewiki.de/Kadabra,['Psychic'],Kadabra,Psycho,,['Psycho'],Kadabra,ユンゲラー(Yungerer),윤겔라(Yun-gella),勇基拉 / 勇基拉(Yǒngjīlā)
64,065,Alakazam,Psychic,,https://www.pokewiki.de/Simsala,['Psychic'],Simsala,Psycho,,['Psycho'],Alakazam,フーディン(Foodin),후딘(Hudin),胡地 / 胡地(Húdì)
65,066,Machop,Fight,,https://www.pokewiki.de/Machollo,['Fight'],Machollo,Kampf,,['Kampf'],Machoc,ワンリキー(Wanriky),알통몬(Altongmon),腕力 / 腕力(Wànlì)
66,067,Machoke,Fight,,https://www.pokewiki.de/Maschock,['Fight'],Maschock,Kampf,,['Kampf'],Machopeur,ゴーリキー(Goriky),근육몬(Geunyungmon),豪力 / 豪力(Háolì)
67,068,Machamp,Fight,,https://www.pokewiki.de/Machomei,['Fight'],Machomei,Kampf,,['Kampf'],Mackogneur,カイリキー(Kairiky),괴력몬(Goeryeokmon),怪力 / 怪力(Guàilì)
68,069,Bellsprout,Grass,Poison,https://www.pokewiki.de/Knofensa,"['Grass', 'Poison']",Knofensa,Pflanze,Gift,"['Pflanze', 'Gift']",Chétiflor,マダツボミ(Madatsubomi),모다피(Modapi),喇叭芽 / 喇叭芽(Lǎbāyá)
69,070,Weepinbell,Grass,Poison,https://www.pokewiki.de/Ultrigaria,"['Grass', 'Poison']",Ultrigaria,Pflanze,Gift,"['Pflanze', 'Gift']",Boustiflor,ウツドン(Utsudon),우츠동(Ucheudong),口呆花 / 口呆花(Kǒudāihuā)
70,071,Victreebel,Grass,Poison,https://www.pokewiki.de/Sarzenia,"['Grass', 'Poison']",Sarzenia,Pflanze,Gift,"['Pflanze', 'Gift']",Empiflor,ウツボット(Utsubot),우츠보트(Ucheuboteu),大食花 / 大食花(Dàshíhuā)
71,072,Tentacool,Water,Poison,https://www.pokewiki.de/Tentacha,"['Water', 'Poison']",Tentacha,Wasser,Gift,"['Wasser', 'Gift']",Tentacool,メノクラゲ(Menokurage),왕눈해(Wangnunhae),瑪瑙水母 / 玛瑙水母(Mǎnǎoshuǐmǔ)
72,073,Tentacruel,Water,Poison,https://www.pokewiki.de/Tentoxa,"['Water', 'Poison']",Tentoxa,Wasser,Gift,"['Wasser', 'Gift']",Tentacruel,ドククラゲ(Dokukurage),독파리(Dokpari),毒刺水母 / 毒刺水母(Dúcìshuǐmǔ)
73,074,Geodude,Rock,Ground,https://www.pokewiki.de/Kleinstein,"['Rock', 'Ground']",Kleinstein,Gestein,Boden,"['Gestein', 'Boden']",Racaillou,イシツブテ(Isitsubute),꼬마돌(Kkomadol),小拳石 / 小拳石(Xiǎoquánshí)
74,075,Graveler,Rock,Ground,https://www.pokewiki.de/Georok,"['Rock', 'Ground']",Georok,Gestein,Boden,"['Gestein', 'Boden']",Gravalanch,ゴローン(Golone),데구리(Deguri),隆隆石 / 隆隆石(Lónglóngshí)
75,076,Golem,Rock,Ground,https://www.pokewiki.de/Geowaz,"['Rock', 'Ground']",Geowaz,Gestein,Boden,"['Gestein', 'Boden']",Grolem,ゴローニャ(Golonya),딱구리(Ttakguri),隆隆岩 / 隆隆岩(Lónglóngyán)
76,077,Ponyta,Fire,,https://www.pokewiki.de/Ponita,['Fire'],Ponita,Feuer,,['Feuer'],Ponyta,ポニータ(Ponyta),포니타(Ponyta),小火馬 / 小火马(Xiǎohuǒmǎ)
77,078,Rapidash,Fire,,https://www.pokewiki.de/Gallopa,['Fire'],Gallopa,Feuer,,['Feuer'],Galopa,ギャロップ(Gallop),날쌩마(Nalssaengma),烈焰馬 / 烈焰马(Lièyànmǎ)
78,079,Slowpoke,Water,Psychic,https://www.pokewiki.de/Flegmon,"['Water', 'Psychic']",Flegmon,Wasser,Psycho,"['Wasser', 'Psycho']",Ramoloss,ヤドン(Yadon),야돈(Yadon),呆呆獸 / 呆呆兽(Dāidāishòu)
79,080,Slowbro,Water,Psychic,https://www.pokewiki.de/Lahmus,"['Water', 'Psychic']",Lahmus,Wasser,Psycho,"['Wasser', 'Psycho']",Flagadoss,ヤドラン(Yadoran),야도란(Yadoran),呆殼獸 / 呆壳兽(Dāikéshòu)
80,081,Magnemite,Electric,Steel,https://www.pokewiki.de/Magnetilo,"['Electric', 'Steel']",Magnetilo,Elektro,Stahl,"['Elektro', 'Stahl']",Magnéti,コイル(Coil),코일(Koil),小磁怪 / 小磁怪(Xiǎocíguài)
81,082,Magneton,Electric,Steel,https://www.pokewiki.de/Magneton,"['Electric', 'Steel']",Magneton,Elektro,Stahl,"['Elektro', 'Stahl']",Magnéton,レアコイル(Rarecoil),레어코일(Reeokoil),三合一磁怪 / 三合一磁怪(Sānhéyīcíguài)
82,083,Farfetch’d,Normal,Flying,https://www.pokewiki.de/Porenta,"['Normal', 'Flying']",Porenta,Normal,Flug,"['Normal', 'Flug']",Canarticho,カモネギ(Kamonegi),파오리(Paori),大蔥鴨 / 大葱鸭(Dàcōngyā)
83,084,Doduo,Normal,Flying,https://www.pokewiki.de/Dodu,"['Normal', 'Flying']",Dodu,Normal,Flug,"['Normal', 'Flug']",Doduo,ドードー(Dodo),두두(Dudu),嘟嘟 / 嘟嘟(Dūdū)
84,085,Dodrio,Normal,Flying,https://www.pokewiki.de/Dodri,"['Normal', 'Flying']",Dodri,Normal,Flug,"['Normal', 'Flug']",Dodrio,ドードリオ(Dodorio),두트리오(Duteurio),嘟嘟利 / 嘟嘟利(Dūdūlì)
85,086,Seel,Water,,https://www.pokewiki.de/Jurob,['Water'],Jurob,Wasser,,['Wasser'],Otaria,パウワウ(Pawou),쥬쥬(Jyujyu),小海獅 / 小海狮(Xiǎohǎishī)
86,087,Dewgong,Water,Ice,https://www.pokewiki.de/Jugong,"['Water', 'Ice']",Jugong,Wasser,Eis,"['Wasser', 'Eis']",Lamantine,ジュゴン(Jugon),쥬레곤(Jyuregon),白海獅 / 白海狮(Báihǎishī)
87,088,Grimer,Poison,,https://www.pokewiki.de/Sleima,['Poison'],Sleima,Gift,,['Gift'],Tadmorv,ベトベター(Betbeter),질퍽이(Jilpeogi),臭泥 / 臭泥(Chòuní)
88,089,Muk,Poison,,https://www.pokewiki.de/Sleimok,['Poison'],Sleimok,Gift,,['Gift'],Grotadmorv,ベトベトン(Betbeton),질뻐기(Jilppeogi),臭臭泥 / 臭臭泥(Chòuchòuní)
89,090,Shellder,Water,,https://www.pokewiki.de/Muschas,['Water'],Muschas,Wasser,,['Wasser'],Kokiyas,シェルダー(Shellder),셀러(Selleo),大舌貝 / 大舌贝(Dàshébèi)
90,091,Cloyster,Water,Ice,https://www.pokewiki.de/Austos,"['Water', 'Ice']",Austos,Wasser,Eis,"['Wasser', 'Eis']",Crustabri,パルシェン(Parshen),파르셀(Pareusel),刺甲貝 / 刺甲贝(Cìjiǎbèi)
91,092,Gastly,Ghost,Poison,https://www.pokewiki.de/Nebulak,"['Ghost', 'Poison']",Nebulak,Geist,Gift,"['Geist', 'Gift']",Fantominus,ゴース(Ghos),고오스(Gooseu),鬼斯 / 鬼斯(Guǐsī)
92,093,Haunter,Ghost,Poison,https://www.pokewiki.de/Alpollo,"['Ghost', 'Poison']",Alpollo,Geist,Gift,"['Geist', 'Gift']",Spectrum,ゴースト(Ghost),고우스트(Gouseuteu),鬼斯通 / 鬼斯通(Guǐsītōng)
93,094,Gengar,Ghost,Poison,https://www.pokewiki.de/Gengar,"['Ghost', 'Poison']",Gengar,Geist,Gift,"['Geist', 'Gift']",Ectoplasma,ゲンガー(Gangar),팬텀(Paenteom),耿鬼 / 耿鬼(Gěngguǐ)
94,095,Onix,Rock,Ground,https://www.pokewiki.de/Onix,"['Rock', 'Ground']",Onix,Gestein,Boden,"['Gestein', 'Boden']",Onix,イワーク(Iwark),롱스톤(Rongseuton),大岩蛇 / 大岩蛇(Dàyánshé)
95,096,Drowzee,Psychic,,https://www.pokewiki.de/Traumato,['Psychic'],Traumato,Psycho,,['Psycho'],Soporifik,スリープ(Sleepe),슬리프(Seullipeu),催眠貘 / 催眠貘(Cuīmiánmò)
96,097,Hypno,Psychic,,https://www.pokewiki.de/Hypno,['Psychic'],Hypno,Psycho,,['Psycho'],Hypnomade,スリーパー(Sleeper),슬리퍼(Seullipeo),引夢貘人 / 引梦貘人(Yǐnmèngmòrén)
97,098,Krabby,Water,,https://www.pokewiki.de/Krabby,['Water'],Krabby,Wasser,,['Wasser'],Krabby,クラブ(Crab),크랩(Keuraep),大鉗蟹 / 大钳蟹(Dàqiánxiè)
98,099,Kingler,Water,,https://www.pokewiki.de/Kingler,['Water'],Kingler,Wasser,,['Wasser'],Krabboss,キングラー(Kingler),킹크랩(Kingkeuraep),巨鉗蟹 / 巨钳蟹(Jùqiánxiè)
99,100,Voltorb,Electric,,https://www.pokewiki.de/Voltobal,['Electric'],Voltobal,Elektro,,['Elektro'],Voltorbe,ビリリダマ(Biriridama),찌리리공(Jjiririgong),霹靂電球 / 霹雳电球(Pīlìdiànqiú)
100,101,Electrode,Electric,,https://www.pokewiki.de/Lektrobal,['Electric'],Lektrobal,Elektro,,['Elektro'],Électrode,マルマイン(Marumine),붐볼(Bumbol),頑皮雷彈 / 顽皮雷弹(Wánpíléidàn)
101,102,Exeggcute,Grass,Psychic,https://www.pokewiki.de/Owei,"['Grass', 'Psychic']",Owei,Pflanze,Psycho,"['Pflanze', 'Psycho']",Noeunoeuf,タマタマ(Tamatama),아라리(Arari),蛋蛋 / 蛋蛋(Dàndàn)
102,103,Exeggutor,Grass,Psychic,https://www.pokewiki.de/Kokowei,"['Grass', 'Psychic']",Kokowei,Pflanze,Psycho,"['Pflanze', 'Psycho']",Noadkoko,ナッシー(Nassy),나시(Nasi),椰蛋樹 / 椰蛋树(Yēdànshù)
103,104,Cubone,Ground,,https://www.pokewiki.de/Tragosso,['Ground'],Tragosso,Boden,,['Boden'],Osselait,カラカラ(Karakara),탕구리(Tangguri),卡拉卡拉 / 卡拉卡拉(Kǎlākǎlā)
104,105,Marowak,Ground,,https://www.pokewiki.de/Knogga,['Ground'],Knogga,Boden,,['Boden'],Ossatueur,ガラガラ(Garagara),텅구리(Teongguri),嘎啦嘎啦 / 嘎啦嘎啦(Gālāgālā)
105,106,Hitmonlee,Fight,,https://www.pokewiki.de/Kicklee,['Fight'],Kicklee,Kampf,,['Kampf'],Kicklee,サワムラー(Sawamular),시라소몬(Sirasomon),飛腿郎 / 飞腿郎(Fēituǐláng)
106,107,Hitmonchan,Fight,,https://www.pokewiki.de/Nockchan,['Fight'],Nockchan,Kampf,,['Kampf'],Tygnon,エビワラー(Ebiwalar),홍수몬(Hongsumon),快拳郎 / 快拳郎(Kuàiquánláng)
107,108,Lickitung,Normal,,https://www.pokewiki.de/Schlurp,['Normal'],Schlurp,Normal,,['Normal'],Excelangue,ベロリンガ(Beroringa),내루미(Naerumi),大舌頭 / 大舌头(Dàshétóu)
108,109,Koffing,Poison,,https://www.pokewiki.de/Smogon,['Poison'],Smogon,Gift,,['Gift'],Smogo,ドガース(Dogars),또가스(Ttogaseu),瓦斯彈 / 瓦斯弹(Wǎsīdàn)
109,110,Weezing,Poison,,https://www.pokewiki.de/Smogmog,['Poison'],Smogmog,Gift,,['Gift'],Smogogo,マタドガス(Matadogas),또도가스(Ttodogaseu),雙彈瓦斯 / 双弹瓦斯(Shuāngdànwǎsī)
110,111,Rhyhorn,Ground,Rock,https://www.pokewiki.de/Rihorn,"['Ground', 'Rock']",Rihorn,Boden,Gestein,"['Boden', 'Gestein']",Rhinocorne,サイホーン(Sihorn),뿔카노(Ppulkano),獨角犀牛 / 独角犀牛(Dújiǎoxīniú)
111,112,Rhydon,Ground,Rock,https://www.pokewiki.de/Rizeros,"['Ground', 'Rock']",Rizeros,Boden,Gestein,"['Boden', 'Gestein']",Rhinoféros,サイドン(Sidon),코뿌리(Koppuri),鑽角犀獸 / 钻角犀兽(Zuānjiǎoxīshòu)
112,113,Chansey,Normal,,https://www.pokewiki.de/Chaneira,['Normal'],Chaneira,Normal,,['Normal'],Leveinard,ラッキー(Lucky),럭키(Reokki),吉利蛋 / 吉利蛋(Jílìdàn)
113,114,Tangela,Grass,,https://www.pokewiki.de/Tangela,['Grass'],Tangela,Pflanze,,['Pflanze'],Saquedeneu,モンジャラ(Monjara),덩쿠리(Deongkuri),蔓藤怪 / 蔓藤怪(Mànténgguài)
