pokedex_nr,"('base_stat', 'attack')","('base_stat', 'defense')","('base_stat', 'hp')","('base_stat', 'special-attack')","('base_stat', 'special-defense')","('base_stat', 'speed')","('effort', 'attack')","('effort', 'defense')","('effort', 'hp')","('effort', 'special-attack')","('effort', 'special-defense')","('effort', 'speed')"
036,70.0,73.0,95.0,95.0,90.0,60.0,0.0,0.0,3.0,0.0,0.0,0.0
037,41.0,40.0,38.0,50.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0
038,76.0,75.0,73.0,81.0,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0
039,45.0,20.0,115.0,45.0,25.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0
040,70.0,45.0,140.0,85.0,50.0,45.0,0.0,0.0,3.0,0.0,0.0,0.0
041,45.0,35.0,40.0,30.0,40.0,55.0,0.0,0.0,0.0,0.0,0.0,1.0
042,80.0,70.0,75.0,65.0,75.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0
043,50.0,55.0,45.0,75.0,65.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0
044,65.0,70.0,60.0,85.0,75.0,40.0,0.0,0.0,0.0,2.0,0.0,0.0
045,80.0,85.0,75.0,110.0,90.0,50.0,0.0,0.0,0.0,3.0,0.0,0.0
046,70.0,55.0,35.0,45.0,55.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0
047,95.0,80.0,60.0,60.0,80.0,30.0,2.0,1.0,0.0,0.0,0.0,0.0
048,55.0,50.0,60.0,40.0,55.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0
049,65.0,60.0,70.0,90.0,75.0,90.0,0.0,0.0,0.0,1.0,0.0,1.0
050,55.0,25.0,10.0,35.0,45.0,95.0,0.0,0.0,0.0,0.0,0.0,1.0
051,100.0,50.0,35.0,50.0,70.0,120.0,0.0,0.0,0.0,0.0,0.0,2.0
052,45.0,35.0,40.0,40.0,40.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0
053,70.0,60.0,65.0,65.0,65.0,115.0,0.0,0.0,0.0,0.0,0.0,2.0
054,52.0,48.0,50.0,65.0,50.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0
055,82.0,78.0,80.0,95.0,80.0,85.0,0.0,0.0,0.0,2.0,0.0,0.0
056,80.0,35.0,40.0,35.0,45.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0
057,105.0,60.0,65.0,60.0,70.0,95.0,2.0,0.0,0.0,0.0,0.0,0.0
058,70.0,45.0,55.0,70.0,50.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0
059,110.0,80.0,90.0,100.0,80.0,95.0,2.0,0.0,0.0,0.0,0.0,0.0
060,50.0,40.0,40.0,40.0,40.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0
061,65.0,65.0,65.0,50.0,50.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0
062,95.0,95.0,90.0,70.0,90.0,70.0,0.0,3.0,0.0,0.0,0.0,0.0
063,20.0,15.0,25.0,105.0,55.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0
064,35.0,30.0,40.0,120.0,70.0,105.0,0.0,0.0,0.0,2.0,0.0,0.0
065,50.0,45.0,55.0,135.0,95.0,120.0,0.0,0.0,0.0,3.0,0.0,0.0
066,80.0,50.0,70.0,35.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0
067,100.0,70.0,80.0,50.0,60.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0
068,130.0,80.0,90.0,65.0,85.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0
069,75.0,35.0,50.0,70.0,30.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
070,90.0,50.0,65.0,85.0,45.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0
071,105.0,65.0,80.0,100.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0
072,40.0,35.0,40.0,50.0,100.0,70.0,0.0,0.0,0.0,0.0,1.0,0.0
073,70.0,65.0,80.0,80.0,120.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0
074,80.0,100.0,40.0,30.0,30.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0
075,95.0,115.0,55.0,45.0,45.0,35.0,0.0,2.0,0.0,0.0,0.0,0.0
076,120.0,130.0,80.0,55.0,65.0,45.0,0.0,3.0,0.0,0.0,0.0,0.0
077,85.0,55.0,50.0,65.0,65.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0
078,100.0,70.0,65.0,80.0,80.0,105.0,0.0,0.0,0.0,0.0,0.0,2.0
079,65.0,65.0,90.0,40.0,40.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0
080,75.0,110.0,95.0,100.0,80.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0
081,35.0,70.0,25.0,95.0,55.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0
082,60.0,95.0,50.0,120.0,70.0,70.0,0.0,0.0,0.0,2.0,0.0,0.0
083,90.0,55.0,52.0,58.0,62.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0
084,85.0,45.0,35.0,35.0,35.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
085,110.0,70.0,60.0,60.0,60.0,110.0,2.0,0.0,0.0,0.0,0.0,0.0
086,45.0,55.0,65.0,45.0,70.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0
087,70.0,80.0,90.0,70.0,95.0,70.0,0.0,0.0,0.0,0.0,2.0,0.0
088,80.0,50.0,80.0,40.0,50.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0
089,105.0,75.0,105.0,65.0,100.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0
090,65.0,100.0,30.0,45.0,25.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0
091,95.0,180.0,50.0,85.0,45.0,70.0,0.0,2.0,0.0,0.0,0.0,0.0
092,35.0,30.0,30.0,100.0,35.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0
093,50.0,45.0,45.0,115.0,55.0,95.0,0.0,0.0,0.0,2.0,0.0,0.0
094,65.0,60.0,60.0,130.0,75.0,110.0,0.0,0.0,0.0,3.0,0.0,0.0
095,45.0,160.0,35.0,30.0,45.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0
096,48.0,45.0,60.0,43.0,90.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0
097,73.0,70.0,85.0,73.0,115.0,67.0,0.0,0.0,0.0,0.0,2.0,0.0
098,105.0,90.0,30.0,25.0,25.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0
099,130.0,115.0,55.0,50.0,50.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0
100,30.0,50.0,40.0,55.0,55.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0
101,50.0,70.0,60.0,80.0,80.0,150.0,0.0,0.0,0.0,0.0,0.0,2.0
102,40.0,80.0,60.0,60.0,45.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0
103,95.0,85.0,95.0,125.0,75.0,55.0,0.0,0.0,0.0,2.0,0.0,0.0
104,50.0,95.0,50.0,40.0,50.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0
105,80.0,110.0,60.0,50.0,80.0,45.0,0.0,2.0,0.0,0.0,0.0,0.0
106,120.0,53.0,50.0,35.0,110.0,87.0,2.0,0.0,0.0,0.0,0.0,0.0
107,105.0,79.0,50.0,35.0,110.0,76.0,0.0,0.0,0.0,0.0,2.0,0.0
108,55.0,75.0,90.0,60.0,75.0,30.0,0.0,0.0,2.0,0.0,0.0,0.0
109,65.0,95.0,40.0,60.0,45.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0
110,90.0,120.0,65.0,85.0,70.0,60.0,0.0,2.0,0.0,0.0,0.0,0.0
111,85.0,95.0,80.0,30.0,30.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0
112,130.0,120.0,105.0,45.0,45.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0
113,5.0,5.0,250.0,35.0,105.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0
114,55.0,115.0,65.0,100.0,40.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0
115,95.0,80.0,105.0,40.0,80.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0
116,40.0,70.0,30.0,70.0,25.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0
117,65.0,95.0,55.0,95.0,45.0,85.0,0.0,1.0,0.0,1.0,0.0,0.0
118,67.0,60.0,45.0,35.0,50.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0
119,92.0,65.0,80.0,65.0,80.0,68.0,2.0,0.0,0.0,0.0,0.0,0.0
120,45.0,55.0,30.0,70.0,55.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0
121,75.0,85.0,60.0,100.0,85.0,115.0,0.0,0.0,0.0,0.0,0.0,2.0
122,45.0,65.0,40.0,100.0,120.0,90.0,0.0,0.0,0.0,0.0,2.0,0.0
123,110.0,80.0,70.0,55.0,80.0,105.0,1.0,0.0,0.0,0.0,0.0,0.0
124,50.0,35.0,65.0,115.0,95.0,95.0,0.0,0.0,0.0,2.0,0.0,0.0
125,83.0,57.0,65.0,95.0,85.0,105.0,0.0,0.0,0.0,0.0,0.0,2.0
126,95.0,57.0,65.0,100.0,85.0,93.0,0.0,0.0,0.0,2.0,0.0,0.0
127,125.0,100.0,65.0,55.0,70.0,85.0,2.0,0.0,0.0,0.0,0.0,0.0
128,100.0,95.0,75.0,40.0,70.0,110.0,1.0,0.0,0.0,0.0,0.0,1.0
129,10.0,55.0,20.0,15.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0
130,125.0,79.0,95.0,60.0,100.0,81.0,2.0,0.0,0.0,0.0,0.0,0.0
131,85.0,80.0,130.0,85.0,95.0,60.0,0.0,0.0,2.0,0.0,0.0,0.0
132,48.0,48.0,48.0,48.0,48.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0
133,55.0,50.0,55.0,45.0,65.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0
134,65.0,60.0,130.0,110.0,95.0,65.0,0.0,0.0,2.0,0.0,0.0,0.0
135,65.0,60.0,65.0,110.0,95.0,130.0,0.0,0.0,0.0,0.0,0.0,2.0
136,130.0,60.0,65.0,95.0,110.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0
137,60.0,70.0,65.0,85.0,75.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0
138,40.0,100.0,35.0,90.0,55.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0
139,60.0,125.0,70.0,115.0,70.0,55.0,0.0,2.0,0.0,0.0,0.0,0.0
140,80.0,90.0,30.0,55.0,45.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0
141,115.0,105.0,60.0,65.0,70.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0
142,105.0,65.0,80.0,60.0,75.0,130.0,0.0,0.0,0.0,0.0,0.0,2.0
143,110.0,65.0,160.0,65.0,110.0,30.0,0.0,0.0,2.0,0.0,0.0,0.0
144,85.0,100.0,90.0,95.0,125.0,85.0,0.0,0.0,0.0,0.0,3.0,0.0
145,90.0,85.0,90.0,125.0,90.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0
146,100.0,90.0,90.0,125.0,85.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0
147,64.0,45.0,41.0,50.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0
148,84.0,65.0,61.0,70.0,70.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0
149,134.0,95.0,91.0,100.0,100.0,80.0,3.0,0.0,0.0,0.0,0.0,0.0
150,110.0,90.0,106.0,154.0,90.0,130.0,0.0,0.0,0.0,3.0,0.0,0.0
151,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0
152,49.0,65.0,45.0,49.0,65.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0
153,62.0,80.0,60.0,63.0,80.0,60.0,0.0,1.0,0.0,0.0,1.0,0.0
154,82.0,100.0,80.0,83.0,100.0,80.0,0.0,1.0,0.0,0.0,2.0,0.0
155,52.0,43.0,39.0,60.0,50.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0
156,64.0,58.0,58.0,80.0,65.0,80.0,0.0,0.0,0.0,1.0,0.0,1.0
157,84.0,78.0,78.0,109.0,85.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0
158,65.0,64.0,50.0,44.0,48.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0
159,80.0,80.0,65.0,59.0,63.0,58.0,1.0,1.0,0.0,0.0,0.0,0.0
160,105.0,100.0,85.0,79.0,83.0,78.0,2.0,1.0,0.0,0.0,0.0,0.0
161,46.0,34.0,35.0,35.0,45.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
162,76.0,64.0,85.0,45.0,55.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0
163,30.0,30.0,60.0,36.0,56.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0
164,50.0,50.0,100.0,86.0,96.0,70.0,0.0,0.0,2.0,0.0,0.0,0.0
165,20.0,30.0,40.0,40.0,80.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0
166,35.0,50.0,55.0,55.0,110.0,85.0,0.0,0.0,0.0,0.0,2.0,0.0
167,60.0,40.0,40.0,40.0,40.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0
168,90.0,70.0,70.0,60.0,70.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0
169,90.0,80.0,85.0,70.0,80.0,130.0,0.0,0.0,0.0,0.0,0.0,3.0
170,38.0,38.0,75.0,56.0,56.0,67.0,0.0,0.0,1.0,0.0,0.0,0.0
171,58.0,58.0,125.0,76.0,76.0,67.0,0.0,0.0,2.0,0.0,0.0,0.0
172,40.0,15.0,20.0,35.0,35.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0
173,25.0,28.0,50.0,45.0,55.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0
174,30.0,15.0,90.0,40.0,20.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0
175,20.0,65.0,35.0,40.0,65.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0
176,40.0,85.0,55.0,80.0,105.0,40.0,0.0,0.0,0.0,0.0,2.0,0.0
177,50.0,45.0,40.0,70.0,45.0,70.0,0.0,0.0,0.0,1.0,0.0,0.0
178,75.0,70.0,65.0,95.0,70.0,95.0,0.0,0.0,0.0,1.0,0.0,1.0
179,40.0,40.0,55.0,65.0,45.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0
180,55.0,55.0,70.0,80.0,60.0,45.0,0.0,0.0,0.0,2.0,0.0,0.0
181,75.0,85.0,90.0,115.0,90.0,55.0,0.0,0.0,0.0,3.0,0.0,0.0
182,80.0,95.0,75.0,90.0,100.0,50.0,0.0,0.0,0.0,0.0,3.0,0.0
183,20.0,50.0,70.0,20.0,50.0,40.0,0.0,0.0,2.0,0.0,0.0,0.0
184,50.0,80.0,100.0,60.0,80.0,50.0,0.0,0.0,3.0,0.0,0.0,0.0
185,100.0,115.0,70.0,30.0,65.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0
186,75.0,75.0,90.0,90.0,100.0,70.0,0.0,0.0,0.0,0.0,3.0,0.0
187,35.0,40.0,35.0,35.0,55.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0
188,45.0,50.0,55.0,45.0,65.0,80.0,0.0,0.0,0.0,0.0,0.0,2.0
189,55.0,70.0,75.0,55.0,95.0,110.0,0.0,0.0,0.0,0.0,0.0,3.0
190,70.0,55.0,55.0,40.0,55.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0
191,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0
192,75.0,55.0,75.0,105.0,85.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0
193,65.0,45.0,65.0,75.0,45.0,95.0,0.0,0.0,0.0,0.0,0.0,1.0
194,45.0,45.0,55.0,25.0,25.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0
195,85.0,85.0,95.0,65.0,65.0,35.0,0.0,0.0,2.0,0.0,0.0,0.0
196,65.0,60.0,65.0,130.0,95.0,110.0,0.0,0.0,0.0,2.0,0.0,0.0
197,65.0,110.0,95.0,60.0,130.0,65.0,0.0,0.0,0.0,0.0,2.0,0.0
198,85.0,42.0,60.0,85.0,42.0,91.0,0.0,0.0,0.0,0.0,0.0,1.0
199,75.0,80.0,95.0,100.0,110.0,30.0,0.0,0.0,0.0,0.0,3.0,0.0
200,60.0,60.0,60.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,1.0,0.0
201,72.0,48.0,48.0,72.0,48.0,48.0,1.0,0.0,0.0,1.0,0.0,0.0
202,33.0,58.0,190.0,33.0,58.0,33.0,0.0,0.0,2.0,0.0,0.0,0.0
203,80.0,65.0,70.0,90.0,65.0,85.0,0.0,0.0,0.0,2.0,0.0,0.0
204,65.0,90.0,50.0,35.0,35.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
205,90.0,140.0,75.0,60.0,60.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0
206,70.0,70.0,100.0,65.0,65.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0
207,75.0,105.0,65.0,35.0,65.0,85.0,0.0,1.0,0.0,0.0,0.0,0.0
208,85.0,200.0,75.0,55.0,65.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0
209,80.0,50.0,60.0,40.0,40.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0
210,120.0,75.0,90.0,60.0,60.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0
211,95.0,85.0,65.0,55.0,55.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0
212,130.0,100.0,70.0,55.0,80.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0
213,10.0,230.0,20.0,10.0,230.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0
214,125.0,75.0,80.0,40.0,95.0,85.0,2.0,0.0,0.0,0.0,0.0,0.0
215,95.0,55.0,55.0,35.0,75.0,115.0,0.0,0.0,0.0,0.0,0.0,1.0
216,80.0,50.0,60.0,50.0,50.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
217,130.0,75.0,90.0,75.0,75.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0
218,40.0,40.0,40.0,70.0,40.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0
219,50.0,120.0,60.0,90.0,80.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0
220,50.0,40.0,50.0,30.0,30.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0
221,100.0,80.0,100.0,60.0,60.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0
222,55.0,95.0,65.0,65.0,95.0,35.0,0.0,1.0,0.0,0.0,1.0,0.0
223,65.0,35.0,35.0,65.0,35.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0
224,105.0,75.0,75.0,105.0,75.0,45.0,1.0,0.0,0.0,1.0,0.0,0.0
225,55.0,45.0,45.0,65.0,45.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0
226,40.0,70.0,85.0,80.0,140.0,70.0,0.0,0.0,0.0,0.0,2.0,0.0
227,80.0,140.0,65.0,40.0,70.0,70.0,0.0,2.0,0.0,0.0,0.0,0.0
228,60.0,30.0,45.0,80.0,50.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0
229,90.0,50.0,75.0,110.0,80.0,95.0,0.0,0.0,0.0,2.0,0.0,0.0
230,95.0,95.0,75.0,95.0,95.0,85.0,1.0,0.0,0.0,1.0,1.0,0.0
231,60.0,60.0,90.0,40.0,40.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0
232,120.0,120.0,90.0,60.0,60.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0
233,80.0,90.0,85.0,105.0,95.0,60.0,0.0,0.0,0.0,2.0,0.0,0.0
234,95.0,62.0,73.0,85.0,65.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0
235,20.0,35.0,55.0,20.0,45.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0
236,35.0,35.0,35.0,35.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0
237,95.0,95.0,50.0,35.0,110.0,70.0,0.0,0.0,0.0,0.0,2.0,0.0
238,30.0,15.0,45.0,85.0,65.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0
239,63.0,37.0,45.0,65.0,55.0,95.0,0.0,0.0,0.0,0.0,0.0,1.0
240,75.0,37.0,45.0,70.0,55.0,83.0,0.0,0.0,0.0,0.0,0.0,1.0
241,80.0,105.0,95.0,40.0,70.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0
242,10.0,10.0,255.0,75.0,135.0,55.0,0.0,0.0,3.0,0.0,0.0,0.0
243,85.0,75.0,90.0,115.0,100.0,115.0,0.0,0.0,0.0,1.0,0.0,2.0
244,115.0,85.0,115.0,90.0,75.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0
245,75.0,115.0,100.0,90.0,115.0,85.0,0.0,1.0,0.0,0.0,2.0,0.0
246,64.0,50.0,50.0,45.0,50.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0
247,84.0,70.0,70.0,65.0,70.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0
248,134.0,110.0,100.0,95.0,100.0,61.0,3.0,0.0,0.0,0.0,0.0,0.0
249,90.0,130.0,106.0,90.0,154.0,110.0,0.0,0.0,0.0,0.0,3.0,0.0
250,130.0,90.0,106.0,110.0,154.0,90.0,0.0,0.0,0.0,0.0,3.0,0.0
251,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0
252,45.0,35.0,40.0,65.0,55.0,70.0,0.0,0.0,0.0,0.0,0.0,1.0
253,65.0,45.0,50.0,85.0,65.0,95.0,0.0,0.0,0.0,0.0,0.0,2.0
254,85.0,65.0,70.0,105.0,85.0,120.0,0.0,0.0,0.0,0.0,0.0,3.0
255,60.0,40.0,45.0,70.0,50.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0
256,85.0,60.0,60.0,85.0,60.0,55.0,1.0,0.0,0.0,1.0,0.0,0.0
257,120.0,70.0,80.0,110.0,70.0,80.0,3.0,0.0,0.0,0.0,0.0,0.0
258,70.0,50.0,50.0,50.0,50.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
259,85.0,70.0,70.0,60.0,70.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0
260,110.0,90.0,100.0,85.0,90.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0
261,55.0,35.0,35.0,30.0,30.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0
262,90.0,70.0,70.0,60.0,60.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0
263,30.0,41.0,38.0,30.0,41.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0
264,70.0,61.0,78.0,50.0,61.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0
265,45.0,35.0,45.0,20.0,30.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0
266,35.0,55.0,50.0,25.0,25.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0
267,70.0,50.0,60.0,100.0,50.0,65.0,0.0,0.0,0.0,3.0,0.0,0.0
268,35.0,55.0,50.0,25.0,25.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0
269,50.0,70.0,60.0,50.0,90.0,65.0,0.0,0.0,0.0,0.0,3.0,0.0
270,30.0,30.0,40.0,40.0,50.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0
271,50.0,50.0,60.0,60.0,70.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0
272,70.0,70.0,80.0,90.0,100.0,70.0,0.0,0.0,0.0,0.0,3.0,0.0
273,40.0,50.0,40.0,30.0,30.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0
274,70.0,40.0,70.0,60.0,40.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0
