,textDisplay,likeCount,label
56,"I think it will take 5 to 10 decades for this joke bricks things to be settled , maybe it faster if they moved to the moon 😅😅😅😅",0,0
57,😂😂😂😂😂,0,0
58,Took too long for brings to reach this stage considering d time it was established,0,0
59,"BRICS is fake .. it&#39;s a third world thing<br>It&#39;s not an anti-NATO, it&#39;s not going to replace the dollar, and it&#39;s not going to control global economic growth.",0,0
60,"Wow ! That is good news, hope BRICS will accept more countries in the near future, especially those countries with rich resources. Keep it up BRICS 👏 👏 👍👍",1,1
61,When the two biggest countries in BRICS are regional rivals you already know they will not achieve much as an alliance.,1,1
62,Goodbye us dollar<br>Welcome new brics congratulations i can&#39;t wait,1,1
63,Congratulations to BRICSIAESUE,1,1
64,"We should shutdown UN and ICC, leave them to the West, and all embrace BRICS",0,0
65,Doomed to failure. Would you put your savings in any BRICS currency?,0,0
66,Saudi Arabia and Iran joined? I&#39;m sure that won&#39;t cause any division...,0,0
67,What a joke 😂,0,0
68,"hahahahaha BRICS....BumsRussiansIdiotsComunistsSCUM ,for all the morons in the comments........................... just get jobs",0,0
69,this brics has no sense its a pro socialist style of econmies it is doomed to fail..,0,0
70,"Sorry,you have no place in the G7, well, I join the BRICS",0,0
71,Yes please continue. Guess we&#39;ll probably have to kick you all out of the UN eventually,0,0
72,NATO is like what are we gonna do??,0,0
73,The best is yet to come!,0,0
74,Bye bye US Dollar,0,0
75,"Also use the Yuan as common currency throughout ME, AFRICA, SE ASIA, LATIN/CENTRAL America",1,1
76,My respect brics,1,1
77,"Why not Kenya and Nigeria, they are also significant economies of Africa?",0,0
78,What are their contribution in world technos? Nothing 😂,0,0
79,Most inhuman countries all together,0,0
80,Argentina must deal with their hate for dark skinned people if they want to benefit the most from this allegiance.,1,1
81,They are all extremely poor countries. 😂,0,0
82,"Odd the two largest members arent in the Southern hemisphere. Ahh...more alliances, yippee.",0,0
83,"great!&quot; just waiting for my country, México, to go that way!",0,0
84,Trojan Horse install successfully 😊,0,0
85,BRICS+ and I don&#39;t see any problem about Argentina leaving the block if Milei wins. Everyone should act according to his ideals,0,0
86,Excellent. Super super powers 👊.,0,0
87,name?,0,0
88,Iran and Saudi on the same page again!!,0,0
89,"Russia wants to stop nato expansion, we should return the favor",0,0
90,Just cry EU,0,0
91,Arg has no intention to be part of this.,0,0
92,"Now BRICS will be an even bigger waste of time, not capable of agreeing on anything. India and China? They have an active border dispute. Iran and KSA? Gimme a break.",0,0
93,US should see this coming after such dollar weaponization in the past few years.,0,0
94,Good for new members as they enter a new phase.,0,0
95,Umm 5 Muslim countries.Maybe not such a good idea.,0,0
96,Immediately promote cricket in Ethiopia.,0,0
97,Boycott these  countries  !,0,0
98,Argentina&#39;s plan is to dollarize.  This doesn&#39;t make sense 😕,0,0
99,"UAE<br>Saudi Arabia<br>Iran<br>Russia<br><br>BRICS have Top OPEC members,<br>omg <br><br><br>all they need left is Indonesia<br><br>🤔",1,1
100,Collect free money from the CCP,0,0
101,Western Government right now 👀,0,0
102,This what happen when you try to force woke politics on other nations that don’t want anything to do with it. Nice job democrats,0,0
103,Why waiting till January . You are already delayed .,0,0
104,Goodbye USA and us dollar,0,0
105,"It won’t last.  4 of those new members hate each other, and the original members already don’t get along.  Nothings going to change.",2,1
106,More power struggle. Means more wars. Any war will justified and amplified with both sides helping at each other to take territory. There won&#39;t be right or wrong.,0,0
107,RIP NATO,0,0
108,"Yes, free from imperialists usa and west.",0,0
109,I don&#39;t understand how are you people want to break  down the United States But you guys all fight they come here to escape your guys as country or poor management if that&#39;s the way you guys fight for then stay there.,0,0
110,Blessings and best wishes 🙏🏼,1,1
111,cooperation between authoritarian and territorial grabbers.,0,0
112,Congrats you’all!,0,0
113,Era off being equal treatment has aproached,0,0
114,"They even put ‘Historic’ with quotes in their title, as if that magically will change reality",0,0
115,BRICSAEEISU.....,0,0
116,22 0 China&#39;s President Xi Jinping Sir 🙏🇨🇳🇱🇰❤❤❤4s❤❤❤<br>Africa President And All GooD 🥇🌟<br>Xi Jinping Sir My Haus 🌻🇱🇰🙏💙💜💛,1,1
117,This is awesome.. THE EVIL WEST AND EUROPE IS GOING DOWN ..,0,0
118,5 are Islamic countries. Hopefully US and west cannot mess around them in the future.,0,0
119,As an INDIAN I would love to watch brics become a military alliance in future,4,1
120,BRICS IS A NUTSHELL!,0,0
121,Let me rephrase that for you. “In the face of a whites only hegemonic system”<br><br>Typical western superiority and discrimination mentality….,0,0
122,Wait and see when trump win the election here to see what happens to them 😅😅😅😅😅😅,0,0
123,New world is coming. Window of oportunity for developing countries is opening.,0,0
124,They could make Iran and Saudi sit in the same room facing each other.,0,0
125,Someone cry now in Washington and Brusselles.,0,0
126,Indonesia said pass,0,0
127,"The journey to equality is beginning after 100,s of years of supremacy. BRICS +👍 stand Together stand Strong.",0,0
128,Congratulations to <br>Ethiopia🇪🇹<br>Iran 🇮🇷<br>Argentina🇦🇷<br>Saudi Arabia🇸🇦<br>UAE <br>Egypt🇪🇬,1,1
129,So BRICS can expand but not NATO. Ok.,0,0
130,This will just bring poverty and wars,0,0
131,"As if this coalition wasn&#39;t corrupt enough, now they add Iran.",0,0
132,"Comecon Mexico 🇲🇽 let do it, sign in for BRICS",2,1
133,Macron and Indonesian not invited!,0,0
134,"Good for the world. Hopefully, we don&#39;t go to World War 3 over skittles. When ultimately it goes down to.productivity and demographics",0,0
135,"Banana Republic of International Chinese Subordinates makes invitations, but use bots to claim they&#39;re in for sure no takesy backsies",0,0
136,"Hooo my god it is so promising🙌 for better world🌍.Looks like west oil(Russia, middle east)+goods(chaina+india)+medicine (india) and all respected remaining counties of brics will be source for west daily needs 🎉.I hope now world will treat everyone from every corner of world(asia+Africa+west+middle East+Latin America+remaining all) with respect and equal oppertunity ❤",0,0
137,go!! brics,0,0
138,argentina.... egypt?? the militar regime? XD hahahaha,0,0
139,The present UN is considered to be biased towards the US and European countries. They always try to protect their interests excluding the remaining world.,0,0
140,At this point US is no longer democratic country .,1,1
141,Based.,0,0
142,❤,1,1
143,Historic failure😂,1,1
144,"Did Macron&#39;s request to join BRICS get accepted? Oh wait, I forgot he still has a &#39;Pact for the Continuation of Colonization&#39; forced upon 14 African countries to gain their &quot;independence&quot; from France. Never mind.",0,0
145,"Its basically the axis of evil and by large all dictatorships with no human rights. Thank god the west is still superior in military technology, economics and sheer smartness.",1,1
146,They should change the name,0,0
147,A giant step toward elimination of neo-colonialism from Global South.,1,1
148,Speaking in Johannesburg ??? They managed to keep the electric on ?,0,0
149,BRICS❤,0,0
150,The members of the evil axis group are growing...,0,0
151,All I&#39;ll minded people together,0,0
152,"The big difference I see is BRICS accepts authoritarian states. It turns a blind eye on repression of entire Peoples. It&#39;s biggest economy holds its citizens&#39; minds hostage inside an information bubble with little access to freely available information, justified by &quot;They&#39;re happy and that&#39;s what&#39;s important. The end justifies the means.&quot;",0,0
153,I wish france was in brics plus countries...french are loosing their identity to others hegemony in Europe. Europe has become a burden for french people.,0,0
154,Next week in tbe news: brics tunise US dollaar for transactions,0,0
155,europ shoud ban vacations travels to egipt,0,0
156,Thanks to India for giving life to BRICS.  earlier it was a dead alliance,0,0
157,The western economic sanction will be failed if they can replace dollar standard,0,0
158,"Indonesia gak ada soalnya gak jelas alias lebih pro ke Barat mungkin takut karena hutang. Padahal Russia kasih sukhoi baru murah malah lebih pilih beli bekas hutang ke Perancis dan USA.<br><br>Dikasih kerjasama PLTN oleh Russia, malah tetep pakai batu bara seperti zaman kolonial.<br><br>Semua itu karena hutang 7000 triliun lebih sehingga tidak berani.",0,0
159,"Enlargement. There is the concept of critical mass when a self sustaining chain reaction takes hold. Enlargement is not about anti-west ideology but the attainment of critical mass change from a forum to a hot team delivering institutions like New Development Bank, CBDC, cross-CBDC mBriidge, messaging, and trade settlement solutions.<br>Until these functionalities are working, the global south cannot avoid Western containment and hegemony.",0,0
160,It is very difficult to cooperate one another in BRICS.All countries have its own different stance.,0,0
161,Bravo in etwa so erfolgreich wie damals die &quot; Blockfreien&quot; Staaten,0,0
162,Brics just want members so they can do what ever they want internationally with out respecting laws of other nations,0,0
163,Well it’s the justice legue which is usa against the unjust league China 🇨🇳 Superman Vs lex and his injustice,1,1
164,All the nations that are in brics are either bad nations or have trouble in economics . Either they have bad nations or worst .they are nations that are rebels don’t follow international laws or respect other nations,1,1
165,Get ready Americans were gonna feel it in the oncoming years. Sins of empire we&#39;ll have to payback,2,1
166,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,1,1
167,VIVA BRICS 🎉🎉🎉,1,1
168,Now know as BRICS &amp; MORTAR,0,0
169,Venham para o Brasil estamos precisando muito de imigrantes temos milhões de postos de trabalho 🇧🇷😊,0,0
170,BRICS    Brutal Regimes Invested Capital Scheme,0,0
171,Desperate club 😂,0,0
172,"I want to express my gratitude to FRANCE 24 for sharing their latest development on YouTube. It seems that BBC and CNN have been removed from the platform, but I empathize with their situation🙂",1,1
173,"Giap and all the communists  were able to defeat western fake democracy aggressors because of what they believe, that is war is also favor the side with righteousness. A believe unknow or not practice by those aggressors.",0,0
174,"Lol. They don&#39;t care one bit about the prosperity of African people.  If you believe this, you&#39;re definitely in need of a reality check. They&#39;re going to put their own state run businesses there because they NEED money.  You&#39;ll never, ever weaken the America people...never.",0,0
175,WOW !,0,0
176,BRICS is basically the result of endless unjust sanctions and meddling of the West.,2,1
177,BRICKS 🧱 DESESPÉRATE 😅🤣😂😂 help putin,0,0
178,President of eritrea 🇪🇷🇪🇷🇪🇷get a warm  natural greeting from president of china.❤❤❤❤❤,3,1
179,"Difference between G7 and BRICS is that G7 led by U.S. talk as a one and act as a one but BRICS,<br>well goodluck with that.",0,0
180,"The new countries are undemocratic countries, run by kings and/or dictators.  South Africa; Brazil and India give up all pretenses of supporting democracy.  <br>Lula (Brazil) should be deeply ashamed of himself and Nelson Mandela will turn in his grave out of disappointment.",0,0
181,Xitler😂,1,1
182,Modi is the Boss ❤,2,1
183,Well Done … its Time to Isolated Nato Country’s ✌🏾,0,0
184,“In the face of western dominance rigged global system”,0,0
185,The beginning of the end of the Dollar.,0,0
186,USA is slowly become isolated by the day thanks to Pres Biden and his bloopers,0,0
187,We need a strong BRICS. It&#39;s time to end the European colonialism and the American Imperialism.,2,1
188,"Big problem for G7, EU and NATO(US)",0,0
189,So will they add new letters to their name? 😂,0,0
190,good job,1,1
191,"very good, let&#39;s see how woke western world does against them.",0,0
192,BRICSIAESUE,0,0
193,8 billion people are trying desperately to get away from the negative influence of just 1 billion other people.,2,1
194,It will fail because there is no hierarchy. Its just an anti western club like the non aligned movement<br>..Like what is the point of BRICS if its not just the BRICS nations?,0,0
195,"Future United Nations ,will be  free from NATO,",0,0
196,BRICS❤✅,0,0
197,Well well well. This is the biggest gathering of dictators and wannabe dictators since WW2.. whatsover could go wrong right.,0,0
198,Vilification of other countries by Western brainwashing media always add their biased views to their news.,0,0
199,The brics is just a photo opportunity 🤣,0,0
200,"Great, the extended BRICS should teach the Western countries what is democracy/respect &amp; civilisation (for All not just selfish few)",2,1
201,The bigger bricks grow the lower prices and all other monopolies fall which is good for us humans who are not on any government payroll,0,0
202,"This Unity is production of Fear , togetherness to dominant, we should unit because of Love , oneess to elevate.",0,0
203,Rus is like &quot; Thank you NATO for giving us 6 more members&quot; 😂😂😂😂,4,1
204,France trying hard to get into brics 😂,1,1
205,Saudi Arabia has made a historic decision by joining BRICS. This will be game changer for BRICS.,270,1
206,US sanction is no longer useful against Iran anymore.<br>Bravo BRICS 👏👍,4,1
207,This is powerful.👍,1,1
208,Better than Gangster 7 countries. No shame. Colonised much of the world.,3,1
209,"The west has survived with paper printed money till now, brics dont accept your toilet paper.",0,0
210,"Yes, they just had to include the word &#39;authoritarian&#39;?  I can think of plenty of authoritarianisms in G7 countries. I&#39;m just surprised a western MSM like this even bothered to include the news about BRICS+.",0,0
211,Add Indonesia,1,1
212,"Congratulations, my beloved Ethiopia  🇪🇹 ❤️ 💖 ♥️",20,1
213,Congratulations 🎊 👏 💐 🥳 🎊 👏 💐 🥳,0,0
214,BRICS is the future. ❤,0,0
215,Congratulations BRICS! ❤,5,1
216,"It&#39;s time for France to  raise retirement age to 80, no more free resources 😂",1,1
217,Soudi Arabia is odd,0,0
218,1st rule: no human rights,0,0
219,Be interesting to see which currency they use. It will be a fight between China and Russia. Looking forward to seeing this one.,0,0
220,Congratulations  And dedolllarisation should develop fast and bring down the undue luxury of Americans at the cost of the rest of the world.,1,1
221,Lucky countries….the rest of us are done! Our elites robbed us blind 🤢,2,1
222,👍👍👍 The EU is doomed,1,1
223,Great. Waiting to hear the new name. May be BRICSEEIUSA,0,0
224,"Every country in the world is still developing. When you call yourself developed just to turn around and see that the developing are more developed than you, then you may have to start calling yourself underdeveloped.",1,1
225,I can&#39;t wait to see what they&#39;re going to call it now !,0,0
226,"So, new name is BRICS Plus???",1,1
227,"I am an Indian and I would say India should leave BRICS if the group includes more autocratic states in future. The group has already become autocratic. 7 out of 11 members are autocratic. Also, all the new guys are more pro China. The group can survive only if it has 50-50 balance between autocracies and democracies. If this new BRICS  is vying for some hegemony, then they have diverted from what they were founded for. Lula truly said BRICS doesn&#39;t want to compete with any other group. It only wants to give voice and space for countries whose voices were unheard at the rich countries groupings.",1,1
228,End the hegemony of the West. End the dollar.,3,1
229,"Congrats BRICS, hope india will not be US agent of erosion in this organization",4,1
230,Congratulations to the new ones....I can&#39;t wait to see our beloved Sénégal to join BRICS,11,1
231,"We&#39;re waiting for DR Congo, Kenya, and Nigeria because we know already Ghana will be among the next in. VERY WELL DONE ETHIOPIA.....BLESS",1,1
232,Demolishing Western hegemony BRICS by BRICS.,2,1
233,Why did they reject Algeria?,0,0
234,Still. What&#39;s the use? What are the outcomes ?,0,0
235,Very good continue and keep it up.,0,0
236,"&quot;BRICS: A counterweight to western-led G7 group of leading democracies? &quot;  <br>The West built and monopolies a post WW2 system (World Bank, IMF, SWIFT, BIS, USD ...) on which the Rest had the status of beggars.  These supposed common goods have been weaponised to dominate the Rest to benefit Western objectives/interests.<br>BRICS is now building its own utilities (AIIB, NDB, settlement currency, and messaging network).  Call that a counter weight if you like. These utilities will support the development, and emergency needs of its members and partners free of Western interference and attitudes.<br>In effect the West will lose leverage over BRICS, but it is leverage it never should have had to begin with.  In short, the West had the chance to give space at the table for emerging powers but they refused. So the Rest are setting thier own table, having their feast, and the West is not invited to their party except on occasions.<br>Which party will be more colourful, more diverse, more just, more productive, better endowed by nature, more ingenious ... prior history gives a hint but only time will tell. No one can presume the future.",1,1
237,💪💪💪💪💪💪💪💪💪💪🙏🙏🙏🙏🙏a great movement full of strength 💪 and blessings.,0,0
238,"Finally the imperalist western countries will gradually become irrelevant and put into their places as members of a Global community of nations, where they cannot bully lesser nations nor loot their resources nor enact regime changes with impunity to serve their purposes. These very western imperialists nations while preaching democracy and rule of law openly support repressive regimes to further their wn goals at the expense of others people of other nations.<br>A very good example is of Ukraine and the ongoing war, while these western nations do not want to talk peace and save lives.",1,1
239,Way you go global south up up ! Unlike the global north,0,0
240,Till tings come to brickbats!,0,0
241,who control Africa is control the world.,0,0
242,Congratulations from Ghana 🇬🇭❤❤❤,1,1
243,Peace and prosperity to BRICS nations. Do not let US sabotage this.  China and India must make peace....,2,1
244,"China is the leader, and everyone wants to make some profit here.",0,0
245,Love 😘❤ Prou😘❤️🔥💎🦁🤟,0,0
246,"I&#39;m glad Argentina got accepted, now all Latin America Countries should join BRICS+",1,1
247,All from the east? Oooo yikes...   The beginnings of the biblical prophecy.,0,0
248,Rename into IBEERCASUSI,0,0
249,"Looks like american santions on iran will not be as effective now. Iran dictatorship is a problem specially with opression of women but sanctions effected common citizens of iran. Even with so much problems, iranian science and tech  contribution is respectable. If only they were allowed succeed. Everyone know americans did it for iranian oil.",1,1
250,Please help Africa but don&#39;t give them cash,0,0
251,"BRICS is building  a very very big wall to USA, NATO and  EU.",0,0
252,Why is France not allowed to join? I heard that Macron wanted to join.,0,0
253,What a tough day for FRANCE 24 😂,1,1
254,Glory to the Brics plus block to counter the evil west,0,0
255,your future home is built by BRICS.,0,0
256,BRICSISAE... alphabet soup.,0,0
257,Iran 😢😢😢😢😢😢😢!,1,1
258,Strange bed fellows,0,0
259,"Okay. You got more countries but what are they going to do with more countries. They don&#39;t have economic cooperation and they don&#39;t have military cooperation either. Primarily because of India-China relations. Without China-India working together, it will remain a useless bloc forever. Maybe they can turn expanded BRICS into new UNSC for Global South so that the existing UN created and dominated by WWII victors can no longer be used as tool for their hegemonic ambitions and satanic plots against native world.",0,0
260,Excellent. God bless. Amen.,0,0
261,Wow,0,0
262,well done bricks world need u,0,0
263,Why Ethiopia lol,0,0
264,"Including the 6 new members, the share of BRICS GDP PPP is 37% of the world’s GDP PPP while the share of the G7 is 29%.",1,1
265,Good job. Oil is now in the hands of BRICS+.,2,1
266,If India China friends we easily breaks 💔 UNO,1,1
267,<b>Indians and Iranians share the same ethnicity. There are multiple scientific evidences for that. Love Iran and India from a Sri lankan British</b>,4,1
268,"Good move towards a more unipolar world focused on development, trade and equality rather than war mongering, interefence and sanctions",3,1
269,BRICS is what I leave in the toilet,0,0
270,"Regardless of how you see BRICS, it has to have more pros than cons.<br><br>From the point of the US perspective, as articulated by Jake Sullivan, spokesman for White House, it is &quot;nothing special&quot;. Well, if it is worth him to make such a dismissive remark, it shows the contrary is true.<br><br>From the point of world peace, when Saudi Arabia and Iran are sitting at the same table, talking and discussing economy instead of throwing punches, it has to be a good thing, wouldn&#39;t it. America???<br><br>The that is the point, BRICS is NOT an exclusive club like the G7 which is ALL white Anglo Saxon bar one, Japan. BRICS is made up of countries that are considered &quot;lesser&quot; by the west. Just about ALL of them had bee interfered with, exploited, trampled over, and even had dictators installed by the US in the past !! <br><br>What made the US powerful is its military. It has used promises of security protection to form alliances. NATO is what I am talking about. NATO is strong only if the US stays as strong as it has been. However, the US was strong because the rest of the world is weak. Now that is no longer as cut and dry. Most importantly, the BRICS nations now cover the Southern part of the glob. If ever there is a war broke out, the US might not have as many friends it used to have in the past. But let&#39;s hope BRICS is more about economy and improving the lives of people rather than an ego trip.",2,1
271,BRICS becomes BRICSAEUSIE with 80% oil supply in control and comprising more than half the total world population with more than 10% more GDP than the so called industrialized nations in G7.,1,1
272,"Politically, you would not want to align with the likes of Russia, China, or India but economically there is an argument for a counterweight to western, particularly US influence. In the past America has many times used its economic might to bully other countries into making egregious policies like promoting (or at least not discouraging) cigarette sales, infant formula sales over breast feeding promotion, and others.",3,1
273,"Good luck with Argentinas 200% inflation, Russias worthless rubble, china&#39;s economy stuck and its companies filing for bankruptcy 😂😂😂 what&#39;s next? North Korea joining?  BRICS the perfect acronym 😂😂😂 🧱 🧱 🧱 🧱 🧱 🧱 🧱 🧱",0,0
274,BRICS is the response of the US sanction other country at will or Threatening them with war. I think we have done this to ourselves. This is a mess and we gotta figure a way to get out of it.,1,1
275,Lulu why you always whining about me? Brazil is big beautiful country focus on that.,0,0
276,All these countries have a shocking history of violence.<br>BIRDS OF THE SAME FEATHER FLOCK TOGETHER,0,0
277,"Group hs  Biggest consumer country ,now additional energy net export  producers , next would be  REE deposits  rich countries... <br><br>New gangsta on the block...  😊",0,0
278,A multipolar world.,1,1
279,america sanction fair back.,0,0
280,Well done to South Africa great host ❤️👏🏾👏🏾,4,1
281,These are all countries that tortured their citizens with lockdown and vaccine mandates.,0,0
282,A complete news blackout about this on U.S. mainstream media.  Typical.,3,1
283,"My maim concern now is what the acronym we&#39;ve become used to, will now become. Maybe BRICS+6  or BEERIICASSU, ACSSEEBRIIU(doesn&#39;t work)😂",0,0
284,Great news. Multipolar world,2,1
285,Bad news! They should have created a new organisation,0,0
286,"BRICS is about economy (Trade, investment, banking), whereas G7 is a political club. That&#39;s the main difference. And the former does not need a leader. The latter does.",1,1
287,"Everyone benefits from Brics growth, as Americans are more motivated now to dish out goodies to countries that still follow it around, you know the little doggies",0,0
288,Lets just add more countries that step on their own citizens human rights and basically add up to more autocracy. Russia is on the decline and basically all these countries will be dominated by China in a few years. India is the only country that has a chance but it should be careful with China pulling the strings.,0,0
289,Note: UK confiscated Venezuela&#39;s gold reserve and the West frozen Russia&#39;s 360 billion USD worth of funds in EU.,1,1
290,Another 6 BRICS in the wall......,0,0
291,"Just so many of those BRICS members are violators of the rules based order &amp; UN Charter. Russia&#39;s war of annexations on neighbors, China 9 Dashline encursions &amp; Iran on issues of nuke threats &amp; proliferation. Bullets &amp; money dont mix in the trade table....",0,0
292,May the good Lord continue to bless PRC and Russia and all peace loving nations,1,1
293,I guess it now has to be called BRICS+,0,0
294,Time for NATO to join BRICS,0,0
295,"They still will be dependent on the USA, countries that join are delusional.",0,0
296,Gotta change their world now lol,0,0
297,They should rename it United Nations (the real one),0,0
298,"Vive les peuples du monde, vive les pays en développement 👍👍👍👍🎉💖💖👏🥂",6,1
299,Game over Biden,0,0
300,"Come on Indonesia!  Have a presence in SE Asia/Asia-pacific ! Isn’t China the world’s biggest economy, not US.<br><br>“Democratic and authoritarian states ..” 😂 that’s the western colonisers’ model of the world narrative.",0,0
301,China is the worlds biggest econmy PPP not the 2nd thats the USA <br><br>GDP is not an accurate mesurement,2,1
302,If Milei wins in Argentina in November   you can forget it. He intends to dollarize the economy and disassociate Argentina  from all populist countries.,0,0
303,Grate,0,0
304,The globalists are going to be pissed!,0,0
305,"What a wonderful move forward, with a mindset of a global economy, prosperity for all......I&#39;m NY Toms very British/Brazilian future wife MD, Veteran, Middle E. &amp; Cont. of Africa....do note, only Western media are putting words in the mouths of BRICS members- referring to it as an financial instrument against the West...while BRICS is thriving with the correct mindset, Western economies are tanking......",0,0
306,放眼看去 全是资源 石油 天然气 锂矿    放眼看去 人口和市场,0,0
307,🥰🥰🥰🥰,0,0
308,"It&#39;s not good news for the Western media they are trying hard to avoid talking about it. the countries that need resources will find it hard to get them before the BRICS,",0,0
309,&#39;historic&#39; in quotes? You guys think it&#39;s more like meaningless?,0,0
310,👍👏👏👏💪,0,0
311,"Western dominated system , goodbye.......enough is enough..",1,1
312,"Well done BRICS!!!<br>To help the global South, the colonial mentality (Macron etc) must be flushed down the toilet.",0,0
313,Wow amazing 🎉,1,1
314,"Igual, si gana milei, saldra del bloque",0,0
315,Iran and Saudi Arabia joining russia and china in BRICS is like birds of the feather flock together.,0,0
316,"Nice. Big countries with large land mass, with loads of resources.",0,0
317,Brics is a good definition that racism is pushed by the evil elite ... Brics will improve lives ...,0,0
318,Brics is the future of the world economy. I hope more countries will join in the future 🇧🇷🙌,7,1
319,Another BRICK in the wall...,0,0
320,Brics is going to create new un and new wto bypassing the American works order altogether,0,0
321,Long live brics wish you well for the future. Just trash the USA dollar once and for all.,0,0
322,What  an historical  day Let&#39;s Go BRICS.. Indonesia  is missing tho....,2,1
323,Well done!,0,0
324,Cheers,0,0
