,Unnamed: 0,disease,workout
170,170,Dengue,Stay hydrated
171,171,Dengue,Include nutrient-rich foods
172,172,Dengue,Consume foods rich in vitamin C and antioxidants
173,173,Dengue,Limit fatty and greasy foods
174,174,Dengue,Avoid caffeine and alcohol
175,175,Dengue,Include soft and easily digestible foods
176,176,Dengue,Consult a healthcare professional
177,177,Dengue,Rest and conserve energy
178,178,Dengue,Gradually resume normal diet
179,179,Dengue,Follow medical recommendations
180,180,Typhoid,Consume easily digestible foods
181,181,Typhoid,Stay hydrated
182,182,Typhoid,Include nutrient-rich foods
183,183,Typhoid,Consume foods rich in vitamin C and antioxidants
184,184,Typhoid,Include protein-rich foods
185,185,Typhoid,Avoid fatty and greasy foods
186,186,Typhoid,Consult a healthcare professional
187,187,Typhoid,Gradually resume normal diet
188,188,Typhoid,Follow medical recommendations
189,189,Typhoid,Avoid alcohol and caffeine
190,190,hepatitis A,Stay hydrated
191,191,hepatitis A,Consume nutrient-rich foods
192,192,hepatitis A,Include protein-rich foods
193,193,hepatitis A,Consume easily digestible foods
194,194,hepatitis A,Limit fatty foods
195,195,hepatitis A,Avoid alcohol and caffeine
196,196,hepatitis A,Include vitamin C-rich foods
197,197,hepatitis A,Consult a healthcare professional
198,198,hepatitis A,Rest and conserve energy
199,199,hepatitis A,Gradually resume normal diet
200,200,Hepatitis B,Follow a balanced and nutritious diet
201,201,Hepatitis B,Stay hydrated
202,202,Hepatitis B,Include protein-rich foods
203,203,Hepatitis B,Consume nutrient-rich foods
204,204,Hepatitis B,Limit fatty foods
205,205,Hepatitis B,Avoid alcohol and caffeine
206,206,Hepatitis B,Include vitamin C-rich foods
207,207,Hepatitis B,Consult a healthcare professional
208,208,Hepatitis B,Rest and conserve energy
209,209,Hepatitis B,Gradually resume normal diet
210,210,Hepatitis C,Follow a balanced and nutritious diet
211,211,Hepatitis C,Stay hydrated
212,212,Hepatitis C,Include protein-rich foods
213,213,Hepatitis C,Consume nutrient-rich foods
214,214,Hepatitis C,Limit fatty foods
215,215,Hepatitis C,Avoid alcohol and caffeine
216,216,Hepatitis C,Include vitamin C-rich foods
217,217,Hepatitis C,Consult a healthcare professional
218,218,Hepatitis C,Rest and conserve energy
219,219,Hepatitis C,Gradually resume normal diet
220,220,Hepatitis D,Follow a balanced and nutritious diet
221,221,Hepatitis D,Stay hydrated
222,222,Hepatitis D,Include protein-rich foods
223,223,Hepatitis D,Consume nutrient-rich foods
224,224,Hepatitis D,Limit fatty foods
225,225,Hepatitis D,Avoid alcohol and caffeine
226,226,Hepatitis D,Include vitamin C-rich foods
227,227,Hepatitis D,Consult a healthcare professional
228,228,Hepatitis D,Rest and conserve energy
229,229,Hepatitis D,Gradually resume normal diet
230,230,Hepatitis E,Stay hydrated
231,231,Hepatitis E,Consume nutrient-rich foods
232,232,Hepatitis E,Include protein-rich foods
233,233,Hepatitis E,Consume easily digestible foods
234,234,Hepatitis E,Limit fatty foods
235,235,Hepatitis E,Avoid alcohol and caffeine
236,236,Hepatitis E,Include vitamin C-rich foods
237,237,Hepatitis E,Consult a healthcare professional
238,238,Hepatitis E,Rest and conserve energy
239,239,Hepatitis E,Gradually resume normal diet
240,240,Alcoholic hepatitis,Avoid alcohol consumption
241,241,Alcoholic hepatitis,Follow a balanced and nutritious diet
242,242,Alcoholic hepatitis,Stay hydrated
243,243,Alcoholic hepatitis,Consume nutrient-rich foods
244,244,Alcoholic hepatitis,Include protein-rich foods
245,245,Alcoholic hepatitis,Limit fatty foods
246,246,Alcoholic hepatitis,Include antioxidants
247,247,Alcoholic hepatitis,Consult a healthcare professional
248,248,Alcoholic hepatitis,Rest and conserve energy
249,249,Alcoholic hepatitis,Gradually resume normal diet
250,250,Tuberculosis,Consume a high-protein diet
251,251,Tuberculosis,Include nutrient-rich foods
252,252,Tuberculosis,Stay hydrated
253,253,Tuberculosis,Consume foods rich in vitamins A and C
254,254,Tuberculosis,Include zinc-rich foods
255,255,Tuberculosis,Limit sugary foods and beverages
256,256,Tuberculosis,Consult a healthcare professional
257,257,Tuberculosis,Rest and conserve energy
258,258,Tuberculosis,Gradually resume normal diet
259,259,Tuberculosis,Follow medical recommendations
260,260,Common Cold,Stay hydrated
261,261,Common Cold,Include nutrient-rich foods
262,262,Common Cold,Consume foods rich in vitamin C and antioxidants
263,263,Common Cold,Include zinc-rich foods
264,264,Common Cold,Limit sugary foods and beverages
265,265,Common Cold,Consume chicken soup
266,266,Common Cold,Consult a healthcare professional
267,267,Common Cold,Rest and conserve energy
268,268,Common Cold,Gradually resume normal diet
269,269,Common Cold,Follow medical recommendations
270,270,Pneumonia,Stay hydrated
271,271,Pneumonia,Include nutrient-rich foods
272,272,Pneumonia,Consume foods rich in vitamin C and antioxidants
273,273,Pneumonia,Include zinc-rich foods
274,274,Pneumonia,Limit sugary foods and beverages
275,275,Pneumonia,Consume chicken soup
276,276,Pneumonia,Consult a healthcare professional
277,277,Pneumonia,Rest and conserve energy
278,278,Pneumonia,Gradually resume normal diet
279,279,Pneumonia,Follow medical recommendations
280,280,Dimorphic hemmorhoids(piles),Consume high-fiber foods
281,281,Dimorphic hemmorhoids(piles),Stay hydrated
282,282,Dimorphic hemmorhoids(piles),Include nutrient-rich foods
283,283,Dimorphic hemmorhoids(piles),Consume foods rich in flavonoids
284,284,Dimorphic hemmorhoids(piles),Limit processed foods
285,285,Dimorphic hemmorhoids(piles),Avoid spicy and greasy foods
286,286,Dimorphic hemmorhoids(piles),Consult a healthcare professional
287,287,Dimorphic hemmorhoids(piles),Practice good hygiene
288,288,Dimorphic hemmorhoids(piles),Gradually resume normal diet
289,289,Dimorphic hemmorhoids(piles),Follow medical recommendations
290,290,Heart attack,Follow a heart-healthy diet
291,291,Heart attack,Limit sodium intake
292,292,Heart attack,Include fiber-rich foods
293,293,Heart attack,Consume healthy fats
294,294,Heart attack,Include lean proteins
295,295,Heart attack,Limit sugary foods and beverages
296,296,Heart attack,Stay hydrated
297,297,Heart attack,Consult a healthcare professional
298,298,Heart attack,Follow medical recommendations
299,299,Heart attack,Engage in regular exercise
300,300,Varicose veins,Consume a high-fiber diet
301,301,Varicose veins,Stay hydrated
302,302,Varicose veins,Include nutrient-rich foods
303,303,Varicose veins,Consume foods rich in antioxidants
304,304,Varicose veins,Limit sodium intake
305,305,Varicose veins,Include flavonoid-rich foods
306,306,Varicose veins,Avoid standing or sitting for long periods
307,307,Varicose veins,Consult a healthcare professional
308,308,Varicose veins,Follow medical recommendations
309,309,Varicose veins,Engage in regular exercise
310,310,Hypothyroidism,Include iodine-rich foods
311,311,Hypothyroidism,Consume selenium-rich foods
312,312,Hypothyroidism,Stay hydrated
313,313,Hypothyroidism,Include nutrient-rich foods
314,314,Hypothyroidism,Limit processed foods
315,315,Hypothyroidism,Consume foods rich in vitamins B and D
316,316,Hypothyroidism,Consult a healthcare professional
317,317,Hypothyroidism,Follow medical recommendations
318,318,Hypothyroidism,Maintain a stable weight
319,319,Hypothyroidism,Engage in regular exercise
320,320,Hyperthyroidism,Limit iodine intake
321,321,Hyperthyroidism,Consume cruciferous vegetables in moderation
322,322,Hyperthyroidism,Stay hydrated
323,323,Hyperthyroidism,Include nutrient-rich foods
324,324,Hyperthyroidism,Limit caffeine and alcohol
325,325,Hyperthyroidism,Include omega-3 fatty acids
326,326,Hyperthyroidism,Consult a healthcare professional
327,327,Hyperthyroidism,Follow medical recommendations
328,328,Hyperthyroidism,Maintain a stable weight
329,329,Hyperthyroidism,Engage in regular exercise
330,330,Hypoglycemia,Consume complex carbohydrates
331,331,Hypoglycemia,Include protein-rich foods
332,332,Hypoglycemia,Stay hydrated
333,333,Hypoglycemia,Limit sugary foods and beverages
334,334,Hypoglycemia,Consume regular meals and snacks
335,335,Hypoglycemia,Consult a healthcare professional
336,336,Hypoglycemia,Monitor blood sugar levels
337,337,Hypoglycemia,Follow medical recommendations
338,338,Hypoglycemia,Engage in regular physical activity
339,339,Hypoglycemia,Limit alcohol intake
340,340,Osteoarthristis,Consume anti-inflammatory foods
341,341,Osteoarthristis,Include omega-3 fatty acids
342,342,Osteoarthristis,Consume antioxidant-rich foods
343,343,Osteoarthristis,Stay hydrated
344,344,Osteoarthristis,Limit processed foods
345,345,Osteoarthristis,Include vitamin K-rich foods
346,346,Osteoarthristis,Consult a healthcare professional
347,347,Osteoarthristis,Follow medical recommendations
348,348,Osteoarthristis,Engage in low-impact exercise
349,349,Osteoarthristis,Maintain a healthy weight
350,350,Arthritis,Consume anti-inflammatory foods
351,351,Arthritis,Include omega-3 fatty acids
352,352,Arthritis,Consume antioxidant-rich foods
353,353,Arthritis,Stay hydrated
354,354,Arthritis,Limit processed foods
355,355,Arthritis,Include vitamin K-rich foods
356,356,Arthritis,Consult a healthcare professional
357,357,Arthritis,Follow medical recommendations
358,358,Arthritis,Engage in low-impact exercise
359,359,Arthritis,Maintain a healthy weight
360,360,(vertigo) Paroymsal  Positional Vertigo,"Avoid trigger foods (caffeine, alcohol)"
361,361,(vertigo) Paroymsal  Positional Vertigo,Limit sodium intake
362,362,(vertigo) Paroymsal  Positional Vertigo,Stay hydrated
363,363,(vertigo) Paroymsal  Positional Vertigo,Consume ginger and ginkgo biloba
364,364,(vertigo) Paroymsal  Positional Vertigo,Limit artificial sweeteners
365,365,(vertigo) Paroymsal  Positional Vertigo,Consult a healthcare professional
366,366,(vertigo) Paroymsal  Positional Vertigo,Avoid sudden head movements
367,367,(vertigo) Paroymsal  Positional Vertigo,Follow medical recommendations
368,368,(vertigo) Paroymsal  Positional Vertigo,Manage stress
369,369,(vertigo) Paroymsal  Positional Vertigo,Limit caffeine and stimulants
370,370,Acne,Consume a balanced diet
371,371,Acne,Limit dairy and high-glycemic foods
372,372,Acne,Include antioxidants
373,373,Acne,Stay hydrated
374,374,Acne,Limit processed foods
375,375,Acne,Include zinc-rich foods
376,376,Acne,Consult a skincare professional
377,377,Acne,Practice good skincare hygiene
378,378,Acne,Limit sugary foods and beverages
379,379,Acne,Follow medical recommendations
380,380,Urinary tract infection,Stay hydrated
381,381,Urinary tract infection,Consume cranberry products
382,382,Urinary tract infection,Include vitamin C-rich foods
383,383,Urinary tract infection,Limit caffeine and alcohol
384,384,Urinary tract infection,Consume probiotics
385,385,Urinary tract infection,Avoid spicy and acidic foods
386,386,Urinary tract infection,Consult a healthcare professional
387,387,Urinary tract infection,Follow medical recommendations
388,388,Urinary tract infection,Maintain good hygiene
389,389,Urinary tract infection,Limit sugary foods and beverages
390,390,Psoriasis,Consume anti-inflammatory foods
391,391,Psoriasis,Include omega-3 fatty acids
392,392,Psoriasis,Include vitamin D analogues
393,393,Psoriasis,Limit alcohol consumption
394,394,Psoriasis,Stay hydrated
395,395,Psoriasis,Consult a healthcare professional
396,396,Psoriasis,Limit processed foods
397,397,Psoriasis,Follow medical recommendations
398,398,Psoriasis,Manage stress
399,399,Psoriasis,Consider phototherapy under medical guidance
400,400,Impetigo,Maintain good hygiene
401,401,Impetigo,Stay hydrated
402,402,Impetigo,Consume nutrient-rich foods
403,403,Impetigo,Limit sugary foods and beverages
404,404,Impetigo,Include foods rich in vitamin C
405,405,Impetigo,Consult a healthcare professional
406,406,Impetigo,Follow medical recommendations
407,407,Impetigo,Avoid scratching
408,408,Impetigo,Take prescribed antibiotics
409,409,Impetigo,Practice wound care
