Day,Date,Hour,Country,Event,Actual,Previous,Consensus,Forecast
Friday,06/28/19,7:30,US,Personal Spending MoM 05,0.004,0.60%,0.004,0.002
Saturday,06/29/19,20:00,CN,NBS Manufacturing PMI JUN,49.4,49.4,49.5,49.8
Sunday,06/30/19,18:50,JP,Tankan Large Manufacturers Index Q2,7,12,9,8
Sunday,06/30/19,20:45,CN,Caixin Manufacturing PMI JUN,49.4,50.2,50,49.6
Monday,07/01/19,0:00,JP,Consumer Confidence JUN,38.7,39.4,39.2,40.8
Wednesday,07/03/19,7:30,CA,Balance of Trade 05,0.76B,-1.08B,-1.5B,-1.3B
Wednesday,07/03/19,7:30,US,Balance of Trade 05,-55.5B,-51.2B,-54B,-54.3B
Friday,07/05/19,7:30,US,Non Farm Payrolls JUN,224K,72K,160K,171K
Friday,07/05/19,9:00,CA,Ivey PMI s.a JUN,52.4,55.9,55,54
Tuesday,07/09/19,20:30,CN,Inflation Rate YoY JUN,0.027,2.70%,0.027,0.026
Wednesday,07/10/19,3:30,GB,Balance of Trade 05,-2.324B,-3.716B,,-2.6B
Thursday,07/11/19,7:30,US,Core Inflation Rate YoY JUN,0.021,2%,0.02,0.02
Thursday,07/11/19,7:30,US,Inflation Rate YoY JUN,0.016,1.80%,0.016,0.017
Tuesday,07/16/19,3:30,GB,Claimant Count Change JUN,38K,24.5K,22.8K,15K
Tuesday,07/16/19,7:30,US,Retail Sales MoM JUN,0.004,0.40%,0.001,0.004
Wednesday,07/17/19,3:30,GB,Inflation Rate YoY JUN,0.02,2%,0.02,0.021
Wednesday,07/17/19,7:30,CA,Inflation Rate YoY JUN,0.02,2.40%,0.02,0.022
Wednesday,07/17/19,18:50,JP,Balance of Trade JUN,589.5B,-968.3B,420B,510B
Thursday,07/18/19,18:30,JP,Inflation Rate YoY JUN,0.007,0.70%,0.007,0.008
Thursday,07/25/19,7:30,US,Durable Goods Orders MoM JUN,0.02,-2.30%,0.007,0.007
Monday,07/29/19,,CN,US-China Trade Talks,,,,
Tuesday,07/30/19,4:00,EA,Business Confidence JUL,-0.12,0.17,0.08,0.08
Tuesday,07/30/19,7:30,US,Personal Income MoM JUN,0.004,0.40%,0.004,0.003
Tuesday,07/30/19,7:30,US,Personal Spending MoM JUN,0.003,0.50%,0.003,0.003
Tuesday,07/30/19,18:01,GB,Gfk Consumer Confidence JUL,-11,-13,-13,-14
Tuesday,07/30/19,20:00,CN,NBS Manufacturing PMI JUL,49.7,49.4,49.6,49.3
Tuesday,07/30/19,,CN,US-China Trade Talks,,,,
Wednesday,07/31/19,0:00,JP,Consumer Confidence JUL,37.8,38.7,38.5,41
Wednesday,07/31/19,20:45,CN,Caixin Manufacturing PMI JUL,49.9,49.4,49.6,49.2
Friday,08/02/19,7:30,CA,Balance of Trade JUN,0.14B,0.56B,-0.3B,0.3B
Friday,08/02/19,7:30,US,Balance of Trade JUN,-55.2B,-55.3B,-54.6B,-54.7B
Friday,08/02/19,7:30,US,Non Farm Payrolls JUL,164K,193K,164K,160K
Wednesday,08/07/19,9:00,CA,Ivey PMI s.a JUL,54.2,52.4,53,51.8
Thursday,08/08/19,20:30,CN,Inflation Rate YoY JUL,0.028,2.70%,0.027,0.027
Friday,08/09/19,3:30,GB,Balance of Trade JUN,1.779B,-2.002B,,-2.9B
Tuesday,08/13/19,3:30,GB,Claimant Count Change JUL,28K,31.4K,32K,12K
Tuesday,08/13/19,7:30,US,Core Inflation Rate YoY JUL,0.022,2.10%,0.021,0.021
Tuesday,08/13/19,7:30,US,Inflation Rate YoY JUL,0.018,1.60%,0.017,0.017
Wednesday,08/14/19,3:30,GB,Inflation Rate YoY JUL,0.021,2%,0.019,0.02
Thursday,08/15/19,7:30,US,Retail Sales MoM JUL,0.007,0.30%,0.003,0.003
Sunday,08/18/19,18:50,JP,Balance of Trade JUL,-249.6B,589.6B,-200B,-320B
Wednesday,08/21/19,7:30,CA,Inflation Rate YoY JUL,0.02,2%,0.017,0.018
Thursday,08/22/19,18:30,JP,Inflation Rate YoY JUL,0.005,0.70%,0.005,0.008
Monday,08/26/19,7:30,US,Durable Goods Orders MoM JUL,0.021,1.80%,0.012,0.008
Thursday,08/29/19,0:00,JP,Consumer Confidence AUG,37.1,37.8,,37.6
Thursday,08/29/19,4:00,EA,Business Confidence AUG,0.11,-0.11,0.08,-0.2
Thursday,08/29/19,18:01,GB,Gfk Consumer Confidence AUG,-14,-11,-12,-12
Friday,08/30/19,7:30,US,Personal Income MoM JUL,0.001,0.50%,0.003,0.003
Friday,08/30/19,7:30,US,Personal Spending MoM JUL,0.006,0.30%,0.005,0.004
Friday,08/30/19,20:00,CN,NBS Manufacturing PMI AUG,49.5,49.7,49.7,49.5
Sunday,09/01/19,20:45,CN,Caixin Manufacturing PMI AUG,50.4,49.9,49.8,49.8
Wednesday,09/04/19,7:30,CA,Balance of Trade JUL,-1.12B,-0.06B,-0.4B,-0.1B
Wednesday,09/04/19,7:30,US,Balance of Trade JUL,-54B,-55.5B,-53.5B,-53.4B
Friday,09/06/19,7:30,US,Non Farm Payrolls AUG,130K,159K,158K,151K
Friday,09/06/19,9:00,CA,Ivey PMI s.a AUG,60.6,54.2,53,53.9
Monday,09/09/19,3:30,GB,Balance of Trade JUL,-0.219B,-0.132B,,-2.3B
Monday,09/09/19,20:30,CN,Inflation Rate YoY AUG,0.028,2.80%,0.026,0.026
Tuesday,09/10/19,3:30,GB,Claimant Count Change AUG,28.2K,19.8K,30K,16K
Thursday,09/12/19,7:30,US,Core Inflation Rate YoY AUG,0.024,2.20%,0.023,0.022
Thursday,09/12/19,7:30,US,Inflation Rate YoY AUG,0.017,1.80%,0.018,0.019
Friday,09/13/19,7:30,US,Retail Sales MoM AUG,0.004,0.80%,0.002,0.004
Tuesday,09/17/19,18:50,JP,Balance of Trade AUG,-136.3B,-250.7B,-355.9B,-430B
Wednesday,09/18/19,3:30,GB,Inflation Rate YoY AUG,0.017,2.10%,0.019,0.019
Wednesday,09/18/19,7:30,CA,Inflation Rate YoY AUG,0.019,2%,0.02,0.019
Thursday,09/19/19,18:30,JP,Inflation Rate YoY AUG,0.003,0.50%,0.006,0.008
Thursday,09/19/19,20:30,CN,Loan Prime Rate 1Y,0.042,4.25%,,0.0415
Thursday,09/26/19,18:01,GB,Gfk Consumer Confidence SEP,-12,-14,-14,-14
Friday,09/27/19,4:00,EA,Business Confidence SEP,-0.22,0.12,0.11,0.19
Friday,09/27/19,7:30,US,Durable Goods Orders MoM AUG,0.002,2%,-0.01,-0.012
Friday,09/27/19,7:30,US,Personal Income MoM AUG,0.004,0.10%,0.004,0.003
Friday,09/27/19,7:30,US,Personal Spending MoM AUG,0.001,0.50%,0.003,0.004
Sunday,09/29/19,20:00,CN,NBS Manufacturing PMI SEP,49.8,49.5,49.5,49.9
Sunday,09/29/19,20:45,CN,Caixin Manufacturing PMI SEP,51.4,50.4,50.2,50
Monday,09/30/19,18:50,JP,Tankan Large Manufacturers Index Q3,5,7,2,1
Wednesday,10/02/19,0:00,JP,Consumer Confidence SEP,35.6,37.1,,37.3
Friday,10/04/19,7:30,CA,Balance of Trade AUG,-0.96B,-1.38B,-1B,-0.8B
Friday,10/04/19,7:30,US,Balance of Trade AUG,-54.9B,-54B,-54.5B,-54.3B
Friday,10/04/19,7:30,US,Non Farm Payrolls SEP,136K,168K,145K,165K
Friday,10/04/19,9:00,CA,Ivey PMI s.a SEP,48.7,60.6,54.3,58
Thursday,10/10/19,3:30,GB,Balance of Trade AUG,-1.546B,-1.681B,,-3.8B
Thursday,10/10/19,7:30,US,Core Inflation Rate YoY SEP,0.024,2.40%,0.024,0.024
Thursday,10/10/19,7:30,US,Inflation Rate YoY SEP,0.017,1.70%,0.018,0.019
Monday,10/14/19,20:30,CN,Inflation Rate YoY SEP,0.03,2.80%,0.029,0.029
Tuesday,10/15/19,3:30,GB,Claimant Count Change SEP,21.1K,16.3K,26.5K,24K
Wednesday,10/16/19,3:30,GB,Inflation Rate YoY SEP,0.017,1.70%,0.018,0.019
Wednesday,10/16/19,7:30,CA,Inflation Rate YoY SEP,0.019,1.90%,0.021,0.02
Wednesday,10/16/19,7:30,US,Retail Sales MoM SEP,-0.003,0.60%,0.003,0.003
Thursday,10/17/19,18:30,JP,Inflation Rate YoY SEP,0.002,0.30%,0.004,0.004
Sunday,10/20/19,18:50,JP,Balance of Trade SEP,-123B,-143.5B,54B,151B
Sunday,10/20/19,20:30,CN,Loan Prime Rate 1Y,0.042,4.20%,,0.0405
Thursday,10/24/19,7:30,US,Durable Goods Orders MoM SEP,-0.011,0.30%,-0.008,-0.006
Wednesday,10/30/19,5:00,EA,Business Confidence OCT,-0.19,-0.23,-0.24,0.14
Wednesday,10/30/19,19:01,GB,Gfk Consumer Confidence OCT,-14,-12,-13,-16
Wednesday,10/30/19,20:00,CN,NBS Manufacturing PMI OCT,49.3,49.8,49.8,49.6
Thursday,10/31/19,0:00,JP,Consumer Confidence OCT,36.2,35.6,35.5,34.9
Thursday,10/31/19,7:30,US,Personal Income MoM SEP,0.003,0.50%,0.003,0.003
Thursday,10/31/19,7:30,US,Personal Spending MoM SEP,0.002,0.20%,0.002,0.002
Thursday,10/31/19,20:45,CN,Caixin Manufacturing PMI OCT,51.7,51.4,51,50.9
Friday,11/01/19,7:30,US,Non Farm Payrolls OCT,128K,180K,89K,100K
Tuesday,11/05/19,8:30,CA,Balance of Trade SEP,-0.98B,-1.24B,-0.7B, -0.3B
Tuesday,11/05/19,8:30,US,Balance of Trade SEP,-52.5B,-55B,-52.5B,-52.0B
Wednesday,11/06/19,10:00,CA,Ivey PMI s.a OCT,48.2,48.7,0.8,53
Friday,11/08/19,20:30,CN,Inflation Rate YoY OCT,0.038,3%,0.033,0.03
Monday,11/11/19,4:30,GB,Balance of Trade SEP,-3.36B,-1.76B,,-2.2B
Tuesday,11/12/19,4:30,GB,Claimant Count Change OCT,33K,13.5K,21.3K,27K
Wednesday,11/13/19,4:30,GB,Inflation Rate YoY OCT,0.015,1.70%,0.016,0.016
Wednesday,11/13/19,8:30,US,Core Inflation Rate YoY OCT,0.023,2.40%,0.024,0.024
Wednesday,11/13/19,8:30,US,Inflation Rate YoY OCT,0.018,1.70%,0.017,0.016
Friday,11/15/19,8:30,US,Retail Sales MoM OCT,0.003,-0.30%,0.002,0.003
Tuesday,11/19/19,18:50,JP,Balance of Trade OCT,17.3B,-124.8B,301B,219B
Tuesday,11/19/19,20:30,CN,Loan Prime Rate 1Y,0.0415,4.20%,0.042,0.041
Wednesday,11/20/19,8:30,CA,Inflation Rate YoY OCT,0.019,1.90%,0.019,0.02
Thursday,11/21/19,18:30,JP,Inflation Rate YoY OCT,0.002,0.20%,0.003,0.004
Wednesday,11/27/19,8:30,US,Durable Goods Orders MoM OCT,0.006,-1.40%,-0.008,-0.006
Wednesday,11/27/19,10:00,US,Personal Income MoM OCT,0,0.30%,0.003,0.002
Wednesday,11/27/19,10:00,US,Personal Spending MoM OCT,0.003,0.20%,0.003,0.002
Thursday,11/28/19,5:00,EA,Business Confidence NOV,-0.23,-0.2,-0.14,-0.16
Thursday,11/28/19,19:01,GB,GfK Consumer Confidence NOV,-14,-14,-14,-13
Friday,11/29/19,0:00,JP,Consumer Confidence NOV,38.7,36.2,35.4,36
Friday,11/29/19,20:00,CN,NBS Manufacturing PMI NOV,50.2,49.3,49.5,49.8
Sunday,12/01/19,20:45,CN,Caixin Manufacturing PMI NOV,51.8,51.7,51.4,51.1
Thursday,12/05/19,8:30,CA,Balance of Trade OCT,-1.08B,-1.23B,-1.37B,-1.4B
Thursday,12/05/19,8:30,US,Balance of Trade OCT,-47.2B,-51.1B,-48.7B, -48.1B
Thursday,12/05/19,10:00,CA,Ivey PMI s.a NOV,60,48.2,53.8,48.6
Friday,12/06/19,8:30,US,Non Farm Payrolls NOV,266K,156K,180K,175K
Monday,12/09/19,20:30,CN,Inflation Rate YoY NOV,0.045,3.80%,0.042,0.043
Tuesday,12/10/19,4:30,GB,Balance of Trade OCT,-5.19B,-1.92B,,-3.0B
Wednesday,12/11/19,8:30,US,Core Inflation Rate YoY NOV,0.023,2.30%,0.023,0.023
Wednesday,12/11/19,8:30,US,Inflation Rate YoY NOV,0.021,1.80%,0.02,0.019
Thursday,12/12/19,18:50,JP,Tankan Large Manufacturers Index Q4,0,5,2,2
Friday,12/13/19,8:30,US,Retail Sales MoM NOV,0.002,0.40%,0.005,0.003
Tuesday,12/17/19,4:30,GB,Claimant Count Change NOV,28.8K,26.4K,24.5K,29K
Tuesday,12/17/19,18:50,JP,Balance of Trade NOV,-82.1B,15.7B,-369B,-620B
Wednesday,12/18/19,4:30,GB,Inflation Rate YoY NOV,0.015,1.50%,0.014,0.014
Wednesday,12/18/19,8:30,CA,Inflation Rate YoY NOV,0.022,1.90%,0.022,0.021
Thursday,12/19/19,18:30,JP,Inflation Rate YoY NOV,0.005,0.20%,0.002,0.003
Thursday,12/19/19,19:01,GB,GfK Consumer Confidence DEC,-11,-14,-14,-12
Thursday,12/19/19,20:30,CN,Loan Prime Rate 1Y,0.0415,4.15%,,0.0405
Friday,12/20/19,10:00,US,Personal Income MoM NOV,0.005,0.10%,0.003,0.002
Friday,12/20/19,10:00,US,Personal Spending MoM NOV,0.004,0.30%,0.004,0.003
Monday,12/23/19,8:30,US,Durable Goods Orders MoM NOV,-0.02,0.20%,0.015,0.011
Monday,12/30/19,20:00,CN,NBS Manufacturing PMI DEC,50.2,50.2,50.1,50.3
Wednesday,01/01/20,20:45,CN,Caixin Manufacturing PMI DEC,51.5,51.8,51.8,52.2
Friday,01/03/20,14:00,US,FOMC Minutes,,,,
Tuesday,01/07/20,8:30,CA,Balance of Trade NOV,-1.09B,-1.61B,-1.15B, -0.9B
Tuesday,01/07/20,8:30,US,Balance of Trade NOV,-43.1B,-46.9B,-43.8B, -43B
Tuesday,01/07/20,10:00,CA,Ivey PMI s.a DEC,51.9,60,53.8,56
Wednesday,01/08/20,0:00,JP,Consumer Confidence DEC,39.1,38.7,38,39
Wednesday,01/08/20,5:00,EA,Business Confidence DEC,-0.25,-0.21,-0.16,-0.1
Wednesday,01/08/20,20:30,CN,Inflation Rate YoY DEC,0.045,4.50%,0.047,0.047
Friday,01/10/20,8:30,US,Non Farm Payrolls DEC,145K,256K,164K,165K
Monday,01/13/20,4:30,GB,Balance of Trade NOV,4.03B,-1.34B,,-3.2B
Tuesday,01/14/20,8:30,US,Core Inflation Rate YoY DEC,0.023,2.30%,0.023,0.022
Tuesday,01/14/20,8:30,US,Inflation Rate YoY DEC,0.023,2.10%,0.023,0.023
Wednesday,01/15/20,4:30,GB,Inflation Rate YoY DEC,0.013,1.50%,0.015,0.015
Wednesday,01/15/20,,US,US-China Phase 1 Trade Deal Signature,,,,
Thursday,01/16/20,8:30,US,Retail Sales MoM DEC,0.003,0.30%,0.003,0.003
