episode_number,pitch_number,brand_name,idea,deal,pitcher_ask_amount,ask_equity,ask_valuation,deal_amount,deal_equity,deal_valuation,ashneer_present,anupam_present,aman_present,namita_present,vineeta_present,peyush_present,ghazal_present,ashneer_deal,anupam_deal,aman_deal,namita_deal,vineeta_deal,peyush_deal,ghazal_deal,total_sharks_invested,amount_per_shark,equity_per_shark
7,20,Torch-it,Gadgets for visually impaired people,1,75,1,7500,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,21,La Kheer Deli,Kheer in variety of flavors,0,50,7.5,666.67,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,22,Beyond Snack,Kerala Banana Chips,1,50,2.5,2000,50,2.5,2000,1,1,1,1,0,1,0,1,0,1,0,0,0,0,2,25,1.25
8,23,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,1,56,7.5,746.67,56,33.3,168.17,1,1,1,1,0,1,0,0,1,0,0,0,1,0,2,28,16.65
8,24,Motion Breeze,Smart Electric Motorcycle,1,30,3,1000,30,6,500,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,30,6
9,25,Altor,Smart Helmets,1,50,5,1000,50,7,714.29,1,1,1,1,0,1,0,0,0,1,1,0,0,0,2,25,3.5
9,26,Ariro,Wooden Toys,1,50,2.5,2000,50,10,500,1,1,1,1,0,1,0,0,0,1,0,0,1,0,2,25,5
9,27,Kabira Handmade,Healthy Oils,0,100,5,2000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10,28,Nuutjob,Male Intimate Hygiene,1,25,5,500,25,20,125,1,1,1,1,0,1,0,0,0,1,1,0,1,0,3,8.333333333,6.666666667
10,29,Meatyour,Eggs,1,30,5,600,30,20,150,1,1,1,1,0,1,0,0,1,1,0,0,1,0,3,10,6.666666667
10,30,EventBeep,Student Community App,1,30,2,1500,30,3,1000,1,1,1,1,0,1,0,1,0,1,0,0,1,0,3,10,1
11,31,Gopal's 56,Fiber Ice Cream,0,30000,25,120000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11,32,ARRCOAT Surface Textures,Wall Building,1,50,5,1000,50,15,333.33,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,50,15
11,33,Farda,Customised Streetwear,1,30,10,300,30,20,150,1,1,1,1,0,1,0,0,0,1,1,0,0,0,2,15,10
12,34,Auli Lifestyle,Ayurvedic Products,1,75,4,1875,75,15,500,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,75,15
12,35,SweeDesi,Indian Sweets,0,40,3,1333.33,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,36,LOKA,Metaverse App,1,40,5,800,40,24,166.67,1,1,1,1,0,1,0,0,1,1,0,0,1,0,3,13.33333333,8
13,37,Annie,Braille Literary Device,1,30,5,600,105,3,3500,1,1,1,1,0,1,0,0,1,0,1,0,1,0,3,35,1
13,38,Caragreen,Eco-Friendly boxes,1,50,10,500,50,20,250,1,1,1,1,0,1,0,0,1,0,0,0,1,0,2,25,10
13,39,The Yarn Bazaar,Yarn-Trading App,1,50,2,2500,100,10,1000,1,1,1,1,0,1,0,1,1,1,0,0,1,0,4,25,2.5
14,40,The Renal Project,Home Dialysis Treatment,1,100,3,3333.33,100,6,1666.67,1,1,1,1,0,1,0,0,0,1,1,0,0,0,2,50,3
14,41,Morikko Pure Foods,Healthy Food Snacks,0,100,3,3333.33,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
14,42,Good Good Piggy Bank,Digital Piggy Bank,0,45,5,900,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
15,43,Hammer Lifestyle,Smart Audio Products,1,30,3,1000,100,40,250,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,100,40
15,44,PNT,Robotics and Automation Solutions,1,50,4,1250,25,25,100,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,25,25
15,45,Cocofit,Coconut based beverage franchise,1,5,5,100,0.00005,5,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,3,1.67E-05,1.666666667
16,46,Bamboo India,Bamboo Products,1,80,4,2000,50,3.5,1428.57,1,1,1,1,0,1,0,1,1,0,0,0,0,0,2,25,1.75
16,47,Flying Furr,Dog Hygiene,0,75,7,1071.43,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16,48,Beyond Water,Liquid Water Enhancer,1,75,4,1875,75,15,500,1,1,1,1,0,1,0,0,0,1,1,0,0,0,2,37.5,7.5
16,49,Let's Try,Healthy Snacks,1,45,2,2250,45,12,375,1,1,1,1,0,1,0,0,1,1,0,0,0,0,2,22.5,6
17,50,Find Your Kicks India,Sneaker Resale,1,50,10,500,50,25,200,1,1,1,1,0,1,0,1,1,1,1,0,1,0,5,10,5
17,51,Aas Vidyalaya,EdTech App,1,150,3,5000,150,15,1000,1,1,1,1,0,1,0,1,0,0,1,0,1,0,3,50,5
17,52,Outbox,Premium Surprise-Planning,0,50,5,1000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,53,RoadBounce,Pothole Detection Software and Data,1,80,10,800,80,20,400,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,80,20
18,54,Mommy's Kitchen,Thin Crust Pizza,0,90,3,3000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
18,55,India Hemp and Co,Hemp Food Products,0,50,4,1250,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
18,56,Otua,Electric Auto Vehicle,1,100,1,10000,1,1,100,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1
18,57,Anthyesti,Funeral Service,0,50,2.5,2000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
19,58,Ethik,Leather-free Shoes,0,15,5,300,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
19,59,WeSTOCK,Livestock health monitoring AI,1,50,5,1000,60,10,600,1,1,1,1,0,1,0,1,0,1,1,0,1,0,4,15,2.5
19,60,KetoIndia,Customised Keto Diets for various medical issues,0,125,1.25,10000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
19,61,Magic lock,LPG Cylinder lock,0,120,8,1500,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20,62,The State Plate,Delicacies,1,65,2,3250,40,3,1333.33,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,40,3
20,63,Bakarmax,Comics & Animation,0,35,5,700,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20,64,IN A CAN,Can Cocktails,1,50,2,2500,100,10,1000,1,1,1,1,0,1,0,1,1,1,1,0,1,0,5,20,2
21,65,Get a Whey,Sugar-Free Icecream,1,100,8,1250,100,15,666.67,1,1,1,0,1,1,0,1,0,1,0,1,0,0,3,33.33333333,5
21,66,Sid07 Designs,Inventions,1,47,10,470,25,75,33.33,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,25,75
21,67,The Quirky Nari,Customised Apparels,1,35,5,700,35,24,145.83,1,1,1,0,1,1,0,0,1,0,0,1,0,0,2,17.5,12
22,68,Hair Originals,Natural Hair Extensions,1,60,2,3000,60,4,1500,1,1,1,0,1,1,0,1,1,0,0,0,1,0,3,20,1.333333333
22,69,Poo de Cologne,Toilet Spray with Essential Oils,0,75,5,1500,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22,70,Moonshine Meads,Meads,0,80,5,1600,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22,71,Falhari,Fresh Fruits,0,50,2,2500,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,72,Namhya Foods,Ayurvedic Enriched Food,1,100,5,2000,50,10,500,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,50,10
23,73,Urban Monkey,Streetwear,0,100,1,10000,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,74,Guardian Gears,Motorcycle Luggage,0,30,5,600,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,75,Modern Myth,Bags,0,75,5,1500,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
24,76,The Sass Bar,Gifts,1,40,8,500,50,35,142.86,0,1,0,1,1,1,1,0,1,0,0,0,0,1,2,25,17.5
24,77,KG Agrotech,Agricultural Innovations,1,30,10,300,10,40,25,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,10,40
24,78,Nuskha Kitchen,Homemade Foods,0,20,10,200,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
25,79,PawsIndia,Dog Products,1,50,4,1250,50,15,333.33,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,50,15
25,80,Sunfox Technologies,Portable ECG Device,1,100,2,5000,100,6,1666.67,0,1,0,1,1,1,1,0,1,0,1,1,1,1,5,20,1.2
25,81,Alpino,Roasted Peanut Products,0,150,2,7500,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
26,82,Isak Fragrances,Perfumes,1,50,8,625,50,50,100,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,50,50
26,83,Julaa Automation,Automatic Cradle,0,50,10,500,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
26,84,Rare Planet,Handicrafts,1,65,1,6500,65,3,2166.67,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,65,3
27,85,Theka Coffee,Coffee Products,0,50,10,500,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
27,86,Watt Technovations,Ventilated PPE Kits,1,0.00101,10,0.01,0.00101,4,0.03,0,1,0,1,1,1,1,0,1,0,1,0,1,1,4,0.0002525,1
27,87,Aliste Technologies,Automation Solutions,0,60,5,1200,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
27,88,Insurance Samadhan,Insurance Solutions,1,100,1,10000,100,4,2500,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,100,4
28,89,Humpy A2,Organic Milk Products,1,75,4,1875,100,15,666.67,0,1,0,1,1,1,1,0,0,0,0,1,1,1,3,33.33333333,5
28,90,Kunafa World,Kunafa,0,90,5,1800,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
28,91,Gold Safe Solutions Ind.,Anti-Suicidal Fan Rod,1,50,5,1000,50,30,166.67,0,1,0,1,1,1,1,0,0,0,0,1,1,1,3,16.66666667,10
29,92,Wakao Foods,Jackfruit Products,1,75,5,1500,75,21,357.14,0,1,0,1,1,1,1,0,0,0,1,1,0,1,3,25,7
29,93,PDD Falcon,Stainless Steel Items,0,75,3,2500,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
29,94,PlayBox TV,Streaming Platform,0,100,3.5,2857.14,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
30,95,Sippline Drinking Shields,Portable Glass Attachment,0,75,15,500,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,96,Kabaddi Adda,All-Kabaddi App,1,80,1,8000,80,6,1333.33,1,1,1,1,1,0,0,0,0,0,1,1,0,0,2,40,3
30,97,Shades of Spring,Flowers,0,300,1,30000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,98,Scholify,Scholarship Platform,0,50,7.5,666.67,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,99,Scrapshala,Handmade Reusable Scrap Materials,0,50,10,500,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,100,Sabjikothi,Vegetables Storage,0,60,2.5,2400,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,101,AyuRythm,Ayurvedic Wellness App,1,75,2,3750,75,2.68,2798.51,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,75,2.68
31,102,Astrix,Smart Locks,0,75,3,2500,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32,103,Thea and Sid,Proposal Solutions,0,80,7,1142.86,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
32,104,Experential Etc,Technology layered Advertisement Services,0,200,4,5000,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
32,105,GrowFitter,Rewards App,1,50,1,5000,50,2,2500,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,50,2
32,106,Med Tech,Portable opthalmic devices,0,35,6,583.33,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
33,107,Colour Me Mad,Insoles,1,40,10,400,40,25,160,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,40,25
33,108,Mavi's,Vegan Fermented Food,0,40,5,800,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
33,109,Tweek Labs,Sportswear,1,40,2,2000,60,10,600,1,1,1,1,0,1,0,1,1,0,0,0,1,0,3,20,3.333333333
33,110,Proxgy,VR,1,35,1,3500,10,10,100,1,1,1,1,0,1,0,1,0,0,0,0,1,0,2,5,5
34,111,Nomad Food Project,Bacon Jams,1,40,10,400,40,20,200,1,1,1,1,1,1,1,1,0,0,1,1,0,1,4,10,5
34,112,Twee in One,Reversible and convertible clothing,0,30,7.5,400,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
34,113,Green Protein,Plant-Based Protein,0,60,2,3000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
34,114,On2Cook,Fastest Cooking Device,0,100,1,10000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
35,115,Jain Shikanji,Lemonade,1,40,8,500,40,30,133.33,1,1,1,1,1,1,1,1,1,1,0,1,0,0,4,10,7.5
35,116,Woloo,Washroom Finder,0,50,4,1250,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
35,117,Elcare India,Carenting for Elders,0,100,2.5,4000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
