State_UT,year,Primary_Only,Primary_with_U_Primary,Primary_with_U_Primary_Sec_HrSec,U_Primary_Only,U_Primary_With_Sec_HrSec,Primary_with_U_Primary_Sec,U_Primary_With_Sec,Sec_Only,Sec_with_HrSec.,HrSec_Only,All Schools
Daman & Diu,2013-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Daman & Diu,2014-15,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
Daman & Diu,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
Delhi,2013-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Delhi,2014-15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Delhi,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Goa,2013-14,98.83,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,98.17
Goa,2014-15,98.69,100.0,100.0,100.0,100.0,97.11,99.08,0.0,0.0,100.0,98.72
Goa,2015-16,99.79,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,99.87
Gujarat,2013-14,99.33,99.86,100.0,99.85,100.0,100.0,100.0,99.44,99.97,99.7,99.72
Gujarat,2014-15,99.27,99.87,100.0,100.0,99.52,100.0,97.33,99.64,99.97,99.73,99.72
Gujarat,2015-16,99.23,99.86,100.0,100.0,100.0,100.0,100.0,99.74,100.0,100.0,99.73
Haryana,2013-14,98.87,99.58,100.0,96.0,99.78,99.68,99.74,0.0,82.05,0.0,98.89
Haryana,2014-15,98.61,99.7,100.0,95.7,99.79,99.79,99.37,0.0,75.0,100.0,98.74
Haryana,2015-16,98.7,99.96,100.0,96.53,99.79,100.0,99.58,0.0,91.3,100.0,98.97
Himachal Pradesh,2013-14,94.76,97.91,99.83,88.25,99.57,99.66,98.1,100.0,100.0,100.0,94.9
Himachal Pradesh,2014-15,93.99,97.95,99.82,85.79,99.55,99.85,97.76,100.0,100.0,100.0,94.22
Himachal Pradesh,2015-16,96.13,99.0,99.82,89.68,99.82,99.85,99.1,100.0,100.0,100.0,96.24
Jammu And Kashmir,2013-14,10.05,22.48,94.21,44.12,79.05,70.0,56.64,41.18,85.37,66.67,23.47
Jammu And Kashmir,2014-15,11.67,25.67,96.79,48.51,87.5,75.19,66.75,64.52,89.81,50.0,26.39
Jammu And Kashmir,2015-16,16.01,30.77,97.33,51.13,94.74,80.06,72.22,58.82,92.47,50.0,30.97
Jharkhand,2013-14,7.99,20.3,85.59,29.27,66.43,41.92,54.66,53.39,68.25,75.42,16.35
Jharkhand,2014-15,8.48,23.77,88.15,52.63,66.75,43.57,55.01,58.01,70.43,76.95,17.98
Jharkhand,2015-16,9.3,26.06,88.27,46.62,68.06,45.73,58.49,58.91,72.58,79.31,19.45
Karnataka,2013-14,96.37,98.37,99.03,97.11,98.51,98.49,96.73,94.25,98.1,89.53,96.78
Karnataka,2014-15,97.05,98.7,99.22,98.59,100.0,99.44,97.63,96.6,99.17,92.04,97.64
Karnataka,2015-16,96.81,98.81,100.0,98.07,100.0,100.0,99.87,99.99,100.0,93.06,98.12
Kerala,2013-14,93.57,98.03,99.1,98.66,99.49,98.61,99.35,0.0,0.0,94.59,96.08
Kerala,2014-15,94.85,98.85,99.5,99.54,99.61,98.61,99.74,100.0,99.08,98.18,97.01
Kerala,2015-16,95.57,98.96,99.51,99.69,99.9,98.75,99.73,100.0,100.0,98.46,97.46
Lakshadweep,2013-14,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0
Lakshadweep,2014-15,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0
Lakshadweep,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0
Madhya Pradesh,2013-14,12.89,83.37,93.73,24.51,93.5,92.41,83.05,47.06,74.99,100.0,28.27
Madhya Pradesh,2014-15,11.84,84.03,95.38,23.42,93.89,94.12,87.76,48.02,77.61,80.0,28.29
Madhya Pradesh,2015-16,11.31,85.17,96.15,24.1,95.08,94.98,88.89,52.09,79.93,77.78,28.8
Maharashtra,2013-14,89.44,96.67,98.14,88.75,98.67,99.17,95.64,91.44,95.63,96.31,92.75
Maharashtra,2014-15,90.75,97.33,99.29,85.59,99.11,99.27,96.87,94.03,97.64,97.58,93.93
Maharashtra,2015-16,90.62,97.29,98.31,89.47,99.31,98.84,97.12,94.58,97.5,96.66,93.94
Manipur,2013-14,9.53,42.06,93.1,42.86,95.45,75.44,77.48,45.45,95.0,100.0,30.97
Manipur,2014-15,9.73,42.42,95.74,44.26,91.3,74.96,77.63,46.34,90.48,100.0,30.66
Manipur,2015-16,14.64,61.95,100.0,46.03,95.45,85.98,86.93,40.0,95.24,95.52,39.27
Meghalaya,2013-14,13.83,54.14,100.0,35.25,97.5,91.86,84.21,59.71,93.24,86.67,24.49
Meghalaya,2014-15,14.86,60.53,100.0,38.78,95.83,89.47,88.36,62.34,94.19,87.63,26.72
Meghalaya,2015-16,15.61,56.28,100.0,41.15,93.55,90.65,89.4,66.3,95.31,91.48,28.54
Mizoram,2013-14,61.97,82.03,0.0,79.26,0.0,0.0,0.0,85.22,0.0,93.81,73.79
Mizoram,2014-15,64.07,78.37,0.0,78.41,0.0,0.0,0.0,87.38,0.0,94.7,74.56
Mizoram,2015-16,65.66,80.72,0.0,81.73,0.0,0.0,0.0,89.92,0.0,94.93,76.86
Nagaland,2013-14,18.38,54.55,98.88,39.02,85.19,93.27,72.36,50.0,100.0,95.83,39.06
Nagaland,2014-15,18.07,40.54,96.94,49.35,84.09,90.85,73.36,33.33,100.0,100.0,40.94
Nagaland,2015-16,22.85,62.72,99.05,74.36,89.13,90.5,75.42,100.0,100.0,100.0,51.7
Odisha,2013-14,13.09,38.44,95.87,32.13,93.48,56.93,63.76,66.34,0.0,0.0,27.88
Odisha,2014-15,13.89,41.16,98.23,33.2,98.11,61.28,67.8,66.09,0.0,0.0,29.73
Odisha,2015-16,15.49,44.79,92.36,35.17,95.0,65.59,70.59,70.16,0.0,86.03,33.03
Puducherry,2013-14,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Puducherry,2014-15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Puducherry,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Punjab,2013-14,99.93,99.71,99.87,100.0,100.0,99.82,100.0,100.0,100.0,98.63,99.86
Punjab,2014-15,99.86,99.85,99.96,99.69,100.0,99.96,100.0,100.0,100.0,100.0,99.88
Punjab,2015-16,99.94,99.77,99.96,100.0,100.0,99.96,100.0,100.0,100.0,100.0,99.94
Rajasthan,2013-14,22.56,68.04,93.49,88.43,96.33,84.98,81.96,92.0,98.04,100.0,52.06
Rajasthan,2014-15,19.05,69.76,93.96,96.77,96.76,85.7,90.61,92.0,98.04,100.0,55.28
Rajasthan,2015-16,19.84,72.31,92.72,89.47,97.02,88.24,94.97,91.67,97.94,0.0,56.68
Sikkim,2013-14,56.69,82.39,98.65,100.0,85.71,89.6,50.0,0.0,0.0,0.0,69.3
Sikkim,2014-15,59.16,81.68,97.53,100.0,83.33,88.15,50.0,0.0,0.0,0.0,70.72
Sikkim,2015-16,73.8,94.2,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,83.97
Tamil Nadu,2013-14,97.21,99.13,99.73,96.88,97.03,0.0,0.0,100.0,100.0,100.0,97.69
Tamil Nadu,2014-15,97.77,99.39,100.0,97.39,99.96,0.0,0.0,100.0,100.0,100.0,98.51
Tamil Nadu,2015-16,98.59,99.66,99.77,96.77,100.0,99.78,100.0,100.0,100.0,100.0,99.05
Telangana,2014-15,87.24,94.47,100.0,100.0,74.37,97.72,97.28,100.0,100.0,93.6,91.05
Telangana,2015-16,87.27,94.67,99.35,0.0,82.38,97.19,97.92,0.0,100.0,94.15,91.58
Tripura,2013-14,13.03,11.17,75.47,50.0,82.09,73.4,80.0,0.0,0.0,0.0,24.94
Tripura,2014-15,13.62,13.45,99.09,100.0,98.53,78.89,80.0,0.0,0.0,0.0,28.58
Tripura,2015-16,14.72,15.46,98.54,100.0,98.53,76.56,90.0,0.0,0.0,0.0,29.77
Uttar Pradesh,2013-14,48.32,70.54,81.93,49.24,80.96,77.6,70.84,69.88,83.93,91.67,52.19
Uttar Pradesh,2014-15,49.64,71.85,85.29,50.49,81.93,75.92,72.22,70.39,83.97,90.0,53.59
Uttar Pradesh,2015-16,50.11,73.41,85.78,51.05,82.14,77.89,74.38,70.21,83.82,50.0,54.26
Uttarakhand,2013-14,68.32,88.88,98.14,79.87,96.17,96.45,84.75,61.87,83.54,100.0,74.21
Uttarakhand,2014-15,71.88,89.83,98.48,81.35,96.68,98.01,85.16,54.01,77.19,100.0,76.95
Uttarakhand,2015-16,73.55,91.79,99.18,82.11,96.56,98.78,86.26,64.26,82.76,100.0,78.64
West Bengal,2013-14,36.48,77.26,92.11,31.77,97.07,86.97,91.14,100.0,100.0,90.91,42.76
West Bengal,2014-15,52.52,79.66,91.75,45.63,98.16,90.91,93.59,0.0,100.0,91.67,56.96
West Bengal,2015-16,73.64,83.39,96.84,55.24,98.58,90.63,95.4,0.0,100.0,91.67,74.88
All India,2013-14,46.38,69.56,94.92,45.97,93.72,83.12,86.84,75.08,82.88,91.01,56.78
All India,2014-15,49.63,73.26,95.27,48.33,94.81,84.03,89.14,77.55,83.85,92.67,60.01
All India,2015-16,52.4,76.44,94.81,49.86,94.48,88.1,90.82,81.5,86.85,92.86,62.81
