State/UT,Year,Primary_Only,Primary_with_U_Primary,Primary_with_U_Primary_Sec_HrSec,U_Primary_Only,U_Primary_With_Sec_HrSec,Primary_with_U_Primary_Sec,U_Primary_With_Sec,Sec_Only,Sec_with_HrSec.,HrSec_Only,All Schools
Maharashtra,2014-15,99.42,99.76,100.0,100.0,100.0,100.0,99.97,99.95,100.0,99.95,99.64
Maharashtra,2015-16,99.58,99.82,99.79,100.0,100.0,100.0,99.97,99.97,100.0,99.81,99.74
Manipur,2013-14,84.35,93.14,98.85,96.83,100.0,98.68,98.68,75.0,100.0,100.0,89.09
Manipur,2014-15,83.07,95.1,100.0,96.72,95.65,99.0,98.68,73.17,100.0,100.0,88.58
Manipur,2015-16,99.83,99.31,100.0,100.0,100.0,99.15,100.0,97.5,100.0,100.0,99.64
Meghalaya,2013-14,61.04,59.4,92.31,57.55,95.0,88.37,81.82,72.39,91.89,80.0,61.76
Meghalaya,2014-15,62.59,63.16,100.0,61.13,97.92,86.32,86.3,71.75,93.02,83.51,63.74
Meghalaya,2015-16,62.16,61.2,100.0,61.39,100.0,86.92,88.74,73.62,92.19,88.07,63.81
Mizoram,2013-14,94.33,93.67,100.0,94.45,0.0,0.0,0.0,89.35,0.0,91.15,93.39
Mizoram,2014-15,90.79,91.6,0.0,93.4,0.0,0.0,0.0,93.44,0.0,95.45,92.23
Mizoram,2015-16,91.61,93.32,0.0,94.03,0.0,0.0,0.0,94.63,0.0,94.93,93.1
Nagaland,2013-14,69.27,79.41,91.01,59.47,74.07,93.27,79.9,69.12,66.67,91.67,72.33
Nagaland,2014-15,72.27,83.9,91.84,64.29,84.09,91.48,80.84,66.67,50.0,95.65,78.18
Nagaland,2015-16,75.81,84.61,94.29,82.05,82.61,93.4,82.12,100.0,66.67,95.24,82.06
Odisha,2013-14,95.86,98.14,97.52,96.9,97.83,98.39,98.07,99.5,0.0,0.0,96.85
Odisha,2014-15,97.15,98.94,100.0,99.06,100.0,98.93,99.26,98.71,0.0,0.0,98.03
Odisha,2015-16,99.28,99.78,100.0,99.47,100.0,99.69,99.62,99.19,0.0,93.95,99.39
Puducherry,2013-14,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Puducherry,2014-15,99.65,100.0,100.0,100.0,100.0,99.38,100.0,0.0,100.0,100.0,99.73
Puducherry,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Punjab,2013-14,99.78,99.93,99.87,99.58,100.0,99.96,99.95,100.0,100.0,98.63,99.77
Punjab,2014-15,99.95,100.0,100.0,100.0,100.0,99.96,100.0,100.0,100.0,100.0,99.97
Punjab,2015-16,99.99,99.92,100.0,100.0,100.0,99.96,100.0,100.0,100.0,100.0,99.98
Rajasthan,2013-14,93.58,98.57,99.79,99.59,99.13,99.31,96.2,100.0,99.45,100.0,96.31
Rajasthan,2014-15,94.43,98.69,99.39,99.54,98.98,98.5,98.01,100.0,99.41,100.0,97.08
Rajasthan,2015-16,94.35,98.21,98.73,93.42,98.98,98.94,98.74,100.0,99.38,0.0,96.84
Sikkim,2013-14,96.04,99.1,98.65,100.0,100.0,97.6,100.0,0.0,0.0,0.0,97.18
Sikkim,2014-15,96.22,98.5,98.77,100.0,100.0,97.78,100.0,0.0,0.0,0.0,97.17
Sikkim,2015-16,97.59,99.42,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,98.51
Tamil Nadu,2013-14,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0
Tamil Nadu,2014-15,99.86,99.95,99.86,99.13,99.36,0.0,0.0,100.0,100.0,100.0,99.81
Tamil Nadu,2015-16,99.97,99.95,99.77,99.19,100.0,99.78,100.0,100.0,100.0,100.0,99.96
Telangana,2014-15,90.2,97.02,100.0,100.0,91.96,99.5,98.29,94.12,100.0,97.76,93.6
Telangana,2015-16,90.19,97.26,100.0,0.0,94.3,99.75,97.69,0.0,100.0,98.18,94.0
Tripura,2013-14,83.0,88.2,75.16,50.0,82.09,88.48,90.0,0.0,0.0,0.0,84.48
Tripura,2014-15,84.74,89.87,99.09,100.0,100.0,98.62,100.0,0.0,0.0,0.0,88.98
Tripura,2015-16,85.51,91.75,99.13,100.0,100.0,97.98,90.0,0.0,0.0,0.0,89.84
Uttar Pradesh,2013-14,98.83,99.67,96.76,96.87,99.02,97.85,99.62,97.03,98.74,100.0,98.17
Uttar Pradesh,2014-15,98.85,99.8,99.73,97.36,99.96,99.89,99.81,97.35,99.96,100.0,98.57
Uttar Pradesh,2015-16,98.93,99.86,99.73,97.72,99.93,99.9,99.86,97.79,99.96,92.86,98.73
Uttarakhand,2013-14,95.85,99.14,100.0,94.5,96.1,100.0,93.42,81.29,92.41,100.0,95.72
Uttarakhand,2014-15,95.28,99.13,99.78,93.9,96.11,100.0,93.53,74.26,83.33,100.0,95.14
Uttarakhand,2015-16,96.25,98.99,100.0,95.16,98.06,100.0,96.65,88.09,94.83,100.0,96.43
West Bengal,2013-14,97.81,95.94,98.07,95.07,99.69,98.85,99.3,100.0,100.0,100.0,97.75
West Bengal,2014-15,98.0,96.2,96.56,95.49,99.7,98.99,99.32,0.0,100.0,91.67,97.93
West Bengal,2015-16,98.43,97.22,100.0,96.92,99.75,99.17,99.28,0.0,100.0,100.0,98.42
All India,2013-14,94.09,98.18,99.1,93.9,99.2,98.64,97.38,96.52,98.18,97.14,95.4
All India,2014-15,94.88,98.49,99.59,94.82,99.38,98.83,98.49,96.32,98.71,98.23,96.12
All India,2015-16,95.78,98.69,99.39,95.65,99.59,99.21,98.91,97.05,99.18,97.92,96.81
