State_UT,year,Primary_Only,Primary_with_U_Primary,Primary_with_U_Primary_Sec_HrSec,U_Primary_Only,U_Primary_With_Sec_HrSec,Primary_with_U_Primary_Sec,U_Primary_With_Sec,Sec_Only,Sec_with_HrSec.,HrSec_Only,All Schools
Chandigarh,2013-14,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Chandigarh,2014-15,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Chandigarh,2015-16,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Chhattisgarh,2013-14,80.95,89.68,97.8,84.17,95.93,97.07,88.79,96.67,94.76,100.0,82.85
Chhattisgarh,2014-15,72.4,93.95,99.31,77.3,95.26,99.43,89.22,63.14,84.24,52.63,76.06
Chhattisgarh,2015-16,98.49,97.29,100.0,99.31,100.0,99.81,100.0,84.31,97.67,100.0,98.5
Dadra & Nagar Haveli,2013-14,79.56,93.39,100.0,0.0,100.0,90.0,0.0,0.0,0.0,0.0,85.53
Dadra & Nagar Haveli,2014-15,92.05,98.43,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,95.34
Dadra & Nagar Haveli,2015-16,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
Daman & Diu,2013-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0
Daman & Diu,2014-15,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
Daman & Diu,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
Delhi,2013-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0
Delhi,2014-15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Delhi,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Goa,2013-14,82.78,96.55,100.0,88.89,100.0,96.6,96.82,0.0,0.0,0.0,87.07
Goa,2014-15,86.83,90.91,100.0,100.0,100.0,98.77,99.07,0.0,0.0,98.75,90.85
Goa,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Gujarat,2013-14,95.57,98.5,100.0,99.32,100.0,99.59,98.65,0.0,0.0,0.0,97.77
Gujarat,2014-15,97.09,98.96,100.0,99.85,100.0,99.85,93.86,98.71,99.86,99.29,98.63
Gujarat,2015-16,99.86,99.88,100.0,100.0,100.0,100.0,100.0,99.59,100.0,99.72,99.87
Haryana,2013-14,95.73,99.79,99.81,90.71,97.41,99.89,96.14,0.0,0.0,0.0,96.53
Haryana,2014-15,94.26,99.85,99.86,89.15,97.23,99.74,95.66,0.0,75.0,100.0,95.67
Haryana,2015-16,99.15,100.0,99.91,99.54,99.88,99.9,99.68,0.0,84.78,100.0,99.49
Himachal Pradesh,2013-14,93.43,98.47,99.83,92.27,98.22,99.83,97.93,0.0,0.0,0.0,94.48
Himachal Pradesh,2014-15,95.01,98.97,99.82,92.12,98.69,99.85,98.33,100.0,100.0,100.0,95.63
Himachal Pradesh,2015-16,99.68,99.75,100.0,99.25,100.0,100.0,100.0,100.0,100.0,100.0,99.7
Jammu And Kashmir,2013-14,60.05,76.65,93.69,77.5,86.0,87.51,93.89,0.0,0.0,0.0,69.56
Jammu And Kashmir,2014-15,60.16,79.66,96.53,81.08,94.57,91.1,93.53,96.3,94.47,100.0,71.54
Jammu And Kashmir,2015-16,87.9,95.91,98.74,97.14,97.85,97.54,98.41,100.0,99.26,100.0,92.14
Jharkhand,2013-14,83.93,88.1,96.82,89.74,81.03,90.97,81.15,0.0,0.0,0.0,85.67
Jharkhand,2014-15,83.76,89.63,95.8,92.5,79.01,92.37,84.71,82.95,87.36,87.32,86.15
Jharkhand,2015-16,96.07,97.3,98.37,94.94,88.71,98.2,92.34,94.73,96.13,94.93,96.49
Karnataka,2013-14,99.63,99.84,99.27,100.0,100.0,99.42,99.32,99.46,94.44,86.08,99.65
Karnataka,2014-15,99.64,99.86,99.78,100.0,100.0,100.0,99.83,99.88,99.89,90.05,99.48
Karnataka,2015-16,98.92,99.82,100.0,100.0,100.0,100.0,100.0,99.87,99.88,93.65,99.3
Kerala,2013-14,95.08,98.11,99.55,98.5,98.96,99.3,98.71,0.0,0.0,0.0,96.85
Kerala,2014-15,95.03,98.5,99.64,98.02,99.78,99.07,99.69,99.38,99.29,100.0,97.0
Kerala,2015-16,96.88,99.14,99.86,98.77,100.0,99.5,100.0,99.34,99.54,100.0,98.16
Lakshadweep,2013-14,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0
Lakshadweep,2014-15,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0
Lakshadweep,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0
Madhya Pradesh,2013-14,92.34,97.89,98.9,89.54,98.95,99.04,96.36,0.0,0.0,0.0,92.64
Madhya Pradesh,2014-15,88.41,98.92,99.86,87.38,100.0,99.76,100.0,78.4,90.98,88.89,89.68
Madhya Pradesh,2015-16,95.72,99.42,99.95,95.39,100.0,99.78,100.0,91.93,96.94,100.0,96.2
Maharashtra,2013-14,97.87,99.01,98.78,92.96,98.92,98.69,98.26,0.0,0.0,0.0,98.3
Maharashtra,2014-15,98.83,99.63,100.0,95.0,99.54,99.31,99.38,99.04,99.6,98.98,99.15
Maharashtra,2015-16,98.8,99.6,100.0,98.78,99.73,99.43,99.66,99.58,99.61,99.61,99.21
Manipur,2013-14,93.63,95.76,100.0,100.0,100.0,99.56,100.0,0.0,0.0,0.0,95.3
Manipur,2014-15,91.68,99.77,100.0,100.0,100.0,99.86,100.0,100.0,100.0,100.0,94.93
Manipur,2015-16,98.37,99.19,100.0,90.38,100.0,99.86,97.89,94.59,100.0,100.0,98.67
Meghalaya,2013-14,53.74,61.65,95.83,49.55,95.65,88.24,79.02,0.0,0.0,0.0,53.71
Meghalaya,2014-15,63.75,71.71,100.0,63.53,97.78,90.53,85.42,62.83,89.47,73.33,64.48
Meghalaya,2015-16,86.48,73.22,96.15,91.42,100.0,92.52,88.89,69.23,93.33,82.82,86.4
Mizoram,2013-14,68.62,85.32,100.0,75.39,0.0,0.0,0.0,0.0,0.0,0.0,73.27
Mizoram,2014-15,97.29,88.3,0.0,99.19,0.0,0.0,0.0,99.34,0.0,100.0,97.34
Mizoram,2015-16,97.5,96.92,0.0,98.12,0.0,0.0,0.0,99.02,0.0,100.0,97.96
Nagaland,2013-14,86.38,91.71,98.85,82.77,96.3,95.62,90.45,0.0,0.0,0.0,87.88
Nagaland,2014-15,92.72,97.74,98.96,83.12,100.0,97.79,97.66,91.67,100.0,100.0,94.66
Nagaland,2015-16,98.66,98.35,99.03,97.44,100.0,98.68,100.0,100.0,100.0,100.0,98.69
Odisha,2013-14,76.79,77.05,81.36,77.2,86.67,78.08,73.58,0.0,0.0,0.0,76.61
Odisha,2014-15,81.58,84.97,92.59,80.5,92.16,86.84,80.33,69.59,0.0,0.0,82.45
Odisha,2015-16,93.66,95.84,94.74,89.17,98.21,97.03,90.85,91.3,0.0,88.4,93.75
Puducherry,2013-14,100.0,100.0,100.0,0.0,100.0,99.37,100.0,0.0,100.0,100.0,99.85
Puducherry,2014-15,99.64,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,99.86
Puducherry,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Punjab,2013-14,96.02,97.58,99.37,96.22,99.07,98.99,98.27,0.0,0.0,0.0,97.04
Punjab,2014-15,96.3,98.37,99.47,96.99,98.57,99.48,97.97,100.0,78.26,94.67,97.35
Punjab,2015-16,99.62,99.22,99.65,99.54,99.68,99.78,99.78,100.0,96.67,98.08,99.6
Rajasthan,2013-14,93.99,97.98,99.41,87.88,96.67,98.84,94.86,0.0,100.0,0.0,96.03
Rajasthan,2014-15,94.68,98.71,98.0,92.68,97.03,97.98,97.41,100.0,95.23,100.0,96.91
Rajasthan,2015-16,98.97,99.29,99.46,98.11,99.5,99.32,99.35,100.0,97.86,0.0,99.19
Sikkim,2013-14,96.72,96.42,100.0,100.0,100.0,98.4,100.0,0.0,0.0,0.0,97.01
Sikkim,2014-15,97.9,98.5,98.72,100.0,100.0,98.52,100.0,0.0,0.0,0.0,98.19
Sikkim,2015-16,99.86,99.71,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,99.84
Tamil Nadu,2013-14,88.14,95.42,99.67,92.42,93.75,0.0,0.0,100.0,100.0,100.0,90.93
Tamil Nadu,2014-15,98.99,99.63,99.95,98.11,99.9,0.0,0.0,100.0,100.0,100.0,99.29
Tamil Nadu,2015-16,99.6,99.93,100.0,100.0,99.97,100.0,99.97,100.0,100.0,100.0,99.73
Telangana,2014-15,68.44,78.19,96.97,87.5,92.86,85.65,79.74,82.35,100.0,81.66,73.39
Telangana,2015-16,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
Tripura,2013-14,92.31,94.81,73.19,50.0,77.97,89.32,83.33,0.0,0.0,0.0,91.15
Tripura,2014-15,99.14,99.92,98.76,100.0,100.0,100.0,100.0,0.0,0.0,0.0,99.44
Tripura,2015-16,99.57,99.92,99.11,100.0,100.0,100.0,100.0,0.0,0.0,0.0,99.69
Uttar Pradesh,2013-14,97.18,98.66,95.4,97.31,97.66,97.79,98.47,95.45,94.52,0.0,97.25
Uttar Pradesh,2014-15,98.36,99.5,99.6,98.39,99.45,99.43,99.53,98.49,99.53,100.0,98.5
Uttar Pradesh,2015-16,99.74,99.92,99.52,99.74,99.78,99.89,99.89,98.82,99.81,92.31,99.74
Uttarakhand,2013-14,94.2,95.51,98.3,94.27,98.2,97.79,96.8,0.0,0.0,0.0,94.71
Uttarakhand,2014-15,96.31,97.39,98.64,96.58,98.81,98.63,97.72,75.45,93.2,100.0,96.46
Uttarakhand,2015-16,97.18,98.29,99.57,97.09,99.11,99.38,98.2,93.15,98.13,100.0,97.43
West Bengal,2013-14,80.34,74.9,78.99,78.71,97.04,88.1,94.33,0.0,0.0,0.0,81.42
West Bengal,2014-15,89.45,80.43,80.73,87.89,99.37,94.04,97.97,0.0,100.0,100.0,89.93
West Bengal,2015-16,97.53,92.44,93.38,98.86,99.83,95.43,99.64,0.0,100.0,100.0,97.7
All India,2013-14,84.01,91.44,97.91,88.14,96.05,94.51,80.89,97.97,94.68,74.36,86.56
All India,2014-15,85.66,93.93,98.59,88.12,98.63,96.35,87.28,89.1,93.09,88.97,88.62
All India,2015-16,96.45,98.4,99.38,96.0,99.51,98.84,98.04,94.56,97.97,95.67,97.02
