State_UT,year,Primary_Only,Primary_with_U_Primary,Primary_with_U_Primary_Sec_HrSec,U_Primary_Only,U_Primary_With_Sec_HrSec,Primary_with_U_Primary_Sec,U_Primary_With_Sec,Sec_Only,Sec_with_HrSec.,HrSec_Only,All Schools
Goa,2015-16,13.87,82.19,100.0,84.62,100.0,100.0,100.0,0.0,0.0,95.56,44.72
Gujarat,2013-14,24.74,90.44,96.98,75.23,92.27,93.98,84.82,65.19,74.75,56.36,72.08
Gujarat,2014-15,28.28,90.99,97.15,79.08,86.47,93.74,52.0,76.47,86.88,73.54,75.22
Gujarat,2015-16,28.11,90.76,96.94,80.74,91.82,92.21,52.41,79.39,89.73,77.22,75.5
Haryana,2013-14,7.43,74.87,94.8,27.69,97.39,86.07,94.06,0.0,28.21,0.0,44.12
Haryana,2014-15,7.47,77.03,95.74,28.75,96.9,87.93,95.0,0.0,37.5,100.0,46.04
Haryana,2015-16,7.85,77.72,96.01,30.58,97.09,88.58,95.82,0.0,45.65,100.0,46.93
Himachal Pradesh,2013-14,3.75,82.75,94.83,14.38,81.13,92.28,50.0,100.0,60.0,33.33,22.49
Himachal Pradesh,2014-15,4.3,80.51,95.58,15.85,82.56,93.88,42.82,0.0,100.0,50.0,23.85
Himachal Pradesh,2015-16,4.71,80.58,95.75,18.71,88.19,94.88,53.51,50.0,100.0,66.67,26.0
Jammu And Kashmir,2013-14,3.6,18.94,87.03,8.82,71.43,54.55,32.58,35.29,72.49,66.67,16.73
Jammu And Kashmir,2014-15,3.74,19.8,89.38,11.19,78.13,55.51,35.22,41.94,78.56,50.0,17.56
Jammu And Kashmir,2015-16,4.12,20.62,90.12,11.28,75.79,57.37,36.47,41.18,83.68,50.0,18.32
Jharkhand,2013-14,3.1,10.89,77.61,24.39,65.48,30.52,45.03,19.67,23.81,24.58,8.94
Jharkhand,2014-15,3.25,12.14,82.92,40.0,65.24,31.59,48.17,27.34,29.03,34.38,9.71
Jharkhand,2015-16,3.48,13.09,82.93,27.07,64.86,32.44,50.15,28.91,30.65,36.02,10.28
Karnataka,2013-14,9.94,40.01,94.92,56.96,89.55,89.17,70.74,67.04,77.72,13.97,35.01
Karnataka,2014-15,13.2,43.71,96.12,60.24,94.74,86.25,73.54,69.92,78.24,31.38,38.74
Karnataka,2015-16,13.3,44.75,96.2,63.52,93.22,87.54,75.66,69.32,74.97,37.82,39.53
Kerala,2013-14,87.96,96.61,97.23,98.66,99.64,95.54,99.67,0.0,0.0,75.68,92.63
Kerala,2014-15,89.64,97.21,97.87,98.63,99.61,96.4,100.0,100.0,99.77,83.64,93.77
Kerala,2015-16,90.95,97.12,98.16,98.93,99.71,96.59,99.73,100.0,99.78,95.38,94.5
Lakshadweep,2013-14,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0
Lakshadweep,2014-15,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0
Lakshadweep,2015-16,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0
Madhya Pradesh,2013-14,3.33,46.61,80.74,13.04,69.0,72.89,54.24,5.88,18.78,66.67,13.03
Madhya Pradesh,2014-15,3.53,49.5,84.99,13.15,74.24,76.23,57.14,9.86,27.89,60.0,14.58
Madhya Pradesh,2015-16,2.9,51.23,87.7,13.33,75.82,78.94,64.44,14.51,35.78,66.67,15.17
Maharashtra,2013-14,28.6,69.2,96.11,38.75,96.48,94.48,91.96,82.24,87.32,49.47,52.79
Maharashtra,2014-15,32.52,72.86,96.61,47.75,97.93,94.93,94.64,88.43,93.22,73.75,57.07
Maharashtra,2015-16,35.48,74.64,96.72,77.89,98.3,95.32,95.49,90.49,94.32,78.35,59.65
Manipur,2013-14,2.13,36.23,96.55,15.87,95.45,82.31,74.83,15.91,80.0,73.58,25.57
Manipur,2014-15,1.82,36.6,96.81,24.59,91.3,83.12,73.68,14.63,85.71,79.63,25.23
Manipur,2015-16,2.17,41.38,96.0,39.68,95.45,83.29,75.16,30.0,100.0,80.6,27.16
Meghalaya,2013-14,2.97,28.57,96.15,15.63,91.25,67.44,53.59,16.78,36.49,20.0,8.98
Meghalaya,2014-15,3.23,36.18,95.65,18.12,87.5,63.16,64.38,24.78,69.77,43.3,10.64
Meghalaya,2015-16,3.54,27.32,89.66,19.8,87.1,66.36,68.21,28.79,64.06,52.27,11.74
Mizoram,2013-14,9.21,53.92,0.0,56.86,0.0,0.0,0.0,9.97,0.0,9.73,27.76
Mizoram,2014-15,8.31,49.87,0.0,51.83,0.0,0.0,0.0,44.75,0.0,27.27,31.9
Mizoram,2015-16,8.52,48.59,0.0,52.41,0.0,0.0,0.0,48.94,0.0,31.88,32.81
Nagaland,2013-14,4.98,55.35,97.75,59.09,77.78,92.93,86.43,30.88,66.67,25.0,34.96
Nagaland,2014-15,4.97,38.84,95.92,68.83,81.82,90.85,86.45,41.67,75.0,34.78,35.68
Nagaland,2015-16,5.53,46.44,98.1,76.92,89.13,91.29,87.71,100.0,66.67,80.95,40.13
Odisha,2013-14,3.91,17.07,80.99,8.24,80.43,36.98,21.12,18.32,0.0,0.0,10.58
Odisha,2014-15,3.58,18.47,84.96,9.19,83.02,46.18,44.54,39.91,0.0,0.0,13.72
Odisha,2015-16,3.71,19.44,78.98,9.28,83.33,47.74,46.96,41.13,0.0,52.61,15.03
Puducherry,2013-14,98.56,94.74,100.0,0.0,98.11,95.6,100.0,0.0,100.0,100.0,97.62
Puducherry,2014-15,98.25,96.84,100.0,100.0,98.08,95.65,100.0,0.0,100.0,100.0,97.81
Puducherry,2015-16,99.28,97.67,100.0,100.0,100.0,96.99,100.0,0.0,100.0,100.0,98.77
Punjab,2013-14,10.64,83.96,97.2,93.48,100.0,95.34,99.84,100.0,64.71,53.42,51.97
Punjab,2014-15,10.29,84.88,98.06,95.36,99.83,96.53,99.84,80.0,78.85,73.53,52.48
Punjab,2015-16,9.23,87.18,98.65,94.97,99.77,97.16,99.84,66.67,87.3,83.92,52.83
Rajasthan,2013-14,4.51,28.78,70.33,72.31,67.62,53.79,30.67,68.0,58.6,66.67,23.47
Rajasthan,2014-15,5.29,31.02,69.82,81.57,76.9,50.58,61.55,64.0,68.57,75.0,28.6
Rajasthan,2015-16,5.91,32.75,65.61,78.51,79.34,56.17,70.1,75.0,72.99,0.0,30.11
Sikkim,2013-14,29.92,79.4,98.65,50.0,71.43,93.6,0.0,0.0,0.0,0.0,53.33
Sikkim,2014-15,35.94,82.28,98.77,50.0,83.33,95.56,0.0,0.0,0.0,0.0,58.56
Sikkim,2015-16,36.97,84.93,98.75,0.0,100.0,96.32,25.0,0.0,0.0,0.0,60.36
Tamil Nadu,2013-14,35.51,82.59,98.96,78.13,79.24,0.0,0.0,50.0,79.17,81.82,54.14
Tamil Nadu,2014-15,39.86,82.42,99.21,75.65,81.61,0.0,0.0,66.67,83.33,100.0,57.28
Tamil Nadu,2015-16,40.14,82.12,99.85,73.39,97.49,98.6,64.72,75.0,88.24,94.74,57.62
Telangana,2014-15,18.17,46.08,88.64,75.0,74.37,72.62,75.16,76.47,20.0,48.03,37.9
Telangana,2015-16,9.06,45.75,81.29,0.0,79.27,78.65,73.94,0.0,100.0,53.67,35.51
Tripura,2013-14,3.59,4.33,59.63,50.0,71.64,27.3,50.0,0.0,0.0,0.0,11.4
Tripura,2014-15,4.36,5.06,84.15,100.0,91.18,35.81,60.0,0.0,0.0,0.0,15.11
Tripura,2015-16,4.52,5.95,84.55,100.0,91.18,34.91,70.0,0.0,0.0,0.0,15.65
Uttar Pradesh,2013-14,5.53,25.63,49.98,14.75,53.22,32.81,22.71,9.37,15.36,37.5,11.12
Uttar Pradesh,2014-15,6.43,27.71,55.9,16.64,56.17,36.18,25.27,15.5,22.12,20.0,12.72
Uttar Pradesh,2015-16,6.67,29.88,56.49,17.15,56.03,36.18,26.81,16.23,24.11,28.57,13.31
Uttarakhand,2013-14,12.78,77.16,94.2,57.03,93.63,90.07,66.4,27.34,39.24,50.0,31.97
Uttarakhand,2014-15,13.17,76.76,94.78,57.34,94.39,92.72,67.08,24.89,48.25,61.54,32.97
Uttarakhand,2015-16,12.86,78.03,96.51,57.33,94.0,92.07,65.7,30.64,56.03,73.33,33.54
West Bengal,2013-14,3.94,34.84,67.19,7.93,74.34,54.02,42.04,0.0,0.0,54.55,10.77
West Bengal,2014-15,4.55,39.79,70.27,9.32,78.72,61.28,49.07,0.0,0.0,66.67,12.13
West Bengal,2015-16,4.69,41.56,75.71,9.97,79.93,63.91,50.49,0.0,100.0,66.67,12.67
All India,2013-14,9.25,42.14,82.67,18.22,76.5,64.69,59.25,44.8,39.31,26.65,24.08
All India,2014-15,10.32,44.39,81.96,19.4,79.86,62.66,68.11,51.27,50.26,47.96,26.42
All India,2015-16,10.36,45.46,79.06,19.78,82.04,68.67,68.4,53.05,54.05,55.72,27.31
