Year,Country,Song,Artist,Songwriter(s),Running Order,Semi Final Points,Total Points,Location
1978,Israel,"""A-Ba-Ni-Bi"" (א-ב-ני-בי)",Izhar Cohen and the Alphabeta,"Nurit Hirsh
Ehud Manor",18,,157,Paris
1979,Israel,"""Hallelujah"" (הללויה)",Milk and Honey,"Kobi Oshrat
Shimrit Orr",10,,125,Jerusalem
1980,Ireland,"""What's Another Year""",Johnny Logan,Shay Healy,17,,143,The Hauge
1981,United Kingdom,"""Making Your Mind Up""",Bucks Fizz,"Andy Hill
John Danter",14,,136,Dublin
1982,Germany,"""Ein bißchen Frieden""",Nicole,"Ralph Siegel
Bernd Meinunger",18,,161,Harrogate
1983,Luxembourg,"""Si la vie est cadeau""",Corinne Hermès,"Jean-Pierre Millers
Alain Garcia",20,,142,Munich
1984,Sweden,"""Diggi-Loo Diggi-Ley""",Herreys,"Torgny Söderberg
Britt Lindeborg",1,,145,Luxembourg
1985,Norway,"""La det swinge""",Bobbysocks!,Rolf Løvland,13,,123,Gothenburg
1986,Belgium,"""J'aime la vie""",Sandra Kim,"Jean-Paul Furnémont
Angelo Crisci
Rosario Marino Atria",13,,176,Bergen
1987,Ireland,"""Hold Me Now""",Johnny Logan,Johnny Logan,20,,172,Brussels
1988,Switzerland,"""Ne partez pas sans moi""",Céline Dion,"Nella Martinetti
Atilla Şereftuğ",9,,137,Dublin
1989,Yugoslavia,"""Rock Me""",Riva,"Rajko Dujmić
Stevo Cvikić",22,,137,Lausanne
1990,Italy,"""Insieme: 1992""",Toto Cutugno,Toto Cutugno,19,,149,Zagreb
1991,Sweden,"""Fångad av en stormvind""",Carola,Stephan Berg,8,,146,Rome
1992,Ireland,"""Why Me?""",Linda Martin,Johnny Logan,17,,155,Malmö
1993,Ireland,"""In Your Eyes""",Niamh Kavanagh,Jimmy Walsh,14,,187,Millstreet
1994,Ireland,"""Rock 'n' Roll Kids""",Paul Harrington and Charlie McGettigan,Brendan Graham,3,,226,Dublin
1995,Norway,"""Nocturne""",Secret Garden,"Rolf Løvland
Petter Skavlan",5,,148,Dublin
1996,Ireland,"""The Voice""",Eimear Quinn,Brendan Graham,17,,162,Oslo
1997,United Kingdom,"""Love Shine a Light""",Katrina and the Waves,Kimberley Rew,24,,227,Dublin
1998,Israel,"""Diva"" (דיווה)",Dana International,"Svika Pick
Yoav Ginai",8,,172,Birmingham
1999,Sweden,"""Take Me to Your Heaven""",Charlotte Nilsson,"Lars Diedricson
Marcos Ubeda",15,,163,Jerusalem
2000,Denmark,"""Fly on the Wings of Love""",Olsen Brothers,Jørgen Olsen,14,,195,Stockholm
2001,Estonia,"""Everybody""","Tanel Padar, Dave Benton and 2XL","Ivar Must
Maian-Anna Kärmas",20,,198,Copenhagen
2002,Latvia,"""I Wanna""",Marie N,"Marija Naumova
Marats Samauskis",23,,176,Tallinn
2003,Turkey,"""Everyway That I Can""",Sertab Erener,"Demir Demirkan
Sertab Erener",4,,167,Riga
2004,Ukraine,"""Wild Dances""",Ruslana,"Ruslana Lyzhychko
Alexandr Ksenofontov",10,256,280,Istanbul
2005,Greece,"""My Number One""",Helena Paparizou,"Manos Psaltakis
Christos Dantis
Natalia Germanou",19,,230,Kyiv
2006,Finland,"""Hard Rock Hallelujah""",Lordi,Lordi,17,292,292,Athens
2007,Serbia,"""Molitva"" (Молитва)",Marija Šerifović,"Vladimir Graić
Saša Milošević Mare",17,298,268,Helsimki
2008,Russia,"""Believe""",Dima Bilan,Dima Bilan,24,135,272,Belgrade
2009,Norway,"""Fairytale""",Alexander Rybak,Alexander Rybak,20,201,387,Moscow
2010,Germany,"""Satellite""",Lena,"Julie Frost
John Gordon ",22,,246,Oslo
2011,Azerbaijan,"""Running Scared""",Ell and Nikki,"Stefan Örn
Sandra Bjurman
Iain James Farquharson",19,122,221,Dussëldorf
2012,Sweden,"""Euphoria""",Loreen,"Thomas G:son
Peter Boström",17,181,372,Baku
2013,Denmark,"""Only Teardrops""",Emmelie de Forest,"Lise Cabble
Julia Fabrin Jakobsen
Thomas Stengaard",18,167,281,Malmö
2014,Austria,"""Rise Like a Phoenix""",Conchita Wurst,"Charlie Mason
Joey Patulka
Ali Zuckowski
Julian Maas",11,169,290,Copenhagen
2015,Sweden,"""Heroes""",Måns Zelmerlöw,"Anton Hård af Segerstad
Joy Deb
Linnea Deb",10,217,365,Vienna
2016,Ukraine,"""1944""",Jamala,Jamala,21,287,534,Stockholm
2017,Portugal,"""Amar pelos dois""",Salvador Sobral,Luísa Sobral,11,370,758,Kyiv
2018,Israel,"""Toy""",Netta,"Doron Medalie
Stav Beger",22,283,529,Lisbon
2019,Netherlands,"""Arcade""",Duncan Laurence,"Duncan Laurence
Joel Sjöö
Wouter Hardy
Will Knox",12,280,498,Tel Aviv
2020,Contest cancelled due to the COVID-19 pandemic,,,,,,,
2021,Italy,"""Zitti e buoni""",Måneskin,"Damiano David
Ethan Torchio
Thomas Raggi
Victoria De Angelis",24,,524,Rotterdam
2022,Ukraine,"""Stefania"" (Стефанія)",Kalush Orchestra,"Ihor Didenchuk
Ivan Klymenko
Oleh Psiuk
Tymofii Muzychuk
Vitalii Duzhyk",12,337,631,Turin
