Name,Price,Producer,MPN,EAN,UPC,Length,Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,VGA,Boost Clock,Vram,Memory Clock,TDP,Product Page
ASUS GeForce RTX 3080 Ti ROG Strix O12G,,ASUS,90YV0GT1-M0NM00,4711081169765,195553169769,319 mm,3.0,3,0,2,3,0,0,1845 MHz,12 GB,19000 MHz,350 W,
ASUS GeForce RTX 3080 Ti TUF,,ASUS,90YV0GU0-M0NM00,4711081169864,,300 mm,2.7,2,0,2,3,0,0,1695 MHz,12 GB,19000 MHz,350 W,
ASUS GeForce RTX 3080 Ti TUF O12G,,ASUS,90YV0GU1-M0NM00,4711081169802,195553169806,300 mm,2.7,2,0,2,3,0,0,1785 MHz,12 GB,19000 MHz,350 W,
ASUS GeForce RTX 3080 TUF Gaming 1,,ASUS,90YV0FB0-M0NM00,4718017909327,,299.9 mm,3.0,2,0,2,3,0,0,MHz,10 GB,19000 MHz,320 W,
ASUS GeForce RTX 3080 TUF Gaming O1,,ASUS,90YV0FB1-M0NM00,4718017922760,,299.9 mm,3.0,2,0,2,3,0,0,MHz,10 GB,19000 MHz,320 W,
ASUS GeForce RTX 3080 TUF V2 10G LHR,,ASUS,90YV0FB5-M0NM00,4711081322993,,299.9 mm,2.7,2,0,2,3,0,0,MHz,10 GB,19000 MHz,320 W,
ASUS GeForce RTX 3080 TUF V2 O10G LHR,,ASUS,90YV0FB4-M0NM00,4711081322979,195553322973,299.9 mm,2.7,2,0,2,3,0,0,MHz,10 GB,19000 MHz,320 W,
ASUS GeForce RTX 3090 ROG Strix 2,,ASUS,90YV0F90-M0NM00,4718017908955,,318.5 mm,2.75,3,0,2,3,0,0,MHz,24 GB,19500 MHz,350 W,
ASUS GeForce RTX 3090 ROG Strix O2,,ASUS,90YV0F93-M0NM00,4718017928618,,318.5 mm,3.0,3,0,2,3,0,0,MHz,24 GB,19500 MHz,350 W,
ASUS GeForce RTX 3090 Ti ROG Strix LC,,ASUS,90YV0HC0-M0NA00,4711081655879,,293 mm,2.6,0,0,2,3,0,0,1950 MHz,24 GB,,480 W,
ASUS GeForce RTX 3090 Ti TUF,,ASUS,90YV0HC1-M0NA00,4711081655916,,326 mm,3.2,0,0,2,3,0,0,MHz,24 GB,,450 W,
ASUS GeForce RTX 3090 TUF Gaming 2,,ASUS,90YV0FD0-M0NM00,4718017909297,,299.9 mm,2.75,2,0,2,3,0,0,MHz,24 GB,19500 MHz,350 W,
ASUS GeForce RTX 3090 TUF Gaming O2,,ASUS,90YV0FD1-M0NM00,4718017922814,,299.9 mm,2.75,2,0,2,3,0,0,MHz,24 GB,19500 MHz,350 W,
ASUS GeForce RTX 4060 Dual,,ASUS,90YV0JC0-M0NA00,4711387223734,197105223738,227.2 mm,2.5,1,0,1,3,0,0,2505 MHz,8 GB,17000 MHz,115 W,
ASUS GeForce RTX 4060 ROG Strix,,ASUS,90YV0JB0-M0NA00,4711387239681,,311.4 mm,3.1,1,0,1,3,0,0,2670 MHz,8 GB,17000 MHz,115 W,
ASUS GeForce RTX 4060 Ti Dual,,ASUS,90YV0J40-M0NA00,4711387183106,197105183100,227.2 mm,2.5,1,0,1,3,0,0,2565 MHz,8 GB,18000 MHz,160 W,
ASUS GeForce RTX 4060 Ti Dual O8G White,,ASUS,90YV0J42-M0NA00,4711387228722,,227.2 mm,2.5,1,0,1,3,0,0,2595 MHz,8 GB,18000 MHz,650 W,
ASUS GeForce RTX 4060 Ti TUF,,ASUS,90YV0J50-M0NA00,4711387183120,197105183124,300 mm,3.12,1,0,1,3,0,0,MHz,8 GB,18000 MHz,160 W,
ASUS GeForce RTX 4070 Dual,,ASUS,90YV0IZ3-M0NA00,4711387130124,197105130128,269 mm,2.55,1,0,1,3,0,0,2475 MHz,12 GB,21000 MHz,200 W,
ASUS GeForce RTX 4070 Dual 12G White Edition,,ASUS,90YV0IZ5-M0NA00,4711387136638,,267 mm,2.56,1,0,1,3,0,0,MHz,12 GB,21000 MHz,200 W,
ASUS GeForce RTX 4070 Dual O12G White Edition,,ASUS,90YV0IZ4-M0NA00,4711387136614,,267 mm,2.56,1,0,1,3,0,0,MHz,12 GB,21000 MHz,200 W,
ASUS GeForce RTX 4070 TUF,,ASUS,90YV0IZ0-M0NA00,4711387128176,197105128170,303 mm,3.25,1,0,1,3,0,0,2550 MHz,12 GB,21000 MHz,200 W,
ASUS GeForce RTX 4080 ROG Strix,,ASUS,90YV0IC0-M0NA00,4711081951568,,357.6 mm,3.5,0,0,2,3,0,0,MHz,16 GB,22400 MHz,320 W,
ASUS GeForce RTX 4080 TUF,,ASUS,90YV0IB0-M0NA00,4711081950721,,348.2 mm,3.65,0,0,2,3,0,0,2595 MHz,16 GB,22400 MHz,320 W,
ASUS GeForce RTX 4090 ROG Strix LC,,ASUS,90YV0IY0-M0NA00,4711387217368,,293 mm,2.0,0,0,2,3,0,0,2640 MHz,24 GB,21000 MHz,450 W,
ASUS GeForce RTX 4090 TUF O24G OG,,ASUS,90YV0IY3-M0NA00,4711387225011,,325.9 mm,3.0,0,0,1,3,0,0,2595 MHz,24 GB,21000 MHz,850 W,
ASUS Radeon RX 6500 XT Dual,,ASUS,90YV0HA1-M0NA00,4711081602408,,201 mm,2.0,0,1,1,1,0,0,2815 MHz,4 GB,,107 W,
ASUS Radeon RX 6500 XT TUF,,ASUS,90YV0HA0-M0NA00,4711081591832,195553591836,250 mm,2.7,0,1,1,1,0,0,2815 MHz,4 GB,,107 W,
ASUS Radeon RX 6600 Dual,,ASUS,90YV0GP0-M0NA00,4711081363118,,243 mm,2.5,1,0,1,3,0,0,MHz,8 GB,,132 W,
ASUS Radeon RX 6600 XT Dual OC,,ASUS,90YV0GN1-M0NA00,4711081332794,,243 mm,2.5,1,0,1,3,0,0,MHz,8 GB,16000 MHz,160 W,
ASUS Radeon RX 6600 XT ROG Strix OC,,ASUS,90YV0GN0-M0NA00,4711081332770,,243 mm,2.5,1,0,1,3,0,0,MHz,8 GB,16000 MHz,160 W,
ASUS Radeon RX 6650 XT Dual,,ASUS,90YV0HL0-M0NA00,4711081647539,,243 mm,2.5,1,0,3,1,0,0,MHz,8 GB,,180 W,
ASUS Radeon RX 6700 XT Dual,,ASUS,90YV0G82-M0NA00,4711081148173,,295 mm,3.0,1,1,1,3,0,0,2581 MHz,12 GB,8000 MHz,230 W,
ASUS Radeon RX 6700 XT Dual (rev2),,ASUS,90YV0G83-M0NA00,4711081433057,,295 mm,2.7,1,1,1,3,0,0,2622 MHz,12 GB,,230 W,
ASUS Radeon RX 6700 XT ROG Strix O12G,,ASUS,90YV0G81-M0NA00,4711081119227,,322 mm,3.0,2,0,1,3,0,0,2622 MHz,12 GB,8000 MHz,230 W,
ASUS Radeon RX 6700 XT TUF O12G,$768.16 USD,ASUS,90YV0G80-M0NA00,4711081119289,,322 mm,3.0,1,1,1,3,0,0,2622 MHz,12 GB,8000 MHz,230 W,https://www.amazon.ca/dp/B08YX8D8ST?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ASUS Radeon RX 6750 XT Dual,,ASUS,90YV0HK0-M0NA00,4711081731740,,295 mm,2.7,2,0,1,3,0,0,MHz,12 GB,,250 W,
ASUS Radeon RX 6750 XT ROG Strix,,ASUS,90YV0HK1-M0NA00,4711081730934,,322 mm,2.9,2,0,1,3,0,0,MHz,12 GB,,250 W,
ASUS Radeon RX 6800,,ASUS,90YV0FY0-U0NA00,4718017977760,,267 mm,2.0,2,0,1,2,0,0,2105 MHz,16 GB,8000 MHz,250 W,
ASUS Radeon RX 6800 ROG Strix,,ASUS,90YV0FM0-M0NA00,4718017988018,,320 mm,3.0,2,0,1,3,0,0,2190 MHz,16 GB,,250 W,
ASUS Radeon RX 6800 TUF,,ASUS,90YV0FM1-M0NA00,4718017990004,,320 mm,3.0,2,0,1,3,0,0,2190 MHz,16 GB,,250 W,
ASUS Radeon RX 6800 XT TUF,,ASUS,90YV0FL1-M0NM00,4718017990202,192876990209,320 mm,3.0,2,0,1,3,0,0,2340 MHz,16 GB,,300 W,
ASUS Radeon RX 6900 XT ROG Strix LC,,ASUS,90YV0GF0-M0NM00,4711081071785,,277 mm,2.5,3,0,1,3,0,0,2365 MHz,16 GB,,300 W,
ASUS Radeon RX 6900 XT ROG Strix Top Edition,,ASUS,90YV0GF1-M0NM00,4711081251798,,277 mm,2.2,3,0,1,3,0,0,2525 MHz,16 GB,,300 W,
ASUS Radeon RX 6900 XT TUF Gaming Top,,ASUS,90YV0GE1-M0NM00,4711081468660,,320 mm,2.9,2,0,1,3,0,0,2390 MHz,16 GB,,300 W,
ASUS Radeon RX 6900 XT TUF OC,,ASUS,90YV0GE0-M0NM00,4711081050711,,320 mm,3.0,2,0,1,3,0,0,2310 MHz,16 GB,8000 MHz,300 W,
ASUS Radeon RX 7600 Dual,,ASUS,90YV0IH1-M0NA00,4711387020449,197105020443,245 mm,2.5,1,0,1,3,0,0,MHz,8 GB,18000 MHz,165 W,
ASUS Radeon RX 7600 ROG Strix,,ASUS,90YV0IH0-M0NA00,4711387181423,,281 mm,2.9,1,0,1,3,0,0,2755 MHz,8 GB,18000 MHz,165 W,
ASUS Radeon RX 7700 XT TUF,,ASUS,90YV0JK0-M0NA00,4711387309933,,319.8 mm,2.9,2,0,1,3,0,0,2599 MHz,12 GB,18000 MHz,245 W,
ASUS Radeon RX 7800 XT TUF,,ASUS,90YV0JJ0-M0NA00,4711387312483,,319.8 mm,2.9,2,0,1,3,0,0,2599 MHz,16 GB,19500 MHz,263 W,
ASUS Radeon RX 7800 XT TUF O16G White,,ASUS,90YV0JP0-M0NA00,4711387307915,,319.8 mm,2.9,2,0,1,3,0,0,2565 MHz,16 GB,19500 MHz,263 W,
ASUS RTX 3070 Dual OC,,ASUS,90YV0FQ0-M0NA00,4718017927864,,267 mm,2.75,2,0,2,3,0,0,MHz,8 GB,14000 MHz,220 W,
ASUS RTX 3070 TUF,,ASUS,90YV0FQ6-M0NA00,4718017948678,,300 mm,2.5,0,2,2,3,0,0,MHz,8 GB,14000 MHz,220 W,
EVGA GeForce RTX 3060 Ti FTW3 Black Gaming,,EVGA,08G-P5-3662-KR,4250812440440,,286 mm,2.5,2,0,1,3,0,MPN,1710 MHz,8 GB,14000 MHz,200 W,
EVGA GeForce RTX 3060 Ti FTW3 Gaming,,EVGA,08G-P5-3665-KR,4250812439185,,286 mm,2.5,2,0,1,3,0,MPN,1710 MHz,8 GB,14000 MHz,200 W,
EVGA GeForce RTX 3060 Ti FTW3 Ultra Gaming,,EVGA,08G-P5-3667-KR,4250812439192,,286 mm,2.5,2,0,1,3,0,MPN,1800 MHz,8 GB,14000 MHz,200 W,
EVGA GeForce RTX 3060 Ti FTW3 Ultra Gaming LHR,,EVGA,08G-P5-3667-KL,4250812443274,,285.4 mm,2.2,2,0,1,3,0,MPN,1800 MHz,8 GB,14000 MHz,200 W,
EVGA GeForce RTX 3060 Ti XC Black Gaming,,EVGA,08G-P5-3661-KR,4250812439215,,202 mm,2.0,1,0,1,3,0,MPN,1665 MHz,8 GB,14000 MHz,200 W,
EVGA GeForce RTX 3060 Ti XC Gaming,,EVGA,08G-P5-3663-KR,4250812439208,,202 mm,2.0,1,0,1,3,0,MPN,1710 MHz,8 GB,14000 MHz,200 W,
EVGA GeForce RTX 3060 XC Gaming,,EVGA,12G-P5-3657-KR,4250812440754,,202 mm,2.0,1,0,1,3,0,MPN,1882 MHz,12 GB,7500 MHz,170 W,
EVGA GeForce RTX 3070 FTW3 Ultra Gaming LHR,,EVGA,08G-P5-3767-KL,4250812443236,,300 mm,2.75,2,0,1,3,0,MPN,MHz,8 GB,14000 MHz,220 W,
EVGA GeForce RTX 3070 Ti FTW3 Ultra Gaming LHR,,EVGA,08G-P5-3797-KL,4250812443380,,300 mm,2.75,2,0,1,3,0,MPN,1860 MHz,8 GB,19000 MHz,290 W,
EVGA GeForce RTX 3070 Ti XC3 Ultra Gaming LHR,,EVGA,08G-P5-3785-KL,4250812443403,,285.37 mm,2.2,2,0,1,3,0,MPN,1815 MHz,8 GB,19000 MHz,290 W,
EVGA GeForce RTX 3080 FTW3 Gaming,,EVGA,10G-P5-3895-KR,4250812438294,,300 mm,2.75,3,0,1,3,0,MPN,1710 MHz,10 GB,19000 MHz,320 W,
EVGA GeForce RTX 3080 FTW3 Ultra Gaming,,EVGA,10G-P5-3897-KR,4250812438287,,300 mm,2.75,3,0,1,3,0,MPN,1800 MHz,10 GB,19000 MHz,320 W,
EVGA GeForce RTX 3080 FTW3 Ultra Gaming LHR,,EVGA,10G-P5-3897-KL,4250812443175,,300 mm,2.75,3,0,1,3,0,MPN,1800 MHz,10 GB,19000 MHz,320 W,
EVGA GeForce RTX 3080 FTW3 Ultra Hybrid Gaming,,EVGA,10G-P5-3898-KR,4250812438256,,288.9 mm,2.0,2,0,1,3,0,MPN,1800 MHz,10 GB,19000 MHz,320 W,
EVGA GeForce RTX 3080 Ti FTW3 Gaming,,EVGA,12G-P5-3965-KR,4250812442116,,300 mm,2.75,3,0,1,3,0,MPN,1775 MHz,12 GB,19000 MHz,350 W,
EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming,,EVGA,12G-P5-3967-KR,4250812442109,,300 mm,2.75,3,0,1,3,0,MPN,1800 MHz,12 GB,19000 MHz,350 W,
EVGA GeForce RTX 3080 Ti FTW3 Ultra Hybrid Gaming LHR,,EVGA,12G-P5-3968-KR,4250812442079,,289 mm,2.0,3,0,1,3,0,MPN,1800 MHz,12 GB,19000 MHz,320 W,
EVGA GeForce RTX 3080 Ti XC3 Ultra Gaming,,EVGA,12G-P5-3955-KR,4250812442123,,285.37 mm,2.2,2,0,1,3,0,MPN,1725 MHz,12 GB,19000 MHz,320 W,
EVGA GeForce RTX 3080 Ti XC3 Ultra Hybrid Gaming LHR,,EVGA,12G-P5-3958-KR,4250812442093,,289 mm,2.0,2,0,1,3,0,MPN,1725 MHz,12 GB,19000 MHz,320 W,
EVGA GeForce RTX 3080 XC3 Black Gaming,,EVGA,10G-P5-3881-KR,4250812438355,,285.37 mm,2.5,2,0,1,3,0,MPN,1710 MHz,10 GB,19000 MHz,320 W,
EVGA GeForce RTX 3080 XC3 Black Gaming LHR,,EVGA,10G-P5-3881-KL,4250812443113,,285.37 mm,2.2,2,0,1,3,0,MPN,1710 MHz,10 GB,19000 MHz,320 W,
EVGA GeForce RTX 3080 XC3 Gaming,,EVGA,10G-P5-3883-KR,4250812438317,,285.37 mm,2.5,2,0,1,3,0,MPN,1710 MHz,10 GB,19000 MHz,320 W,
EVGA GeForce RTX 3080 XC3 Ultra Gaming,,EVGA,10G-P5-3885-KR,4250812438300,,285.37 mm,2.5,2,0,1,3,0,MPN,MHz,10 GB,19000 MHz,320 W,
EVGA GeForce RTX 3080 XC3 Ultra Gaming LHR,,EVGA,10G-P5-3885-KL,4250812443137,,285.37 mm,2.2,2,0,1,3,0,MPN,1755 MHz,10 GB,19000 MHz,320 W,
EVGA GeForce RTX 3080 XC3 Ultra Hybrid Gaming,,EVGA,10G-P5-3888-KR,4250812438270,,262.8 mm,2.0,2,0,1,3,0,MPN,1755 MHz,10 GB,19000 MHz,320 W,
EVGA GeForce RTX 3090 FTW3 Ultra Gaming,,EVGA,24G-P5-3987-KR,4250812438171,,300 mm,2.5,3,0,1,3,0,MPN,1800 MHz,24 GB,19500 MHz,350 W,
EVGA GeForce RTX 3090 FTW3 Ultra Hybrid Gaming,,EVGA,24G-P5-3988-KR,4250812438140,,288.9 mm,2.0,3,0,1,3,0,MPN,1800 MHz,24 GB,19500 MHz,350 W,
EVGA GeForce RTX 3090 K|NGP|N Hybrid Gaming,,EVGA,24G-P5-3998-KR,4250812438232,,288.9 mm,2.0,3,0,1,3,0,MPN,1920 MHz,24 GB,19500 MHz,350 W,
EVGA GeForce RTX 3090 Ti FTW3,,EVGA,24G-P5-4983-KR,4250812446336,,300 mm,3.5,0,0,1,3,0,MPN,1890 MHz,24 GB,,450 W,
EVGA GeForce RTX 3090 Ti FTW3 Black,,EVGA,24G-P5-4981-KR,4250812446329,,300 mm,3.5,0,0,1,3,0,MPN,1860 MHz,24 GB,,450 W,
EVGA GeForce RTX 3090 Ti FTW3 Ultra,,EVGA,24G-P5-4985-KR,4250812445476,,300 mm,3.5,3,0,1,3,0,MPN,1920 MHz,24 GB,,450 W,
EVGA GeForce RTX 3090 XC3 Black Gaming,,EVGA,24G-P5-3971-KR,4250812438348,,285.37 mm,2.5,2,0,1,3,0,MPN,1695 MHz,24 GB,19500 MHz,350 W,
EVGA GeForce RTX 3090 XC3 Gaming,,EVGA,24G-P5-3973-KR,4250812438201,,285.37 mm,2.5,2,0,1,3,0,MPN,1695 MHz,24 GB,19500 MHz,350 W,
EVGA GeForce RTX 3090 XC3 Ultra Gaming,,EVGA,24G-P5-3975-KR,4250812438195,,285.37 mm,2.5,2,0,1,3,0,MPN,1740 MHz,24 GB,19500 MHz,350 W,
EVGA GeForce RTX 3090 XC3 Ultra Hybrid Gaming,,EVGA,24G-P5-3978-KR,4250812438164,,262.8 mm,2.0,2,0,1,3,0,MPN,1725 MHz,24 GB,19500 MHz,350 W,
EVGA RTX 3070 FTW3,,EVGA,08G-P5-3765-KR,4250812438485,,300 mm,2.75,2,0,1,3,0,MPN,1770 MHz,8 GB,14000 MHz,220 W,
EVGA RTX 3070 FTW3 Ultra,,EVGA,08G-P5-3767-KR,4250812438478,,300 mm,2.75,2,0,1,3,0,MPN,1815 MHz,8 GB,14000 MHz,220 W,
EVGA RTX 3070 XC3,,EVGA,08G-P5-3753-KR,4250812438508,,286 mm,2.5,2,0,1,3,0,MPN,1725 MHz,8 GB,14000 MHz,220 W,
EVGA RTX 3070 XC3 Black Gaming,,EVGA,08G-P5-3751-KR,4250812438515,,286 mm,2.5,2,0,1,3,0,MPN,1725 MHz,8 GB,14000 MHz,220 W,
EVGA RTX 3070 XC3 Ultra Gaming,,EVGA,08G-P5-3755-KR,4250812438492,,286 mm,2.5,2,0,1,3,0,MPN,1770 MHz,8 GB,14000 MHz,220 W,
Gigabyte Aorus GeForce RTX 3050 Elite,,Gigabyte,GV-N3050AORUS E-8GD,4719331310844,,296 mm,2.5,1,0,2,2,0,0,1860 MHz,8 GB,4 MHz,130 W,
Gigabyte Aorus GeForce RTX 3060 Elite 12G LHR,,Gigabyte,GV-N3060AORUS E-12GD 2.0,4719331309329,889523028636,296 mm,2.75,1,1,2,2,0,0,1867 MHz,12 GB,15000 MHz,170 W,
Gigabyte Aorus GeForce RTX 3060 Ti Elite 8G LHR,,Gigabyte,GV-N306TAORUS E-8GD 2.0,4719331309541,,296 mm,2.7,1,1,2,2,0,0,1750 MHz,8 GB,14000 MHz,200 W,
Gigabyte Aorus GeForce RTX 3060 Ti Master,,Gigabyte,GV-N306TAORUS M-8GD,4719331307967,,290 mm,3.0,1,1,3,3,0,0,MHz,8 GB,14000 MHz,230 W,
