firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
Clifford G.,Shull,US,US,male,1994,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Sep,86,79
Martin L.,Perl,US,US,male,1995,physics,2,Stanford University,Stanford CA,USA,Jun,87,68
Frederick,Reines,US,US,male,1995,physics,2,University of California,Irvine CA,USA,Mar,80,77
David M.,Lee,US,,male,1996,physics,3,Cornell University,Ithaca NY,USA,Jan,89,65
Douglas D.,Osheroff,US,,male,1996,physics,3,Stanford University,Stanford CA,USA,Aug,75,51
Robert C.,Richardson,US,US,male,1996,physics,3,Cornell University,Ithaca NY,USA,Jun,76,59
Steven,Chu,US,,male,1997,physics,3,Stanford University,Stanford CA,USA,Feb,72,49
Claude,Cohen-Tannoudji,DZ,,male,1997,physics,3,Collège de France,Paris,France,Apr,87,64
William D.,Phillips,US,,male,1997,physics,3,National Institute of Standards and Technology,Gaithersburg MD,USA,Nov,72,49
Robert B.,Laughlin,US,,male,1998,physics,3,Stanford University,Stanford CA,USA,Nov,70,48
Horst L.,Störmer,DE,,male,1998,physics,3,Columbia University,New York NY,USA,Apr,71,49
Daniel C.,Tsui,CN,,male,1998,physics,3,Princeton University,Princeton NJ,USA,Feb,81,59
Gerardus,'t Hooft,NL,,male,1999,physics,2,Utrecht University,Utrecht,the Netherlands,Jul,74,53
Martinus J.G.,Veltman,NL,,male,1999,physics,2,,,,Jun,89,68
Jacobus H.,van 't Hoff,NL,DE,male,1901,chemistry,1,Berlin University,Berlin,Germany,Aug,59,49
Emil,Fischer,DE,DE,male,1902,chemistry,1,Berlin University,Berlin,Germany,Oct,67,50
Svante,Arrhenius,SE,SE,male,1903,chemistry,1,Stockholm University,Stockholm,Sweden,Feb,68,44
Sir William,Ramsay,GB,GB,male,1904,chemistry,1,University College,London,United Kingdom,Oct,64,52
Adolf,von Baeyer,DE,DE,male,1905,chemistry,1,Munich University,Munich,Germany,Oct,82,70
Henri,Moissan,FR,FR,male,1906,chemistry,1,Sorbonne University,Paris,France,Sep,55,54
Eduard,Buchner,DE,RO,male,1907,chemistry,1,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,May,57,47
Ernest,Rutherford,NZ,GB,male,1908,chemistry,1,Victoria University,Manchester,United Kingdom,Aug,66,37
Wilhelm,Ostwald,LV,DE,male,1909,chemistry,1,Leipzig University,Leipzig,Germany,Sep,79,56
Otto,Wallach,RU,DE,male,1910,chemistry,1,Goettingen University,Göttingen,Germany,Mar,84,63
Victor,Grignard,FR,FR,male,1912,chemistry,2,Nancy University,Nancy,France,May,64,41
Paul,Sabatier,FR,FR,male,1912,chemistry,2,Toulouse University,Toulouse,France,Nov,87,58
Alfred,Werner,FR,CH,male,1913,chemistry,1,University of Zurich,Zurich,Switzerland,Dec,53,47
Theodore W.,Richards,US,US,male,1914,chemistry,1,Harvard University,Cambridge MA,USA,Jan,60,46
Richard,Willstätter,DE,CH,male,1915,chemistry,1,Munich University,Munich,Germany,Aug,70,43
Fritz,Haber,PL,CH,male,1918,chemistry,1,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,Dec,66,50
Walther,Nernst,DE,DE,male,1920,chemistry,1,Berlin University,Berlin,Germany,Jun,77,56
Frederick,Soddy,GB,GB,male,1921,chemistry,1,University of Oxford,Oxford,United Kingdom,Sep,79,44
Francis W.,Aston,GB,GB,male,1922,chemistry,1,University of Cambridge,Cambridge,United Kingdom,Sep,68,45
Fritz,Pregl,SI,AT,male,1923,chemistry,1,Graz University,Graz,Austria,Sep,61,54
Richard,Zsigmondy,AT,DE,male,1925,chemistry,1,Goettingen University,Göttingen,Germany,Apr,64,60
The,Svedberg,SE,SE,male,1926,chemistry,1,Uppsala University,Uppsala,Sweden,Aug,87,42
Heinrich,Wieland,DE,DE,male,1927,chemistry,1,Munich University,Munich,Germany,Jun,80,50
Adolf,Windaus,DE,DE,male,1928,chemistry,1,Goettingen University,Göttingen,Germany,Dec,83,52
Arthur,Harden,GB,GB,male,1929,chemistry,2,London University,London,United Kingdom,Oct,75,64
Hans,von Euler-Chelpin,DE,SE,male,1929,chemistry,2,Stockholm University,Stockholm,Sweden,Feb,91,56
Hans,Fischer,DE,DE,male,1930,chemistry,1,Technische Hochschule (Institute of Technology),Munich,Germany,Jul,64,49
Carl,Bosch,DE,DE,male,1931,chemistry,2,University of Heidelberg,Heidelberg,Germany,Aug,66,57
Friedrich,Bergius,PL,AR,male,1931,chemistry,2,University of Heidelberg,Heidelberg,Germany,Oct,65,47
Irving,Langmuir,US,US,male,1932,chemistry,1,General Electric Company,Schenectady NY,USA,Jan,76,51
Harold C.,Urey,US,US,male,1934,chemistry,1,Columbia University,New York NY,USA,Apr,88,41
Frédéric,Joliot,FR,FR,male,1935,chemistry,2,Institut du Radium,Paris,France,Mar,58,35
Irène,Joliot-Curie,FR,FR,female,1935,chemistry,2,Institut du Radium,Paris,France,Sep,59,38
Peter,Debye,NL,US,male,1936,chemistry,1,Berlin University,Berlin,Germany,Mar,82,52
Norman,Haworth,GB,GB,male,1937,chemistry,2,Birmingham University,Birmingham,United Kingdom,Mar,67,54
Paul,Karrer,RU,CH,male,1937,chemistry,2,University of Zurich,Zurich,Switzerland,Apr,82,48
Richard,Kuhn,AT,DE,male,1938,chemistry,1,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,Dec,67,38
Adolf,Butenandt,DE,DE,male,1939,chemistry,2,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,Mar,92,36
Leopold,Ruzicka,HR,CH,male,1939,chemistry,2,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Sep,89,52
George,de Hevesy,HU,DE,male,1943,chemistry,1,Stockholm University,Stockholm,Sweden,Aug,81,58
Otto,Hahn,DE,DE,male,1944,chemistry,1,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,Mar,89,65
Artturi,Virtanen,FI,FI,male,1945,chemistry,1,University of Helsinki,Helsinki,Finland,Jan,78,50
James B.,Sumner,US,US,male,1946,chemistry,2,Cornell University,Ithaca NY,USA,Nov,68,59
John H.,Northrop,US,US,male,1946,chemistry,4,Rockefeller Institute for Medical Research,Princeton NJ,USA,Jul,96,55
Wendell M.,Stanley,US,ES,male,1946,chemistry,4,Rockefeller Institute for Medical Research,Princeton NJ,USA,Aug,67,42
Sir Robert,Robinson,GB,GB,male,1947,chemistry,1,University of Oxford,Oxford,United Kingdom,Sep,89,61
Arne,Tiselius,SE,SE,male,1948,chemistry,1,Uppsala University,Uppsala,Sweden,Aug,69,46
William F.,Giauque,CA,US,male,1949,chemistry,1,University of California,Berkeley CA,USA,May,87,54
Otto,Diels,DE,DE,male,1950,chemistry,2,Kiel University,Kiel,Germany,Jan,78,74
Kurt,Alder,PL,DE,male,1950,chemistry,2,Cologne University,Cologne,Germany,Jul,56,48
Edwin M.,McMillan,US,US,male,1951,chemistry,2,University of California,Berkeley CA,USA,Sep,84,44
Glenn T.,Seaborg,US,US,male,1951,chemistry,2,University of California,Berkeley CA,USA,Apr,87,39
Archer J.P.,Martin,GB,GB,male,1952,chemistry,2,National Institute for Medical Research,London,United Kingdom,Mar,92,42
Richard L.M.,Synge,GB,GB,male,1952,chemistry,2,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,Oct,80,38
Hermann,Staudinger,DE,DE,male,1953,chemistry,1,University of Freiburg,Breisgau,Germany,Mar,84,72
Linus,Pauling,US,US,male,1962,peace,1,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,93,61
Linus,Pauling,US,US,male,1954,chemistry,1,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,93,53
Vincent,du Vigneaud,US,US,male,1955,chemistry,1,Cornell University,Ithaca NY,USA,May,77,54
Sir Cyril,Hinshelwood,GB,GB,male,1956,chemistry,2,University of Oxford,Oxford,United Kingdom,May,70,59
Nikolay,Semenov,RU,RU,male,1956,chemistry,2,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,USSR (now Russia),Apr,90,60
Lord,Todd,GB,GB,male,1957,chemistry,1,University of Cambridge,Cambridge,United Kingdom,Oct,90,50
Frederick,Sanger,GB,GB,male,1958,chemistry,1,University of Cambridge,Cambridge,United Kingdom,Aug,95,40
Frederick,Sanger,GB,GB,male,1980,chemistry,4,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Aug,95,62
Jaroslav,Heyrovsky,CZ,CZ,male,1959,chemistry,1,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia (now Czech Republic),Dec,77,69
Willard F.,Libby,US,US,male,1960,chemistry,1,University of California,Los Angeles CA,USA,Dec,72,52
Melvin,Calvin,US,US,male,1961,chemistry,1,University of California,Berkeley CA,USA,Apr,86,50
Max F.,Perutz,AT,GB,male,1962,chemistry,2,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,May,88,48
John C.,Kendrew,GB,GB,male,1962,chemistry,2,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Mar,80,45
Karl,Ziegler,DE,DE,male,1963,chemistry,2,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Germany,Nov,75,65
Giulio,Natta,IT,IT,male,1963,chemistry,2,Institute of Technology,Milan,Italy,Feb,76,60
Dorothy Crowfoot,Hodgkin,EG,GB,female,1964,chemistry,1,University of Oxford Royal Society,Oxford,United Kingdom,May,84,54
Robert B.,Woodward,US,US,male,1965,chemistry,1,Harvard University,Cambridge MA,USA,Apr,62,48
Robert S.,Mulliken,US,US,male,1966,chemistry,1,University of Chicago,Chicago IL,USA,Jun,90,70
Manfred,Eigen,DE,DE,male,1967,chemistry,2,Max-Planck-Institut für Physikalische Chemie,Göttingen,Germany,May,92,40
Ronald G.W.,Norrish,GB,GB,male,1967,chemistry,4,Institute of Physical Chemistry,Cambridge,United Kingdom,Nov,81,70
George,Porter,GB,GB,male,1967,chemistry,4,Royal Institution of Great Britain,London,United Kingdom,Dec,82,47
Lars,Onsager,NO,US,male,1968,chemistry,1,Yale University,New Haven CT,USA,Nov,73,65
Derek,Barton,GB,US,male,1969,chemistry,2,Imperial College,London,United Kingdom,Sep,80,51
Odd,Hassel,NO,NO,male,1969,chemistry,2,University of Oslo,Oslo,Norway,May,84,72
Luis,Leloir,FR,AR,male,1970,chemistry,1,Institute for Biochemical Research,Buenos Aires,Argentina,Sep,81,64
Gerhard,Herzberg,DE,CA,male,1971,chemistry,1,National Research Council of Canada,Ottawa,Canada,Dec,95,67
Christian,Anfinsen,US,US,male,1972,chemistry,2,National Institutes of Health,Bethesda MD,USA,Mar,79,56
Stanford,Moore,US,US,male,1972,chemistry,4,Rockefeller University,New York NY,USA,Sep,69,59
William H.,Stein,US,US,male,1972,chemistry,4,Rockefeller University,New York NY,USA,Jun,69,61
Ernst Otto,Fischer,DE,DE,male,1973,chemistry,2,Technical University,Munich,Germany,Nov,89,55
Geoffrey,Wilkinson,GB,GB,male,1973,chemistry,2,Imperial College,London,United Kingdom,Jul,75,52
Paul J.,Flory,US,US,male,1974,chemistry,1,Stanford University,Stanford CA,USA,Jun,75,64
John,Cornforth,AU,,male,1975,chemistry,2,University of Sussex,Brighton,United Kingdom,Sep,96,58
Vladimir,Prelog,BA,CH,male,1975,chemistry,2,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Jul,92,69
William,Lipscomb,US,US,male,1976,chemistry,1,Harvard University,Cambridge MA,USA,Dec,92,57
Ilya,Prigogine,RU,BE,male,1977,chemistry,1,Université Libre de Bruxelles,Brussels,Belgium,Jan,86,60
Peter,Mitchell,GB,GB,male,1978,chemistry,1,Glynn Research Laboratories,Bodmin,United Kingdom,Sep,72,58
