Weather,Temperature,Attendance
Sunny,19.967911215650112,Present
Cloudy,16.97566843002573,Present
Snowy,12.605990537797181,Absent
Cloudy,14.871879170581554,Present
Cloudy,29.65251517274005,Absent
Snowy,24.766792573598337,Absent
Sunny,6.287835064593271,Present
Sunny,21.988528425645548,Present
Sunny,21.39962829688211,Present
Rainy,36.486734733780835,Absent
Cloudy,2.4244825051590446,Present
Sunny,12.168704609034197,Present
Rainy,29.736258362164424,Absent
Cloudy,8.890677755877581,Present
Snowy,43.85621632342439,Present
Cloudy,8.210557778783835,Present
Cloudy,20.29122145219123,Present
Snowy,25.59547557954999,Absent
Rainy,28.810371425282455,Absent
Sunny,27.152084847550455,Present
Sunny,15.379224637144254,Present
Sunny,29.132070056428283,Present
Snowy,12.453475122023058,Present
Snowy,14.650228573371676,Present
Sunny,24.566424611747518,Present
Cloudy,35.09576957922664,Absent
Cloudy,17.71828762589712,Present
Sunny,11.096584676448268,Present
Sunny,32.09771907313229,Absent
Snowy,7.351999675007201,Absent
Sunny,38.381814890366826,Present
Rainy,10.159173115417767,Absent
Cloudy,26.409484468212977,Present
Sunny,29.2669122552454,Present
Sunny,27.85034054462824,Absent
Snowy,22.270026376399706,Present
Rainy,20.495295518679875,Absent
Snowy,3.468194986056769,Present
Sunny,12.191803622876705,Absent
Cloudy,27.246446873555783,Present
Rainy,26.63369166617405,Absent
Rainy,9.621186943890269,Absent
Rainy,23.46979019895081,Present
Snowy,22.52030988590127,Absent
Sunny,37.50918842453265,Present
Sunny,15.815988402637117,Absent
Sunny,14.801427318636863,Present
Rainy,10.765570316738497,Present
Rainy,10.007215291805952,Absent
Cloudy,23.7494836156109,Absent
Rainy,12.956588609210216,Absent
Sunny,30.747038579701737,Present
Sunny,13.727009386854395,Present
Rainy,35.33995675203417,Absent
Cloudy,24.17725457923109,Present
Rainy,22.583836263998506,Absent
Rainy,8.495714371665365,Absent
Snowy,23.29114186199002,Absent
Rainy,20.455219765234265,Absent
Sunny,26.32082603376262,Present
Sunny,14.891527017416038,Present
Sunny,5.463701236936856,Present
Snowy,22.75221598884906,Absent
Snowy,21.397872466992236,Present
Rainy,22.438923605327453,Absent
Cloudy,30.056501624766824,Absent
Rainy,10.603593672043692,Absent
Snowy,-3.817501376950627,Absent
Rainy,24.750270023469366,Absent
Snowy,24.059125202031037,Present
Sunny,15.229436941804988,Present
Sunny,21.705982015638863,Present
Snowy,9.52219190274767,Absent
Rainy,-1.0619721199652759,Absent
Cloudy,3.070885516143882,Present
Sunny,20.42361139877024,Present
Cloudy,33.82710414793716,Present
Snowy,16.104816116949078,Absent
Snowy,28.139379101673242,Absent
Cloudy,14.056680285254295,Present
Snowy,19.445609771209675,Absent
Rainy,27.965607238585665,Present
Rainy,21.331798851092852,Present
Rainy,14.583216512997335,Present
Snowy,11.346976364758278,Absent
Cloudy,19.07471875076267,Present
Sunny,31.821020927663447,Present
Sunny,4.293454063175284,Present
Rainy,28.593307615266596,Absent
Sunny,22.836469927977866,Absent
Snowy,10.308877330992697,Absent
Cloudy,19.81626270878975,Present
Snowy,17.959645532684664,Absent
Snowy,10.522596351145454,Absent
Cloudy,14.605648901463155,Present
Sunny,7.437126992131127,Present
Cloudy,-0.7152358741062379,Present
Snowy,21.512364376599326,Present
Cloudy,30.44489450050803,Present
Cloudy,36.33349061307969,Absent
Rainy,8.88621452144109,Present
Rainy,41.47365165130331,Absent
Snowy,35.26306733175378,Present
Snowy,34.23475034053949,Absent
Sunny,12.143336074330477,Present
Snowy,14.377483749185465,Present
Sunny,0.6164258210055564,Present
Sunny,21.911592367265783,Present
Cloudy,16.0639707607777,Absent
Cloudy,21.617906880516376,Absent
Snowy,11.65481964691976,Absent
Rainy,26.7287046814226,Present
Rainy,23.431881096157692,Absent
Sunny,8.558769203122793,Present
Snowy,19.54112054488711,Absent
Sunny,22.846845009858576,Present
Cloudy,40.084415562115716,Present
Snowy,20.957808470990052,Absent
Snowy,10.5959100284563,Present
Rainy,16.837369482277683,Present
Snowy,19.68776534127581,Absent
Rainy,18.664047113631057,Present
Snowy,1.5852810698075004,Present
Cloudy,16.6842310478548,Absent
Sunny,13.06691105375189,Present
Rainy,17.394870387683333,Present
Rainy,41.20962405348939,Absent
Snowy,11.677093926187874,Present
Snowy,34.37941004100138,Absent
Snowy,31.606181443434913,Absent
Rainy,26.834978189755713,Absent
Rainy,20.031104183712888,Present
Rainy,26.54393420890886,Present
Snowy,15.500802217882525,Absent
Snowy,14.535408685876629,Present
Cloudy,12.521383278581386,Present
Cloudy,22.73901590947157,Present
Cloudy,17.902294180241114,Absent
Sunny,17.604149340013834,Present
Snowy,34.20228812714757,Absent
Snowy,12.952514882175407,Present
Rainy,27.353648953231094,Present
Cloudy,14.780723828578601,Absent
Snowy,4.078049742365069,Present
Rainy,5.740495521596159,Absent
Snowy,15.084476273501345,Absent
Snowy,26.296114897054387,Present
Rainy,26.417863943296602,Absent
Rainy,17.593128473258965,Absent
Rainy,26.184217088551215,Absent
Sunny,20.762631100757563,Present
Cloudy,17.38509680761949,Present
Cloudy,28.547312664723766,Absent
Sunny,31.878939003598134,Present
Rainy,30.16027392598705,Absent
Rainy,16.93127039011356,Present
Sunny,25.67707627858144,Present
Snowy,-1.2924567153144153,Present
Sunny,21.950669227332313,Present
Sunny,23.610023657352556,Present
Snowy,21.519751989557914,Absent
Cloudy,17.77727270044938,Present
Rainy,33.047731862522596,Absent
Cloudy,19.067622992589847,Present
Rainy,18.604620645138606,Absent
Cloudy,17.590632534841898,Absent
Sunny,30.34105379317071,Absent
Cloudy,17.07540376210325,Absent
Sunny,11.656506320134312,Present
Rainy,18.912414583930808,Present
Rainy,37.07713757875415,Absent
Rainy,16.9931388513048,Absent
Sunny,26.157716342353538,Present
Snowy,17.21889261184029,Absent
Sunny,17.232531852934276,Present
Snowy,14.391586162307036,Absent
Sunny,7.836959406545798,Present
Sunny,18.902183715898847,Present
Sunny,27.184557525704744,Present
Sunny,35.76192963568663,Present
Rainy,24.418694962535554,Absent
Snowy,11.831389216878982,Absent
Snowy,27.455045999103653,Absent
Sunny,24.540291738583825,Present
Snowy,33.98363190939808,Absent
Cloudy,40.89610455996919,Absent
Cloudy,32.14607755214028,Absent
Rainy,16.07241801238792,Absent
Rainy,18.407704562994965,Absent
Rainy,31.57940529406634,Absent
Cloudy,14.923068640634241,Present
Rainy,18.59516535565658,Absent
Rainy,26.343402407252743,Absent
Sunny,30.706060545877772,Present
Rainy,22.229107692218903,Absent
Cloudy,-8.925198219991369,Absent
Rainy,23.39365964681191,Present
Rainy,16.879508046678904,Absent
Sunny,10.24079002871795,Present
Sunny,20.241301661208524,Present
Rainy,31.204641498590483,Absent
Rainy,8.701227706061736,Present
Cloudy,35.89922991397278,Absent
Snowy,29.787301007225036,Absent
Snowy,29.341636251163596,Present
Rainy,11.852914057896903,Absent
Snowy,17.487575528214805,Absent
Snowy,16.171651283091222,Present
Snowy,20.00340957933682,Absent
Cloudy,19.377951993400963,Absent
Cloudy,16.826511191809725,Present
Rainy,18.220726538787073,Absent
Cloudy,17.883796830388224,Absent
Snowy,22.67483863058567,Present
Cloudy,3.4818296460490075,Absent
Sunny,24.86578348827491,Absent
Snowy,36.97271698382945,Absent
Snowy,30.72500847283753,Absent
Rainy,10.541027735426765,Absent
Rainy,30.44608023710358,Absent
Rainy,42.896278525990425,Absent
Cloudy,17.574437404977374,Absent
Rainy,27.210319212928965,Present
Rainy,42.99380399979593,Present
Rainy,30.30295627593692,Present
Cloudy,35.50720601202496,Present
Sunny,9.047744444912668,Present
Snowy,22.35620857967566,Absent
Rainy,23.919691026384513,Absent
Sunny,25.642871292929023,Present
Snowy,27.8950754640576,Absent
Rainy,21.561750572599973,Absent
Rainy,6.876058639891806,Present
Cloudy,30.66272414627254,Present
Sunny,23.78860328651444,Present
Cloudy,8.213833704001399,Present
Snowy,27.589958208274957,Absent
Sunny,25.529800124656084,Present
Cloudy,25.37034547674655,Present
Sunny,17.131647918054398,Absent
Cloudy,36.344056449199016,Present
Sunny,25.712266310085557,Present
Sunny,12.1004593985781,Present
Snowy,4.572420595623207,Absent
Snowy,12.326678172088831,Absent
Snowy,-3.696232933022145,Present
Sunny,17.39440155952876,Present
Sunny,21.289570505919947,Present
Snowy,7.923335652776746,Present
Rainy,14.545564091645298,Absent
Snowy,35.53282650144763,Absent
Cloudy,21.072913356596622,Absent
Snowy,35.35343544034798,Absent
Sunny,18.15048582938964,Present
Snowy,18.23217286673505,Absent
Sunny,-1.992540453277197,Present
Snowy,27.29288747202864,Absent
Snowy,31.005582400486915,Present
Rainy,16.576319561467706,Present
Cloudy,16.896957746699265,Absent
Rainy,28.130363779939604,Present
Sunny,12.637029101046238,Present
Sunny,12.176756809919247,Absent
Snowy,23.170981661632435,Present
Sunny,13.93748652015184,Present
Snowy,26.11057884079648,Present
Sunny,10.796904847505608,Present
Sunny,35.09508919131059,Present
Rainy,26.56463684255187,Present
Sunny,20.658511791001473,Present
Cloudy,11.263693674540496,Absent
Cloudy,9.422461001275138,Present
Cloudy,11.027629693174203,Absent
Sunny,5.677967008630242,Present
Sunny,33.40430317977629,Present
Cloudy,23.42074839076771,Present
Sunny,30.70628330433166,Present
Cloudy,37.39065035386262,Absent
Snowy,33.06606023456832,Absent
Cloudy,24.496167914951325,Present
Snowy,15.889495541676078,Absent
Snowy,27.492995550062,Absent
Sunny,22.111377691191972,Present
Rainy,17.393488593033492,Present
Rainy,14.84801629046185,Absent
Rainy,30.792167763922336,Absent
Sunny,34.774627866530686,Absent
Sunny,17.248912762097756,Present
Snowy,15.629922871631397,Absent
Snowy,26.98169738739856,Present
Rainy,13.648236014637963,Absent
Snowy,26.036766869570823,Absent
Sunny,37.36929605877737,Present
Snowy,15.821655639054482,Absent
Sunny,20.24513232204399,Absent
Rainy,39.89693077515133,Absent
Cloudy,16.2683168701736,Absent
Cloudy,21.41036731548551,Present
Sunny,10.581845255899935,Present
Cloudy,12.971654037667358,Present
Rainy,6.211630281193273,Absent
Snowy,49.252495840706516,Present
Snowy,25.717519912105644,Absent
Snowy,19.541244507966304,Present
Rainy,9.42935708526505,Absent
Cloudy,1.7530693678186609,Absent
Rainy,22.417382882925377,Present
Cloudy,18.548481808849232,Absent
Snowy,25.019926638574677,Absent
Cloudy,26.923288410819712,Absent
Rainy,30.122750427570743,Absent
Cloudy,19.57822887283444,Present
Snowy,26.22010464762692,Absent
Snowy,15.924638717980907,Absent
Sunny,11.485536013852759,Absent
Sunny,16.618167312497903,Present
Cloudy,27.68967740462589,Present
Rainy,26.06497668529433,Present
Snowy,19.873868576658257,Absent
Rainy,23.224277228710903,Absent
Cloudy,36.075083425100715,Absent
Cloudy,1.9758989150367903,Absent
Rainy,7.449321035427985,Absent
Sunny,19.869662405890235,Absent
Cloudy,27.00357337177182,Present
Snowy,17.847267654594837,Absent
Sunny,29.030884548690235,Present
Cloudy,-10.074372044435588,Absent
Sunny,-3.304672576531452,Present
Snowy,14.321967123204766,Absent
Cloudy,46.67322088884177,Present
Rainy,19.999316474282832,Absent
Cloudy,-2.414489678050934,Absent
Rainy,16.39970267176129,Present
Sunny,26.17493881567841,Present
Rainy,29.622223812117248,Absent
Rainy,24.705489111947674,Present
Cloudy,17.64195794616275,Present
Cloudy,26.787892942117892,Present
Snowy,31.536180315824915,Present
Sunny,14.4526719416864,Present
Rainy,18.763992385730475,Absent
Sunny,18.639022939898226,Present
Snowy,2.9445759361939707,Absent
Sunny,7.429035757599516,Present
Sunny,-3.186249878410422,Absent
Cloudy,20.843379251781258,Present
Sunny,17.0232674770902,Present
Snowy,16.60967124309477,Absent
Rainy,19.655962508037764,Absent
Sunny,25.19269188599452,Present
Snowy,13.274169023304594,Absent
Cloudy,31.73611225751707,Present
Rainy,4.077705123473576,Absent
Snowy,19.863507992008895,Absent
Sunny,19.016545097976234,Present
Rainy,28.498770749115636,Present
Cloudy,15.050142900944655,Absent
Sunny,30.687308583357492,Present
Sunny,17.661335893854698,Present
Sunny,18.981948932797568,Absent
Cloudy,18.50922837266163,Present
Rainy,26.98096242470166,Absent
Snowy,28.531481644514045,Absent
Sunny,13.952592038563825,Present
Sunny,5.911090380315647,Present
Sunny,10.188983838017084,Present
Sunny,21.6518306800197,Present
Rainy,19.83354144487467,Present
Snowy,21.409326707139854,Present
Cloudy,12.748278699421906,Present
Cloudy,27.957408150919008,Present
Rainy,18.2356145873903,Present
Sunny,3.665654701974134,Present
Rainy,21.55349779815143,Absent
Rainy,25.474259983284917,Absent
Rainy,21.437603112168865,Present
Snowy,21.30220979215729,Absent
Snowy,22.271719514800616,Absent
Rainy,9.462708718834637,Absent
Rainy,35.317530244259295,Absent
Snowy,16.735064162556437,Absent
Rainy,34.66845170475921,Absent
Snowy,14.458711324850288,Absent
Snowy,29.666753728401993,Absent
Cloudy,22.401796487274638,Present
Cloudy,21.003144336345546,Absent
Snowy,10.61208543115614,Present
Rainy,32.058185564171595,Absent
Rainy,24.18972010758477,Absent
Rainy,19.097499300244237,Present
Cloudy,32.07374986768001,Present
Sunny,20.885801973935166,Present
Snowy,42.09805589290623,Present
Sunny,30.16677119951385,Present
Sunny,16.692909241929307,Present
Rainy,33.583818878710055,Present
Sunny,20.608563845278578,Present
Rainy,40.05891440375175,Absent
Sunny,20.816583631771298,Present
Snowy,19.207906343282243,Present
Cloudy,20.93968299755428,Absent
Cloudy,23.995066830779557,Absent
Rainy,35.49311260467852,Absent
Sunny,22.928569206424722,Present
Sunny,18.93285074995021,Present
Sunny,15.065399789313041,Present
Sunny,27.856812957685705,Present
Sunny,14.456548693864683,Present
Snowy,8.311696780326773,Absent
Cloudy,10.577535596937398,Absent
Rainy,15.350723956156301,Absent
Sunny,18.755656285911638,Present
Cloudy,30.531720698562864,Present
Snowy,14.22756448257044,Absent
Snowy,31.971284524677603,Absent
Snowy,3.6229371285309924,Absent
Snowy,46.34602800838407,Absent
Sunny,4.135760747799056,Present
Cloudy,21.980870384931375,Present
Rainy,17.82419982608489,Absent
Sunny,12.146852781570672,Present
Snowy,26.7640868454499,Present
Snowy,30.57214164194444,Absent
Snowy,18.278138898234346,Present
Snowy,32.09384911963887,Absent
Sunny,20.640576920028995,Present
Cloudy,9.362200332553348,Absent
Rainy,19.208124941941634,Absent
Cloudy,14.725039337112303,Absent
Cloudy,24.602147716051036,Absent
Rainy,16.008331077386504,Present
Snowy,19.258168046506682,Absent
Snowy,9.146425577684674,Absent
Sunny,30.693564681247263,Absent
Sunny,16.443715765389502,Present
Cloudy,9.305228892119409,Absent
Rainy,46.31474301847841,Present
Rainy,5.870256260779614,Absent
Sunny,25.07430305802113,Present
Snowy,-1.6366556100378276,Absent
Sunny,23.085227496408255,Present
Cloudy,21.88113520018248,Present
Sunny,17.476220313158272,Present
Snowy,6.36455989545369,Present
Rainy,11.41469054847056,Present
Cloudy,11.934392254986717,Present
Snowy,8.258763708094953,Present
Cloudy,10.519541555336415,Present
Rainy,34.35125891304226,Absent
Sunny,23.91209012173265,Present
Sunny,33.30827650338806,Absent
Rainy,10.111578962778715,Absent
Sunny,15.686967623043206,Present
Sunny,2.62950445553124,Present
Cloudy,8.095442677070281,Absent
Sunny,17.088868523044212,Present
Sunny,15.793936471273335,Present
Rainy,37.77353775521014,Absent
Snowy,21.080465734718704,Absent
Rainy,17.34900116257527,Absent
Rainy,24.59462592079416,Absent
Rainy,20.268785527423926,Absent
Rainy,9.142964634021508,Present
Snowy,13.731122560372508,Absent
Rainy,33.98956882627307,Present
Cloudy,33.037877009643815,Present
Sunny,22.572353183361756,Present
Cloudy,30.194852316393145,Present
Sunny,36.428092343923126,Present
Snowy,15.582742877822504,Present
Snowy,21.843148397986262,Absent
Rainy,22.21090902956591,Absent
Snowy,11.731864683070334,Absent
Sunny,24.464316280745283,Present
Snowy,8.563219809580252,Absent
Cloudy,21.022599851715736,Absent
Sunny,17.31086108160395,Present
Snowy,24.29547116912726,Present
Snowy,6.451387865169728,Absent
Snowy,14.789005246061457,Absent
Sunny,38.83164146633179,Present
Rainy,18.651539491063332,Present
Snowy,20.68144158179522,Absent
Snowy,13.304286150718738,Present
Cloudy,20.45370926836746,Absent
Rainy,23.797713865389973,Absent
Snowy,15.244360178249785,Absent
Snowy,17.505036996208254,Present
Rainy,18.335402733163075,Absent
Rainy,22.957374388461357,Absent
Sunny,31.305173352117453,Present
Sunny,13.30674301342346,Present
Snowy,28.059806605109515,Absent
Cloudy,28.046057241154728,Present
Sunny,22.548323453429383,Present
Sunny,30.816517526446844,Present
Snowy,20.990683630820023,Absent
Cloudy,21.078162870374708,Present
Rainy,18.26447550958095,Absent
Cloudy,17.29636208463133,Absent
Snowy,17.895018509736435,Absent
Cloudy,1.3917882600289317,Present
Snowy,26.00273654786764,Absent
Snowy,16.777435970007886,Absent
Sunny,5.311341233133453,Present
Snowy,29.703219872252618,Absent
Cloudy,10.244577620622458,Absent
Cloudy,28.594921358486822,Absent
Sunny,12.584440276133343,Present
Snowy,29.588875887899704,Absent
Cloudy,38.98921022876496,Absent
Rainy,4.049373598701004,Absent
Sunny,17.450377915798818,Present
Snowy,29.568085535656984,Absent
Rainy,22.796890697140306,Present
Cloudy,22.816965133234476,Absent
Rainy,29.156034382368173,Absent
Rainy,12.111397431683756,Absent
Sunny,7.1695304071480415,Present
Rainy,12.86190182080379,Absent
Rainy,33.33552162153427,Absent
Snowy,12.360935493611146,Absent
Rainy,4.65041899628147,Absent
Snowy,31.567810014742463,Absent
Cloudy,14.87818588555599,Absent
Sunny,15.509912413899036,Absent
Rainy,6.061276443707282,Absent
Rainy,25.30388736306182,Absent
Snowy,25.679660232045155,Absent
Snowy,14.49544144143752,Absent
Sunny,8.062675481477326,Present
Rainy,1.078999820992511,Absent
Cloudy,25.68058292903504,Present
Sunny,45.964952811535554,Present
Rainy,24.04322911159652,Absent
Cloudy,26.08321932659353,Absent
Rainy,21.465612178195723,Absent
Cloudy,23.495766044131567,Absent
Rainy,17.669835426400386,Absent
Snowy,22.941886439334482,Absent
Cloudy,11.989931504215555,Absent
Snowy,7.593067176728351,Absent
Rainy,21.11238657787571,Present
Cloudy,20.98162243459282,Absent
Snowy,8.255775577563877,Absent
Cloudy,14.485685819290097,Absent
Cloudy,16.499269719270956,Present
Cloudy,27.157834832427298,Present
Sunny,21.58667548938954,Present
Snowy,18.32389921008498,Absent
Cloudy,4.077841152144144,Absent
Cloudy,22.704105592062632,Absent
Snowy,25.291992449175446,Absent
Cloudy,41.98112496185372,Present
Cloudy,24.463334359795244,Absent
Sunny,29.241106957635747,Present
Rainy,29.336605439721428,Absent
Sunny,1.8729782485008357,Present
Snowy,18.75381982741779,Absent
Cloudy,18.303546581575215,Present
Sunny,15.400304749949685,Present
Sunny,28.565337952186947,Present
Cloudy,36.26720776302838,Present
Snowy,10.755303760180754,Present
Rainy,18.440058047031282,Absent
Snowy,24.249975137707832,Absent
Cloudy,12.204485926702333,Present
Cloudy,-1.1653617655954989,Absent
Rainy,17.849369742813792,Absent
Rainy,8.95909290677831,Present
Cloudy,0.615410454415656,Present
Snowy,29.01897030868351,Present
Rainy,36.35481290281594,Absent
Cloudy,25.289262473107065,Present
Rainy,24.159639271163776,Absent
Snowy,24.340830146473117,Absent
Cloudy,19.223920348170505,Absent
Snowy,24.491689917803278,Absent
Sunny,18.686980925175916,Present
Rainy,12.490650179475576,Absent
Rainy,32.7765178536808,Absent
Cloudy,27.48761552370252,Present
Cloudy,46.572730491141755,Absent
Sunny,11.813927249202862,Present
Cloudy,5.548488387971764,Absent
Rainy,33.417631912731984,Absent
Snowy,18.948104444760858,Present
Cloudy,33.56787245053469,Absent
Sunny,40.14014092532142,Present
Snowy,6.2737035161226515,Present
Rainy,11.425715990630449,Present
Cloudy,3.1871154967667046,Absent
Sunny,18.49401345810048,Present
Cloudy,12.789360032191937,Present
Rainy,0.5911757180943731,Absent
Cloudy,20.999050595883517,Present
Rainy,32.8183644492771,Absent
Sunny,10.299205985946609,Present
Sunny,32.45376549440333,Present
Rainy,26.968713741003974,Absent
Sunny,19.35447981042466,Present
Cloudy,9.421596750198963,Present
Sunny,15.307777236958225,Present
Snowy,41.28395482538144,Absent
Rainy,16.10759205195765,Absent
Cloudy,25.69612937294231,Present
Sunny,17.257005365783698,Present
Cloudy,9.01583142338469,Present
Snowy,26.897208619605294,Absent
Sunny,36.492482418776504,Present
Sunny,30.651326411898605,Present
Rainy,36.09044975886479,Absent
Sunny,21.430166742945605,Present
Rainy,19.97442904794999,Present
Sunny,25.276804771962432,Present
Cloudy,17.773787409105694,Present
Snowy,15.08514980011684,Absent
Snowy,4.061604914804551,Absent
Sunny,30.183730960488084,Present
Cloudy,20.49685215936572,Absent
Rainy,3.981512464121078,Absent
Snowy,1.8158929338576293,Absent
Snowy,37.71656667792382,Present
Sunny,30.756032832132405,Present
Cloudy,23.834028007471858,Absent
Sunny,5.330025400468399,Present
Cloudy,17.35218237218985,Absent
Sunny,9.679209879883906,Absent
Snowy,16.35564919459411,Absent
Cloudy,17.831257890695156,Absent
Cloudy,12.747179530913437,Absent
Sunny,6.062305494644335,Present
Sunny,27.387053177945937,Absent
Cloudy,22.493469356130845,Absent
Rainy,25.48551778403225,Present
Snowy,31.348981993525427,Absent
Rainy,31.029474030487233,Absent
Rainy,36.63230233797479,Present
Rainy,29.258661960884993,Present
Sunny,24.59115946184891,Present
Cloudy,15.87654551710136,Absent
Rainy,7.102686514573035,Absent
Rainy,25.902590078870354,Absent
