"name","rank","year","company.founded","company.name","company.relationship","company.sector","company.type","demographics.age","demographics.gender","location.citizenship","location.country code","location.gdp","location.region","wealth.type","wealth.worth in billions","wealth.how.category","wealth.how.from emerging","wealth.how.industry","wealth.how.inherited","wealth.how.was founder","wealth.how.was political"
"Kwek Leng Beng","23","1996","1948","Hong Leong Group","relation","banking","new","55","male","Singapore","SGP","96400967339.0","East Asia","inherited","5.7","Financial","True","Diversified financial","father","True","True"
"Walter Thomas and Raymond Kwok","23","2001","1963","Sun Hung Kai Properties","Relation","real estate","new","0","male","Hong Kong","HKG","169000000000.0","East Asia","inherited","11.5","Financial","True","Real Estate","father","True","True"
"Aliko Dangote","23","2014","1981","Dangote Group","founder and CEO","commodities (sugar, cement flour)","new","56","male","Nigeria","NGA","0.0","Sub-Saharan Africa","founder non-finance","25.0","Non-Traded Sectors","True","Constrution","not inherited","True","True"
"Karl Albrecht","23","2014","1914","Aldi Sud","relation","groceries","new","94","male","Germany","DEU","0.0","Europe","executive","25.0","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Cheng Yu-tung","24","1996","1929","Chow Tai Fook Enterprises","relation","real estate","new","70","male","Hong Kong","HKG","160000000000.0","East Asia","inherited","5.5","Financial","True","Real Estate","father","True","True"
"John Kluge","24","2001","1956","Metropolitan Broadcasting Corporation","chairman","media","new","86","male","United States","USA","10600000000000.0","North America","executive","10.9","Non-Traded Sectors","True","Media","not inherited","True","True"
"Walter Haefner","25","1996","1957","Automation Center","founder","computer services","new","85","male","Switzerland","CHE","330000000000.0","Europe","founder non-finance","5.5","New Sectors","True","Technology-Computer","not inherited","True","True"
"Carlos Slim Helu","25","2001","1990","Telmex","founder"," Communications","privatization","61","male","Mexico","MEX","725000000000.0","Latin America","privatized and resources","10.8","Non-Traded Sectors","True","Media","not inherited","True","True"
"Carl Icahn","25","2014","1968","Icahn Enterprises","founder","investment (via holding company)","new","78","male","United States","USA","0.0","North America","self-made finance","24.5","Financial","True","Diversified financial","not inherited","True","True"
"Philip Knight","26","1996","1964","Nike","founder","apparel","new","58","male","United States","USA","8100000000000.0","North America","founder non-finance","5.3","Traded Sectors","True","Consumer","not inherited","True","True"
"Bernard Arnault","26","2001","1981","LVMH","founder","luxury goods","acquired","52","male","France","FRA","1380000000000.0","Europe","founder non-finance","10.7","Traded Sectors","True","Consumer","not inherited","True","True"
"George Soros","26","2014","1969","Soros Fund Management","founder","hedge funds","new","83","male","United States","USA","0.0","North America","self-made finance","23.0","Financial","True","Hedge funds","not inherited","True","True"
"Michael Otto","27","1996","1950","Otto Group","relation","mail order retail","new","52","male","Germany","DEU","2500000000000.0","Europe","inherited","5.2","Non-Traded Sectors","True","Retail, Restaurant","father","True","True"
"Ernesto Bertarelli","27","2001","1906","Serono","relation","pharmaceuticals","new","35","male","Switzerland","CHE","279000000000.0","Europe","inherited","10.5","New Sectors","True","Technology-Medical","3rd generation","True","True"
"Michael Dell","27","2001","1984","Dell","founder","technology","new","36","male","United States","USA","10600000000000.0","North America","founder non-finance","10.5","New Sectors","True","Technology-Computer","not inherited","True","True"
"David Thomson","27","2014","1934","Thomson Corporation (now Thomson Reuters)","relation","media","acquired","56","male","Canada","CAN","0.0","North America","inherited","22.6","Non-Traded Sectors","True","Media","father","True","True"
"Fong Teng","28","1996","1970","Sino Group","relation","real estate","new","0","male","Hong Kong","HKG","160000000000.0","East Asia","inherited","5.2","Traded Sectors","True","Consumer","father","True","True"
"Lui Che Woo","28","2014","1955","K. Wah Group","founder/chairman","construction, hotels, gaming","new","84","male","Hong Kong","HKG","0.0","East Asia","self-made finance","22.0","Financial","True","Real Estate","not inherited","True","True"
"Robert and Ten Fong Ng","29","1996","1970","Sino Group","relation","real estate","new","0","male","Hong Kong","HKG","160000000000.0","East Asia","inherited","5.2","Financial","True","Real Estate","father","True","True"
"Silvio Berlusconi","29","2001","1978","Fininvest","founder","media","new","64","male","Italy","ITA","1160000000000.0","Europe","privatized and resources","10.3","Non-Traded Sectors","True","Media","not inherited","True","True"
"Dieter Schwarz","29","2014","1930","Schwarz Group","relation","groceries","new","74","male","Germany","DEU","0.0","Europe","inherited","21.1","Non-Traded Sectors","True","Retail, Restaurant","father","True","True"
"Yasuo Takei","30","1996","0","Takefuji","founder","finance","new","66","male","Japan","JPN","4710000000000.0","East Asia","self-made finance","5.2","Financial","True","Money Management","not inherited","True","True"
"Abigail Johnson","30","2001","1946","Fidelity Investments","relation","investment banking","new","39","female","United States","USA","10600000000000.0","North America","inherited","9.1","Financial","True","Money Management","3rd generation","True","True"
"Prince Alwaleed Bin Talal Alsaud","30","2014","1980","Kingdom Holding Company","founder","construction/real estate/banking","new","58","male","Saudi Arabia","SAU","0.0","Middle East/North Africa","privatized and resources","20.4","Financial","True","Diversified financial","not inherited","True","True"
"Antonio Ermirio de Moraes","31","1996","1919","Votorantim Group","relation","metals, paper, cement","new","0","male","Brazil","BRA","854000000000.0","Latin America","inherited","5.1","Traded Sectors","True","Non-consumer industrial","father","True","True"
"Forrest Mars Jr","31","2001","1911","Mars, Incorperated","relation","candy","new","69","male","United States","USA","10600000000000.0","North America","inherited","9.0","Traded Sectors","True","Consumer","3rd generation","True","True"
"Jacqueline Mars","31","2001","1911","Mars, Incorperated","relation","candy","new","0","female","United States","USA","10600000000000.0","North America","inherited","9.0","Traded Sectors","True","Consumer","3rd generation","True","True"
"John Mars","31","2001","1911","Mars, Incorperated","relation","candy","new","64","male","United States","USA","10600000000000.0","North America","inherited","9.0","Traded Sectors","True","Consumer","3rd generation","True","True"
"Kirsten Rausing","31","2001","1951","Tetra Pak","relation","food packaging","new","0","female","Sweden","SWE","240000000000.0","Europe","inherited","9.0","Traded Sectors","True","Consumer","3rd generation","True","True"
"Forrest Mars, Jr.","31","2014","1911","Mars, Incorperated","relation","candy","new","82","male","United States","USA","0.0","North America","inherited","20.0","Traded Sectors","True","Consumer","3rd generation","True","True"
"Jacqueline Mars","31","2014","1911","Mars, Incorperated","relation","candy","new","74","female","United States","USA","0.0","North America","inherited","20.0","Traded Sectors","True","Consumer","3rd generation","True","True"
"John Mars","31","2014","1911","Mars, Incorperated","relation","candy","new","77","male","United States","USA","0.0","North America","inherited","20.0","Traded Sectors","True","Consumer","3rd generation","True","True"
"Eka Tjipta Widjaja","32","1996","1962","Sinar Mas Group","founder","banking","new","0","male","Indonesia","IDN","227000000000.0","East Asia","self-made finance","5.1","Financial","True","Diversified financial","not inherited","True","True"
"Liliane Bettencourt","33","1996","1909","L'Oreal","relation","cosmetics","new","73","female","France","FRA","1610000000000.0","Europe","inherited","5.0","Traded Sectors","True","Consumer","father","True","True"
"Merck family","34","1996","1668","Merck","","pharmaceuticals","aquired","0","","Germany","DEU","2500000000000.0","Europe","inherited","5.0","New Sectors","True","Technology-Medical","not inherited","True","True"
"Jorge Paulo Lemann","34","2014","1999","Ambev","founder","investment banking/beer","aquired","74","male","Brazil","BRA","0.0","Latin America","founder non-finance","19.7","Traded Sectors","True","Consumer","not inherited","True","True"
"Silvio Berlusconi","35","1996","1978","Fininvest","founder","media","new","59","male","Italy","ITA","1310000000000.0","Europe","privatized and resources","5.0","Non-Traded Sectors","True","Media","not inherited","True","True"
"Charles Ergen","35","2001","1980","dish networtk","founder","media","new","48","male","United States","USA","10600000000000.0","North America","founder non-finance","8.8","Non-Traded Sectors","True","Media","not inherited","True","True"
"Ted Turner","35","2001","1970","CNN","founder","media","aquired","62","male","United States","USA","10600000000000.0","North America","founder non-finance","8.8","Non-Traded Sectors","True","Media","not inherited","True","True"
"Lee Shau Kee","35","2014","1976","Henderson Land Development","founder/chairman","real estate","new","86","male","Hong Kong","HKG","0.0","East Asia","self-made finance","19.6","Financial","True","Diversified financial","not inherited","True","True"
"Mohamed Salim Bin Mahfouz","36","1996","1953","National Comercial bank of Saudi Arabia","relation","banking","new","0","male","Saudi Arabia","SAU","158000000000.0","Middle East/North Africa","inherited","5.0","Financial","True","Money Management","father","True","True"
"Steve Ballmer","36","2014","1975","Microsoft","CEO","technology","new","57","male","United States","USA","0.0","North America","executive","19.3","New Sectors","True","Technology-Computer","not inherited","True","True"
"Theo Albrecht, Jr.","36","2014","1913","Aldi Nord","Relation","groceries","new","63","male","Germany","DEU","0.0","Europe","inherited","19.3","Non-Traded Sectors","True","Retail, Restaurant","father","True","True"
"Lee Kun-Hee","37","1996","1938","Samsung","relation","electronics","new","0","male","South Korea","KOR","603000000000.0","East Asia","inherited","4.9","New Sectors","True","Technology-Computer","father","True","True"
"Yasuo Takei","37","2001","0","Takefuji","founder","finance","new","71","male","Japan","JPN","4160000000000.0","East Asia","self-made finance","8.3","Financial","True","Money Management","not inherited","True","True"
"John Walton","38","1996","1962","Walmart","relation"," retail"," new","50","male","United States","USA","8100000000000.0","North America","inherited","4.8","Traded Sectors","True","Consumer","father","True","True"
"Suliman Olayan","38","2001","1947","General Contracting Company","founder","oil infrastructure","new","0","male","Saudi Arabia","SAU","183000000000.0","Middle East/North Africa","self-made finance","8.0","Financial","True","Diversified financial","not inherited","True","True"
"Leonardo Del Vecchio","38","2014","1961","?Luxottica","founder","glasses","new","78","male","Italy","ITA","0.0","Europe","founder non-finance","19.2","Traded Sectors","True","Consumer","not inherited","True","True"
"Jim Walton","39","1996","1962","Walmart","relation","retail"," new","48","male","United States","USA","8100000000000.0","North America","inherited","4.8","Non-Traded Sectors","True","Retail, Restaurant","father","True","True"
"Rupert Murdoch","39","2001","1923","News Limited","relation","media","new","70","male","United States","USA","10600000000000.0","North America","inherited","7.8","Non-Traded Sectors","True","Media","father","True","True"
"Len Blavatnik","39","2014","1990","Renova Group","founder","aluminum, oil","new","56","male","United States","USA","0.0","North America","self-made finance","18.7","Financial","True","Diversified financial","not inherited","True","True"
"Helen Walton","40","1996","1962","Walmart","relation","retail"," new","76","female","United States","USA","8100000000000.0","North America","inherited","4.7","Traded Sectors","True","Consumer","spouse/widow","True","True"
"Hans Rausing","40","2001","1951","Tetra Pak","relation","food packaging","new","74","male","Sweden","SWE","240000000000.0","Europe","inherited","7.7","Traded Sectors","True","Consumer","father","True","True"
"Nobutada Saji","40","2001","1899","Suntory","relation","brewery","new","55","male","Japan","JPN","4160000000000.0","East Asia","inherited","7.7","Traded Sectors","True","Consumer","3rd generation","True","True"
"Alisher Usmanov","40","2014","1999","Metalloinvest","founder","metals","new","60","male","Russia","RUS","0.0","Europe","privatized and resources","18.6","Resource Related","True","Non-consumer industrial","not inherited","True","True"
"Mukesh Ambani","40","2014","1980","Reliance","relation","textiles","new","56","male","India","IND","0.0","South Asia","inherited","18.6","Resource Related","True","Energy","not inherited","True","True"
"Alice Walton","41","1996","1962","Walmart","relation","retail"," new","47","female","United States","USA","8100000000000.0","North America","inherited","4.7","Non-Traded Sectors","True","Retail, Restaurant","father","True","True"
"S Robson Walton","42","1996","1962","Walmart","relation","retail"," new","52","male","United States","USA","8100000000000.0","North America","inherited","4.7","Non-Traded Sectors","True","Retail, Restaurant","father","True","True"
"Azim Premji","42","2001","1945","Wipro Limited","relation","software","new","55","male","India","IND","494000000000.0","South Asia","inherited","6.9","New Sectors","True","Technology-Computer","father","True","True"
"Masayoshi Son","42","2014","1981","Softbank","founder/CEO","technology","new","56","male","Japan","JPN","0.0","East Asia","founder non-finance","18.4","New Sectors","True","Technology-Computer","not inherited","True","True"
"Michael Otto","42","2014","1949","Otto Group","relation","mail order retail","new","70","male","Germany","DEU","0.0","Europe","inherited","18.4","Non-Traded Sectors","True","Retail, Restaurant","father","True","True"
"Phil Knight","42","2014","1964","Nike","founder","apparel","new","76","male","United States","USA","0.0","North America","founder non-finance","18.4","Traded Sectors","True","Consumer","not inherited","True","True"
"Henkel family","43","1996","1876","Henkel AG","","chemicals","new","0","","Germany","DEU","2500000000000.0","Europe","inherited","4.6","Traded Sectors","True","Non-consumer industrial","not inherited","True","True"
"Amancio Ortega","43","2001","1975","Zara","founder","Fashion","new","65","male","Spain","ESP","626000000000.0","Europe","founder non-finance","6.6","Traded Sectors","True","Consumer","not inherited","True","True"
"Leonardo Del Vecchio","43","2001","1961","?Luxottica","founder","glasses","new","65","male","Italy","ITA","1160000000000.0","Europe","founder non-finance","6.6","Traded Sectors","True","Consumer","not inherited","True","True"
"Masayoshi Son","44","1996","1981","Softbank","founder/CEO","technology","new","38","male","Japan","JPN","4710000000000.0","East Asia","founder non-finance","4.6","Non-Traded Sectors","True","Media","not inherited","True","True"
"Friedrich Flick","45","1996","1919","Friedrich Flick Industrial Holding","relation","coal","new","69","male","Germany","DEU","2500000000000.0","Europe","inherited","4.5","Financial","True","Money Management","father","True","True"
"Gerald Cavendish Grosvenor","45","2001","1677","Grosvenor Group","relation","real estate","new","49","male","United Kingdom","GBR","1530000000000.0","Europe","inherited","6.5","Financial","True","Real Estate","5th generation or longer","True","True"
"Tadashi Yanai","45","2014","1963","Fast Retailing/Uniqlo","founder","apparel","new","65","male","Japan","JPN","0.0","East Asia","founder non-finance","17.9","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Liem Sioe Liong","46","1996","1952","Salim Group","founder","consumer goods","new","0","male","Indonesia","IDN","227000000000.0","East Asia","self-made finance","4.5","Financial","True","Diversified financial","not inherited","True","True"
"Kirk Kerkorian","46","2001","1924","MGM Grand","investor","real estate","aquired","83","male","United States","USA","10600000000000.0","North America","self-made finance","6.4","Financial","True","Real Estate","not inherited","True","True"
"Gina Rinehart","46","2014","1955","Hancock Prospecting","relation","mining","new","60","female","Australia","AUS","0.0","North America","inherited","17.7","Resource Related","True","Mining and metals","father","True","True"
"Pierre Landolt","47","1996","2001","AxialPar","founder","venture capitalist","new","0","male","Switzerland","CHE","330000000000.0","Europe","founder non-finance","4.5","New Sectors","True","Technology-Medical","not inherited","True","True"
"Charles Schwab","47","2001","1971","Charles Schwab Corporation","founder","brokerage/banking","new","63","male","United States","USA","10600000000000.0","North America","self-made finance","6.3","Financial","True","Money Management","not inherited","True","True"
"Francois Pinault","47","2001","1963","Pinault-Printemps-Redoute (PPR), now known as Kering","founder","apparel","new","64","male","France","FRA","1380000000000.0","Europe","founder non-finance","6.3","Non-Traded Sectors","True","Retail, Restaurant","not inherited","True","True"
"Mikhail Fridman","47","2014","1989","Alfa Group","founder","investment banking","new","49","male","Russia","RUS","0.0","Europe","privatized and resources","17.6","Resource Related","True","Energy","not inherited","True","True"
"Donald Newhouse","48","1996","1909","Advance Publications","relation","media","new","66","male","United States","USA","8100000000000.0","North America","inherited","4.5","Non-Traded Sectors","True","Media","father","True","True"
"Michael Dell","48","2014","1984","Dell","founder","technology","new","49","male","United States","USA","0.0","North America","founder non-finance","17.5","New Sectors","True","Technology-Computer","not inherited","True","True"
"Samuel Newhouse","49","1996","1909","Advance Publications","relation","media","new","68","male","United States","USA","8100000000000.0","North America","inherited","4.5","Non-Traded Sectors","True","Media","father","True","True"
"Pierre Landolt","49","2001","2001","AxialPar","founder","venture capitalist","new","0","male","Switzerland","CHE","279000000000.0","Europe","founder non-finance","6.1","New Sectors","True","Technology-Medical","not inherited","True","True"
"Susanne Klatten","49","2014","1916","BMW","relation","cars","new","51","female","Germany","DEU","0.0","Europe","inherited","17.4","Traded Sectors","True","Consumer","father","True","True"
"Dhanin Chearavanont","50","1996","1921","Charoen Pokphand (CP Group)","relation","retail","new","56","male","Thailand","THA","182000000000.0","East Asia","inherited","4.2","Traded Sectors","True","Consumer","father","True","True"
