Country,CO2 emissions ,% change since 1990,CO2 emissions per capita,CO2 emissions per km2
"China, Hong Kong Special Administrative Region",40.27,45.6,5.72, 36 480.71
"China, Macao Special Administrative Region",1.17,12.8,2.13, 38 870.00
Colombia,72.42,26.3,1.56,63.43
Comoros,0.16,104.8,0.22,70.56
Congo,2.25,89.2,0.54,6.57
Cook Islands,0.07,216.8,3.42,295.34
Costa Rica,7.84,165.4,1.7,153.5
Côte d'Ivoire,6.45,11.2,0.31,19.99
Croatia,20.92,-10.4,4.86,369.62
Cuba,35.92,7.2,3.17,326.91
Cyprus,7.57,63.5,6.78,817.88
Czech Republic,115.07,-30.1,10.92, 1 459.06
Democratic People's Republic of Korea,73.58,-69.9,2.99,610.42
Democratic Republic of the Congo,3.43,-15.9,0.05,1.46
Denmark,45.48,-16.1,8.15, 1 055.26
Djibouti,0.47,25.2,0.56,20.39
Dominica,0.12,112.4,1.75,166.05
Dominican Republic,21.89,137.1,2.18,449.72
Ecuador,35.73,112.2,2.35,139.36
Egypt,220.79,190.7,2.64,220.35
El Salvador,6.68,155.3,1.1,317.71
Equatorial Guinea,6.69,  5 427.8,8.91,238.44
Eritrea,0.52,...,0.11,4.43
Estonia,18.43,-49.8,13.88,407.44
Ethiopia,7.54,149.9,0.08,6.83
Faeroe Islands,0.57,-8.8,11.72,408.04
Falkland Islands (Malvinas),0.06,49.9,19.26,4.52
Fiji,1.24,51.1,1.42,67.63
Finland,56.4,-0.4,10.45,167.44
France,364.82,-8.5,5.77,661.5
French Guiana,0.72,-11.7,2.99,8.6
French Polynesia,0.86,36.1,3.17,214.53
Gabon,2.24,-53.8,1.42,8.36
Gambia,0.42,121.1,0.24,37.34
Georgia,7.93,...,1.89,113.8
Germany,810.44,-22.2,10.08, 2 269.37
Ghana,10.08,156.4,0.4,42.26
Gibraltar,0.45,377.1,14.64, 75 783.33
Greece,94.25,13.6,8.45,714.25
Greenland,0.71,27,12.54,0.33
Grenada,0.25,130,2.41,735.47
Guadeloupe,1.77,37.1,3.87, 1 040.94
Guatemala,11.26,121.3,0.75,103.39
Guinea,2.6,145.8,0.23,10.56
Guinea-Bissau,0.25,-2.9,0.15,6.8
Guyana,1.78,56.3,2.36,8.29
Haiti,2.21,122.5,0.22,79.68
Honduras,8.41,224.5,1.1,74.78
Hungary,49.86,-31.2,4.99,535.96
Iceland,3.33,54.3,10.38,32.36
India,  2 074.34,200.4,1.66,631.02
Indonesia,563.98,277.1,2.3,295.14
Iran (Islamic Republic of),586.6,177.8,7.8,360.15
Iraq,133.65,154.3,4.19,307.08
Ireland,37.72,16.3,8.11,540.15
Israel,69.52,90.3,9.19, 3 149.81
Italy,413.38,-4.9,6.93, 1 371.82
Jamaica,7.76,-2.6,2.82,705.67
Japan,  1 240.63,8.7,9.75, 3 282.70
Jordan,22.26,114,3.29,249.18
Kazakhstan,261.76,...,15.81,96.06
Kenya,13.57,133,0.33,23.34
Kiribati,0.06,183.2,0.6,85.77
Kuwait,91.03,88.4,28.1, 5 108.86
Kyrgyzstan,6.62,...,1.19,33.08
Lao People's Democratic Republic,1.2,412.5,0.19,5.08
Latvia,7.75,-59.3,3.76,120.06
Lebanon,20.49,125.1,4.46, 1 960.15
Lesotho,2.2,...,1.08,72.48
Liberia,0.89,84.1,0.22,8
Libya,39.02,6.1,6.2,22.18
Liechtenstein,0.18,-10.4,4.9, 1 125.00
Lithuania,14.03,-60.8,4.57,214.85
Luxembourg,11.14,-6.8,21.42, 4 307.15
Madagascar,2.45,148.3,0.11,4.17
Malawi,1.21,97,0.08,10.18
Malaysia,225.69,298.8,7.9,682.26
Maldives,1.1,616.8,3.26, 3 679.33
Mali,1.25,196.5,0.08,1.01
Malta,2.67,42.9,6.44, 8 442.72
Marshall Islands,0.1,115.3,1.95,567.4
Martinique,2.45,18.4,6.21, 2 171.63
Mauritania,2.31,-13.3,0.63,2.24
Mauritius,3.92,167.7,3.13, 1 989.03
Mexico,466.55,48.4,3.88,237.5
Micronesia (Federated States of),0.13,...,1.24,182.76
Monaco,0.08,-24.9,2.13, 39 600.00
Mongolia,19.08,90,6.92,12.2
Montenegro,2.57,...,4.13,186.11
Montserrat,0.08,100.2,16.16,791.18
Morocco,56.54,140.2,1.74,126.61
Mozambique,3.28,227.8,0.13,4.09
Myanmar,10.44,144.2,0.2,15.43
Namibia,2.78,10701.2,1.24,3.37
Nauru,0.05,-67.5,5.11, 2 442.86
Nepal,4.33,583.2,0.16,29.45
Netherlands,168.06,5.5,10.07, 4 499.07
New Caledonia,3.85,137.2,15.43,207.48
New Zealand,33.26,33.5,7.55,122.97
Nicaragua,4.9,92.2,0.84,37.58
Niger,1.42,70.9,0.08,1.12
Nigeria,88.03,94,0.54,95.29
Niue,0.01,197.3,6.81,42.31
Norway,44.6,27.8,9,137.73
Oman,64.85,469.6,20.2,209.55
Pakistan,163.45,138.4,0.94,205.32
Palau,0.22,...,10.86,487.36
Panama,9.67,249.1,2.63,128.17
Papua New Guinea,5.23,144.2,0.75,11.3
Paraguay,5.3,134.2,0.84,13.03
Peru,53.07,150.7,1.78,41.29
Philippines,82.01,96.4,0.87,273.38
Poland,327.72,-12.6,8.49, 1 050.77
Portugal,51.24,13.6,4.85,555.71
Qatar,83.88,612.3,44.02, 7 226.27
Republic of Korea,589.43,138.7,11.94, 5 892.32
Republic of Moldova,4.98,...,1.22,147.13
Réunion,4.51,210.6,5.39, 1 794.83
Romania,85.6,-51.9,4.26,359.09
Russian Federation,  1 650.27,-34.2,11.52,96.52
Rwanda,0.66,22.3,0.06,25.2
Saint Helena,0.01,50.7,2.66,90.16
Saint Kitts and Nevis,0.27,305.6,5.05, 1 025.67
Saint Lucia,0.41,146.7,2.27,755.1
Saint Pierre and Miquelon,0.07,-24,11.11,288.02
Saint Vincent and the Grenadines,0.24,195.4,2.18,612.85
Samoa,0.23,88.2,1.25,82.59
Sao Tome and Principe,0.1,115.3,0.59,106.54
Saudi Arabia,520.28,138.7,18.07,242.02
Senegal,7.86,146.9,0.59,39.95
Serbia,49.19,...,5.45,556.64
Seychelles,0.6,425.7,6.37, 1 323.32
Sierra Leone,0.9,131.1,0.15,12.43
Singapore,22.39,-52.3,4.31, 31 351.53
Slovakia,37.23,-39.8,6.88,759.3
Slovenia,16.18,9.4,7.86,798
Solomon Islands,0.2,22.8,0.37,6.85
Somalia,0.58,3045.9,0.06,0.9
South Africa,477.24,49.2,9.14,390.85
Spain,280.92,23.5,6.01,555.19
Sri Lanka,15.23,293.7,0.75,232.17
State of Palestine,2.25,...,0.54,373.41
Suriname,1.91,5.5,3.65,11.66
Swaziland,1.05,146.5,0.87,60.4
Sweden,48.48,-15.2,5.12,107.67
Switzerland,41.85,-6.3,5.28, 1 013.63
Syrian Arab Republic,57.67,54,2.81,311.43
Tajikistan,2.78,...,0.36,19.45
Thailand,303.37,216.6,4.53,591.23
The former Yugoslav Republic of Macedonia,9.34,...,4.52,363.09
Timor-Leste,0.18,...,0.17,12.29
Togo,2.1,171.1,0.32,36.94
Tonga,0.1,33.4,0.98,137.48
Trinidad and Tobago,49.57,192.3,37.14, 9 663.59
Tunisia,25.64,93.3,2.38,156.73
Turkey,345.73,144.2,4.7,441.23
Turkmenistan,62.22,...,12.18,127.47
Turks and Caicos Islands,0.19,...,6.01,201.11
Uganda,3.8,373,0.11,15.73
Ukraine,306.53,-57.6,6.74,507.93
United Arab Emirates,178.48,243.2,20.43, 2 134.98
United Kingdom of Great Britain and Northern Ireland,464.04,-21.5,7.35, 1 913.59
United Republic of Tanzania,7.3,207.7,0.2,7.73
United States of America,  5 583.38,9.5,17.87,579.84
Uruguay,7.77,94.7,2.3,44.12
Uzbekistan,114.86,...,4.08,256.73
Vanuatu,0.14,105.2,0.59,11.73
Venezuela (Bolivarian Republic of),188.82,54.6,6.42,207.03
Viet Nam,173.21,709.1,1.94,523.36
Wallis and Futuna Islands,0.03,...,1.91,180.99
Yemen,22.3,-843.3,0.92,42.23
Zambia,3.05,24.6,0.21,4.05
Zimbabwe,9.86,-36.4,0.69,25.23
