Company Name,Job Title,Salaries Reported,Location,Salary
Nokia,Data Scientist,6,Bangalore,"₹16,63,189/yr"
UnitedHealth Group,Data Scientist,6,Bangalore,"₹13,23,387/yr"
Sigmoid Analytics,Data Scientist,6,Bangalore,"₹12,46,266/yr"
Idexcel,Data Scientist,6,Bangalore,"₹4,94,147/yr"
Citi,Data Scientist,5,Bangalore,"₹18,92,758/yr"
GE Healthcare,Data Scientist,5,Bangalore,"₹15,72,054/yr"
SigTuple,Data Scientist,5,Bangalore,"₹20,24,533/yr"
Dell Technologies,Data Scientist,5,Bangalore,"₹19,27,564/yr"
iNeuron,Data Scientist,5,Bangalore,"₹8,00,000/yr"
Ericsson IT Solutions & Services,Data Scientist,5,Bangalore,"₹20,09,790/yr"
Aptus Data Labs,Data Scientist,5,Bangalore,"₹8,31,462/yr"
UniQreate,Data Scientist,5,Bangalore,"₹5,16,323/yr"
LinkedIn,Data Scientist,5,Bangalore,"₹23,33,241/yr"
Apexon,Data Scientist,5,Bangalore,"₹12,00,000/yr"
Shadowfax Technologies,Data Scientist,5,Bangalore,"₹20,06,522/yr"
Bharti Airtel,Data Scientist,5,Bangalore,"₹21,60,000/yr"
Applied Materials,Data Scientist,5,Bangalore,"₹13,41,316/yr"
FICO,Data Scientist,5,Bangalore,"₹16,34,105/yr"
YouPlus,Data Scientist,5,Bangalore,"₹13,89,256/yr"
Mphasis,Data Scientist,5,Bangalore,"₹10,00,000/yr"
Target,Data Scientist,5,Bangalore,"₹12,31,116/yr"
Gojek,Data Scientist,5,Bangalore,"₹23,52,941/yr"
Blueocean Market Intelligence,Data Scientist,5,Bangalore,"₹7,44,551/yr"
CRED,Data Scientist,5,Bangalore,"₹30,14,686/yr"
Rolls-Royce,Data Scientist,5,Bangalore,"₹13,57,204/yr"
Curl Analytics,Data Scientist,4,Bangalore,"₹10,53,196/yr"
J.P. Morgan,Data Scientist,4,Bangalore,"₹13,37,606/yr"
Knowledge Lens,Data Scientist,4,Bangalore,"₹48,825/mo"
IBM,Data Scientist,4,Bangalore,"₹32,953/mo"
ascena,Data Scientist,4,Bangalore,"₹16,49,930/yr"
QuantZig,Data Scientist,4,Bangalore,"₹11,38,060/yr"
Baker Hughes,Data Scientist,4,Bangalore,"₹16,12,744/yr"
Everlytics,Data Scientist,4,Bangalore,"₹4,32,776/yr"
Siemens,Data Scientist,4,Bangalore,"₹9,87,471/yr"
ANZ Bank,Data Scientist,4,Bangalore,"₹15,12,297/yr"
Lowe's Home Improvement,Data Scientist,4,Bangalore,"₹17,52,935/yr"
Nones,Data Scientist,4,Bangalore,"₹11,97,944/yr"
Bristlecone,Data Scientist,4,Bangalore,"₹76,962/mo"
Altimetrik,Data Scientist,4,Bangalore,"₹5,87,146/yr"
Head Digital Works,Data Scientist,4,Bangalore,"₹9,77,543/yr"
Artivatic Data Labs,Data Scientist,4,Bangalore,"₹6,49,755/yr"
HDFC Standard Life Insurance,Data Scientist,4,Bangalore,"₹11,77,531/yr"
AntWorks,Data Scientist,4,Bangalore,"₹11,94,925/yr"
American Express,Data Scientist,4,Bangalore,"₹16,93,208/yr"
ITC Infotech,Data Scientist,4,Bangalore,"₹4,14,817/yr"
Aidetic,Data Scientist,4,Bangalore,"₹7,04,193/yr"
NeenOpal,Data Scientist,4,Bangalore,"₹5,90,000/yr"
Knowledge Foundry,Data Scientist,4,Bangalore,"₹11,19,069/yr"
Mindtree,Data Scientist,4,Bangalore,"₹6,69,225/yr"
Nones,Data Scientist,3,Bangalore,"₹10,13,978/yr"
TVS Motor Company,Data Scientist,3,Bangalore,"₹12,52,803/yr"
XYZ,Data Scientist,3,Bangalore,"₹8,40,000/yr"
ShieldSquare,Data Scientist,3,Bangalore,"₹7,61,610/yr"
Tech Data,Data Scientist,3,Bangalore,"₹1,00,000/mo"
Publicis Sapient,Data Scientist,3,Bangalore,"₹16,70,405/yr"
Hinduja Global Solutions,Data Scientist,3,Bangalore,"₹12,84,643/yr"
GE Digital,Data Scientist,3,Bangalore,"₹16,53,106/yr"
GlobusSoft,Data Scientist,3,Bangalore,"₹3,85,393/yr"
MakeMyTrip,Data Scientist,3,Bangalore,"₹12,00,000/yr"
Artificial Learning Systems,Data Scientist,3,Bangalore,"₹11,24,740/yr"
Dailyhunt,Data Scientist,3,Bangalore,"₹26,00,000/yr"
Draup,Data Scientist,3,Bangalore,"₹18,59,109/yr"
SwitchOn,Data Scientist,3,Bangalore,"₹6,69,785/yr"
PwC,Data Scientist,3,Bangalore,"₹12,05,874/yr"
Innodatatics,Data Scientist,3,Bangalore,"₹10,705/mo"
Robert Bosch,Data Scientist,3,Bangalore,"₹11,80,355/yr"
Two Roads Tech,Data Scientist,3,Bangalore,"₹38,12,913/yr"
ExxonMobil,Data Scientist,3,Bangalore,"₹28,73,437/yr"
Bidgely,Data Scientist,3,Bangalore,"₹14,38,481/yr"
IQVIA,Data Scientist,3,Bangalore,"₹8,99,123/yr"
ShareChat,Data Scientist,3,Bangalore,"₹23,00,000/yr"
Course5 Intelligence,Data Scientist,3,Bangalore,"₹8,25,077/yr"
MAERSK,Data Scientist,3,Bangalore,"₹22,07,174/yr"
Caterpillar,Data Scientist,3,Bangalore,"₹15,26,335/yr"
Bepec Solutions,Data Scientist,3,Bangalore,"₹50,000/mo"
NetApp,Data Scientist,3,Bangalore,"₹28,75,549/yr"
Exposys Data Labs,Data Scientist,3,Bangalore,"₹36,120/mo"
Spoonshot,Data Scientist,3,Bangalore,"₹16,15,535/yr"
InMobi,Data Scientist,3,Bangalore,"₹17,00,000/yr"
Swiss Re,Data Scientist,3,Bangalore,"₹13,52,802/yr"
TheMathCompany,Data Scientist,3,Bangalore,"₹6,00,000/yr"
Shell,Data Scientist,3,Bangalore,"₹21,48,775/yr"
Flip Robo,Data Scientist,3,Bangalore,"₹25,581/mo"
HCL,Data Scientist,3,Bangalore,"₹3,47,924/yr"
upGrad,Data Scientist,3,Bangalore,"₹12,84,643/yr"
Legato Health Technologies,Data Scientist,3,Bangalore,"₹12,00,000/yr"
Terra Economics and Analytics Lab,Data Scientist,3,Bangalore,"₹7,20,000/yr"
HDFC Bank,Data Scientist,3,Bangalore,"₹11,05,385/yr"
Halodoc,Data Scientist,3,Bangalore,"₹18,79,205/yr"
Analytical Wizards,Data Scientist,3,Bangalore,"₹6,00,000/yr"
PayPal,Data Scientist,3,Bangalore,"₹2,73,000/yr"
GE,Data Scientist,3,Bangalore,"₹10,07,628/yr"
Manthan,Data Scientist,3,Bangalore,"₹12,54,416/yr"
Visa Inc.,Data Scientist,3,Bangalore,"₹3,24,000/yr"
Tech Mahindra,Data Scientist,3,Bangalore,"₹15,00,000/yr"
Data Semantics,Data Scientist,3,Bangalore,"₹3,62,209/yr"
GE Aviation,Data Scientist,3,Bangalore,"₹13,49,689/yr"
Landmark Group,Data Scientist,3,Bangalore,"₹16,05,804/yr"
Neustar,Data Scientist,3,Bangalore,"₹19,23,665/yr"
Axis Bank,Data Scientist,3,Bangalore,"₹11,71,687/yr"
Comviva,Data Scientist,3,Bangalore,"₹9,00,000/yr"
iQuanti,Data Scientist,3,Bangalore,"₹20,46,452/yr"
Mercedes-Benz International,Data Scientist,2,Bangalore,"₹93,234/mo"
Zoom Video Communications,Data Scientist,2,Bangalore,"₹28,39,076/yr"
Money View,Data Scientist,2,Bangalore,"₹14,38,576/yr"
nference,Data Scientist,2,Bangalore,"₹19,30,235/yr"
KrazyBee,Data Scientist,2,Bangalore,"₹11,49,607/yr"
Applied Materials,Data Scientist,2,Bangalore,"₹14,07,768/yr"
Mavenir,Data Scientist,2,Bangalore,"₹9,61,306/yr"
Molecular Connections,Data Scientist,2,Bangalore,"₹43,047/mo"
Yodlee,Data Scientist,2,Bangalore,"₹23,15,641/yr"
NovelSynth Soft Solutions,Data Scientist,2,Bangalore,"₹20,465/mo"
Locus,Data Scientist,2,Bangalore,"₹24,72,920/yr"
IVYTEL Technologies,Data Scientist,2,Bangalore,"₹4,96,798/yr"
Sumyag,Data Scientist,2,Bangalore,"₹64,222/mo"
Wabtec,Data Scientist,2,Bangalore,"₹24,20,967/yr"
VMware,Data Scientist,2,Bangalore,"₹20,79,353/yr"
Wipro Digital,Data Scientist,2,Bangalore,"₹12,07,396/yr"
Zycus,Data Scientist,2,Bangalore,"₹75,372/mo"
Tyson Foods,Data Scientist,2,Bangalore,"₹18,25,549/yr"
OceanFrogs,Data Scientist,2,Bangalore,"₹37,004/mo"
Lenovo,Data Scientist,2,Bangalore,"₹19,17,242/yr"
Tata,Data Scientist,2,Bangalore,"₹16,12,292/yr"
Simplilearn Solutions,Data Scientist,2,Bangalore,"₹1,587/hr"
Dun & Bradstreet,Data Scientist,2,Bangalore,"₹15,169/mo"
AlmaBetter,Data Scientist,2,Bangalore,"₹7,29,193/yr"
CreditNirvana,Data Scientist,2,Bangalore,"₹12,45,989/yr"
DONE by NONE,Data Scientist,2,Bangalore,"₹7,50,734/yr"
Accentue,Data Scientist,2,Bangalore,"₹13,19,401/yr"
SymphonyAI,Data Scientist,2,Bangalore,₹964/hr
First Student,Data Scientist,2,Bangalore,"₹41,750/mo"
Datamatics Global Services,Data Scientist,2,Bangalore,"₹12,23,165/yr"
Razorpay,Data Scientist,2,Bangalore,"₹14,23,985/yr"
NTT Ltd.,Data Scientist,2,Bangalore,"₹1,34,323/mo"
mfine,Data Scientist,2,Bangalore,"₹20,50,962/yr"
Marlabs,Data Scientist,2,Bangalore,"₹13,04,028/yr"
Optum Global Solutions,Data Scientist,2,Bangalore,"₹12,13,107/yr"
Reckonsys,Data Scientist,2,Bangalore,"₹1,11,147/mo"
Apisero,Data Scientist,2,Bangalore,"₹9,50,000/yr"
Aruba Networks,Data Scientist,2,Bangalore,"₹15,18,492/yr"
Intellicar,Data Scientist,2,Bangalore,"₹13,27,250/yr"
ORMAE,Data Scientist,2,Bangalore,"₹16,862/mo"
CROPIN TECHNOLOGY SOLUTIONS,Data Scientist,2,Bangalore,"₹18,830/mo"
Belong,Data Scientist,2,Bangalore,"₹14,33,532/yr"
Mobile Premier League,Data Scientist,2,Bangalore,"₹24,04,581/yr"
Smiths Detection,Data Scientist,2,Bangalore,"₹15,60,483/yr"
Shubh Loans,Data Scientist,2,Bangalore,"₹9,96,878/yr"
TCS,Data Scientist,2,Bangalore,"₹2,94,363/mo"
Fresher,Data Scientist,2,Bangalore,"₹7,03,427/yr"
Aditya Birla Group,Data Scientist,2,Bangalore,"₹16,35,202/yr"
Morgan Stanley,Data Scientist,2,Bangalore,"₹12,99,238/yr"
Publicis Sapient,Data Scientist,2,Bangalore,"₹33,050/mo"
DataVal Analytics,Data Scientist,2,Bangalore,"₹57,921/mo"
Thomson Reuters,Data Scientist,2,Bangalore,"₹15,32,945/yr"
Numerify,Data Scientist,2,Bangalore,"₹25,30,666/yr"
Kabbage,Data Scientist,2,Bangalore,"₹20,65,471/yr"
Loyalytics Consulting,Data Scientist,2,Bangalore,"₹7,12,128/yr"
Monsanto Company,Data Scientist,2,Bangalore,"₹19,75,970/yr"
FOKAL,Data Scientist,2,Bangalore,"₹10,85,362/yr"
Sutherland,Data Scientist,2,Bangalore,"₹10,64,862/yr"
Hypersonix (CA),Data Scientist,2,Bangalore,"₹31,46,934/yr"
Boeing,Data Scientist,2,Bangalore,"₹22,66,312/yr"
Utopus Insights,Data Scientist,2,Bangalore,"₹11,63,045/yr"
Apple,Data Scientist,2,Bangalore,"₹8,57,370/yr"
GetupForChange Services,Data Scientist,2,Bangalore,"₹56,808/mo"
MIQ Logistics,Data Scientist,2,Bangalore,"₹6,01,398/yr"
Zendrive,Data Scientist,2,Bangalore,"₹15,74,844/yr"
Honeywell,Data Scientist,2,Bangalore,"₹70,114/mo"
Paytm,Data Scientist,2,Bangalore,"₹5,49,688/yr"
Unilever,Data Scientist,2,Bangalore,"₹17,05,561/yr"
Conduent,Data Scientist,2,Bangalore,"₹8,46,242/yr"
3K Technologies,Data Scientist,2,Bangalore,"₹7,98,116/yr"
DONE by NONE,Data Scientist,2,Bangalore,"₹15,033/mo"
Netenrich Inc.,Data Scientist,2,Bangalore,"₹11,64,765/yr"
Majorel,Data Scientist,2,Bangalore,"₹1,12,271/mo"
Polynomial.Ai,Data Scientist,2,Bangalore,"₹5,00,036/yr"
HARMAN,Data Scientist,2,Bangalore,"₹6,38,755/yr"
Mbb Labs,Data Scientist,2,Bangalore,"₹1,00,392/mo"
Analytics Vidhya,Data Scientist,2,Bangalore,"₹12,721/mo"
KPMG,Data Scientist,2,Bangalore,"₹8,74,565/yr"
Inference Labs,Data Scientist,2,Bangalore,"₹53,107/mo"
Cartesian Consulting,Data Scientist,2,Bangalore,"₹9,54,426/yr"
ZedEye Labs,Data Scientist,2,Bangalore,"₹77,818/mo"
McAfee,Data Scientist,2,Bangalore,"₹11,81,838/yr"
Zinnov Management Consulting,Data Scientist,2,Bangalore,"₹10,68,503/yr"
Microsoft,Data Scientist,2,Bangalore,"₹83,857/mo"
Simpl,Data Scientist,2,Bangalore,"₹19,62,841/yr"
Unisys,Data Scientist,2,Bangalore,"₹11,04,704/yr"
Shaw Academy,Data Scientist,2,Bangalore,"₹14,33,708/yr"
Rakuten,Data Scientist,2,Bangalore,"₹19,29,554/yr"
Blue Yonder,Data Scientist,2,Bangalore,"₹21,84,214/yr"
SalesKen,Data Scientist,2,Bangalore,"₹10,39,792/yr"
Danske IT and Support Services,Data Scientist,2,Bangalore,"₹8,31,774/yr"
Samsung Electronics,Data Scientist,2,Bangalore,"₹21,97,572/yr"
Sonata Software,Data Scientist,2,Bangalore,"₹6,27,332/yr"
Merck KGaA,Data Scientist,2,Bangalore,"₹8,27,767/yr"
GE,Data Scientist,2,Bangalore,₹835/hr
InViz AI Solutions,Data Scientist,2,Bangalore,"₹7,76,836/yr"
Sumyag,Data Scientist,2,Bangalore,"₹29,520/mo"
Samsung R&D Institute India - Bangalore,Data Scientist,2,Bangalore,"₹19,75,545/yr"
Quess,Data Scientist,2,Bangalore,"₹7,81,491/yr"
QuEST Global,Data Scientist,2,Bangalore,"₹14,08,375/yr"
Ong & Shan,Data Scientist,2,Bangalore,₹183/hr
PayU,Data Scientist,2,Bangalore,"₹20,18,938/yr"
Encora,Data Scientist,2,Bangalore,"₹12,56,429/yr"
Tata Consultancy Services,Data Scientist,2,Bangalore,"₹1,18,986/mo"
Accenture,Data Scientist,2,Bangalore,"₹59,606/mo"
Walmart eCommerce,Data Scientist,2,Bangalore,"₹2,43,613/mo"
Nivetti Systems,Data Scientist,2,Bangalore,"₹7,47,000/yr"
Prescience,Data Scientist,2,Bangalore,"₹14,37,318/yr"
Thoughtworks,Data Scientist,2,Bangalore,"₹8,65,467/yr"
Prognos Health,Data Scientist,2,Bangalore,"₹1,32,347/mo"
TECH I.S,Data Scientist,2,Bangalore,"₹66,161/mo"
Virtusa,Data Scientist,2,Bangalore,"₹4,81,741/yr"
Zeta Suite,Data Scientist,2,Bangalore,"₹12,77,486/yr"
Halliburton,Data Scientist,2,Bangalore,"₹8,20,544/yr"
Apar Technologies,Data Scientist,2,Bangalore,"₹16,24,875/yr"
DataMites,Data Scientist,2,Bangalore,"₹5,29,123/yr"
Cerner,Data Scientist,2,Bangalore,"₹13,92,815/yr"
Juniper Networks,Data Scientist,2,Bangalore,"₹25,61,949/yr"
Idexcel,Data Scientist,2,Bangalore,"₹7,09,784/yr"
L&T Technology Services,Data Scientist,2,Bangalore,"₹5,55,530/yr"
Tiger Analytics,Data Scientist,2,Bangalore,"₹6,31,299/yr"
Capital One,Data Scientist,2,Bangalore,"₹15,88,612/yr"
Zeotap,Data Scientist,2,Bangalore,"₹75,190/mo"
Bright Money,Data Scientist,2,Bangalore,"₹27,39,727/yr"
Hakkasan Group,Data Scientist,1,Bangalore,"₹5,89,007/yr"
Thoucentric,Data Scientist,1,Bangalore,"₹40,000/mo"
SelfEmployed.com,Data Scientist,1,Bangalore,"₹50,163/mo"
The Smart Cube,Data Scientist,1,Bangalore,"₹10,03,261/yr"
Standard Chartered Global Business Services,Data Scientist,1,Bangalore,"₹26,82,633/yr"
Ambee (India),Data Scientist,1,Bangalore,"₹9,20,903/yr"
Intuit,Data Scientist,1,Bangalore,"₹30,95,345/yr"
Diageo,Data Scientist,1,Bangalore,"₹16,59,175/yr"
Robosoft Technologies,Data Scientist,1,Bangalore,"₹10,705/mo"
Perpule,Data Scientist,1,Bangalore,"₹12,92,428/yr"
WyzMindz,Data Scientist,1,Bangalore,"₹4,21,444/yr"
Tavant,Data Scientist,1,Bangalore,"₹5,61,186/yr"
Nabler Web Solutions,Data Scientist,1,Bangalore,"₹8,11,182/yr"
Mahindra,Data Scientist,1,Bangalore,"₹10,79,751/yr"
noon,Data Scientist,1,Bangalore,"₹6,08,387/yr"
Biocon,Data Scientist,1,Bangalore,"₹5,07,740/yr"
Snipe Tech Pvt Ltd.,Data Scientist,1,Bangalore,"₹33,320/mo"
dAlchemy,Data Scientist,1,Bangalore,"₹6,00,000/yr"
Hewlett-Packard,Data Scientist,1,Bangalore,"₹22,04,142/yr"
WayCool Foods & Products,Data Scientist,1,Bangalore,"₹8,30,984/yr"
Ithink Technologies,Data Scientist,1,Bangalore,"₹3,13,195/yr"
The Goddard School,Data Scientist,1,Bangalore,"₹25,000/mo"
Volvo Group,Data Scientist,1,Bangalore,"₹12,00,000/yr"
Freshers.com,Data Scientist,1,Bangalore,"₹46,237/mo"
Exalca Technologies,Data Scientist,1,Bangalore,"₹3,53,277/yr"
Shenzyn,Data Scientist,1,Bangalore,"₹5,88,795/yr"
Happay,Data Scientist,1,Bangalore,"₹4,58,420/mo"
Panasonic,Data Scientist,1,Bangalore,"₹19,24,646/yr"
Spottabl,Data Scientist,1,Bangalore,"₹3,21,161/yr"
NightLight Pediatric Urgent Care,Data Scientist,1,Bangalore,"₹55,000/mo"
Ankit R Jain & Associates,Data Scientist,1,Bangalore,"₹6,00,000/yr"
subodh singh,Data Scientist,1,Bangalore,"₹12,03,913/yr"
Trinity Mobility,Data Scientist,1,Bangalore,"₹6,36,742/yr"
CronLabs Solutions,Data Scientist,1,Bangalore,"₹3,70,227/yr"
SOTI,Data Scientist,1,Bangalore,"₹7,03,427/yr"
CoRover,Data Scientist,1,Bangalore,"₹19,99,227/yr"
iOPEX Technologies,Data Scientist,1,Bangalore,"₹7,50,000/yr"
Alfonso & Associates Consulting,Data Scientist,1,Bangalore,"₹35,30,641/yr"
iQuanti,Data Scientist,1,Bangalore,"₹30,147/mo"
EdgeVerve Systems,Data Scientist,1,Bangalore,"₹11,48,909/yr"
Cimpress,Data Scientist,1,Bangalore,"₹5,02,448/yr"
Affle,Data Scientist,1,Bangalore,"₹9,33,286/yr"
Qualcomm,Data Scientist,1,Bangalore,"₹1,28,464/mo"
Monty Telecom Development,Data Scientist,1,Bangalore,"₹6,83,496/yr"
Philips Lighting,Data Scientist,1,Bangalore,"₹10,23,226/yr"
ABC,Data Scientist,1,Bangalore,"₹20,00,000/yr"
Vervenest,Data Scientist,1,Bangalore,"₹3,41,109/yr"
Avail Finance,Data Scientist,1,Bangalore,"₹20,880/mo"
YDI Solutions,Data Scientist,1,Bangalore,"₹3,66,410/yr"
AIEnterprise,Data Scientist,1,Bangalore,"₹7,12,525/yr"
GE Power,Data Scientist,1,Bangalore,"₹12,69,350/yr"
GLOBALFOUNDRIES,Data Scientist,1,Bangalore,"₹75,245/mo"
Applied Data Finance,Data Scientist,1,Bangalore,"₹41,305/mo"
Ramus Musik,Data Scientist,1,Bangalore,"₹8,00,000/yr"
Trendwise Analytics,Data Scientist,1,Bangalore,"₹4,81,017/yr"
Anonymous,Data Scientist,1,Bangalore,"₹10,70,536/yr"
DocOn Technologies,Data Scientist,1,Bangalore,"₹21,41,072/yr"
HackerEarth,Data Scientist,1,Bangalore,"₹1,40,685/mo"
Quadrant 4 Systems,Data Scientist,1,Bangalore,"₹10,26,478/yr"
MARS WEB Solution,Data Scientist,1,Bangalore,"₹10,31,782/yr"
Verizon,Data Scientist,1,Bangalore,"₹10,04,895/yr"
LivNSense,Data Scientist,1,Bangalore,"₹4,10,994/yr"
Inflexion Analytics,Data Scientist,1,Bangalore,"₹6,01,957/yr"
Arcadix,Data Scientist,1,Bangalore,"₹6,34,675/yr"
Algebra Software Analytics,Data Scientist,1,Bangalore,"₹10,78,947/yr"
Vedantu,Data Scientist,1,Bangalore,"₹7,00,000/yr"
Automation Anywhere,Data Scientist,1,Bangalore,"₹32,00,000/yr"
yellow.ai,Data Scientist,1,Bangalore,"₹4,10,994/yr"
IBM Interactive Experience,Data Scientist,1,Bangalore,"₹8,03,916/yr"
TEKsystems,Data Scientist,1,Bangalore,"₹11,34,960/yr"
Acalvio,Data Scientist,1,Bangalore,"₹24,42,736/yr"
Nucleus Software Exports,Data Scientist,1,Bangalore,"₹3,06,968/yr"
Genesis Group Software Developers,Data Scientist,1,Bangalore,"₹2,07,746/yr"
PokerStars,Data Scientist,1,Bangalore,"₹2,08,801/yr"
XYZ,Data Scientist,1,Bangalore,"₹26,76,340/yr"
The Self Employed Association,Data Scientist,1,Bangalore,"₹3,42,781/yr"
AJIO,Data Scientist,1,Bangalore,"₹15,000/mo"
---,Data Scientist,1,Bangalore,"₹10,000/mo"
Bounce,Data Scientist,1,Bangalore,"₹18,55,822/yr"
Goldman Sachs,Data Scientist,1,Bangalore,"₹1,22,137/mo"
Algo8.ai,Data Scientist,1,Bangalore,"₹1,46,564/yr"
Saisree Engineers,Data Scientist,1,Bangalore,"₹4,50,000/yr"
Xenon Automotive,Data Scientist,1,Bangalore,"₹35,424/mo"
Wipro,Data Scientist,1,Bangalore,"₹25,662/mo"
ALTEN,Data Scientist,1,Bangalore,"₹14,61,604/yr"
Diverse Lynx,Data Scientist,1,Bangalore,"₹11,02,652/yr"
Hyperthink Systems,Data Scientist,1,Bangalore,"₹10,03,261/yr"
TBM Technologies Pvt,Data Scientist,1,Bangalore,"₹5,02,448/yr"
Red Hat,Data Scientist,1,Bangalore,"₹9,90,712/yr"
Adobe,Data Scientist,1,Bangalore,"₹1,01,398/mo"
Altimetrik,Data Scientist,1,Bangalore,"₹45,538/mo"
Informatica,Data Scientist,1,Bangalore,"₹61,861/mo"
Falabella,Data Scientist,1,Bangalore,"₹16,05,217/yr"
Toastmasters International,Data Scientist,1,Bangalore,"₹8,18,581/yr"
KYC Hub,Data Scientist,1,Bangalore,"₹2,02,796/yr"
National Institute of Technology Karnataka,Data Scientist,1,Bangalore,"₹5,14,600/yr"
Texas Instruments,Data Scientist,1,Bangalore,"₹11,76,880/yr"
Blackstraw,Data Scientist,1,Bangalore,"₹10,00,000/yr"
G2,Data Scientist,1,Bangalore,"₹16,05,804/yr"
EdGe Networks,Data Scientist,1,Bangalore,"₹18,32,052/yr"
Ultramatics,Data Scientist,1,Bangalore,"₹2,14,107/yr"
MResult Services,Data Scientist,1,Bangalore,"₹5,62,370/yr"
Vumonic Technologies,Data Scientist,1,Bangalore,"₹10,936/mo"
Dexler Information Solutions,Data Scientist,1,Bangalore,"₹16,87,111/yr"
