Book,Author(s),Original language,First published,Approximate sales,Genre
The Pillars of the Earth,Ken Follett,English,1989,15 million[132],Historical fiction
Perfume (Das Parfum),Patrick Süskind,German,1985,15 million[133],Historical fiction
The Grapes of Wrath,John Steinbeck,English,1939,15 million[134],Historical fiction
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15 million[135],Historical fiction
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 million[136],Historical fiction
Becoming,Michelle Obama,English,2018,14 million[137],Historical fiction
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14 million[138],Science fiction
Tuesdays with Morrie,Mitch Albom,English,1997,14 million[139],Science fiction
God's Little Acre,Erskine Caldwell,English,1933,14 million[140],Science fiction
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,14 million[141],Science fiction
A Wrinkle in Time,Madeleine L'Engle,English,1962,14 million[142],Science fiction
Long Walk to Freedom,Nelson Mandela,English,1994,14 million[143],Science fiction
The Old Man and the Sea,Ernest Hemingway,English,1952,13 million[63],Science fiction
Life After Life,Raymond Moody,English,1975,13 million[144],Science fiction
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45 million[54],Children's Literature
Jonathan Livingston Seagull,Richard Bach,English,1970,44 million[55],"Novella, Self-help"
The Very Hungry Caterpillar,Eric Carle,English,1969,43 million[56],"Children's Literature, picture book"
A Message to Garcia,Elbert Hubbard,English,1899,40 million[45],Essay/Literature
To Kill a Mockingbird,Harper Lee,English,1960,40 million[57],"Southern Gothic, Bildungsroman"
Flowers in the Attic,V. C. Andrews,English,1979,40 million[58],"Gothic horror, Family saga"
Cosmos,Carl Sagan,English,1980,40 million[59],"Popular science, Anthropology, Astrophysics, Cosmology, Philosophy, History"
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40 million[60],"Philosophical novel, Young adult"
Angels & Demons,Dan Brown,English,2000,39 million[61],Mystery-thriller
Kane and Abel,Jeffrey Archer,English,1979,37 million[62],Novel
How the Steel Was Tempered (??? ?????????? ?????),Nikolai Ostrovsky,Russian,1932,36.4 million copies in USSR[63],Socialist realist novel
War and Peace (????? ? ???),Leo Tolstoy,Russian,1869,36 million copies in Russia[63],Historical novel
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35 million[64][65][better source needed],"Fantasy, Children's fiction"
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35 million[66],"Historical non-fiction, Autobiography, Memoir, Bildungsroman / Coming of Age, Jewish literature"
Your Erroneous Zones,Wayne Dyer,English,1976,35 million[67][68],Self-help
The Thorn Birds,Colleen McCullough,English,1977,33 million[69],Romantic family saga
The Kite Runner,Khaled Hosseini,English,2003,31.5 million[70],"Bildungsroman, Historical fiction"
Valley of the Dolls,Jacqueline Susann,English,1966,31 million[71],Novel
How to Win Friends and Influence People,Dale Carnegie,English,1936,Over 30 million[72][73],Self-help
The Great Gatsby,F. Scott Fitzgerald,English,1925,"30 million (""around"")[74]","Novel, tragedy"
Gone with the Wind,Margaret Mitchell,English,1936,30 million (est.)[75],Historical fiction
Rebecca,Daphne du Maurier,English,1938,30 million (est.)[76],Gothic novel
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30 million[77],Fiction
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30 million[78],Fiction
The Lost Symbol,Dan Brown,English,2009,30 million[79],Fiction
The Hunger Games,Suzanne Collins,English,2008,29 million in US[80],Young adult fiction
James and the Giant Peach,Roald Dahl,English,1961,28 million[81],Children's novel
The Young Guard (??????? ???????),Alexander Alexandrovich Fadeyev,Russian,1945,26 million copies in USSR[63],Young adult historical novel
Who Moved My Cheese?,Spencer Johnson,English,1998,28[82]  30[83] million,"Self-help, motivational, business fable, psychology, leadership, parable"
A Brief History of Time,Stephen Hawking,English,1988,25 million[84],Popular science
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25 million[85],Novel
Lust for Life,Irving Stone,English,1934,25 million[86],Biographical novel
The Wind in the Willows,Kenneth Grahame,English,1908,25 million[87],Children's literature
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25 million[88],Self-help
Totto-Chan: The Little Girl at the Window (??????????),Tetsuko Kuroyanagi,Japanese,1981,25 million [89],Autobiographical novel
Virgin Soil Upturned (???????? ??????),Mikhail Sholokhov,Russian,1935,24 million copies in USSR[63],Novel
The Celestine Prophecy,James Redfield,English,1993,23 million[90],New-age spiritual novel
The Fault in Our Stars,John Green,English,2012,23 million[91],Young adult romantic novel
The Girl on the Train,Paula Hawkins,English,2015,23 million[92],Thriller
The Shack,William P. Young,English,2007,22.5 million[93],Novel
Uncle Styopa (???? ?????),Sergey Mikhalkov,Russian,1936,21 million copies in USSR[63],"Children's Literature, picture book"
The Godfather,Mario Puzo,English,1969,21 million[94],Crime novel
Love Story,Erich Segal,English,1970,21 million[95],Romance novel
Catching Fire,Suzanne Collins,English,2009,21 million in US[80],"Young Adult novel, adventure, dystopian, science fiction"
Mockingjay,Suzanne Collins,English,2010,20 million in US[80],"Young Adult novel, adventure, war, science fiction, action thriller"
Kitchen (????),Banana Yoshimoto,Japanese,1988,20 million[96],Japanese novel
Andromeda Nebula (?????????? ?????????),Ivan Yefremov,Russian,1957,20 million[97],Science fiction novel
Gone Girl,Gillian Flynn,English,2012,20 million[98],Crime thriller novel
The Bermuda Triangle,Charles Berlitz,English,1974,20 million[99],Crime thriller novel
Things Fall Apart,Chinua Achebe,English,1958,20 million[100],Novel
Wolf Totem (???),Jiang Rong,Chinese,2004,20 million[101],Semi-autobiographical novel
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20 million[102],Memoir
Jaws,Peter Benchley,English,1974,20 million[103],Thriller
Love You Forever,Robert Munsch,English,1986,20 million[104],"Children's literature, picture book, fiction"
The Women's Room,Marilyn French,English,1977,20 million[105],Feminist novel
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20 million[106],Pregnancy guide
Adventures of Huckleberry Finn,Mark Twain,English,1885,20 million[107],"Picaresque novel, Bildungsroman, satire, Robinsonade"
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20 million[108],Young adult novel
Pride and Prejudice,Jane Austen,English,1813,20 million[109][110],"Classic regency novel, romance"
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20 million[111],Travel literature
The Good Soldier vejk (Osudy dobrého vojáka vejka za sv?tové války),Jaroslav Haek,Czech,1923,20 million (printed)[112],Unfinished satirical dark comedy novel
Where the Wild Things Are,Maurice Sendak,English,1963,20 million[113],Children's picture book
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20 million[114],Self-help
The Secret,Rhonda Byrne,English,2006,20 million[115],Self-help
Fear of Flying,Erica Jong,English,1973,20 million[116],Romantic novel
Dune,Frank Herbert,English,1965,20 million[117],Science fiction novel
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20 million[118],Children's fantasy novel
The Naked Ape,Desmond Morris,English,1968,20 million[119],"Social Science, Anthropology, Psychology"
Where the Crawdads Sing,Delia Owens,English,2018,18 million[120],Coming-of-age Murder mystery
Matilda,Roald Dahl,English,1988,17 million[121],Children's Literature
The Book Thief,Markus Zusak,English,2005,16 million[122],Young Adult Fiction
The Horse Whisperer,Nicholas Evans,English,1995,16 million[123],Young Adult Fiction
Goodnight Moon,Margaret Wise Brown,English,1947,16 million[124],Children's Literature
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16 million[125],Children's Literature
All the Light We Cannot See,Anthony Doerr,English,2014,15.3 million[126],"Historical fiction, war novel"
Fifty Shades of Grey,E. L. James,English,2011,15.2 million in the U.S.[127],Erotica
The Outsiders,S. E. Hinton,English,1967,15 million[128],Erotica
Guess How Much I Love You,Sam McBratney,English,1994,15 million[129],Erotica
Sh?gun,James Clavell,English,1975,15 million[130],Erotica
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million[131],Erotica
The Pillars of the Earth,Ken Follett,English,1989,15 million[132],Historical fiction
Perfume (Das Parfum),Patrick Süskind,German,1985,15 million[133],Historical fiction
The Grapes of Wrath,John Steinbeck,English,1939,15 million[134],Historical fiction
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15 million[135],Historical fiction
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 million[136],Historical fiction
Becoming,Michelle Obama,English,2018,14 million[137],Historical fiction
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14 million[138],Science fiction
Tuesdays with Morrie,Mitch Albom,English,1997,14 million[139],Science fiction
God's Little Acre,Erskine Caldwell,English,1933,14 million[140],Science fiction
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,14 million[141],Science fiction
A Wrinkle in Time,Madeleine L'Engle,English,1962,14 million[142],Science fiction
Long Walk to Freedom,Nelson Mandela,English,1994,14 million[143],Science fiction
The Old Man and the Sea,Ernest Hemingway,English,1952,13 million[63],Science fiction
Life After Life,Raymond Moody,English,1975,13 million[144],Science fiction
Momo,Michael Ende,German,1973,13 million[145],Children's Literature
Peyton Place,Grace Metalious,English,1956,12.1 million[146],Children's Literature
The Giver,Lois Lowry,English,1993,12 million[147][148],Dystopian fiction
Me Before You,Jojo Moyes,English,2012,12 million[149],Dystopian fiction
Norwegian Wood (???????),Haruki Murakami,Japanese,1987,12 million[150],Dystopian fiction
The Plague (La Peste),Albert Camus,French,1947,12 million[151],Dystopian fiction
No Longer Human (????),Osamu Dazai,Japanese,1948,12 million[152],Dystopian fiction
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12 million[153],Dystopian fiction
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,1112 million (during the 20th century)[154],Dystopian fiction
The Prophet,Kahlil Gibran,English,1923,11 million[155],Dystopian fiction
The Boy in the Striped Pyjamas,John Boyne,English,2006,11 million[156],Dystopian fiction
The Exorcist,William Peter Blatty,English,1971,11 million[157],Horror
The Gruffalo,Julia Donaldson,English,1999,10.5 million[158],Horror
Fifty Shades Darker,E. L. James,English,2012,10.4 million in the U.S.[127],Erotica
Tobacco Road,Erskine Caldwell,English,1932,10 million[159],Erotica
"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10 million[160],Erotica
The Cat in the Hat,Dr. Seuss,English,1957,10.5 million[161],Erotica
Diana: Her True Story,Andrew Morton,English,1992,10 million[162],Erotica
The Help,Kathryn Stockett,English,2009,10 million[163],Erotica
Catch-22,Joseph Heller,English,1961,10 million[164],Erotica
The Stranger (L'Étranger),Albert Camus,French,1942,10 million[165],Erotica
Eye of the Needle,Ken Follett,English,1978,10 million[166],Erotica
The Lovely Bones,Alice Sebold,English,2002,10 million[167],Erotica
Wild Swans,Jung Chang,English,1992,10 million[168],Erotica
Santa Evita,Tomás Eloy Martínez,Spanish,1995,10 million[169],Erotica
Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10 million[170],Erotica
Confucius from the Heart (????????),Yu Dan,Chinese,2006,10 million[171],Erotica
The Total Woman,Marabel Morgan,English,1974,10 million[172],Erotica
Knowledge-value Revolution (????),Taichi Sakaiya,Japanese,1985,10 million[173],Erotica
Problems in China's Socialist Economy (????????????),Xue Muqiao,Chinese,1979,10 million[174],Erotica
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10 million[175],Erotica
The Dukan Diet,Pierre Dukan,French,2000,10 million[176],Erotica
The Joy of Sex,Alex Comfort,English,1972,10 million[177],Erotica
The Gospel According to Peanuts,Robert L. Short,English,1965,10 million[178],Erotica
The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10 million[179],Erotica
Life of Pi,Yann Martel,English,2001,10 million[180],Erotica
The Front Runner,Patricia Nell Warren,English,1974,10 million[181],Erotica
The Goal,Eliyahu M. Goldratt,English,1984,10 million[182],Erotica
Fahrenheit 451,Ray Bradbury,English,1953,10 million[183],Erotica
Angela's Ashes,Frank McCourt,English,1996,10 million[184],Erotica
The Story of My Experiments with Truth (?????? ??????? ???? ???????),Mohandas Karamchand Gandhi,Gujarati,19251929,10 million[185],Erotica
Bridget Jones's Diary,Helen Fielding,English,1996,10 million (as of 2005)[186],Erotica
Where the Crawdads Sing,Delia Owens,English,2018,18 million[120],Coming-of-age Murder mystery
Matilda,Roald Dahl,English,1988,17 million[121],Children's Literature
The Book Thief,Markus Zusak,English,2005,16 million[122],Young Adult Fiction
The Horse Whisperer,Nicholas Evans,English,1995,16 million[123],Young Adult Fiction
Goodnight Moon,Margaret Wise Brown,English,1947,16 million[124],Children's Literature
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16 million[125],Children's Literature
All the Light We Cannot See,Anthony Doerr,English,2014,15.3 million[126],"Historical fiction, war novel"
Fifty Shades of Grey,E. L. James,English,2011,15.2 million in the U.S.[127],Erotica
The Outsiders,S. E. Hinton,English,1967,15 million[128],Erotica
Guess How Much I Love You,Sam McBratney,English,1994,15 million[129],Erotica
Sh?gun,James Clavell,English,1975,15 million[130],Erotica
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million[131],Erotica
The Pillars of the Earth,Ken Follett,English,1989,15 million[132],Historical fiction
Perfume (Das Parfum),Patrick Süskind,German,1985,15 million[133],Historical fiction
The Grapes of Wrath,John Steinbeck,English,1939,15 million[134],Historical fiction
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15 million[135],Historical fiction
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 million[136],Historical fiction
Becoming,Michelle Obama,English,2018,14 million[137],Historical fiction
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14 million[138],Science fiction
Tuesdays with Morrie,Mitch Albom,English,1997,14 million[139],Science fiction
God's Little Acre,Erskine Caldwell,English,1933,14 million[140],Science fiction
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,14 million[141],Science fiction
A Wrinkle in Time,Madeleine L'Engle,English,1962,14 million[142],Science fiction
Long Walk to Freedom,Nelson Mandela,English,1994,14 million[143],Science fiction
The Old Man and the Sea,Ernest Hemingway,English,1952,13 million[63],Science fiction
Life After Life,Raymond Moody,English,1975,13 million[144],Science fiction
Momo,Michael Ende,German,1973,13 million[145],Children's Literature
Peyton Place,Grace Metalious,English,1956,12.1 million[146],Children's Literature
The Giver,Lois Lowry,English,1993,12 million[147][148],Dystopian fiction
Me Before You,Jojo Moyes,English,2012,12 million[149],Dystopian fiction
Norwegian Wood (???????),Haruki Murakami,Japanese,1987,12 million[150],Dystopian fiction
The Plague (La Peste),Albert Camus,French,1947,12 million[151],Dystopian fiction
No Longer Human (????),Osamu Dazai,Japanese,1948,12 million[152],Dystopian fiction
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12 million[153],Dystopian fiction
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,1112 million (during the 20th century)[154],Dystopian fiction
The Prophet,Kahlil Gibran,English,1923,11 million[155],Dystopian fiction
The Boy in the Striped Pyjamas,John Boyne,English,2006,11 million[156],Dystopian fiction
The Exorcist,William Peter Blatty,English,1971,11 million[157],Horror
The Gruffalo,Julia Donaldson,English,1999,10.5 million[158],Horror
Fifty Shades Darker,E. L. James,English,2012,10.4 million in the U.S.[127],Erotica
Tobacco Road,Erskine Caldwell,English,1932,10 million[159],Erotica
"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10 million[160],Erotica
The Cat in the Hat,Dr. Seuss,English,1957,10.5 million[161],Erotica
Diana: Her True Story,Andrew Morton,English,1992,10 million[162],Erotica
The Help,Kathryn Stockett,English,2009,10 million[163],Erotica
Catch-22,Joseph Heller,English,1961,10 million[164],Erotica
The Stranger (L'Étranger),Albert Camus,French,1942,10 million[165],Erotica
Eye of the Needle,Ken Follett,English,1978,10 million[166],Erotica
The Lovely Bones,Alice Sebold,English,2002,10 million[167],Erotica
Wild Swans,Jung Chang,English,1992,10 million[168],Erotica
Santa Evita,Tomás Eloy Martínez,Spanish,1995,10 million[169],Erotica
Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10 million[170],Erotica
Confucius from the Heart (????????),Yu Dan,Chinese,2006,10 million[171],Erotica
The Total Woman,Marabel Morgan,English,1974,10 million[172],Erotica
Knowledge-value Revolution (????),Taichi Sakaiya,Japanese,1985,10 million[173],Erotica
Problems in China's Socialist Economy (????????????),Xue Muqiao,Chinese,1979,10 million[174],Erotica
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10 million[175],Erotica
The Dukan Diet,Pierre Dukan,French,2000,10 million[176],Erotica
The Joy of Sex,Alex Comfort,English,1972,10 million[177],Erotica
The Gospel According to Peanuts,Robert L. Short,English,1965,10 million[178],Erotica
The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10 million[179],Erotica
Life of Pi,Yann Martel,English,2001,10 million[180],Erotica
The Front Runner,Patricia Nell Warren,English,1974,10 million[181],Erotica
The Goal,Eliyahu M. Goldratt,English,1984,10 million[182],Erotica
Fahrenheit 451,Ray Bradbury,English,1953,10 million[183],Erotica
Angela's Ashes,Frank McCourt,English,1996,10 million[184],Erotica
The Story of My Experiments with Truth (?????? ??????? ???? ???????),Mohandas Karamchand Gandhi,Gujarati,19251929,10 million[185],Erotica
Bridget Jones's Diary,Helen Fielding,English,1996,10 million (as of 2005)[186],Erotica
World Almanac (published every year),Various authors,English,186876; 1886present,82 million[325][326],Erotica
Betty Crocker Cookbook,General Mills staff,English,19502016 (12th edition),75 million[327],Erotica
Tung Shing (Chinese: ??),"Choi Park Lai's family, among others",Chinese,1891(Only counting versions published by Choi's family),>70 million (Only counting version published by Choi)[328],Erotica
Merriam-Webster's Collegiate Dictionary,Merriam-Webster,English,1898,55 million[329],Erotica
