Gender,Home Location,Level of Education,Age(Years),Number of Subjects,Device type used to attend classes,Economic status,Family size,Internet facility in your locality,Are you involved in any sports?,Do elderly people monitor you?,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Interested in Gaming?,Have separate room for studying?,Engaged in group studies?,Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Interested in?,Performance in online,Your level of satisfaction in Online Education
Male,Rural,Post Graduate,20,8,Mobile,Middle Class,4,3,No,Yes,4,7,1,No,No,yes,21-30,4,4,Practical,8,Good
Male,Urban,Under Graduate,18,5,Laptop,Middle Class,3,5,Yes,No,8,7,1,Yes,Yes,No,81-90,5,5,Practical,9,Good
Male,Urban,Under Graduate,18,6,Laptop,Middle Class,4,3,No,Yes,3,7,1,No,No,No,71-80,4,4,Practical,8,Average
Male,Rural,Post Graduate,21,8,Mobile,Middle Class,7,3,No,No,2,7,8,Yes,No,yes,71-80,2,1,Practical,6,Bad
Female,Rural,Under Graduate,17,6,Laptop,Middle Class,4,4,No,No,7,9,3,No,Yes,No,81-90,4,3,Both,9,Good
Female,Urban,Post Graduate,26,2,Laptop,Middle Class,4,4,No,No,1,6,1,Yes,No,No,81-90,3,2,Practical,7,Average
Female,Urban,School,19,5,Laptop,Middle Class,3,4,No,Yes,4,6,4,No,Yes,No,71-80,2,1,Theory,4,Bad
Male,Urban,Post Graduate,21,6,Mobile,Middle Class,4,3,No,Yes,3,7,3,Yes,Yes,yes,11-20,4,2,Both,4,Good
Female,Urban,Under Graduate,19,5,Laptop,Middle Class,6,4,No,Yes,7,6,1,No,Yes,yes,81-90,3,3,Practical,6,Average
Male,Urban,Under Graduate,18,5,Laptop,Middle Class,5,2,Yes,Yes,4,2,3,No,Yes,No,81-90,2,1,Practical,8,Bad
Male,Urban,Under Graduate,21,7,Mobile,Middle Class,4,3,No,No,3,8,3,Yes,Yes,yes,71-80,2,2,Practical,8,Average
Female,Urban,Post Graduate,21,7,Mobile,Middle Class,5,3,No,No,3,5,3,Yes,Yes,No,71-80,2,3,Theory,6,Average
Female,Urban,Under Graduate,21,9,Laptop,Middle Class,5,3,No,No,4,10,3,No,Yes,No,41-50,2,3,Theory,6,Good
Male,Urban,Post Graduate,21,6,Desktop,Middle Class,5,2,No,Yes,3,6,3,Yes,Yes,No,81-90,3,2,Practical,6,Average
Male,Rural,Post Graduate,21,8,Mobile,Middle Class,5,1,No,No,6,8,3,Yes,Yes,yes,31-40,3,1,Practical,4,Bad
Female,Urban,School,9,6,Mobile,Middle Class,5,5,No,No,1,8,10,Yes,Yes,No,81-90,2,1,Practical,3,Bad
Male,Rural,Post Graduate,19,7,Mobile,Middle Class,4,3,No,No,1,7,3,No,No,No,71-80,3,3,Practical,7,Average
Male,Urban,Under Graduate,18,7,Desktop,Middle Class,4,4,Yes,Yes,2,7,1,No,No,No,91-100,5,4,Both,8,Good
Female,Urban,Post Graduate,23,17,Laptop,Middle Class,6,4,No,Yes,5,8,2,No,Yes,No,71-80,4,2,Practical,5,Bad
Male,Urban,Post Graduate,21,8,Mobile,Middle Class,4,4,Yes,No,6,8,6,Yes,Yes,yes,61-70,3,3,Theory,7,Average
Female,Rural,Post Graduate,21,8,Mobile,Middle Class,4,4,No,Yes,4,3,5,No,Yes,yes,31-40,2,2,Theory,6,Good
Male,Rural,Post Graduate,20,20,Mobile,Middle Class,4,4,No,No,2,7,3,Yes,Yes,yes,71-80,5,4,Theory,8,Good
Male,Urban,Post Graduate,20,8,Laptop,Middle Class,4,3,Yes,No,5,7,2,Yes,No,yes,61-70,2,2,Practical,6,Average
Male,Rural,Under Graduate,20,9,Mobile,Middle Class,5,4,Yes,Yes,5,6,1,No,No,No,51-60,2,2,Both,6,Average
Female,Urban,Post Graduate,22,7,Mobile,Middle Class,5,1,No,Yes,4,8,4,Yes,Yes,No,71-80,4,4,Practical,8,Good
Female,Urban,Under Graduate,20,7,Laptop,Middle Class,5,4,No,No,4,6,4,No,No,yes,81-90,2,3,Theory,7,Average
Female,Rural,Post Graduate,24,15,Laptop,Middle Class,5,3,No,Yes,4,6,3,No,No,No,61-70,3,3,Practical,8,Bad
Female,Rural,Post Graduate,21,7,Mobile,Middle Class,5,4,No,No,5,7,2,No,Yes,yes,71-80,4,4,Practical,8,Good
Female,Rural,Under Graduate,19,6,Mobile,Middle Class,4,4,No,Yes,3,7,2,Yes,Yes,No,81-90,4,4,Practical,6,Good
Female,Rural,Under Graduate,18,6,Laptop,Middle Class,4,3,No,Yes,5,10,4,Yes,No,No,51-60,3,2,Practical,10,Good
Female,Rural,Under Graduate,18,4,Mobile,Middle Class,4,3,No,Yes,5,6,3,Yes,Yes,yes,61-70,2,2,Theory,10,Good
Female,Urban,Under Graduate,18,6,Laptop,Middle Class,5,4,No,Yes,8,6,2,Yes,Yes,yes,71-80,4,4,Theory,8,Average
Female,Urban,Under Graduate,20,5,Mobile,Middle Class,4,3,No,Yes,2,9,2,No,Yes,yes,71-80,5,3,Theory,9,Good
Male,Urban,Under Graduate,19,7,Mobile,Middle Class,4,4,Yes,Yes,6,8,4,Yes,Yes,yes,61-70,4,4,Both,8,Average
Male,Urban,Post Graduate,9,3,Mobile,Middle Class,5,3,Yes,Yes,4,9,10,No,No,yes,91-100,3,3,Practical,6,Average
Female,Urban,Under Graduate,19,9,Laptop,Middle Class,4,4,No,No,4,7,3,No,Yes,yes,61-70,4,4,Both,10,Good
Female,Rural,Under Graduate,18,5,Mobile,Middle Class,5,2,Yes,No,3,7,1,No,No,No,71-80,2,1,Practical,2,Bad
Female,Urban,Under Graduate,19,6,Mobile,Middle Class,6,3,No,Yes,5,6,3,Yes,No,yes,61-70,3,3,Practical,6,Average
Male,Urban,Post Graduate,21,8,Mobile,Middle Class,5,5,Yes,No,2,8,3,Yes,Yes,yes,61-70,4,4,Theory,8,Average
Female,Urban,Post Graduate,22,9,Mobile,Middle Class,6,3,Yes,Yes,5,7,2,No,No,No,71-80,4,3,Practical,7,Good
Female,Urban,Post Graduate,21,7,Mobile,Middle Class,4,1,No,No,5,10,8,No,Yes,yes,61-70,5,3,Theory,6,Average
Female,Rural,Under Graduate,19,6,Mobile,Poor,6,3,No,No,4,6,2,Yes,No,yes,61-70,4,5,Practical,10,Good
Male,Urban,Post Graduate,23,6,Laptop,Middle Class,4,5,No,No,6,8,1,Yes,Yes,yes,71-80,3,3,Both,6,Average
Male,Rural,Under Graduate,21,9,Laptop,Middle Class,5,3,Yes,Yes,6,8,3,No,No,No,51-60,4,4,Practical,6,Average
Female,Urban,Under Graduate,20,9,Mobile,Middle Class,5,3,No,No,2,7,1,No,No,yes,71-80,4,4,Theory,7,Bad
Male,Urban,Under Graduate,18,6,Laptop,Middle Class,4,4,No,No,2,5,1,No,No,No,71-80,3,3,Both,6,Average
Female,Urban,Post Graduate,20,6,Mobile,Middle Class,5,2,No,Yes,5,9,5,Yes,No,yes,21-30,2,2,Practical,10,Good
Male,Rural,Under Graduate,20,8,Laptop,Middle Class,7,5,No,No,6,7,2,No,Yes,No,71-80,4,4,Theory,7,Average
Female,Rural,Under Graduate,18,6,Mobile,Middle Class,7,3,No,No,10,10,10,Yes,Yes,yes,81-90,3,3,Theory,10,Good
Female,Rural,Under Graduate,20,5,Mobile,Middle Class,5,5,No,Yes,9,10,6,Yes,Yes,yes,51-60,5,5,Theory,10,Average
Female,Urban,Post Graduate,25,5,Laptop,Middle Class,7,4,No,Yes,4,5,1,No,No,yes,71-80,3,4,Practical,7,Average
Female,Urban,Under Graduate,19,8,Mobile,Middle Class,5,3,Yes,Yes,1,10,10,No,No,No,51-60,3,4,Practical,6,Average
Female,Urban,Under Graduate,18,6,Mobile,Middle Class,4,3,Yes,Yes,6,7,5,Yes,No,yes,71-80,3,3,Practical,5,Average
Female,Rural,Under Graduate,19,5,Mobile,Middle Class,3,4,No,Yes,4,7,5,Yes,No,No,51-60,3,3,Theory,8,Good
Male,Rural,Post Graduate,23,5,Mobile,Middle Class,6,3,No,No,2,8,1,Yes,No,yes,61-70,4,2,Practical,7,Average
Female,Rural,Under Graduate,18,5,Mobile,Middle Class,3,5,Yes,No,6,7,2,Yes,No,yes,51-60,5,5,Practical,9,Good
Male,Urban,Under Graduate,19,5,Laptop,Middle Class,4,4,No,Yes,5,7,2,Yes,No,yes,71-80,4,3,Both,9,Average
Female,Rural,Under Graduate,18,6,Mobile,Middle Class,5,2,No,Yes,5,6,2,Yes,No,No,71-80,5,5,Theory,10,Good
Female,Urban,Under Graduate,20,5,Mobile,Middle Class,4,3,Yes,Yes,2,7,3,Yes,No,No,41-50,3,2,Practical,6,Average
Female,Urban,Post Graduate,22,9,Laptop,Middle Class,4,3,No,Yes,6,7,1,No,Yes,No,81-90,3,3,Theory,7,Average
Male,Urban,Under Graduate,19,6,Laptop,Middle Class,3,4,No,Yes,6,7,3,Yes,No,No,81-90,3,3,Both,6,Average
Male,Urban,Under Graduate,18,4,Laptop,Middle Class,4,3,Yes,No,1,4,5,Yes,No,yes,31-40,1,1,Both,2,Bad
Male,Rural,Post Graduate,21,7,Mobile,Middle Class,4,3,No,No,7,6,2,Yes,No,No,71-80,4,3,Practical,8,Average
Female,Rural,Under Graduate,20,7,Mobile,Middle Class,5,3,No,Yes,4,8,3,Yes,No,No,71-80,5,5,Both,8,Average
Male,Urban,School,18,5,Laptop,Middle Class,6,3,Yes,No,2,8,1,Yes,Yes,No,91-100,3,2,Practical,7,Good
Male,Rural,Under Graduate,18,5,Laptop,Middle Class,4,3,Yes,Yes,1,6,3,Yes,Yes,No,91-100,1,1,Practical,2,Bad
Female,Rural,Under Graduate,20,6,Mobile,Middle Class,4,2,No,No,2,7,2,Yes,No,No,51-60,2,4,Practical,10,Good
Female,Rural,Under Graduate,19,9,Mobile,Middle Class,6,1,Yes,No,3,6,2,Yes,No,No,71-80,1,1,Practical,5,Average
Female,Urban,Under Graduate,18,4,Mobile,Middle Class,3,4,No,No,5,7,1,No,Yes,No,51-60,4,4,Theory,9,Good
Female,Urban,Under Graduate,19,7,Mobile,Middle Class,4,3,No,No,1,6,7,No,No,No,81-90,2,3,Both,4,Bad
Male,Urban,Under Graduate,19,5,Laptop,Middle Class,4,5,No,No,4,7,5,No,No,No,71-80,2,2,Practical,4,Bad
Male,Rural,Post Graduate,18,20,Laptop,Middle Class,4,3,No,Yes,4,10,6,Yes,No,No,61-70,3,4,Both,6,Average
Male,Urban,Under Graduate,20,8,Laptop,Middle Class,4,4,No,Yes,5,8,3,Yes,Yes,yes,81-90,3,3,Theory,8,Average
Female,Urban,Under Graduate,18,6,Laptop,Middle Class,5,4,No,Yes,5,7,9,Yes,Yes,yes,91-100,1,2,Practical,6,Bad
Male,Urban,Under Graduate,19,7,Laptop,Middle Class,3,3,No,No,3,6,2,Yes,Yes,No,61-70,1,1,Practical,2,Bad
Female,Urban,Post Graduate,19,7,Laptop,Middle Class,5,4,Yes,Yes,5,8,3,No,Yes,No,21-30,3,3,Practical,7,Average
Male,Urban,Under Graduate,19,7,Desktop,Middle Class,4,4,Yes,No,3,5,2,Yes,No,yes,81-90,3,4,Both,8,Average
Male,Urban,Under Graduate,18,8,Laptop,Middle Class,4,3,No,Yes,6,7,2,No,No,No,91-100,3,2,Practical,7,Bad
Male,Urban,Under Graduate,19,8,Laptop,Middle Class,4,3,No,No,10,6,2,Yes,No,No,71-80,1,1,Theory,2,Bad
Male,Rural,Under Graduate,19,7,Mobile,Middle Class,5,3,Yes,No,4,8,3,Yes,Yes,No,61-70,3,2,Both,6,Average
Male,Urban,Under Graduate,19,7,Mobile,Middle Class,4,4,No,No,1,9,2,No,Yes,No,71-80,1,2,Practical,3,Average
Male,Urban,School,19,7,Laptop,Middle Class,4,3,No,No,3,4,1,Yes,Yes,No,81-90,3,2,Both,6,Average
Male,Urban,Under Graduate,18,8,Laptop,Middle Class,6,4,No,Yes,5,7,3,No,No,yes,71-80,3,3,Theory,7,Average
Male,Urban,Under Graduate,19,6,Laptop,Middle Class,4,3,No,Yes,3,7,2,Yes,Yes,No,71-80,4,4,Theory,8,Good
Male,Rural,Under Graduate,20,8,Mobile,Middle Class,4,2,No,Yes,3,8,2,Yes,No,yes,81-90,2,3,Both,7,Bad
Male,Rural,Under Graduate,19,7,Laptop,Middle Class,5,4,No,Yes,8,6,1,Yes,No,yes,81-90,1,4,Practical,8,Bad
Female,Rural,Under Graduate,18,8,Laptop,Middle Class,4,4,No,Yes,7,6,1,No,Yes,No,81-90,3,3,Theory,6,Average
Male,Urban,Post Graduate,20,6,Laptop,Middle Class,6,2,Yes,Yes,5,8,3,No,Yes,yes,81-90,3,2,Both,5,Average
Female,Urban,Under Graduate,18,7,Laptop,Middle Class,4,5,No,Yes,6,7,1,Yes,Yes,No,91-100,3,3,Practical,7,Good
Male,Rural,Under Graduate,19,7,Laptop,Middle Class,4,4,Yes,Yes,4,8,2,Yes,No,No,91-100,3,3,Both,8,Average
Male,Urban,Under Graduate,18,8,Laptop,Middle Class,4,4,No,Yes,2,6,1,No,No,No,91-100,1,3,Both,4,Bad
Female,Urban,Under Graduate,19,7,Laptop,Middle Class,4,4,No,No,3,7,1,No,No,No,61-70,2,3,Theory,6,Average
Male,Rural,Under Graduate,19,6,Mobile,Middle Class,5,3,Yes,No,3,8,2,Yes,Yes,No,71-80,3,3,Practical,8,Average
Female,Urban,Under Graduate,18,8,Laptop,Middle Class,4,3,No,Yes,7,5,1,No,No,yes,91-100,3,3,Both,7,Good
Female,Urban,Under Graduate,19,6,Mobile,Poor,4,2,No,No,4,6,2,Yes,No,No,81-90,2,3,Both,8,Good
Male,Urban,Under Graduate,17,4,Laptop,Rich,4,5,Yes,Yes,2,8,6,No,Yes,No,91-100,1,1,Both,2,Bad
Female,Urban,Under Graduate,18,7,Laptop,Middle Class,4,3,No,Yes,3,8,4,No,No,No,81-90,2,2,Practical,6,Bad
Male,Urban,Under Graduate,19,8,Laptop,Middle Class,4,4,No,No,4,6,1,No,No,No,81-90,2,3,Both,5,Bad
Male,Urban,Under Graduate,19,7,Mobile,Middle Class,4,2,Yes,No,8,9,1,Yes,No,yes,81-90,1,1,Both,8,Bad
Female,Rural,Under Graduate,18,8,Laptop,Middle Class,4,4,No,No,4,7,1,Yes,Yes,No,81-90,4,3,Practical,9,Average
Female,Urban,Under Graduate,18,8,Laptop,Middle Class,4,4,No,Yes,3,5,4,Yes,No,No,91-100,3,3,Practical,8,Average
Male,Urban,Post Graduate,19,7,Laptop,Middle Class,9,3,No,Yes,4,5,2,Yes,Yes,No,81-90,3,3,Both,6,Good
Female,Rural,Under Graduate,21,6,Mobile,Middle Class,4,4,No,Yes,5,6,2,No,No,yes,71-80,3,3,Theory,7,Average
Female,Urban,Under Graduate,19,8,Laptop,Middle Class,4,5,No,Yes,8,8,1,No,Yes,yes,91-100,4,4,Practical,9,Good
Female,Urban,Under Graduate,18,8,Mobile,Middle Class,4,4,Yes,Yes,3,8,3,No,Yes,No,61-70,3,2,Theory,4,Average
Female,Urban,Under Graduate,18,6,Laptop,Middle Class,4,4,No,Yes,3,8,3,No,Yes,yes,91-100,3,4,Theory,7,Average
Male,Urban,Under Graduate,19,8,Laptop,Middle Class,5,4,No,Yes,5,6,2,No,No,No,81-90,3,4,Practical,6,Bad
Male,Rural,Under Graduate,18,8,Laptop,Middle Class,4,3,No,Yes,7,7,2,No,Yes,yes,81-90,3,2,Practical,6,Average
Female,Urban,Under Graduate,22,4,Laptop,Middle Class,4,5,Yes,No,2,8,1,No,Yes,yes,81-90,2,2,Both,9,Bad
Female,Urban,Under Graduate,20,7,Mobile,Middle Class,3,2,No,Yes,5,7,2,Yes,No,No,81-90,5,5,Both,8,Good
Male,Urban,Post Graduate,19,8,Laptop,Middle Class,4,4,Yes,Yes,4,8,3,Yes,Yes,yes,51-60,3,4,Theory,7,Average
Female,Urban,School,19,7,Mobile,Middle Class,4,3,No,Yes,4,8,2,Yes,Yes,No,71-80,2,1,Theory,6,Average
Female,Urban,Under Graduate,19,8,Laptop,Middle Class,4,4,No,Yes,5,3,3,No,No,No,81-90,3,2,Practical,8,Average
Male,Urban,Under Graduate,20,7,Laptop,Middle Class,3,4,Yes,Yes,8,8,4,Yes,No,No,81-90,2,3,Theory,6,Average
Male,Urban,Under Graduate,20,6,Laptop,Middle Class,4,4,No,No,5,6,1,No,No,No,81-90,1,1,Practical,6,Bad
Male,Urban,Under Graduate,20,7,Laptop,Middle Class,3,2,Yes,No,2,6,1,Yes,No,No,81-90,1,2,Practical,3,Bad
Male,Rural,School,21,1,Laptop,Poor,10,3,No,No,2,8,10,Yes,No,No,31-40,2,2,Practical,6,Average
Female,Urban,Under Graduate,20,8,Laptop,Middle Class,5,4,No,Yes,10,9,3,No,Yes,yes,91-100,2,2,Practical,6,Bad
Female,Rural,Post Graduate,19,8,Laptop,Middle Class,6,3,No,No,2,6,1,No,No,yes,91-100,2,2,Practical,5,Bad
Male,Urban,Under Graduate,20,7,Laptop,Middle Class,4,4,No,Yes,5,7,3,Yes,Yes,No,81-90,2,2,Both,6,Bad
Male,Urban,Under Graduate,18,7,Laptop,Middle Class,3,4,Yes,No,6,7,1,No,Yes,yes,91-100,4,3,Both,8,Good
Male,Urban,Under Graduate,19,7,Laptop,Middle Class,4,4,No,No,5,7,4,No,Yes,No,81-90,3,3,Both,8,Average
Male,Urban,Under Graduate,19,20,Laptop,Middle Class,4,5,Yes,No,3,6,2,Yes,No,yes,91-100,3,2,Both,5,Bad
Female,Urban,Under Graduate,20,14,Laptop,Middle Class,4,5,No,No,6,8,3,No,Yes,yes,71-80,2,2,Both,7,Bad
Male,Rural,Under Graduate,21,8,Desktop,Middle Class,4,2,Yes,No,4,8,4,Yes,No,yes,81-90,3,3,Both,4,Bad
Male,Urban,School,21,16,Laptop,Middle Class,6,5,Yes,Yes,2,6,3,No,Yes,No,91-100,4,4,Both,9,Good
Female,Urban,Under Graduate,18,7,Laptop,Middle Class,4,5,No,Yes,5,8,8,No,Yes,yes,91-100,3,4,Theory,10,Average
Male,Urban,Under Graduate,18,6,Laptop,Middle Class,4,3,Yes,No,6,6,3,Yes,No,No,81-90,3,4,Practical,6,Average
Male,Rural,Under Graduate,19,8,Laptop,Middle Class,4,4,No,No,3,6,2,No,Yes,yes,71-80,2,3,Practical,7,Average
Male,Urban,School,19,6,Laptop,Middle Class,3,4,No,No,1,6,5,No,Yes,yes,81-90,2,4,Both,7,Average
Male,Urban,Under Graduate,20,6,Laptop,Middle Class,3,4,No,No,4,7,2,No,Yes,No,81-90,2,2,Theory,8,Average
Female,Urban,Under Graduate,19,8,Laptop,Middle Class,5,5,No,No,5,8,2,No,Yes,yes,91-100,3,3,Both,10,Average
Male,Urban,Under Graduate,19,8,Laptop,Middle Class,4,3,No,No,4,8,4,No,Yes,No,81-90,2,3,Practical,7,Average
Female,Urban,Under Graduate,20,6,Laptop,Middle Class,4,4,Yes,No,2,7,2,No,Yes,yes,81-90,4,4,Practical,7,Average
Female,Urban,Under Graduate,18,6,Laptop,Middle Class,4,5,Yes,Yes,5,6,4,No,Yes,yes,81-90,2,2,Both,9,Bad
Male,Urban,Under Graduate,19,7,Laptop,Middle Class,4,4,No,No,1,7,3,Yes,Yes,No,91-100,2,3,Both,8,Average
Male,Urban,Under Graduate,20,7,Laptop,Middle Class,3,5,Yes,Yes,2,7,3,Yes,Yes,No,71-80,3,2,Both,6,Bad
Female,Urban,Under Graduate,19,8,Laptop,Middle Class,4,4,No,No,5,8,3,No,Yes,yes,81-90,1,1,Practical,7,Average
Male,Urban,Under Graduate,20,7,Laptop,Rich,3,5,Yes,Yes,1,7,1,No,Yes,No,71-80,1,1,Both,8,Bad
Female,Urban,Under Graduate,18,7,Laptop,Rich,4,4,Yes,No,4,8,7,No,Yes,No,91-100,3,3,Practical,5,Average
Male,Urban,Under Graduate,21,2,Laptop,Middle Class,4,5,Yes,Yes,1,6,7,Yes,Yes,No,61-70,5,5,Both,10,Good
Male,Urban,Under Graduate,19,7,Laptop,Rich,6,5,Yes,No,4,9,2,Yes,No,No,91-100,3,3,Practical,10,Good
Male,Urban,Under Graduate,22,6,Laptop,Middle Class,8,5,Yes,Yes,4,7,2,Yes,No,yes,71-80,4,3,Theory,8,Average
Male,Urban,Under Graduate,20,8,Laptop,Middle Class,3,4,Yes,No,7,8,2,No,Yes,No,91-100,4,3,Practical,8,Average
Male,Urban,Under Graduate,22,14,Laptop,Middle Class,4,3,Yes,Yes,7,7,5,Yes,Yes,No,71-80,2,2,Practical,6,Average
Female,Urban,Under Graduate,18,8,Laptop,Middle Class,5,4,No,No,3,8,3,Yes,No,No,71-80,1,1,Practical,7,Average
Female,Urban,Under Graduate,19,8,Laptop,Middle Class,5,3,No,Yes,8,6,5,No,Yes,No,81-90,1,1,Both,5,Average
Male,Urban,Under Graduate,20,7,Laptop,Rich,4,4,Yes,No,1,8,6,No,No,No,71-80,2,1,Theory,5,Bad
Male,Rural,Under Graduate,19,7,Laptop,Middle Class,4,5,Yes,No,4,5,1,Yes,No,No,81-90,3,3,Both,8,Average
Male,Urban,School,19,5,Laptop,Middle Class,3,3,No,Yes,1,6,1,No,Yes,No,71-80,1,2,Practical,6,Bad
Male,Urban,Under Graduate,21,4,Laptop,Rich,4,5,Yes,No,2,8,1,No,No,No,91-100,3,5,Both,10,Good
Male,Urban,Under Graduate,20,6,Laptop,Middle Class,5,5,No,Yes,2,8,3,No,Yes,No,61-70,1,1,Practical,5,Bad
Male,Urban,Under Graduate,20,7,Laptop,Middle Class,3,5,No,No,8,7,1,Yes,No,No,81-90,2,2,Practical,7,Average
Male,Urban,Under Graduate,18,8,Mobile,Middle Class,5,4,No,Yes,4,7,2,Yes,No,No,71-80,3,1,Both,7,Average
Male,Urban,Under Graduate,19,8,Laptop,Middle Class,5,5,No,No,2,7,1,Yes,Yes,No,91-100,2,1,Both,8,Bad
Female,Urban,Under Graduate,19,8,Laptop,Middle Class,4,5,No,Yes,6,7,2,No,Yes,No,91-100,3,3,Practical,8,Average
Male,Urban,Under Graduate,19,20,Laptop,Middle Class,4,5,No,No,4,10,2,Yes,Yes,No,91-100,3,2,Practical,6,Bad
Male,Urban,Under Graduate,21,7,Laptop,Middle Class,4,4,No,No,4,6,1,Yes,Yes,No,71-80,2,2,Practical,9,Average
Male,Urban,Under Graduate,18,5,Laptop,Middle Class,4,4,Yes,No,7,7,2,Yes,Yes,No,91-100,3,3,Both,7,Average
