States,Regions,latitude,longitude,Dates,Usage
Meghalaya,NER,25.57049217,91.8800142,04/01/2019 00:00:00,6.3
Mizoram,NER,23.71039899,92.72001461,04/01/2019 00:00:00,1.7
Nagaland,NER,25.6669979,94.11657019,04/01/2019 00:00:00,2.2
Tripura,NER,23.83540428,91.27999914,04/01/2019 00:00:00,3.5
Punjab,NR,31.51997398,75.98000281,05/01/2019 00:00:00,121.0
Haryana,NR,28.45000633,77.01999101,05/01/2019 00:00:00,127.5
Rajasthan,NR,26.44999921,74.63998124,05/01/2019 00:00:00,239.1
Delhi,NR,28.6699929,77.23000403,05/01/2019 00:00:00,79.2
UP,NR,27.59998069,78.05000565,05/01/2019 00:00:00,299.0
Uttarakhand,NR,30.32040895,78.05000565,05/01/2019 00:00:00,39.2
HP,NR,31.10002545,77.16659704,05/01/2019 00:00:00,30.2
J&K,NR,33.45,76.24,05/01/2019 00:00:00,51.5
Chandigarh,NR,30.71999697,76.78000565,05/01/2019 00:00:00,4.3
Chhattisgarh,WR,22.09042035,82.15998734,05/01/2019 00:00:00,69.0
Gujarat,WR,22.2587,71.1924,05/01/2019 00:00:00,313.2
MP,WR,21.30039105,76.13001949,05/01/2019 00:00:00,228.2
Maharashtra,WR,19.25023195,73.16017493,05/01/2019 00:00:00,411.1
Goa,WR,15.491997,73.81800065,05/01/2019 00:00:00,13.0
DNH,WR,20.26657819,73.0166178,05/01/2019 00:00:00,17.6
Andhra Pradesh,SR,14.7504291,78.57002559,05/01/2019 00:00:00,167.4
Telangana,SR,18.1124,79.0193,05/01/2019 00:00:00,201.7
Karnataka,SR,12.57038129,76.91999711,05/01/2019 00:00:00,212.4
Kerala,SR,8.900372741,76.56999263,05/01/2019 00:00:00,75.4
Tamil Nadu,SR,12.92038576,79.15004187,05/01/2019 00:00:00,286.8
Pondy,SR,11.93499371,79.83000037,05/01/2019 00:00:00,6.6
Bihar,ER,25.78541445,87.4799727,05/01/2019 00:00:00,77.0
Jharkhand,ER,23.80039349,86.41998572,05/01/2019 00:00:00,23.0
Odisha,ER,19.82042971,85.90001746,05/01/2019 00:00:00,65.8
West Bengal,ER,22.58039044,88.32994665,05/01/2019 00:00:00,107.0
Sikkim,ER,27.3333303,88.6166475,05/01/2019 00:00:00,2.0
Arunachal Pradesh,NER,27.10039878,93.61660071,05/01/2019 00:00:00,2.2
Assam,NER,26.7499809,94.21666744,05/01/2019 00:00:00,22.5
Manipur,NER,24.79997072,93.95001705,05/01/2019 00:00:00,2.7
Meghalaya,NER,25.57049217,91.8800142,05/01/2019 00:00:00,5.7
Mizoram,NER,23.71039899,92.72001461,05/01/2019 00:00:00,1.8
Nagaland,NER,25.6669979,94.11657019,05/01/2019 00:00:00,2.3
Tripura,NER,23.83540428,91.27999914,05/01/2019 00:00:00,3.5
Punjab,NR,31.51997398,75.98000281,06/01/2019 00:00:00,121.4
Haryana,NR,28.45000633,77.01999101,06/01/2019 00:00:00,132.6
Rajasthan,NR,26.44999921,74.63998124,06/01/2019 00:00:00,240.4
Delhi,NR,28.6699929,77.23000403,06/01/2019 00:00:00,76.6
UP,NR,27.59998069,78.05000565,06/01/2019 00:00:00,286.8
Uttarakhand,NR,30.32040895,78.05000565,06/01/2019 00:00:00,39.2
HP,NR,31.10002545,77.16659704,06/01/2019 00:00:00,31.0
J&K,NR,33.45,76.24,06/01/2019 00:00:00,53.2
Chandigarh,NR,30.71999697,76.78000565,06/01/2019 00:00:00,4.3
Chhattisgarh,WR,22.09042035,82.15998734,06/01/2019 00:00:00,68.1
Gujarat,WR,22.2587,71.1924,06/01/2019 00:00:00,320.7
MP,WR,21.30039105,76.13001949,06/01/2019 00:00:00,227.4
Maharashtra,WR,19.25023195,73.16017493,06/01/2019 00:00:00,408.6
Goa,WR,15.491997,73.81800065,06/01/2019 00:00:00,12.9
DNH,WR,20.26657819,73.0166178,06/01/2019 00:00:00,18.6
Andhra Pradesh,SR,14.7504291,78.57002559,06/01/2019 00:00:00,171.2
Telangana,SR,18.1124,79.0193,06/01/2019 00:00:00,194.9
Karnataka,SR,12.57038129,76.91999711,06/01/2019 00:00:00,217.5
Kerala,SR,8.900372741,76.56999263,06/01/2019 00:00:00,75.4
Tamil Nadu,SR,12.92038576,79.15004187,06/01/2019 00:00:00,298.3
Pondy,SR,11.93499371,79.83000037,06/01/2019 00:00:00,7.2
Bihar,ER,25.78541445,87.4799727,06/01/2019 00:00:00,76.4
Jharkhand,ER,23.80039349,86.41998572,06/01/2019 00:00:00,22.6
Odisha,ER,19.82042971,85.90001746,06/01/2019 00:00:00,62.9
West Bengal,ER,22.58039044,88.32994665,06/01/2019 00:00:00,106.4
Sikkim,ER,27.3333303,88.6166475,06/01/2019 00:00:00,2.0
Arunachal Pradesh,NER,27.10039878,93.61660071,06/01/2019 00:00:00,2.2
Assam,NER,26.7499809,94.21666744,06/01/2019 00:00:00,21.7
Manipur,NER,24.79997072,93.95001705,06/01/2019 00:00:00,2.7
Meghalaya,NER,25.57049217,91.8800142,06/01/2019 00:00:00,6.2
Mizoram,NER,23.71039899,92.72001461,06/01/2019 00:00:00,1.9
Nagaland,NER,25.6669979,94.11657019,06/01/2019 00:00:00,2.3
Tripura,NER,23.83540428,91.27999914,06/01/2019 00:00:00,3.3
Punjab,NR,31.51997398,75.98000281,07/01/2019 00:00:00,118.0
Haryana,NR,28.45000633,77.01999101,07/01/2019 00:00:00,132.1
Rajasthan,NR,26.44999921,74.63998124,07/01/2019 00:00:00,241.9
Delhi,NR,28.6699929,77.23000403,07/01/2019 00:00:00,71.1
UP,NR,27.59998069,78.05000565,07/01/2019 00:00:00,294.2
Uttarakhand,NR,30.32040895,78.05000565,07/01/2019 00:00:00,40.1
HP,NR,31.10002545,77.16659704,07/01/2019 00:00:00,30.1
J&K,NR,33.45,76.24,07/01/2019 00:00:00,53.3
Chandigarh,NR,30.71999697,76.78000565,07/01/2019 00:00:00,4.0
Chhattisgarh,WR,22.09042035,82.15998734,07/01/2019 00:00:00,73.1
Gujarat,WR,22.2587,71.1924,07/01/2019 00:00:00,319.4
MP,WR,21.30039105,76.13001949,07/01/2019 00:00:00,230.3
Maharashtra,WR,19.25023195,73.16017493,07/01/2019 00:00:00,408.1
Goa,WR,15.491997,73.81800065,07/01/2019 00:00:00,12.7
DNH,WR,20.26657819,73.0166178,07/01/2019 00:00:00,18.3
Andhra Pradesh,SR,14.7504291,78.57002559,07/01/2019 00:00:00,166.4
Telangana,SR,18.1124,79.0193,07/01/2019 00:00:00,191.9
Karnataka,SR,12.57038129,76.91999711,07/01/2019 00:00:00,217.4
Kerala,SR,8.900372741,76.56999263,07/01/2019 00:00:00,74.9
Tamil Nadu,SR,12.92038576,79.15004187,07/01/2019 00:00:00,294.2
Pondy,SR,11.93499371,79.83000037,07/01/2019 00:00:00,7.0
Bihar,ER,25.78541445,87.4799727,07/01/2019 00:00:00,75.3
Jharkhand,ER,23.80039349,86.41998572,07/01/2019 00:00:00,23.9
Odisha,ER,19.82042971,85.90001746,07/01/2019 00:00:00,64.0
West Bengal,ER,22.58039044,88.32994665,07/01/2019 00:00:00,109.3
Sikkim,ER,27.3333303,88.6166475,07/01/2019 00:00:00,1.5
Arunachal Pradesh,NER,27.10039878,93.61660071,07/01/2019 00:00:00,2.2
Assam,NER,26.7499809,94.21666744,07/01/2019 00:00:00,21.4
Manipur,NER,24.79997072,93.95001705,07/01/2019 00:00:00,2.5
Meghalaya,NER,25.57049217,91.8800142,07/01/2019 00:00:00,6.1
Mizoram,NER,23.71039899,92.72001461,07/01/2019 00:00:00,1.8
Nagaland,NER,25.6669979,94.11657019,07/01/2019 00:00:00,2.3
Tripura,NER,23.83540428,91.27999914,07/01/2019 00:00:00,3.3
Punjab,NR,31.51997398,75.98000281,08/01/2019 00:00:00,107.5
Haryana,NR,28.45000633,77.01999101,08/01/2019 00:00:00,121.4
Rajasthan,NR,26.44999921,74.63998124,08/01/2019 00:00:00,237.2
Delhi,NR,28.6699929,77.23000403,08/01/2019 00:00:00,69.0
UP,NR,27.59998069,78.05000565,08/01/2019 00:00:00,289.4
Uttarakhand,NR,30.32040895,78.05000565,08/01/2019 00:00:00,37.0
HP,NR,31.10002545,77.16659704,08/01/2019 00:00:00,29.2
J&K,NR,33.45,76.24,08/01/2019 00:00:00,51.2
Chandigarh,NR,30.71999697,76.78000565,08/01/2019 00:00:00,3.8
Chhattisgarh,WR,22.09042035,82.15998734,08/01/2019 00:00:00,74.2
Gujarat,WR,22.2587,71.1924,08/01/2019 00:00:00,307.9
MP,WR,21.30039105,76.13001949,08/01/2019 00:00:00,228.8
Maharashtra,WR,19.25023195,73.16017493,08/01/2019 00:00:00,398.2
Goa,WR,15.491997,73.81800065,08/01/2019 00:00:00,10.9
DNH,WR,20.26657819,73.0166178,08/01/2019 00:00:00,18.1
Andhra Pradesh,SR,14.7504291,78.57002559,08/01/2019 00:00:00,160.8
Telangana,SR,18.1124,79.0193,08/01/2019 00:00:00,190.8
Karnataka,SR,12.57038129,76.91999711,08/01/2019 00:00:00,201.0
Kerala,SR,8.900372741,76.56999263,08/01/2019 00:00:00,68.2
Tamil Nadu,SR,12.92038576,79.15004187,08/01/2019 00:00:00,279.2
Pondy,SR,11.93499371,79.83000037,08/01/2019 00:00:00,6.5
Bihar,ER,25.78541445,87.4799727,08/01/2019 00:00:00,76.2
Jharkhand,ER,23.80039349,86.41998572,08/01/2019 00:00:00,23.3
Odisha,ER,19.82042971,85.90001746,08/01/2019 00:00:00,63.6
West Bengal,ER,22.58039044,88.32994665,08/01/2019 00:00:00,102.9
Sikkim,ER,27.3333303,88.6166475,08/01/2019 00:00:00,1.6
Arunachal Pradesh,NER,27.10039878,93.61660071,08/01/2019 00:00:00,2.3
Assam,NER,26.7499809,94.21666744,08/01/2019 00:00:00,20.7
Manipur,NER,24.79997072,93.95001705,08/01/2019 00:00:00,2.6
Meghalaya,NER,25.57049217,91.8800142,08/01/2019 00:00:00,6.2
Mizoram,NER,23.71039899,92.72001461,08/01/2019 00:00:00,1.8
Nagaland,NER,25.6669979,94.11657019,08/01/2019 00:00:00,2.1
Tripura,NER,23.83540428,91.27999914,08/01/2019 00:00:00,3.3
Punjab,NR,31.51997398,75.98000281,09/01/2019 00:00:00,132.5
Haryana,NR,28.45000633,77.01999101,09/01/2019 00:00:00,148.2
Rajasthan,NR,26.44999921,74.63998124,09/01/2019 00:00:00,197.0
Delhi,NR,28.6699929,77.23000403,09/01/2019 00:00:00,89.2
UP,NR,27.59998069,78.05000565,09/01/2019 00:00:00,258.6
Uttarakhand,NR,30.32040895,78.05000565,09/01/2019 00:00:00,35.9
HP,NR,31.10002545,77.16659704,09/01/2019 00:00:00,25.3
J&K,NR,33.45,76.24,09/01/2019 00:00:00,37.9
Chandigarh,NR,30.71999697,76.78000565,09/01/2019 00:00:00,3.9
Chhattisgarh,WR,22.09042035,82.15998734,09/01/2019 00:00:00,77.2
Gujarat,WR,22.2587,71.1924,09/01/2019 00:00:00,260.0
MP,WR,21.30039105,76.13001949,09/01/2019 00:00:00,162.5
Maharashtra,WR,19.25023195,73.16017493,09/01/2019 00:00:00,400.9
Goa,WR,15.491997,73.81800065,09/01/2019 00:00:00,12.1
DNH,WR,20.26657819,73.0166178,09/01/2019 00:00:00,18.0
Andhra Pradesh,SR,14.7504291,78.57002559,09/01/2019 00:00:00,163.0
Telangana,SR,18.1124,79.0193,09/01/2019 00:00:00,167.5
Karnataka,SR,12.57038129,76.91999711,09/01/2019 00:00:00,173.6
Kerala,SR,8.900372741,76.56999263,09/01/2019 00:00:00,67.9
Tamil Nadu,SR,12.92038576,79.15004187,09/01/2019 00:00:00,280.4
Pondy,SR,11.93499371,79.83000037,09/01/2019 00:00:00,7.6
Bihar,ER,25.78541445,87.4799727,09/01/2019 00:00:00,56.4
Jharkhand,ER,23.80039349,86.41998572,09/01/2019 00:00:00,19.2
Odisha,ER,19.82042971,85.90001746,09/01/2019 00:00:00,86.6
West Bengal,ER,22.58039044,88.32994665,09/01/2019 00:00:00,131.7
Sikkim,ER,27.3333303,88.6166475,09/01/2019 00:00:00,1.1
Arunachal Pradesh,NER,27.10039878,93.61660071,09/01/2019 00:00:00,2.1
Assam,NER,26.7499809,94.21666744,09/01/2019 00:00:00,25.8
Manipur,NER,24.79997072,93.95001705,09/01/2019 00:00:00,2.3
Meghalaya,NER,25.57049217,91.8800142,09/01/2019 00:00:00,6.0
Mizoram,NER,23.71039899,92.72001461,09/01/2019 00:00:00,1.7
Nagaland,NER,25.6669979,94.11657019,09/01/2019 00:00:00,2.4
Tripura,NER,23.83540428,91.27999914,09/01/2019 00:00:00,4.2
Punjab,NR,31.51997398,75.98000281,10/01/2019 00:00:00,131.5
Haryana,NR,28.45000633,77.01999101,10/01/2019 00:00:00,157.0
Rajasthan,NR,26.44999921,74.63998124,10/01/2019 00:00:00,199.9
Delhi,NR,28.6699929,77.23000403,10/01/2019 00:00:00,92.8
UP,NR,27.59998069,78.05000565,10/01/2019 00:00:00,284.2
Uttarakhand,NR,30.32040895,78.05000565,10/01/2019 00:00:00,35.3
HP,NR,31.10002545,77.16659704,10/01/2019 00:00:00,26.5
J&K,NR,33.45,76.24,10/01/2019 00:00:00,31.7
Chandigarh,NR,30.71999697,76.78000565,10/01/2019 00:00:00,3.9
Chhattisgarh,WR,22.09042035,82.15998734,10/01/2019 00:00:00,79.0
Gujarat,WR,22.2587,71.1924,10/01/2019 00:00:00,268.3
MP,WR,21.30039105,76.13001949,10/01/2019 00:00:00,159.6
Maharashtra,WR,19.25023195,73.16017493,10/01/2019 00:00:00,409.7
Goa,WR,15.491997,73.81800065,10/01/2019 00:00:00,12.1
DNH,WR,20.26657819,73.0166178,10/01/2019 00:00:00,17.8
Andhra Pradesh,SR,14.7504291,78.57002559,10/01/2019 00:00:00,168.8
Telangana,SR,18.1124,79.0193,10/01/2019 00:00:00,173.4
Karnataka,SR,12.57038129,76.91999711,10/01/2019 00:00:00,176.0
Kerala,SR,8.900372741,76.56999263,10/01/2019 00:00:00,68.9
Tamil Nadu,SR,12.92038576,79.15004187,10/01/2019 00:00:00,290.8
Pondy,SR,11.93499371,79.83000037,10/01/2019 00:00:00,7.9
Bihar,ER,25.78541445,87.4799727,10/01/2019 00:00:00,69.9
Jharkhand,ER,23.80039349,86.41998572,10/01/2019 00:00:00,21.8
Odisha,ER,19.82042971,85.90001746,10/01/2019 00:00:00,78.8
West Bengal,ER,22.58039044,88.32994665,10/01/2019 00:00:00,140.1
Sikkim,ER,27.3333303,88.6166475,10/01/2019 00:00:00,1.1
Arunachal Pradesh,NER,27.10039878,93.61660071,10/01/2019 00:00:00,2.1
Assam,NER,26.7499809,94.21666744,10/01/2019 00:00:00,25.8
Manipur,NER,24.79997072,93.95001705,10/01/2019 00:00:00,2.4
Meghalaya,NER,25.57049217,91.8800142,10/01/2019 00:00:00,6.2
Mizoram,NER,23.71039899,92.72001461,10/01/2019 00:00:00,1.7
Nagaland,NER,25.6669979,94.11657019,10/01/2019 00:00:00,2.1
Tripura,NER,23.83540428,91.27999914,10/01/2019 00:00:00,4.3
Punjab,NR,31.51997398,75.98000281,11/01/2019 00:00:00,130.3
Haryana,NR,28.45000633,77.01999101,11/01/2019 00:00:00,145.3
Rajasthan,NR,26.44999921,74.63998124,11/01/2019 00:00:00,187.7
Delhi,NR,28.6699929,77.23000403,11/01/2019 00:00:00,79.5
UP,NR,27.59998069,78.05000565,11/01/2019 00:00:00,281.4
Uttarakhand,NR,30.32040895,78.05000565,11/01/2019 00:00:00,30.1
HP,NR,31.10002545,77.16659704,11/01/2019 00:00:00,23.9
J&K,NR,33.45,76.24,11/01/2019 00:00:00,37.3
Chandigarh,NR,30.71999697,76.78000565,11/01/2019 00:00:00,3.4
Chhattisgarh,WR,22.09042035,82.15998734,11/01/2019 00:00:00,80.7
Gujarat,WR,22.2587,71.1924,11/01/2019 00:00:00,275.0
MP,WR,21.30039105,76.13001949,11/01/2019 00:00:00,154.3
Maharashtra,WR,19.25023195,73.16017493,11/01/2019 00:00:00,405.2
Goa,WR,15.491997,73.81800065,11/01/2019 00:00:00,12.1
DNH,WR,20.26657819,73.0166178,11/01/2019 00:00:00,16.9
Andhra Pradesh,SR,14.7504291,78.57002559,11/01/2019 00:00:00,167.7
Telangana,SR,18.1124,79.0193,11/01/2019 00:00:00,166.7
Karnataka,SR,12.57038129,76.91999711,11/01/2019 00:00:00,157.0
Kerala,SR,8.900372741,76.56999263,11/01/2019 00:00:00,67.4
Tamil Nadu,SR,12.92038576,79.15004187,11/01/2019 00:00:00,270.5
Pondy,SR,11.93499371,79.83000037,11/01/2019 00:00:00,7.1
Bihar,ER,25.78541445,87.4799727,11/01/2019 00:00:00,76.2
Jharkhand,ER,23.80039349,86.41998572,11/01/2019 00:00:00,23.3
Odisha,ER,19.82042971,85.90001746,11/01/2019 00:00:00,78.4
West Bengal,ER,22.58039044,88.32994665,11/01/2019 00:00:00,149.8
Sikkim,ER,27.3333303,88.6166475,11/01/2019 00:00:00,0.8
Arunachal Pradesh,NER,27.10039878,93.61660071,11/01/2019 00:00:00,2.1
Assam,NER,26.7499809,94.21666744,11/01/2019 00:00:00,27.9
Manipur,NER,24.79997072,93.95001705,11/01/2019 00:00:00,2.4
Meghalaya,NER,25.57049217,91.8800142,11/01/2019 00:00:00,6.2
Mizoram,NER,23.71039899,92.72001461,11/01/2019 00:00:00,1.8
Nagaland,NER,25.6669979,94.11657019,11/01/2019 00:00:00,2.1
Tripura,NER,23.83540428,91.27999914,11/01/2019 00:00:00,4.3
Punjab,NR,31.51997398,75.98000281,12/01/2019 00:00:00,137.9
Haryana,NR,28.45000633,77.01999101,12/01/2019 00:00:00,151.9
Rajasthan,NR,26.44999921,74.63998124,12/01/2019 00:00:00,189.9
Delhi,NR,28.6699929,77.23000403,12/01/2019 00:00:00,92.6
UP,NR,27.59998069,78.05000565,12/01/2019 00:00:00,298.6
Uttarakhand,NR,30.32040895,78.05000565,12/01/2019 00:00:00,34.7
HP,NR,31.10002545,77.16659704,12/01/2019 00:00:00,26.4
J&K,NR,33.45,76.24,12/01/2019 00:00:00,34.6
Chandigarh,NR,30.71999697,76.78000565,12/01/2019 00:00:00,4.0
Chhattisgarh,WR,22.09042035,82.15998734,12/01/2019 00:00:00,85.2
Gujarat,WR,22.2587,71.1924,12/01/2019 00:00:00,294.1
MP,WR,21.30039105,76.13001949,12/01/2019 00:00:00,161.1
Maharashtra,WR,19.25023195,73.16017493,12/01/2019 00:00:00,421.8
Goa,WR,15.491997,73.81800065,12/01/2019 00:00:00,12.2
DNH,WR,20.26657819,73.0166178,12/01/2019 00:00:00,17.6
Andhra Pradesh,SR,14.7504291,78.57002559,12/01/2019 00:00:00,168.1
Telangana,SR,18.1124,79.0193,12/01/2019 00:00:00,173.2
Karnataka,SR,12.57038129,76.91999711,12/01/2019 00:00:00,163.5
Kerala,SR,8.900372741,76.56999263,12/01/2019 00:00:00,69.9
Tamil Nadu,SR,12.92038576,79.15004187,12/01/2019 00:00:00,298.4
Pondy,SR,11.93499371,79.83000037,12/01/2019 00:00:00,8.0
Bihar,ER,25.78541445,87.4799727,12/01/2019 00:00:00,82.3
Jharkhand,ER,23.80039349,86.41998572,12/01/2019 00:00:00,24.3
Odisha,ER,19.82042971,85.90001746,12/01/2019 00:00:00,82.4
West Bengal,ER,22.58039044,88.32994665,12/01/2019 00:00:00,154.7
Sikkim,ER,27.3333303,88.6166475,12/01/2019 00:00:00,1.0
Arunachal Pradesh,NER,27.10039878,93.61660071,12/01/2019 00:00:00,2.1
Assam,NER,26.7499809,94.21666744,12/01/2019 00:00:00,30.1
Manipur,NER,24.79997072,93.95001705,12/01/2019 00:00:00,2.5
Meghalaya,NER,25.57049217,91.8800142,12/01/2019 00:00:00,6.0
Mizoram,NER,23.71039899,92.72001461,12/01/2019 00:00:00,1.8
Nagaland,NER,25.6669979,94.11657019,12/01/2019 00:00:00,2.0
Tripura,NER,23.83540428,91.27999914,12/01/2019 00:00:00,4.6
Punjab,NR,31.51997398,75.98000281,13/01/2019 00:00:00,135.8
Haryana,NR,28.45000633,77.01999101,13/01/2019 00:00:00,141.4
Rajasthan,NR,26.44999921,74.63998124,13/01/2019 00:00:00,186.9
Delhi,NR,28.6699929,77.23000403,13/01/2019 00:00:00,89.4
UP,NR,27.59998069,78.05000565,13/01/2019 00:00:00,310.0
Uttarakhand,NR,30.32040895,78.05000565,13/01/2019 00:00:00,36.7
HP,NR,31.10002545,77.16659704,13/01/2019 00:00:00,26.4
J&K,NR,33.45,76.24,13/01/2019 00:00:00,32.7
