,Punjab,Haryana,Rajasthan,Delhi,UP,Uttarakhand,HP,J&K,Chandigarh,Chhattisgarh,Gujarat,MP,Maharashtra,Goa,DNH,Andhra Pradesh,Telangana,Karnataka,Kerala,Tamil Nadu,Pondy,Bihar,Jharkhand,Odisha,West Bengal,Sikkim,Arunachal Pradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura
12/01/2019 00:00:00,137.9,151.9,189.9,92.6,298.6,34.7,26.4,34.6,4,85.2,294.1,161.1,421.8,12.2,17.6,168.1,173.2,163.5,69.9,298.4,8,82.3,24.3,82.4,154.7,1,2.1,30.1,2.5,6,1.8,2,4.6
13/01/2019 00:00:00,135.8,141.4,186.9,89.4,310,36.7,26.4,32.7,3.8,87.6,301.2,168.6,408.3,12.4,17.6,164.9,176.9,162.4,72.4,314.1,8.4,87.7,24.8,84.3,155.3,1,2.1,30.1,2.5,5.9,1.8,2.2,4.8
14/01/2019 00:00:00,139.3,143.8,195.2,82.2,319.5,35.5,26.9,37.6,3.5,89.6,305.6,170.7,406.3,12.4,18.5,163.3,177,156.7,69.6,305.9,8.3,88.2,24.8,85.7,143.9,0.9,2.1,31.7,2.5,5.4,1.8,2.1,5
15/01/2019 00:00:00,141.1,142.9,185.4,77.8,326.7,34.3,25.6,39.5,3.2,88,290.5,170.2,392.1,12.4,17.3,160.7,174.3,138.7,64.2,288.7,7.4,93.7,24.8,82.1,143.4,0.7,2.2,29.2,2.5,5.2,1.7,2.2,4.8
16/01/2019 00:00:00,231.9,180.5,175.3,111.8,399,41,29.4,41.8,6,89.2,299.5,185.1,377.1,11.3,18.9,155.2,161.3,175.2,68.5,301.4,7.6,93.5,22.1,82.6,152.9,0.7,2.2,31.3,2.3,5.6,1.8,2.2,5.8
17/01/2019 00:00:00,253.8,196.4,197.2,115.6,412.5,41.7,29.8,42.3,5.6,83.5,282,183.7,368.4,11.3,18.4,161.8,156.5,167.1,70.3,313.9,7.7,98.9,22.3,85.9,167.7,0.8,2.2,33.1,2.5,5.5,1.8,2.2,4.2
18/01/2019 00:00:00,236.4,193.9,209.8,117.9,426,40.3,27.9,36.7,5,82.2,269.1,183.4,360.8,11.3,18.3,169.9,169.4,182.5,71.6,321.5,8.2,106.1,24.1,89.1,175.9,0.8,2.5,32.5,2.5,5.8,1.6,2.3,4.3
19/01/2019 00:00:00,229.8,201.8,197.6,121.9,437.9,42.4,28.7,38.5,5.3,86.8,260.2,183.7,371.2,11.8,18.1,166,171.8,185,72.6,325.8,8.3,105.5,23.8,98.1,180.6,0.9,2.4,31.4,2.6,5.6,1.6,2.2,4.8
20/01/2019 00:00:00,195,192.3,197.6,121.7,428.3,42.4,28.1,40.4,5.1,90,273.8,189.3,362.4,11.8,17.7,153.9,152,184.7,72.4,325.4,8.3,106.7,25,96.5,178.9,0.9,2.1,33,2.6,5.6,1.7,2.2,5.5
21/01/2019 00:00:00,207.1,182.9,189.7,112.2,407.9,39.8,28.8,41.7,5.2,87.5,276.7,187.9,356.6,11.8,17.9,153.3,144.5,179.9,72.1,311.5,8,109.1,24.8,97.6,178.9,0.8,2.2,34.3,2.7,5.7,1.8,2.3,5.4
22/01/2019 00:00:00,218.9,178.2,191.9,108,417.1,38.8,26.5,42.5,5.1,90.2,263.5,188.2,330.8,8.2,16.3,152.6,150.3,157.5,65.5,295.3,7.6,111,23.8,97.2,173,0.6,2.3,33.3,2.5,5.7,1.8,2.4,4.9
23/01/2019 00:00:00,136,150.5,227.2,109.3,395.8,41.5,27.3,44.3,4.8,105.7,391.4,219.7,499.4,13.5,18.9,194.9,175,230.1,82.3,340.6,8.9,101.7,27.5,97.1,183.4,1.1,2.2,22.5,1.8,5.6,1.8,2.2,5.5
24/01/2019 00:00:00,132.5,154.7,231.6,111.9,410.9,41.8,27.6,43.9,5,105.9,385.3,219.7,508.9,13.5,18.8,193.7,177.3,214.8,79.5,332.7,9.1,105,25.9,98,175.5,1.2,2.3,21.3,2.5,5.6,1.6,2.2,4.5
25/01/2019 00:00:00,134.3,155.2,232.4,114.2,408.7,40.2,25.7,43.7,5.1,103.7,380.2,218.4,456,13.5,17.4,176.4,160.9,180.6,74.8,298.4,6.6,102.1,23.2,97.1,161.2,0.9,2.2,18.7,2.4,4.9,1.7,2.1,4.9
26/01/2019 00:00:00,135.9,143.2,229.6,112.7,373.4,35.5,26.2,43.1,4.7,105.8,380.6,219.8,485.9,13.5,18.1,172.4,165.2,209.6,80.7,330,7.4,100.1,25,87.7,169.5,1.2,2.2,22.3,2.4,5.6,1.6,2.2,5.4
27/01/2019 00:00:00,141.2,138.9,226.9,105,341.6,37.9,27,45.3,4.7,98.3,379.4,212.8,485.2,13.5,18.2,181,168.4,223.4,81.9,347.2,8.6,82.8,21.4,51.1,135.6,1.3,2.2,23.6,2.4,5.6,1.8,2.3,4.1
28/01/2019 00:00:00,144.5,148.6,222.4,100.5,393.3,41.8,26.9,46.2,4.4,94.8,377.9,210,485.1,11.6,18.3,189.4,168.8,224.5,80.8,346.6,8.8,80.4,18.7,55.8,103.6,1.1,2,18.7,2.3,4.7,1.5,2,2.4
29/01/2019 00:00:00,139.6,141.8,223.8,96.4,365.3,37.8,24.7,43.9,4.1,94.7,362.8,208.6,475.9,10.7,18.2,189.8,163,215.5,75.3,329.5,8.4,87.9,23.8,62,131.5,1,1.8,18.3,1.9,5,1.5,1.9,3.4
30/01/2019 00:00:00,60,66.5,131.8,41.8,220.4,16.8,12.7,45.3,2.2,71.9,203.5,150.4,348.4,6.9,1.6,160.4,206.5,215.7,67.8,242.7,4,65.3,21.9,80.1,125.7,1.1,1.8,20,2.4,3.4,1.6,1.9,3.4
31/01/2019 00:00:00,62.7,68.1,141.4,43.1,220.8,17.3,12.5,41.9,2.2,67.8,212,155.6,345.2,6.7,1.7,162.7,203.2,218.2,69.3,244.1,4.2,69.4,22.8,76.1,126.1,1.2,2,20.5,2.5,3.4,1.6,2.1,3.9
02/02/2019 00:00:00,63.6,66.7,141.3,42.9,234.8,17.8,13,40.2,2.3,72.6,217.1,158.9,344.3,7.1,1.3,164.2,204.8,221.6,70.2,245.2,4.2,71.2,23.4,77.3,128,1.3,1.5,20.9,2.4,3.4,1.6,2,3.9
03/02/2019 00:00:00,63.5,66.8,145.1,44.9,241.2,18.2,12.6,43.5,2.2,73.4,221.5,162.7,353.3,7.2,1.7,163.7,200.5,220.7,70.3,243.9,4.2,77.4,23,73.2,127.6,1.1,1.5,20.9,2.4,3.4,1.6,2,3.8
04/02/2019 00:00:00,68,71.3,147.7,43.8,246.2,18.3,12.4,43.4,2.2,75.7,224,165.5,369.8,7.2,1.7,165.8,202.4,226.7,71.4,246.5,4.3,78.3,23.3,72.8,131.6,1,1.5,19.7,2.4,3.4,1.5,2,3.6
05/02/2019 00:00:00,72.1,70.3,149,43.5,241.2,18.9,13.3,43.2,2.2,75.4,229.7,165.4,376,7.2,1.8,165.2,194,226.2,71.4,250.2,4.3,76.1,24,70.7,136.8,1.3,1.4,19.5,2.3,3.6,1.5,2.1,2.6
06/02/2019 00:00:00,70.5,71.2,148.9,44.1,241.3,18.5,12.5,41.5,2.2,70.8,232.2,165.8,378,7.2,1.8,163.2,189.8,228.8,71.7,250.6,4.3,75.1,24.1,70.3,138.9,1.2,1.5,19.8,2.3,3.8,1.6,2,3.1
07/02/2019 00:00:00,92,96.2,175.3,60.3,260.1,24.6,17,41.3,2.9,67.4,215.2,154.6,305.6,10.1,11.4,152.8,144.5,128.2,64.6,201.2,5.5,79.7,24.3,76.6,115.4,0.7,2.2,21.5,2.5,5.5,1.7,2.4,4.2
08/02/2019 00:00:00,105.8,105.6,188.1,63.2,262.8,27.7,21.5,42.9,3.3,71.2,229.6,156.5,320.1,10.1,14,156.7,145.3,133.8,64.4,218.6,6.3,80,23.6,77.4,115.1,0.7,2,24.3,2.4,5.7,1.7,2,4.2
09/02/2019 00:00:00,110.1,116.2,201.3,68.4,268.2,30.9,25.2,43.3,3.6,74,234.9,166,350.4,10.1,15.3,149.8,145.8,136.9,63.5,221.8,6,79.4,22.7,80.1,117.4,0.9,2,25.3,2.5,5.8,1.8,2,4
10/02/2019 00:00:00,112.4,119.5,209.7,67.6,273.2,31.9,26.4,42.8,3.6,75.1,261.5,175,360.6,12.3,17,148.7,148.6,146.8,60.6,230.7,6.1,82.6,23.8,78.3,123.7,1.1,1.8,26.5,2.4,6,1.7,2,3.8
11/02/2019 00:00:00,111.3,122.5,210.8,69,276.9,33.3,27.1,44.2,3.6,74.3,282.1,180.7,362.2,12.3,17.2,153.8,150.8,121,62.3,245.8,6.4,82.7,24.4,83.3,124.9,1.2,2.1,25.9,2.4,5.8,1.6,2.3,4.1
12/02/2019 00:00:00,108.5,117.4,205,64.8,281.4,33.2,26.7,43.9,3.5,74.1,278.5,184,360.6,12.3,17.2,155.2,150.5,142.8,65,253.6,6.8,79.5,23.9,84.1,123.3,1.2,2.1,25.2,2.5,5.8,1.9,2.1,4.1
13/02/2019 00:00:00,98.8,104.3,202.4,61.2,268.8,30.3,24.9,42.2,3.1,74.4,261.9,181.7,357.5,12.3,17.2,157.5,147.6,141.7,60.3,243,6.3,77.9,23.6,84,116.8,1.1,1.9,24.5,2.6,5.9,1.7,2.3,4.1
14/02/2019 00:00:00,104.6,118.9,232.8,71.8,261.4,38.5,29.6,48.5,3.8,73.7,317.3,228.3,394.1,9.8,17.9,149.2,141.7,205.3,68.8,295,7.1,72.2,21.6,82.3,124.4,1.3,2.2,23.9,2.8,6.3,1.9,2.1,3.9
15/02/2019 00:00:00,109.7,125.6,236.7,71.7,264.7,38.6,30.2,48.9,3.8,75.1,322.3,233.3,399.5,11.5,18.2,148.1,157,204.5,70.1,297.2,7.3,72.6,23.9,80.3,125.4,1.5,2.1,23.6,2.5,6.3,1.8,2.2,3.6
16/02/2019 00:00:00,112.8,129.1,237,72.7,272.5,40.2,31.5,49.4,4,76.1,321.8,235.5,405.3,11.5,18.1,151.5,162.6,211.1,70.9,304.7,7.2,74.7,24.3,76.4,126.8,1.6,2.2,23.7,2.9,5.9,1.9,2.1,3.7
17/02/2019 00:00:00,110.7,126.4,235.2,71.6,272.5,40.5,30.9,47.3,3.9,78.4,326.9,237,403.4,11.5,18.1,150.5,166.8,213,70.8,301.5,7.2,73.6,25,75.6,128.6,1.5,2.2,23.5,2.9,6.2,1.9,2.2,3.7
18/02/2019 00:00:00,109.5,125.1,236.6,71.3,268,35.7,30.4,42.9,3.9,78.8,322.6,237.1,399.3,11.5,17.6,159.5,167.8,217.6,70.6,302.2,7.1,73.3,24.8,73.5,132.4,1.5,2.2,23.8,2.7,6.3,1.8,2.2,3.8
19/02/2019 00:00:00,106.7,127.3,234.3,69.2,270,39.6,29.8,49.4,3.6,78.1,319.9,238.5,403.5,11.5,17.9,160.8,169.7,212.9,70.2,294.6,6.6,74.1,24.4,74.4,127.1,1.4,2.2,23.9,2.8,6.2,1.9,2.2,4.3
20/02/2019 00:00:00,101.5,118.2,232,67,264.3,36.6,27.4,48.9,3.3,79,312.3,235.3,392.4,11.9,17.8,159.1,172.1,200.4,64.3,282.4,6.5,74,23.4,73.3,119.8,1.2,2.2,22.6,2.9,6.2,2,2.2,3.6
21/02/2019 00:00:00,155.9,165.3,248.1,111.8,428.2,45,28.9,46.7,5.2,94.3,385.7,224,509.5,12.4,14.6,197,176,194.9,85.6,345.5,9.2,105.3,28.2,96.5,185.5,1.3,2.2,25.2,2.5,4.7,1.5,2.2,5
22/02/2019 00:00:00,166.3,173.6,257.9,114.9,435.6,46.5,29.4,47.8,5.4,89,391.1,227.4,516.4,11.8,17.4,201,181.8,214.1,88.1,356.2,9.4,108.7,28.5,89.5,186.1,1.3,2.1,28,2.7,5,1.7,2,5
23/02/2019 00:00:00,175.9,179.3,256.2,121.6,444.4,46.3,29.2,47.2,5.6,85,389.9,226.3,515.8,12.3,16.7,197.1,186.6,206.3,79.6,345.2,8.9,107.7,28.2,86.6,198.1,1.1,2.2,28.6,2.8,5.3,1.8,2.1,5.6
24/02/2019 00:00:00,183.6,185.9,250,128.1,469,46.7,30.3,47,6,88.6,394.1,226.4,509.6,12.3,17.8,183.2,177.5,213.1,85.1,349.5,9.3,92.4,26.3,91.6,189,1,2.1,27,2.5,4.9,1.7,2.2,5.3
25/02/2019 00:00:00,188.8,189.1,255.7,131.6,445.2,47.8,30.5,47.4,6.2,86.2,392.8,226.6,505.9,12.3,16.5,196.3,181.2,212.7,84.1,343,9.2,80.5,24.8,96.6,175.9,1.2,2.1,26.7,2.4,4.9,1.7,2.1,4.8
26/02/2019 00:00:00,186.4,188.4,261.6,132.2,438.9,47.7,28.8,42.3,6.4,37.2,393,223.9,500.6,12.3,17.2,197.3,170.9,198.9,81.7,336.8,8.6,99.7,25.3,96.8,176,1.2,2.2,28.8,2.2,5.5,1.8,2.2,3.3
27/02/2019 00:00:00,186.9,182,260.2,132.7,439,43,27,46.8,6,88.5,376.2,215.2,489.6,12.3,16.3,194.2,167,184.8,77.6,313.7,8.2,88.8,25.1,85.8,153.4,0.9,2,29.8,2.3,5.9,1.7,2.5,4.4
28/02/2019 00:00:00,107.5,123.5,238.4,69,281.2,38.9,28.4,51.2,4.6,82.3,332.4,255.7,454.7,9.8,17.2,182.9,215,228.3,72.1,296.7,7,79.9,26.3,70.1,113.9,2.1,2.2,22.7,2.9,6.7,1.5,2.3,3.4
02/03/2019 00:00:00,102.9,116.3,240.6,72.1,270.4,38.7,28.6,52.2,4.4,80.8,338,258.5,467,10.2,18.9,187.8,218.5,233.3,74.2,307,7.4,80.6,26.3,71,119.5,2.2,2.2,23.4,2.9,6.6,1.7,2.4,3.6
03/03/2019 00:00:00,104.2,123.1,240.9,71.8,271.8,38.5,29.2,48.4,4.3,80.8,330.5,259.6,461.9,10.2,18.8,191,219.7,235.8,75,302.4,7.9,76.8,24.2,71.5,114.1,2.2,2.1,23.2,2.6,6.6,1.7,2.2,4.2
04/03/2019 00:00:00,106.9,124,240.9,71.1,271.2,39.3,30.8,49.9,4.1,83.2,327.8,258,454.7,10,18.7,191.8,219.4,239.4,74.1,308,7.4,80.6,26.1,71.2,120.5,2,2.1,24.1,2.6,6.5,1.6,2.1,3.9
05/03/2019 00:00:00,111.2,125.6,243.6,73,282.1,39.6,31.8,51.3,4.4,81.9,330.4,262.8,448.3,9.2,18.4,190,224.4,240.7,75,314.3,7.4,78.9,25.6,70.1,118.9,2,2.5,22,2.6,6.4,1.8,2.1,3.9
06/03/2019 00:00:00,111.6,124.7,243.7,68,276.9,39.2,30.8,51.1,4,80.8,324,264.8,443.4,10.6,17.8,188.6,210.8,233.8,73.7,306.3,7.6,76.8,24.1,70.1,119.8,2.1,2.2,23,2.6,6.6,1.7,2.1,4
07/03/2019 00:00:00,106.1,116.3,242.5,67.3,276.8,36.3,27.7,49.5,3.7,81.6,316.4,265.1,435.6,9.1,17.8,182.7,204.6,217.7,67,282.7,6.7,78,24.7,75.1,111.4,1.9,2.2,21.6,2.6,6.7,1.7,2.2,3.6
08/03/2019 00:00:00,245.8,186,229.7,111.7,362.8,39.8,28.7,35.2,5.4,88.7,319.9,166.9,423.5,10.2,18.8,175.5,218.1,172.7,62.9,284.8,7.7,109.4,23.9,87.6,163.7,0.8,2.3,36.8,2.6,5.5,1.7,2.3,5.1
09/03/2019 00:00:00,256.7,204.4,232.4,121.6,405.5,43.6,29.4,40.8,6.1,87.7,313,169.2,429,10.2,18.8,184.6,225.4,182.3,63.4,302.4,8.2,111.8,24.8,88.5,167.1,0.9,2.3,37,2.6,5.2,1.7,2.3,5.6
10/03/2019 00:00:00,265.3,217,221,128,429.1,45.7,30,41.6,6.5,93.2,302.4,175.4,439.3,11.1,18.8,187.2,235.2,186.2,61.7,312,8.4,115.4,25.3,84.8,170.3,0.9,2.2,33.8,2.4,5.7,1.6,2.4,5.3
11/03/2019 00:00:00,266.5,214.8,217.3,132.7,430.6,44.2,30.7,42.1,6,96.3,305.7,182.6,449.4,11.3,19.1,194.8,241.7,191.8,65.6,310.8,8.6,117.8,24.9,89.2,173.5,1,2.2,37.2,2.5,5.6,1.8,2.4,5.4
12/03/2019 00:00:00,257.9,214,212.7,132.6,431.3,44.3,29.8,39.7,6.1,96.4,316.9,185.6,431.4,11.4,19,190.4,239.4,192.7,65.6,307,8.5,117.6,27.8,94.8,178.5,1,2.3,36.4,2.7,5.3,1.8,2.2,6
13/03/2019 00:00:00,260.3,218.3,214.6,129.7,439.7,43.4,31.5,41.7,6.2,97,323.9,186.8,402.8,11.4,18.4,182.7,205.2,184.8,66.1,303.6,8.4,117.6,27,95.7,177.2,0.9,2.4,34.9,2.5,5.4,1.8,2.1,4.7
14/03/2019 00:00:00,233.4,194.6,203.9,113.9,409.2,34.9,27.7,37.9,5.3,95.7,300.1,184,374.7,9.7,17.9,167.9,170.6,172.1,60.2,278.7,7.4,117.9,25.9,96.9,165.2,0.6,2.1,35.2,2.4,5.2,1.7,2.1,4.7
15/03/2019 00:00:00,87.5,87.9,164,57.8,235.1,19.2,13.6,41.8,2.7,67.7,277.2,175.7,404.6,8.7,4,148.6,140,196.3,63.9,228.7,4.5,67.3,20.4,59.5,98.4,1.1,1.4,19.1,1.9,4.3,1.5,2,2.8
16/03/2019 00:00:00,81.5,86.6,165.4,51.2,222.1,20.1,14,40.8,2.6,64.1,286.2,168.3,405.7,9.7,4.7,150.9,137,201.7,66.2,230.9,5.2,71.9,20.4,63,97.7,1.4,2,19.6,2.3,4.1,1.6,2,3.4
17/03/2019 00:00:00,89.6,93.4,180.1,58.4,249,21.6,14.7,41.5,2.6,67.5,291,182.2,408.1,9.3,5.1,155.8,131.8,206.8,68.5,236.3,5.4,67.1,20.3,66.1,91.6,1.3,1.5,19.9,2.1,4.2,1.4,2.1,3.4
18/03/2019 00:00:00,96.5,102.4,188.8,63,276.4,22.6,15.6,41.8,2.8,68.2,294.3,186.1,408.8,10,5.4,142.2,130.5,184,65.4,221.8,5.4,74.1,21.4,65.5,97.1,1.3,1.5,19.8,2.1,4.1,1.4,2,3.4
19/03/2019 00:00:00,103.4,108.4,190.9,66.1,287.7,22.4,16.1,41.2,3,70.9,296.2,189.2,405.1,10.1,5.7,151.3,140.2,189.7,67.7,228.8,5.7,83.8,22.5,67.5,106.8,1.3,1.4,21.5,2.2,4.4,1.4,1.8,3.1
20/03/2019 00:00:00,109,114.4,198.4,69.6,268.6,21.7,15.9,41.4,3.1,73,292.6,186.9,400.2,9.1,5.3,151.8,133.8,189.7,67.5,234.4,5.4,70.2,21.8,67.4,101.9,1,1.5,21.8,2.2,4.2,1.4,1.9,3.7
21/03/2019 00:00:00,109,112.5,206.6,68.3,287.1,23.3,16.7,38.3,3.2,74.7,295.5,193.3,409.9,9.7,5.8,157.9,137,187.9,70.5,245.3,6.2,71.3,22,70.2,95.6,1.3,1.7,21.7,2,4,1.4,1.8,4.5
22/03/2019 00:00:00,101.7,114.5,216.7,62.5,260.8,33.1,27.9,44.5,3.2,71.6,334.9,248.2,438,12.3,18.3,169.5,178.7,196.3,72,269.1,6.8,66.6,24.4,72.1,107.5,1.5,2.2,22.6,2.5,5.9,1.7,2.1,3.5
23/03/2019 00:00:00,100.3,114.2,214.5,63.5,258.2,34.1,28.4,44.2,3.4,72.8,339.2,250.9,442.3,12.3,18.5,169.5,180.8,182.1,73,280.8,7,68.3,24.7,74.4,110.8,1.6,2.1,22.7,2.4,5.7,1.7,2.1,3.4
24/03/2019 00:00:00,98,108.2,218.6,62.6,258.4,34.6,28.6,40.1,3.5,71.5,336.5,253.4,441,12.3,18.6,169.9,170.8,185.8,73.5,280.3,7.2,68.7,24.2,73.8,113.4,1.6,2,23.3,2.6,5.8,1.8,2.2,3.6
25/03/2019 00:00:00,99.4,100.3,213,62.4,238.2,30.2,28.2,37.9,3.5,71.4,334.7,252.8,443.7,12.5,17.7,168.6,169,190.8,73.8,265.8,7.1,69.3,24.1,74.5,113,1.6,2.1,23.1,2.6,5.5,1.8,2.2,3.6
26/03/2019 00:00:00,102.8,109.9,212.3,63.5,236.2,34.2,29.2,44.3,3.5,71.9,336.7,250.3,443.7,12.9,18.4,167.7,168.6,195.3,74.2,264.7,7.3,69,24.3,74.9,114.1,1.5,2.1,22.9,2.4,5.5,1.8,2.2,3.9
27/03/2019 00:00:00,101.4,108.5,213.3,60.4,240.5,34.2,29.1,44.1,3.3,71.7,333.5,250.7,445,12.9,18.3,170,167.3,190.9,72,250,6.9,69,24.5,77.5,115.6,1.4,2.2,23,2.5,6,1.8,2.2,3.4
28/03/2019 00:00:00,92.9,97.7,210.3,57.2,232.6,30.9,25.8,43.8,3.1,70.5,318.3,246,424.4,12.9,17.7,151.7,159.2,162.3,64.2,211.8,5.8,66.8,23.6,83.8,102.1,1.2,2.1,20.4,2.6,5.9,1.8,2.1,3.4
29/03/2019 00:00:00,118.3,117.7,209.5,61.7,291.7,35.2,26.9,45.8,3.1,94.2,351.5,199.3,471.3,12.4,18.3,197.7,223.9,252.5,84.7,345.9,8.5,79.5,24.7,87.1,152.1,1.3,2,24.8,2.1,5.7,1.7,2.7,3.9
30/03/2019 00:00:00,123.5,123.4,216.3,64.3,279.4,35.2,26.2,45.1,3.1,96,355.6,200.8,484,12.4,18.2,197.6,229.2,273.3,86.3,341.9,8.4,62.1,23.1,98.4,145.2,1.5,2.2,23.2,2.3,5.5,1.9,2.7,3.8
31/03/2019 00:00:00,126.9,124.6,215.4,65.9,297.6,35.8,26.7,46.1,3.2,98.1,357.6,203.1,489.6,12.4,18.4,198.1,226.8,256.3,86.4,350.1,8.4,72.8,23.9,98.7,145.8,1.5,2,22.7,2.4,5.6,1.9,2.1,3.8
02/04/2019 00:00:00,129.8,126.3,214.8,67.4,308.6,24,25.5,44.4,3.2,97.2,364.6,204.8,487.7,12.4,18.5,198.8,225.6,254.3,86.7,346,8.5,78.7,23.8,90.5,160.1,1.4,2.1,24.6,2.5,5.7,1.9,2.2,3.9
03/04/2019 00:00:00,131.5,129.4,222.9,71.8,317.9,36.9,25.6,36,3.4,97.6,366.5,205.8,483.3,12.4,18.3,199.6,227.8,255.8,86.5,351.1,8.4,81.5,23.8,90.8,172.7,1.3,2.3,25.8,2.4,6,1.6,2.1,4.1
04/04/2019 00:00:00,130.8,127.6,220.4,73.9,320,36.8,25.1,41.9,3.4,102.9,366.4,208.4,484,12.4,18.3,200.4,229.1,253.5,85.9,349.3,8.4,84.1,23.8,91.3,164.2,1.3,2.3,25.6,2.5,5.6,1.6,2.3,4.2
05/04/2019 00:00:00,121.4,113.9,217.5,69.1,292.2,34.1,23.1,41.6,3,97.8,350.5,202.5,462,12.4,17.7,196.7,219.1,232.7,79.3,327,7.8,85.1,24,83.1,158.4,0.8,1.8,15.2,2,5.4,1.4,1.8,3.8
06/04/2019 00:00:00,101.8,117.4,232.4,61.4,261.4,35.9,28.6,46.7,3.3,82.4,326.2,226.5,439.4,10.9,18.2,190.1,217.3,235.1,75.2,318.5,7.6,72.5,17.4,76.4,111.8,1.2,1.9,23.7,2.7,6.5,1.9,2.1,3.7
07/04/2019 00:00:00,100.3,117.4,228.8,64.1,259.6,36.2,29.8,47.3,3.3,89.8,319.2,223.9,433.9,10.9,18.4,194.2,218.5,234.5,77.1,327.6,7.7,73,21.1,75,112.5,1.3,2.2,22.8,2.1,6.6,1.7,2.1,2.9
08/04/2019 00:00:00,101.6,117.2,222.5,66.1,241.9,37,30.8,48.2,3.5,92.1,314.6,212,432.9,10.9,18.5,199.6,219.5,237.7,78.2,332.8,7.9,62.3,21.1,77.4,109.7,1.6,2.2,22.4,2.7,6.4,1.7,2.1,3.5
09/04/2019 00:00:00,101.6,117.2,222.5,66.1,241.9,37,30.8,48.2,3.5,92.1,314.6,212,432.9,10.9,18.5,196.8,215.5,246.3,77.8,335.5,8.1,63.8,20.7,75.9,109.3,1.2,2.3,19.8,2.7,6.6,1.8,2,2.8
10/04/2019 00:00:00,106.8,123.7,231.3,65.4,268,37,29.5,50.5,3.4,92.3,322.6,222.6,420.9,9.7,17.7,192.9,218.9,251.6,77,340.9,8.1,69.1,21,75.3,115.4,1.4,2.1,22.9,2.5,6.7,1.8,2.1,3.4
11/04/2019 00:00:00,105.9,111.9,223.6,63,258,36.8,30.4,48.8,3.4,92.3,322.6,223.5,431.1,10,17.3,190.8,214.6,247.3,77.6,334.6,7.8,70.7,23.3,86.2,113,1.5,2.1,23.6,2.7,6.8,1.8,2.2,3.7
