Country,latest year available,CH4 emissions,CH4 emissions per capita, % change since 1990,N2O emissions,N2O emissions per capita, % change since 1990,
Hungary,2012,7.99,0.80,-32.72,6.76,0.68,-47.59,
Iceland,2012,0.46,1.41,4.63,0.46,1.42,-12.08,
India,2000,407.24,0.39,...,79.80,0.08,...,
Indonesia,2000,236.33,1.12,122.72,28.47,0.13,58.04,
Iran (Islamic Republic of),2000,75.71,1.15,...,40.15,0.61,...,
Ireland,2012,12.07,2.59,-11.70,7.42,1.59,-18.61,
Israel,2010,6.81,0.92,...,2.57,0.35,...,
Italy,2012,36.08,0.60,-17.56,27.53,0.46,-26.52,
Jamaica,1994,1.22,0.49,...,106.54,43.19,...,
Japan,2012,20.03,0.16,-38.32,20.23,0.16,-31.94,
Jordan,2006,3.07,0.55,...,1.55,0.28,...,
Kazakhstan,2012,49.03,2.91,-32.23,9.49,0.56,-47.13,
Kenya,1994,15.54,0.58,...,0.42,0.02,...,
Kiribati,1994,0.01,0.12,...,0.00,0.00,...,
Kuwait,1994,2.71,1.60,...,0.14,0.08,...,
Kyrgyzstan,2005,3.02,0.59,-50.42,0.15,0.03,-16.53,
Lao People's Democratic Republic,2000,5.34,1.00,-16.68,2.50,0.47,6625.00,
Latvia,2012,1.63,0.80,-51.23,1.82,0.89,-52.41,
Lebanon,2000,1.83,0.56,...,1.04,0.00,...,
Lesotho,2000,1.26,0.68,...,1.45,0.78,...,
Liberia,2000,4.14,1.43,...,0.31,0.11,...,
Liechtenstein,2012,0.02,0.43,8.92,0.01,0.34,-5.95,
Lithuania,2012,3.05,1.01,-46.93,4.14,1.37,-42.33,
Luxembourg,2012,0.43,0.80,-7.64,0.47,0.87,-2.36,
Madagascar,2000,6.92,0.44,...,20.68,1.31,...,
Malawi,1994,3.95,0.41,-43.98,2.41,0.25,625.23,
Malaysia,2000,51.65,2.21,...,2.90,0.12,...,
Maldives,1994,0.02,...,...,…,…,…,
Mali,2000,8.85,0.80,...,1.77,0.16,...,
Malta,2012,0.10,0.25,42.30,0.06,0.14,11.29,
Mauritania,2000,4.15,1.53,...,1.66,0.61,...,
Mauritius,2006,1.39,1.13,...,0.19,0.15,...,
Mexico,2006,187.78,1.69,76.22,20.34,110.55,96.25,
Micronesia (Federated States of),1994,0.01,0.07,...,0.00,0.03,...,
Monaco,2012,0.00,0.02,-58.15,0.00,0.08,64.61,
Mongolia,2006,6.53,2.55,15.83,0.46,0.18,1380.00,
Montenegro,2003,0.53,0.87,-6.26,0.29,0.46,-22.03,
Morocco,2000,9.09,0.31,...,17.06,0.59,...,
Mozambique,1994,5.66,0.37,13.51,0.98,0.06,37.01,
Myanmar,2005,26.58,0.53,...,3.31,0.07,...,
Namibia,2000,6.76,3.56,...,0.31,0.16,...,
Nauru,1994,0.01,0.74,...,0.00,0.03,...,
Nepal,1994,19.92,0.95,...,9.64,0.46,...,
Netherlands,2012,14.94,0.89,-41.86,9.06,0.54,-54.68,
New Zealand,2012,29.04,6.55,8.21,10.89,2.45,32.02,
Nicaragua,2000,4.27,0.85,...,3.87,0.77,...,
Niger,2000,6.76,0.60,96.78,4.96,0.44,506.68,
Nigeria,2000,88.18,0.72,...,7.44,0.06,...,
Niue,1994,0.01,6.35,...,0.01,5.59,...,
Norway,2012,4.23,0.84,-14.76,3.20,0.64,-36.55,
Oman,1994,2.61,1.22,...,7.09,3.31,...,
Pakistan,1994,60.70,0.51,...,11.45,0.10,...,
Palau,2000,0.03,1.59,...,0.06,3.24,...,
Panama,2000,3.15,1.04,...,1.38,0.46,...,
Papua New Guinea,1994,0.09,0.02,...,3.78,0.82,...,
Paraguay,2000,11.48,2.16,-32.19,8.31,1.57,-77.55,
Peru,2010,21.86,0.74,...,13.78,0.47,...,
Philippines,2000,31.80,0.41,...,12.38,0.16,...,
Poland,2012,41.03,1.06,-17.36,29.59,0.77,-29.19,
Portugal,2012,12.25,1.17,20.03,4.48,0.43,-19.32,
Qatar,2007,3.53,2.99,...,0.45,0.38,...,
Republic of Korea,2012,29.78,0.60,-6.81,14.24,0.29,48.96,
Republic of Moldova,2009,2.68,0.66,-41.57,1.61,0.39,-51.53,
Romania,2012,22.24,1.11,-48.22,11.61,0.58,-52.59,
Russian Federation,2012,502.56,3.51,-15.31,115.95,0.81,-48.07,
Rwanda,2005,1.51,0.17,...,4.14,0.46,...,
Saint Kitts and Nevis,1994,0.06,1.40,...,0.03,0.80,...,
Saint Lucia,2000,0.16,1.05,...,0.04,0.25,...,
Saint Vincent and the Grenadines,1997,0.06,0.60,3.65,0.24,2.21,-3.77,
Samoa,1994,0.07,0.41,...,0.39,2.31,...,
San Marino,2007,0.00,0.11,...,0.00,0.06,...,
Sao Tome and Principe,2005,0.03,0.17,...,0.01,0.04,...,
Saudi Arabia,2000,27.55,1.29,66.71,11.79,0.55,12.52,
Senegal,2000,6.48,0.66,...,3.62,0.37,...,
Serbia,1998,8.91,0.92,-1.84,6.82,0.71,-22.03,
Seychelles,2000,0.06,0.71,...,0.01,0.15,...,
Singapore,2010,0.11,0.02,...,0.44,0.09,...,
Slovakia,2012,4.33,0.80,-16.57,2.94,0.54,-53.55,
Slovenia,2012,1.87,0.91,-11.85,1.11,0.54,-12.55,
South Africa,1994,43.21,1.07,0.21,20.67,0.51,-11.28,
Spain,2012,32.32,0.69,23.27,24.02,0.52,-9.81,
Sri Lanka,2000,6.80,0.36,...,1.07,0.06,...,
Sudan,2000,43.99,1.57,...,17.67,0.63,...,
Suriname,2003,0.86,1.77,...,...,...,...,
Swaziland,1994,1.35,1.43,...,0.41,0.44,...,
Sweden,2012,4.81,0.50,-31.18,6.19,0.65,-23.70,
Switzerland,2012,3.72,0.46,-19.84,3.02,0.38,-13.13,
Tajikistan,2010,3.49,0.46,-5.68,2.79,0.37,0.00,
Thailand,2000,58.61,0.93,...,12.34,5.99,...,
The former Yugoslav Republic of Macedonia,2009,1.66,0.80,-3.62,0.91,0.01,-27.62,
Timor-Leste,2010,0.55,0.52,...,0.47,0.44,...,
Togo,2000,1.11,0.23,...,2.35,0.48,...,
Tonga,2000,0.09,0.96,...,0.06,0.57,...,
Trinidad and Tobago,1990,0.69,0.56,0.00,0.33,0.27,0.00,
Tunisia,2000,5.81,0.60,...,5.76,0.59,...,
Turkey,2012,61.62,0.82,80.96,14.79,0.20,21.04,
Turkmenistan,2004,33.26,7.08,...,1.78,0.38,...,
Tuvalu,1994,0.00,0.10,...,0.00,0.00,...,
Uganda,2000,9.46,0.40,...,16.72,0.70,...,
Ukraine,2012,66.17,1.46,-59.24,31.37,0.69,-46.59,
United Arab Emirates,2005,29.93,9.81,...,6.14,2.01,...,
United Kingdom of Great Britain and Northern Ireland,2012,52.78,0.83,-51.60,35.41,0.56,-48.74,
United Republic of Tanzania,1994,21.63,0.75,4.73,14.38,0.50,-4.68,
United States of America,2012,552.01,1.75,-12.82,395.79,1.26,0.07,
Uruguay,2004,18.63,5.61,14.95,11.79,3.55,-2.16,
Uzbekistan,2005,89.43,3.45,57.73,9.97,0.38,-22.78,
Vanuatu,1994,0.24,1.43,...,0.01,0.05,...,
Venezuela (Bolivarian Republic of),1999,61.92,2.58,...,16.14,0.67,...,
Viet Nam,2010,87.32,0.99,...,32.70,0.37,...,
Yemen,2000,4.42,0.25,...,3.77,0.21,...,
Zambia,2000,6.57,0.62,...,5.33,0.50,...,
Zimbabwe,2000,7.48,0.60,...,36.20,2.90,...,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
