Case_No;Measurements
241;0,176690909
242;0,195387273
243;-0,003081818
244;-0,196209091
245;-0,160665455
246;0,143818182
247;0,267501818
248;0,16724
249;-0,218603636
250;0,012738182
251;0,142585455
252;0,206481818
253;0,382556364
254;-0,015614545
255;-0,091016364
256;-0,199701818
257;-0,321330909
258;-0,258872727
259;0,044994545
260;0,258667273
261;0,290718182
262;0,260516364
263;-0,131901818
264;0,1469
265;0,156145455
266;-0,313729091
267;-0,191894545
268;-0,055267273
269;0,142174545
270;0,33448
271;0,134778182
272;-0,070676364
273;0,078894545
274;-0,043350909
275;-0,078689091
276;-0,055472727
277;-0,168061818
278;0,159021818
279;0,055061818
280;-0,110945455
281;-0,221069091
282;-0,095536364
283;0,258461818
284;0,262776364
285;0,473778182
286;0,223123636
287;-0,003903636
288;0,052801818
289;-0,145256364
290;-0,254352727
291;-0,167856364
292;0,093687273
293;0,380090909
294;0,416867273
295;-0,04972
296;-0,03164
297;-0,023421818
298;-0,419127273
299;-0,122861818
300;0,03164
301;0,07232
302;0,463505455
303;0,404334545
304;0,033283636
305;-0,032050909
306;-0,148954545
307;-0,007807273
308;0,386870909
309;-0,108890909
310;-0,272227273
311;0,057732727
312;-0,160254545
313;-0,057732727
314;0,028969091
315;-0,282910909
316;-0,127176364
317;0,385227273
318;0,352970909
319;0,379885455
320;0,231958182
321;-0,411525455
322;-0,43844
323;-0,252298182
324;0,195387273
325;0,50624
326;0,595612727
327;0,457547273
328;-0,071498182
329;-0,371872727
330;-0,564383636
331;0,080743636
332;0,288869091
333;-0,052596364
334;-0,113821818
335;-0,042118182
336;0,242230909
337;0,010889091
338;-0,080127273
339;-0,613487273
340;-0,553289091
341;0,101905455
342;0,260516364
343;0,641429091
344;0,442343636
345;0,247572727
346;-0,125327273
347;-0,220863636
348;0,152447273
349;0,292567273
350;0,316605455
351;-0,018285455
352;-0,138065455
353;-0,373310909
354;-0,289485455
355;-0,022805455
356;0,095330909
357;0,130463636
358;-0,047870909
359;-0,002876364
360;0,083209091
361;0,283732727
362;0,105398182
363;0,085674545
364;-0,035543636
365;-0,0904
366;0,395089091
367;0,340643636
368;0,450561818
369;0,100467273
370;-0,270583636
371;-0,110123636
372;-0,364270909
373;-0,253736364
374;0,055883636
375;0,050130909
376;0,07232
377;0,150392727
378;-0,116492727
379;-0,122450909
380;0,087523636
381;0,020750909
382;0,023010909
383;0,036776364
384;0,137654545
385;0,256407273
386;0,43618
387;0,217781818
388;-0,117109091
389;-0,146078182
390;-0,108069091
391;0,115876364
392;0,242230909
393;0,144845455
394;-0,263187273
395;-0,260105455
396;-0,259078182
397;-0,248189091
398;0,419949091
399;0,240587273
400;0,192305455
401;0,371461818
402;-0,411525455
403;-0,38194
404;0,188196364
405;0,278801818
406;0,280034545
407;0,088961818
408;-0,222507273
409;0,057116364
410;0,236478182
411;-0,246750909
412;-0,271405455
413;-0,333863636
414;-0,371667273
415;-0,010272727
416;0,141147273
417;0,147721818
418;0,165801818
419;0,123272727
420;-0,079716364
421;0,081154545
422;0,290307273
423;0,411936364
424;0,552878182
425;0,03842
426;-0,159227273
427;0,01582
428;-0,139092727
429;0,079305455
430;0,237916364
431;-0,055472727
432;-0,118341818
433;-0,144023636
434;-0,22374
435;0,159843636
436;0,103138182
437;-0,077250909
438;0,159843636
439;-0,067389091
440;-0,04294
441;0,242230909
442;0,232369091
443;-0,038214545
444;-0,016025455
445;0,170321818
446;-0,012327273
447;0,208741818
448;0,218809091
449;-0,072730909
450;-0,004314545
451;-0,046432727
452;-0,0904
453;0,060198182
454;0,068005455
455;0,005341818
456;0,137654545
457;-0,046021818
458;-0,157994545
459;0,136010909
460;0,125738182
461;0,120601818
462;0,050747273
463;0,124916364
464;0,283938182
465;0,052390909
466;-0,095947273
467;-0,237505455
468;-0,179156364
469;-0,011710909
470;0,256407273
471;0,104781818
472;-0,127587273
473;-0,014998182
474;-0,417483636
475;-0,040063636
476;0,291745455
477;-0,042118182
478;0,201345455
479;0,173198182
480;-0,047254545
481;-0,104576364
482;-0,274281818
483;-0,559658182
484;0,116287273
485;0,611227273
486;-0,172992727
487;0,274898182
488;0,659303636
489;0,167445455
490;-0,117725455
491;-0,453849091
492;-0,432070909
493;0,11526
494;0,283321818
495;-0,068416364
496;0,386665455
497;0,195592727
498;-0,18306
499;0,005958182
500;-0,097590909
501;-0,056089091
502;0,017463636
503;0,127998182
504;0,087729091
505;0,336534545
506;0,072114545
507;-0,118958182
508;0,145050909
509;-0,068005455
510;0,190250909
511;0,086085455
512;-0,058965455
513;0,017669091
514;-0,192510909
515;-0,278185455
516;-0,179567273
517;0,256818182
518;0,250243636
519;0,320509091
520;0,420565455
521;0,214494545
522;0,045816364
523;-0,199496364
524;-0,208125455
525;-0,087934545
526;0,093481818
527;-0,065129091
528;0,121012727
529;0,345574545
530;0,062458182
531;0,009450909
532;-0,278596364
533;-0,312290909
534;-0,091221818
535;0,148132727
536;0,168472727
537;0,32318
538;0,516718182
539;0,01356
540;-0,279007273
541;-0,62602
542;-0,037392727
543;0,624992727
544;0,335096364
545;0,322152727
546;-0,171349091
547;-0,484461818
548;-0,370229091
549;0,092043636
550;0,452
551;0,27572
552;0,167445455
553;-0,241614545
554;-0,242230909
555;-0,451794545
556;-0,484256364
557;-0,062869091
558;0,136216364
559;0,521443636
560;0,266474545
561;0,335096364
562;0,758538182
563;0,563767273
564;-0,425907273
565;-0,841747273
566;-0,162103636
567;0,053418182
568;0,339616364
569;0,21922
570;0,02712
571;0,10622
572;-0,363449091
573;-0,333247273
574;0,192510909
575;0,353381818
576;0,14464
577;0,153269091
578;-0,132723636
579;-0,005752727
580;0,439672727
581;-0,073758182
582;-0,15594
583;-0,075607273
584;-0,135189091
585;-0,157994545
586;0,052185455
587;0,087729091
588;-0,197030909
589;0,035954545
590;-0,110945455
591;0,21696
592;0,526990909
593;0,159227273
594;0,191894545
595;0,103343636
596;-0,222712727
597;-0,241203636
598;0,05198
599;0,093070909
600;0,18306
601;0,152241818
602;0,023832727
603;0,19436
604;0,186758182
605;0,065950909
606;-0,155323636
607;-0,329343636
608;-0,324001818
609;-0,015203636
610;0,179567273
611;0,144845455
612;0,151625455
613;-0,099850909
614;-0,271405455
615;-0,318865455
616;-0,05424
617;0,446247273
618;0,520416364
619;0,191072727
620;-0,094714545
621;-0,08588
622;-0,083825455
623;0,22374
624;0,434125455
625;0,070881818
626;-0,117314545
627;-0,365298182
628;-0,4181
629;-0,103343636
630;0,167034545
631;0,142790909
632;0,239354545
633;0,380912727
634;0,116081818
635;0,337767273
636;0,203194545
637;-0,234834545
638;-0,106836364
639;0,015203636
640;-0,089167273
641;-0,093070909
642;0,236478182
643;0,203194545
644;-0,038214545
645;-0,218398182
646;-0,383172727
647;-0,060198182
648;0,241614545
649;0,148749091
650;0,183676364
651;0,037598182
652;-0,295854545
653;0,09718
654;0,315578182
655;0,135189091
656;0,276130909
657;0,114438182
658;0,072936364
659;-0,106014545
660;-0,243052727
661;0,043556364
662;0,044172727
663;0,172992727
664;0,186347273
665;0,002465455
666;0,003903636
667;0,105603636
668;-0,123889091
669;-0,395294545
670;-0,246750909
671;-0,060403636
672;0,284554545
673;0,30058
674;0,0791
675;0,035954545
676;-0,006369091
677;0,028558182
678;0,091632727
679;0,168678182
680;-0,072525455
681;-0,112383636
682;-0,006574545
683;-0,170732727
684;-0,09718
685;-0,057116364
686;-0,166007273
687;0,087112727
688;0,326467273
689;0,154707273
690;0,2147
691;0,100878182
692;-0,166623636
693;0,02486
694;0,082592727
695;0,119163636
696;0,523292727
697;0,387076364
698;-0,060814545
699;-0,04294
700;-0,340027273
701;-0,26442
702;0,03164
703;-0,066361818
704;0,053418182
705;0,194770909
706;0,139298182
707;-0,027941818
708;0,084647273
709;-0,400636364
710;-0,545481818
711;-0,009450909
712;0,072114545
713;0,36386
714;0,326467273
715;0,09718
716;0,067389091
717;0,17402
718;0,099850909
719;0,028969091
720;0,245107273
721;0,011710909
722;-0,023421818
723;0,063896364
724;-0,110945455
725;-0,073758182
726;0,097590909
727;-0,087934545
728;-0,060609091
729;0,26668
730;-0,026503636
731;0,098001818
732;0,123889091
733;-0,189223636
734;-0,061841818
735;-0,036570909
736;0,161692727
737;0,373310909
738;0,280034545
739;-0,034721818
740;-0,015409091
741;-0,088961818
742;-0,284554545
743;-0,13334
744;-0,145461818
745;0,080949091
746;0,278185455
747;0,15594
748;0,124916364
749;0,002670909
750;-0,106630909
751;0,127381818
752;0,090194545
753;-0,142174545
754;0,1356
755;0,204632727
756;0,076223636
757;0,17628
758;0,020750909
759;-0,251887273
760;-0,06102
761;0,140325455
762;0,128409091
763;0,3503
764;-0,079510909
765;-0,365503636
766;-0,206276364
767;-0,192510909
768;0,359545455
769;0,299758182
770;0,270172727
771;0,308181818
772;-0,300374545
773;-0,450972727
774;-0,212234545
775;0,242641818
776;0,422003636
777;0,154090909
778;-0,152241818
779;0,193743636
780;0,261749091
781;-0,277363636
782;-0,266269091
783;-0,356669091
784;-0,353176364
785;-0,124505455
786;0,309003636
787;0,398581818
788;0,185730909
789;0,299347273
790;-0,157172727
791;-0,072525455
792;0,337356364
793;0,237916364
794;0,334274545
795;0,125532727
796;-0,177101818
797;-0,085058182
798;-0,110123636
799;-0,186141818
800;0,249421818
801;0,144434545
802;-0,278801818
803;-0,230725455
804;-0,180183636
805;0,087934545
806;0,109301818
807;0,225589091
808;0,165801818
809;0,023627273
810;0,241614545
811;0,124710909
812;0,304483636
813;-0,048898182
814;-0,398992727
815;-0,018285455
816;-0,134778182
817;-0,120190909
818;0,144229091
819;0,091016364
820;0,103343636
821;0,134983636
822;-0,088345455
823;0,115054545
824;0,238738182
825;0,019518182
826;0,202783636
827;0,060814545
828;-0,142174545
829;0,206687273
830;0,401252727
831;-0,000616364
832;-0,071087273
833;0,143407273
834;-0,118752727
835;-0,019929091
836;-0,052596364
837;-0,204427273
838;-0,07232
839;-0,213467273
840;-0,130874545
841;0,199701818
842;0,127792727
843;0,07006
844;0,187169091
845;-0,130258182
846;-0,228054545
847;-0,102521818
848;0,106014545
849;0,409265455
850;0,353998182
851;0,162309091
852;0,025887273
853;-0,184498182
854;-0,31414
855;0,219836364
856;0,124916364
857;-0,290718182
858;0,336123636
859;0,19888
860;-0,196414545
861;-0,073758182
862;-0,395910909
863;-0,07232
864;0,518772727
865;-0,008012727
866;0,222507273
867;0,748676364
868;0,073758182
869;0,054856364
870;-0,201756364
871;-0,471107273
872;-0,014587273
873;0,069032727
874;0,178950909
875;0,130258182
876;-0,035543636
877;-0,134778182
878;-0,247367273
879;-0,222712727
880;0,139709091
881;0,328521818
882;0,185525455
883;0,070676364
884;0,027530909
885;-0,060609091
886;-0,19888
887;0,03616
888;0,337767273
889;0,2712
890;0,201961818
891;0,364476364
892;0,335918182
893;-0,060403636
894;-0,418510909
895;-0,416661818
896;-0,162309091
897;0,063074545
898;0,070881818
899;0,182032727
900;0,236889091
901;0,057732727
902;-0,146489091
903;-0,422003636
904;-0,17854
905;0,211001818
906;0,165185455
907;0,172581818
908;0,353381818
909;0,402074545
910;0,108685455
911;-0,328727273
912;-0,597461818
913;-0,331192727
914;0,332014545
915;0,269145455
916;0,195181818
917;0,30962
918;-0,395089091
919;-0,522470909
920;-0,265241818
921;0,26668
922;0,727309091
923;0,402896364
924;0,078483636
925;0,049925455
926;0,008629091
927;-0,57856
928;-0,340027273
929;0,004930909
930;0,213672727
931;0,478092727
932;-0,036365455
933;0,30058
934;0,779494545
935;0,033283636
936;-0,844212727
937;-0,620267273
938;0,035338182
939;0,315167273
940;0,396321818
941;0,122861818
942;0,311263636
943;0,139298182
944;-0,614309091
945;-0,308592727
946;0,237505455
947;0,382761818
948;0,379269091
949;0,205249091
950;-0,039036364
951;0,29154
952;0,293183636
953;-0,143612727
954;-0,136216364
955;-0,240176364
956;-0,039652727
957;-0,167445455
958;-0,101289091
959;0,210796364
960;-0,148338182
961;-0,272021818
962;-0,097796364
963;0,279623636
964;0,471518182
965;0,364681818
966;0,237505455
967;0,179772727
968;-0,053418182
969;-0,372694545
970;-0,167856364
971;0,107247273
972;0,121629091
973;0,060814545
974;0,149776364
975;0,032667273
976;-0,061430909
977;0,041912727
978;-0,342081818
979;-0,446658182
980;-0,038625455
981;0,171554545
982;0,200934545
983;0,369612727
984;0,242025455
985;-0,168267273
986;-0,448301818
987;-0,601365455
988;0,138887273
989;0,775796364
990;0,31414
991;0,130874545
992;0,012327273
993;-0,460834545
994;-0,23052
995;0,435974545
996;0,469669091
997;0,195592727
998;-0,120807273
999;-0,577738182
