name,year,quarter,count
C#,2012,4,2379
Objective-C,2012,4,2163
Scala,2012,4,2072
Shell,2012,4,1922
HTML,2012,4,1790
Perl,2012,4,1072
CoffeeScript,2012,4,993
CSS,2012,4,904
Go,2012,4,858
Erlang,2012,4,799
Haskell,2012,4,704
Clojure,2012,4,602
Lua,2012,4,574
Emacs Lisp,2012,4,542
TypeScript,2012,4,490
Groovy,2012,4,394
nesC,2012,4,314
Puppet,2012,4,222
Elixir,2012,4,215
Nix,2012,4,176
Vim script,2012,4,169
VimL,2012,4,148
ColdFusion,2012,4,138
Delphi,2012,4,127
Scheme,2012,4,121
Jupyter Notebook,2012,4,119
TSQL,2012,4,119
Common Lisp,2012,4,103
JavaScript,2013,1,32666
Ruby,2013,1,30052
Python,2013,1,29487
PHP,2013,1,23628
Java,2013,1,16919
C++,2013,1,7240
C,2013,1,6405
C#,2013,1,3665
Objective-C,2013,1,3572
Shell,2013,1,2833
HTML,2013,1,2819
Scala,2013,1,2804
CSS,2013,1,1865
CoffeeScript,2013,1,1582
Go,2013,1,1341
Perl,2013,1,1252
Erlang,2013,1,961
Emacs Lisp,2013,1,950
TypeScript,2013,1,949
nesC,2013,1,828
Haskell,2013,1,811
Clojure,2013,1,643
Groovy,2013,1,503
Lua,2013,1,408
Nix,2013,1,292
Puppet,2013,1,288
Objective-J,2013,1,251
Vim script,2013,1,222
Pascal,2013,1,177
SQF,2013,1,172
DM,2013,1,168
Kotlin,2013,1,156
OCaml,2013,1,139
VimL,2013,1,138
Julia,2013,1,136
XSLT,2013,1,129
Jupyter Notebook,2013,1,125
TSQL,2013,1,121
Smalltalk,2013,1,110
PowerShell,2013,1,107
ColdFusion,2013,1,105
ActionScript,2013,1,103
Python,2013,2,38044
JavaScript,2013,2,37471
Ruby,2013,2,33502
PHP,2013,2,25522
Java,2013,2,17650
C++,2013,2,9943
C,2013,2,6657
C#,2013,2,4497
Objective-C,2013,2,4175
HTML,2013,2,3897
Shell,2013,2,2776
Scala,2013,2,2757
Perl,2013,2,2434
Go,2013,2,2318
CSS,2013,2,2289
TypeScript,2013,2,1752
CoffeeScript,2013,2,1635
Erlang,2013,2,1090
Emacs Lisp,2013,2,995
nesC,2013,2,863
DM,2013,2,844
Lua,2013,2,800
Haskell,2013,2,765
Clojure,2013,2,640
Groovy,2013,2,538
Nix,2013,2,497
Elixir,2013,2,467
Puppet,2013,2,433
OCaml,2013,2,340
Common Lisp,2013,2,332
Vim script,2013,2,300
Kotlin,2013,2,202
Dart,2013,2,185
TSQL,2013,2,175
Smalltalk,2013,2,174
Jupyter Notebook,2013,2,167
XSLT,2013,2,151
VimL,2013,2,150
Julia,2013,2,140
Vala,2013,2,139
Scheme,2013,2,129
Haxe,2013,2,123
PowerShell,2013,2,120
Swift,2013,2,118
ColdFusion,2013,2,117
Raku,2013,2,113
Rust,2013,2,112
Pascal,2013,2,106
Objective-J,2013,2,105
JavaScript,2013,3,46079
Python,2013,3,44783
Ruby,2013,3,37050
PHP,2013,3,28573
Java,2013,3,22139
C++,2013,3,11878
C,2013,3,8062
C#,2013,3,5074
Objective-C,2013,3,5025
HTML,2013,3,4455
CSS,2013,3,4448
Scala,2013,3,3902
Shell,2013,3,3769
Go,2013,3,3584
TypeScript,2013,3,2179
CoffeeScript,2013,3,2004
Perl,2013,3,1969
Emacs Lisp,2013,3,1425
Erlang,2013,3,1117
Lua,2013,3,1004
DM,2013,3,922
Puppet,2013,3,916
Haskell,2013,3,882
Groovy,2013,3,815
Clojure,2013,3,720
Nix,2013,3,600
Elixir,2013,3,540
OCaml,2013,3,447
VimL,2013,3,414
Kotlin,2013,3,393
Jupyter Notebook,2013,3,375
Makefile,2013,3,353
Vim script,2013,3,326
XSLT,2013,3,268
TeX,2013,3,249
Dart,2013,3,240
nesC,2013,3,230
Julia,2013,3,225
Smalltalk,2013,3,188
Rust,2013,3,177
TSQL,2013,3,175
R,2013,3,159
Assembly,2013,3,159
ColdFusion,2013,3,159
Scheme,2013,3,155
PowerShell,2013,3,144
Common Lisp,2013,3,139
Mako,2013,3,134
D,2013,3,122
Fortran,2013,3,122
Haxe,2013,3,106
Vala,2013,3,102
JavaScript,2013,4,58732
Python,2013,4,54051
Ruby,2013,4,42989
PHP,2013,4,35335
Java,2013,4,29410
C++,2013,4,15174
C,2013,4,10537
C#,2013,4,7461
HTML,2013,4,7378
CSS,2013,4,6774
Shell,2013,4,6515
Objective-C,2013,4,6140
Go,2013,4,5050
Scala,2013,4,4550
CoffeeScript,2013,4,3670
TypeScript,2013,4,2513
Erlang,2013,4,1747
Perl,2013,4,1636
Puppet,2013,4,1590
Emacs Lisp,2013,4,1468
Groovy,2013,4,1141
Lua,2013,4,1075
DM,2013,4,1068
Haskell,2013,4,968
Clojure,2013,4,855
OCaml,2013,4,718
Nix,2013,4,691
nesC,2013,4,664
Swift,2013,4,581
TeX,2013,4,531
Kotlin,2013,4,522
Rust,2013,4,510
R,2013,4,475
Dart,2013,4,422
Julia,2013,4,387
Jupyter Notebook,2013,4,367
Elixir,2013,4,348
Scheme,2013,4,288
PowerShell,2013,4,286
Makefile,2013,4,283
ColdFusion,2013,4,262
F#,2013,4,244
XSLT,2013,4,242
VimL,2013,4,225
Vim script,2013,4,220
Logos,2013,4,158
Smalltalk,2013,4,156
TSQL,2013,4,150
D,2013,4,136
ActionScript,2013,4,126
Haxe,2013,4,104
JavaScript,2014,1,79285
Python,2014,1,65225
Ruby,2014,1,53443
PHP,2014,1,46231
Java,2014,1,35787
C++,2014,1,20710
C,2014,1,13596
HTML,2014,1,9175
CSS,2014,1,8651
Objective-C,2014,1,8044
C#,2014,1,7955
Shell,2014,1,6908
Go,2014,1,6673
Scala,2014,1,6576
CoffeeScript,2014,1,4564
TypeScript,2014,1,3080
Perl,2014,1,2335
Lua,2014,1,2048
Emacs Lisp,2014,1,1993
Erlang,2014,1,1909
Clojure,2014,1,1724
Groovy,2014,1,1600
DM,2014,1,1577
Puppet,2014,1,1459
Haskell,2014,1,1390
Kotlin,2014,1,1341
Nix,2014,1,1126
Rust,2014,1,846
Jupyter Notebook,2014,1,777
nesC,2014,1,708
OCaml,2014,1,602
Makefile,2014,1,586
Swift,2014,1,585
Dart,2014,1,569
Julia,2014,1,557
F#,2014,1,550
Elixir,2014,1,434
Vim script,2014,1,418
PowerShell,2014,1,413
R,2014,1,373
TeX,2014,1,372
Scheme,2014,1,364
XSLT,2014,1,356
TSQL,2014,1,324
D,2014,1,313
VimL,2014,1,270
PLSQL,2014,1,269
ActionScript,2014,1,266
CMake,2014,1,262
Haxe,2014,1,251
Apex,2014,1,242
QML,2014,1,196
Smalltalk,2014,1,191
Fortran,2014,1,187
Assembly,2014,1,161
Pascal,2014,1,146
Common Lisp,2014,1,141
Objective-C++,2014,1,138
Pan,2014,1,132
Vala,2014,1,130
ColdFusion,2014,1,126
Tcl,2014,1,105
Mako,2014,1,102
JavaScript,2014,2,91650
Python,2014,2,73924
Ruby,2014,2,60784
PHP,2014,2,46812
Java,2014,2,43988
C++,2014,2,24380
C,2014,2,14731
HTML,2014,2,13161
CSS,2014,2,10680
C#,2014,2,10549
Go,2014,2,10016
Scala,2014,2,8631
Objective-C,2014,2,8399
Shell,2014,2,7958
CoffeeScript,2014,2,5792
TypeScript,2014,2,4635
Perl,2014,2,2567
Rust,2014,2,2286
Lua,2014,2,2126
Erlang,2014,2,1961
Haskell,2014,2,1740
Clojure,2014,2,1698
Nix,2014,2,1619
Groovy,2014,2,1583
Emacs Lisp,2014,2,1579
Puppet,2014,2,1444
DM,2014,2,1244
Kotlin,2014,2,1176
Jupyter Notebook,2014,2,914
OCaml,2014,2,867
Swift,2014,2,840
Elixir,2014,2,736
R,2014,2,706
Makefile,2014,2,628
F#,2014,2,614
Dart,2014,2,588
TSQL,2014,2,572
PLSQL,2014,2,571
Julia,2014,2,553
Fortran,2014,2,533
nesC,2014,2,507
Vim script,2014,2,457
PowerShell,2014,2,427
Scheme,2014,2,420
ActionScript,2014,2,393
Haxe,2014,2,383
TeX,2014,2,375
XSLT,2014,2,323
VimL,2014,2,279
Smalltalk,2014,2,277
D,2014,2,260
Assembly,2014,2,258
Apex,2014,2,216
ColdFusion,2014,2,198
Liquid,2014,2,171
Pascal,2014,2,149
SQLPL,2014,2,138
Objective-C++,2014,2,132
Racket,2014,2,129
SQL,2014,2,123
Objective-J,2014,2,115
Common Lisp,2014,2,113
Vim Snippet,2014,2,110
CMake,2014,2,109
Common Workflow Language,2014,2,107
Eagle,2014,2,106
Vala,2014,2,105
Protocol Buffer,2014,2,104
QML,2014,2,103
Standard ML,2014,2,102
JavaScript,2014,3,109364
Python,2014,3,82053
Ruby,2014,3,67387
PHP,2014,3,53112
Java,2014,3,49765
C++,2014,3,29235
Go,2014,3,16910
HTML,2014,3,16756
C,2014,3,16625
C#,2014,3,11871
CSS,2014,3,11732
Scala,2014,3,10910
Shell,2014,3,10511
Objective-C,2014,3,8385
CoffeeScript,2014,3,6112
TypeScript,2014,3,5370
Rust,2014,3,3500
Perl,2014,3,2991
Lua,2014,3,2622
Swift,2014,3,2613
Haskell,2014,3,2523
Clojure,2014,3,2482
Nix,2014,3,2066
Groovy,2014,3,1814
Erlang,2014,3,1804
Puppet,2014,3,1580
Emacs Lisp,2014,3,1535
Makefile,2014,3,1393
DM,2014,3,1388
Jupyter Notebook,2014,3,1126
Elixir,2014,3,1073
Kotlin,2014,3,1056
PLSQL,2014,3,1000
OCaml,2014,3,857
Julia,2014,3,768
F#,2014,3,689
ActionScript,2014,3,634
Dart,2014,3,579
R,2014,3,561
PowerShell,2014,3,552
Fortran,2014,3,511
D,2014,3,466
TSQL,2014,3,423
Scheme,2014,3,372
TeX,2014,3,347
Vim script,2014,3,321
XSLT,2014,3,278
Smalltalk,2014,3,243
Common Lisp,2014,3,240
Apex,2014,3,238
VimL,2014,3,234
Haxe,2014,3,232
ColdFusion,2014,3,219
Assembly,2014,3,214
CMake,2014,3,205
Pascal,2014,3,167
SCSS,2014,3,154
Liquid,2014,3,147
XQuery,2014,3,145
Objective-J,2014,3,143
Dockerfile,2014,3,139
Tcl,2014,3,138
QML,2014,3,134
GCC Machine Description,2014,3,131
PLpgSQL,2014,3,123
Protocol Buffer,2014,3,118
Vala,2014,3,116
Vim Snippet,2014,3,116
Xtend,2014,3,109
Matlab,2014,3,105
ApacheConf,2014,3,103
Common Workflow Language,2014,3,102
Arduino,2014,3,102
JavaScript,2014,4,122908
Python,2014,4,92612
Ruby,2014,4,74442
Java,2014,4,57996
PHP,2014,4,56585
C++,2014,4,32035
Go,2014,4,20395
C,2014,4,19354
HTML,2014,4,17772
C#,2014,4,14199
CSS,2014,4,13352
Shell,2014,4,11773
Scala,2014,4,10851
Objective-C,2014,4,8353
TypeScript,2014,4,7015
CoffeeScript,2014,4,5697
Rust,2014,4,5462
Swift,2014,4,3406
Perl,2014,4,3240
Clojure,2014,4,2734
Lua,2014,4,2728
Haskell,2014,4,2645
Kotlin,2014,4,2328
DM,2014,4,2144
Erlang,2014,4,2084
Puppet,2014,4,1949
Nix,2014,4,1885
Emacs Lisp,2014,4,1815
Groovy,2014,4,1675
Makefile,2014,4,1539
PLSQL,2014,4,1113
OCaml,2014,4,968
F#,2014,4,968
Jupyter Notebook,2014,4,865
Elixir,2014,4,827
R,2014,4,813
TSQL,2014,4,803
PowerShell,2014,4,676
YAML,2014,4,673
Julia,2014,4,669
Vim script,2014,4,576
Visual Basic,2014,4,548
TeX,2014,4,547
Dart,2014,4,539
XSLT,2014,4,527
CMake,2014,4,492
Fortran,2014,4,467
SCSS,2014,4,447
Gherkin,2014,4,425
D,2014,4,354
JSON,2014,4,312
Haxe,2014,4,311
Scheme,2014,4,303
Smalltalk,2014,4,285
PureScript,2014,4,256
Common Lisp,2014,4,252
VimL,2014,4,230
ColdFusion,2014,4,227
ActionScript,2014,4,222
ApacheConf,2014,4,221
ooc,2014,4,212
Dockerfile,2014,4,209
Apex,2014,4,186
QML,2014,4,178
MATLAB,2014,4,168
Standard ML,2014,4,161
Pascal,2014,4,139
XQuery,2014,4,138
SQLPL,2014,4,133
Objective-J,2014,4,126
SQF,2014,4,126
PostScript,2014,4,125
Protocol Buffer,2014,4,119
Matlab,2014,4,117
Tcl,2014,4,110
ASP,2014,4,104
GCC Machine Description,2014,4,103
Assembly,2014,4,100
JavaScript,2015,1,159184
Python,2015,1,119803
Ruby,2015,1,92148
Java,2015,1,79605
PHP,2015,1,74671
C++,2015,1,39024
Go,2015,1,30419
HTML,2015,1,27733
C,2015,1,23609
C#,2015,1,22963
CSS,2015,1,16878
Shell,2015,1,15493
Scala,2015,1,13536
Objective-C,2015,1,11216
TypeScript,2015,1,9668
Rust,2015,1,8089
CoffeeScript,2015,1,6802
Swift,2015,1,4813
Perl,2015,1,3933
Lua,2015,1,3560
Clojure,2015,1,3488
Haskell,2015,1,3244
Erlang,2015,1,2602
DM,2015,1,2596
Makefile,2015,1,2485
Puppet,2015,1,2480
Nix,2015,1,2404
Groovy,2015,1,2364
Emacs Lisp,2015,1,2274
Kotlin,2015,1,1823
R,2015,1,1577
Jupyter Notebook,2015,1,1568
OCaml,2015,1,1175
Dart,2015,1,1147
Elixir,2015,1,1068
TSQL,2015,1,971
PowerShell,2015,1,962
Julia,2015,1,950
YAML,2015,1,938
F#,2015,1,872
Visual Basic,2015,1,830
Vim script,2015,1,637
TeX,2015,1,635
ApacheConf,2015,1,589
Fortran,2015,1,575
Scheme,2015,1,562
PLSQL,2015,1,477
Thrift,2015,1,467
Haxe,2015,1,450
Dockerfile,2015,1,422
PureScript,2015,1,411
XSLT,2015,1,404
QML,2015,1,399
SCSS,2015,1,360
VimL,2015,1,357
D,2015,1,342
Common Lisp,2015,1,337
SQF,2015,1,326
Assembly,2015,1,324
CMake,2015,1,315
ColdFusion,2015,1,310
PLpgSQL,2015,1,272
Vala,2015,1,267
Apex,2015,1,251
MATLAB,2015,1,237
Smalltalk,2015,1,231
Gherkin,2015,1,229
Tcl,2015,1,218
ActionScript,2015,1,212
Eagle,2015,1,207
Standard ML,2015,1,204
Objective-C++,2015,1,199
JSON,2015,1,188
HCL,2015,1,186
PostScript,2015,1,179
ooc,2015,1,177
ASP,2015,1,174
Matlab,2015,1,165
SourcePawn,2015,1,159
Rich Text Format,2015,1,157
XQuery,2015,1,149
Racket,2015,1,149
Pascal,2015,1,147
Processing,2015,1,145
Arduino,2015,1,143
SaltStack,2015,1,142
Elm,2015,1,140
Batchfile,2015,1,137
Raku,2015,1,137
Perl 6,2015,1,134
Smarty,2015,1,134
Liquid,2015,1,127
Groff,2015,1,126
Hack,2015,1,113
CWeb,2015,1,107
Objective-J,2015,1,106
JavaScript,2015,2,187618
Python,2015,2,138537
Java,2015,2,99768
Ruby,2015,2,96362
PHP,2015,2,79571
C++,2015,2,44827
Go,2015,2,41655
HTML,2015,2,33482
C#,2015,2,28183
C,2015,2,26825
Shell,2015,2,18703
CSS,2015,2,18224
Scala,2015,2,15854
TypeScript,2015,2,14616
Objective-C,2015,2,12864
Rust,2015,2,8456
CoffeeScript,2015,2,8071
Swift,2015,2,7354
Lua,2015,2,4152
Clojure,2015,2,3800
Perl,2015,2,3783
Haskell,2015,2,3647
Erlang,2015,2,3246
DM,2015,2,3008
Groovy,2015,2,2826
Kotlin,2015,2,2540
Nix,2015,2,2331
PowerShell,2015,2,2110
Emacs Lisp,2015,2,2039
Puppet,2015,2,1938
Dart,2015,2,1802
Makefile,2015,2,1757
Elixir,2015,2,1725
YAML,2015,2,1710
Jupyter Notebook,2015,2,1668
R,2015,2,1600
OCaml,2015,2,1497
Julia,2015,2,1296
Visual Basic,2015,2,975
F#,2015,2,965
Thrift,2015,2,943
TeX,2015,2,926
TSQL,2015,2,836
Dockerfile,2015,2,683
Fortran,2015,2,664
Vim script,2015,2,651
Haxe,2015,2,587
PureScript,2015,2,584
Processing,2015,2,532
JSON,2015,2,532
XSLT,2015,2,500
CMake,2015,2,488
SCSS,2015,2,478
Scheme,2015,2,474
VimL,2015,2,442
MATLAB,2015,2,405
ApacheConf,2015,2,390
D,2015,2,380
Vala,2015,2,380
AutoIt,2015,2,355
QML,2015,2,353
Smalltalk,2015,2,332
PLpgSQL,2015,2,329
ActionScript,2015,2,302
PLSQL,2015,2,283
Common Lisp,2015,2,277
ooc,2015,2,273
Matlab,2015,2,271
Apex,2015,2,269
Perl 6,2015,2,265
SQF,2015,2,265
Assembly,2015,2,254
Objective-C++,2015,2,250
HCL,2015,2,247
Mustache,2015,2,247
Perl6,2015,2,215
Racket,2015,2,205
Gherkin,2015,2,205
Standard ML,2015,2,196
Elm,2015,2,183
Pascal,2015,2,172
Groff,2015,2,165
PostScript,2015,2,163
Raku,2015,2,157
Cuda,2015,2,151
GDScript,2015,2,143
Protocol Buffer,2015,2,136
ColdFusion,2015,2,129
Verilog,2015,2,119
Jsonnet,2015,2,116
Arduino,2015,2,115
SQLPL,2015,2,114
GCC Machine Description,2015,2,113
JavaScript,2015,3,217971
Python,2015,3,158188
Java,2015,3,106372
Ruby,2015,3,103950
PHP,2015,3,86688
Go,2015,3,51552
C++,2015,3,47984
HTML,2015,3,45419
C#,2015,3,33214
C,2015,3,30865
Shell,2015,3,25053
CSS,2015,3,24588
TypeScript,2015,3,18350
Scala,2015,3,16127
Objective-C,2015,3,14562
Swift,2015,3,10089
CoffeeScript,2015,3,8613
Rust,2015,3,6808
Clojure,2015,3,4907
Lua,2015,3,4095
Haskell,2015,3,3769
Erlang,2015,3,3696
Perl,2015,3,3667
DM,2015,3,3306
Jupyter Notebook,2015,3,3225
Groovy,2015,3,2865
PowerShell,2015,3,2538
Nix,2015,3,2511
Kotlin,2015,3,2500
Elixir,2015,3,2437
R,2015,3,2307
Julia,2015,3,2239
Emacs Lisp,2015,3,2163
Puppet,2015,3,1994
Makefile,2015,3,1925
Dart,2015,3,1457
ApacheConf,2015,3,1320
YAML,2015,3,1284
OCaml,2015,3,1237
Visual Basic,2015,3,1232
TSQL,2015,3,1099
TeX,2015,3,1064
F#,2015,3,1060
Thrift,2015,3,1034
Dockerfile,2015,3,924
CMake,2015,3,806
PureScript,2015,3,712
Vim script,2015,3,680
XSLT,2015,3,589
MATLAB,2015,3,486
D,2015,3,470
SCSS,2015,3,458
ooc,2015,3,446
Haxe,2015,3,428
Fortran,2015,3,421
Gherkin,2015,3,415
QML,2015,3,398
PLpgSQL,2015,3,394
VimL,2015,3,388
Elm,2015,3,364
Standard ML,2015,3,350
ActionScript,2015,3,338
Objective-C++,2015,3,333
Smalltalk,2015,3,324
Racket,2015,3,312
Pascal,2015,3,300
Vala,2015,3,299
Matlab,2015,3,295
Scheme,2015,3,294
SQF,2015,3,294
Common Lisp,2015,3,265
HCL,2015,3,258
mIRC Script,2015,3,253
SaltStack,2015,3,251
Batchfile,2015,3,248
ColdFusion,2015,3,236
JSON,2015,3,232
GCC Machine Description,2015,3,228
Raku,2015,3,211
Assembly,2015,3,209
Apex,2015,3,198
Perl 6,2015,3,176
Crystal,2015,3,170
Protocol Buffer,2015,3,168
Arduino,2015,3,166
Processing,2015,3,165
BitBake,2015,3,160
Vue,2015,3,157
Jinja,2015,3,156
SourcePawn,2015,3,144
Groff,2015,3,137
Roff,2015,3,137
Mustache,2015,3,129
Cuda,2015,3,121
Eagle,2015,3,104
IDL,2015,3,104
PLSQL,2015,3,102
Mathematica,2015,3,101
JavaScript,2015,4,276229
Python,2015,4,168664
Ruby,2015,4,124970
Java,2015,4,122191
PHP,2015,4,99509
Go,2015,4,59519
C++,2015,4,57276
HTML,2015,4,55186
C#,2015,4,39029
C,2015,4,32850
Shell,2015,4,26602
CSS,2015,4,26552
TypeScript,2015,4,23795
Scala,2015,4,16244
Objective-C,2015,4,15228
Swift,2015,4,13527
CoffeeScript,2015,4,8830
Rust,2015,4,6159
Clojure,2015,4,5971
Lua,2015,4,4545
DM,2015,4,4401
Perl,2015,4,4022
Jupyter Notebook,2015,4,3731
Haskell,2015,4,3503
Kotlin,2015,4,3444
Erlang,2015,4,3433
Makefile,2015,4,3353
Groovy,2015,4,3144
Nix,2015,4,2970
PowerShell,2015,4,2932
Elixir,2015,4,2779
Emacs Lisp,2015,4,2605
Dart,2015,4,2299
R,2015,4,2173
Visual Basic,2015,4,2032
Puppet,2015,4,1976
F#,2015,4,1854
Julia,2015,4,1731
TeX,2015,4,1683
OCaml,2015,4,1597
ApacheConf,2015,4,1550
ooc,2015,4,1195
Dockerfile,2015,4,1096
YAML,2015,4,1056
Vim script,2015,4,947
Assembly,2015,4,857
TSQL,2015,4,838
CMake,2015,4,641
PureScript,2015,4,637
SCSS,2015,4,602
Fortran,2015,4,575
Haxe,2015,4,572
Common Lisp,2015,4,566
Perl 6,2015,4,551
MATLAB,2015,4,490
XSLT,2015,4,481
Objective-C++,2015,4,474
Elm,2015,4,444
Scheme,2015,4,427
PLpgSQL,2015,4,402
VimL,2015,4,399
Raku,2015,4,398
QML,2015,4,396
D,2015,4,376
ActionScript,2015,4,352
HCL,2015,4,350
Matlab,2015,4,341
Smalltalk,2015,4,336
Batchfile,2015,4,333
Apex,2015,4,325
Pascal,2015,4,300
Racket,2015,4,297
Gherkin,2015,4,291
Standard ML,2015,4,285
Crystal,2015,4,273
JSON,2015,4,269
Perl6,2015,4,261
ColdFusion,2015,4,252
Protocol Buffer,2015,4,248
Arduino,2015,4,247
SaltStack,2015,4,241
Vue,2015,4,223
SQF,2015,4,209
GCC Machine Description,2015,4,180
Smarty,2015,4,180
SourcePawn,2015,4,176
BitBake,2015,4,172
Vala,2015,4,168
Eiffel,2015,4,168
Tcl,2015,4,166
Jinja,2015,4,165
Eagle,2015,4,165
Jsonnet,2015,4,161
OpenEdge ABL,2015,4,152
Roff,2015,4,149
LLVM,2015,4,148
GLSL,2015,4,145
Markdown,2015,4,145
Processing,2015,4,141
PostScript,2015,4,139
Groff,2015,4,138
Web Ontology Language,2015,4,128
mIRC Script,2015,4,124
Slash,2015,4,122
FORTRAN,2015,4,115
API Blueprint,2015,4,106
Common Workflow Language,2015,4,105
PLSQL,2015,4,105
IDL,2015,4,105
JavaScript,2016,1,354843
Python,2016,1,191398
Java,2016,1,140080
Ruby,2016,1,137821
PHP,2016,1,109603
Go,2016,1,72346
C++,2016,1,67634
HTML,2016,1,63078
C#,2016,1,40577
C,2016,1,36877
CSS,2016,1,34210
TypeScript,2016,1,32257
Shell,2016,1,29124
Scala,2016,1,20215
Objective-C,2016,1,17666
Swift,2016,1,17485
CoffeeScript,2016,1,9333
Rust,2016,1,8683
Lua,2016,1,5523
Jupyter Notebook,2016,1,5124
Clojure,2016,1,5091
DM,2016,1,4698
Perl,2016,1,4669
Kotlin,2016,1,4585
Groovy,2016,1,4243
Makefile,2016,1,3749
Visual Basic,2016,1,3632
PowerShell,2016,1,3552
Nix,2016,1,3522
Elixir,2016,1,3511
Erlang,2016,1,3443
Haskell,2016,1,3349
R,2016,1,3086
Puppet,2016,1,2985
Dart,2016,1,2819
Emacs Lisp,2016,1,2533
OCaml,2016,1,2190
TeX,2016,1,2065
F#,2016,1,1638
Julia,2016,1,1442
Dockerfile,2016,1,1257
YAML,2016,1,1256
Vim script,2016,1,1107
ooc,2016,1,881
Fortran,2016,1,809
Haxe,2016,1,804
SCSS,2016,1,726
PureScript,2016,1,713
XSLT,2016,1,696
TSQL,2016,1,685
MATLAB,2016,1,669
Smalltalk,2016,1,651
CMake,2016,1,638
Common Lisp,2016,1,638
Elm,2016,1,617
D,2016,1,601
Vue,2016,1,597
Matlab,2016,1,587
Objective-C++,2016,1,582
GLSL,2016,1,472
Crystal,2016,1,456
HCL,2016,1,446
Vala,2016,1,421
Pascal,2016,1,420
Apex,2016,1,399
Perl 6,2016,1,392
Assembly,2016,1,392
ColdFusion,2016,1,391
QML,2016,1,386
Scheme,2016,1,377
RobotFramework,2016,1,373
Objective-J,2016,1,371
WebAssembly,2016,1,368
PLpgSQL,2016,1,353
Markdown,2016,1,340
Arduino,2016,1,339
VimL,2016,1,331
Batchfile,2016,1,326
Jsonnet,2016,1,316
Gherkin,2016,1,314
SQF,2016,1,307
BitBake,2016,1,279
Standard ML,2016,1,278
API Blueprint,2016,1,277
SaltStack,2016,1,267
Nim,2016,1,265
Cucumber,2016,1,262
mIRC Script,2016,1,261
Roff,2016,1,243
SourcePawn,2016,1,242
Protocol Buffer,2016,1,224
ActionScript,2016,1,221
Tcl,2016,1,211
ApacheConf,2016,1,206
JSON,2016,1,201
Cuda,2016,1,198
Eagle,2016,1,182
Raku,2016,1,175
Racket,2016,1,174
Jinja,2016,1,169
SystemVerilog,2016,1,158
PLSQL,2016,1,157
Processing,2016,1,149
Game Maker Language,2016,1,149
Smarty,2016,1,148
NSIS,2016,1,144
SQLPL,2016,1,134
Xtend,2016,1,131
Nginx,2016,1,128
Mathematica,2016,1,128
Mustache,2016,1,127
LiveScript,2016,1,126
Verilog,2016,1,123
Eiffel,2016,1,120
Rascal,2016,1,118
