language,num_repos
PureScript,826
API Blueprint,812
NewLisp,809
AspectJ,787
Apex,777
Eiffel,709
AGS Script,670
COBOL,662
Cap'n Proto,662
GDScript,659
AutoIt,655
Mercury,652
Gettext Catalog,652
Web Ontology Language,647
SQL,640
PureBasic,638
Io,624
SQF,610
Nimrod,606
Less,606
PigLatin,604
Mask,599
Diff,564
Gosu,543
Modelica,543
PAWN,510
RobotFramework,509
BlitzBasic,496
RAML,474
Arc,468
Nim,467
nesC,462
EmberScript,456
POV-Ray SDL,450
ABAP,447
XC,443
Lasso,438
Squirrel,434
Game Maker Language,433
VCL,428
JSONiq,428
Slash,425
Vim Snippet,399
RenderScript,397
LSL,395
DM,394
Nu,370
MoonScript,364
Raku,363
Limbo,361
Volt,357
LabVIEW,355
xBase,348
SWIG,345
Jinja,345
CartoCSS,341
Objective-J,339
MAXScript,326
AngelScript,321
E,309
Ragel,301
Idris,298
LilyPond,298
Cirru,288
Augeas,288
Pawn,287
Nemerle,286
Clarion,277
1C Enterprise,264
Clean,263
Lean,263
YASnippet,261
Mustache,254
VBScript,252
Metal,246
Boo,241
Delphi,240
Visual Basic .NET,238
XProc,222
Smali,209
Jasmin,205
Agda,204
Terra,200
Twig,198
EJS,190
VBA,183
Hy,179
LookML,172
Ceylon,168
SRecode Template,166
Turing,165
Cython,165
Frege,163
Jsonnet,163
RPC,157
q,156
NetLogo,155
Stan,153
WebAssembly,151
Bro,150
Pan,150
J,149
SMT,144
Pug,143
Isabelle,142
Zephir,140
NASL,138
Component Pascal,129
Propeller Spin,128
Click,127
ooc,126
HiveQL,124
WebIDL,121
Parrot,119
Dylan,118
Monkey,116
Sass,116
Genshi,115
Modula-2,114
Fancy,113
Factor,112
Rascal,112
Redcode,107
LOLCODE,107
Pike,104
Haml,103
SmPL,102
Brightscript,97
ChucK,95
PicoLisp,94
APL,94
Stylus,94
Red,91
G-code,90
Alloy,89
ASP.NET,89
Csound Document,88
Harbour,86
IGOR Pro,80
Papyrus,78
Pony,77
TLA,76
Blade,76
Oz,75
mupad,70
UrWeb,70
Kit,68
Xojo,68
Common Workflow Language,68
Cycript,67
Graphviz (DOT),67
KiCad Layout,66
NCL,63
HyPhy,62
Csound,61
Inform 7,61
REXX,60
Slim,60
Csound Score,60
Cool,59
Opa,58
Myghty,58
Chapel,55
Nextflow,54
Logtalk,53
BlitzMax,52
GAMS,51
Ren'Py,50
Bluespec,50
ATS,46
Mirah,43
Nunjucks,42
CWeb,42
Ioke,41
YARA,41
JFlex,39
Fantom,38
P4,38
Solidity,38
Grammatical Framework,37
Zimpl,37
Uno,37
MQL4,36
V,36
MQL5,36
Sage,35
mIRC Script,35
Oxygene,35
XPages,34
Pep8,33
Nearley,32
DCPU-16 ASM,30
F*,29
Golo,29
KRL,29
AIDL,29
Fluent,28
Self,27
Nit,27
PEG.js,26
MLIR,26
Dogescript,26
Ecl,25
wdl,25
Dhall,25
NetLinx,25
wisp,23
BASIC,22
ReScript,22
Ballerina,22
TXL,21
Open Policy Agent,21
Moocode,21
ECL,20
Faust,20
CodeQL,20
Ox,19
Svelte,19
Filebench WML,18
Asymptote,18
X10,18
ShellSession,17
Reason,17
Riot,17
REALbasic,17
Modula-3,16
PowerBuilder,16
Slice,16
Closure Templates,15
jq,15
Shen,15
Genie,15
Classic ASP,15
Grace,15
Zeek,14
Tea,14
Jolie,14
ASL,13
StringTemplate,13
LFE,13
EQ,12
Rouge,12
MTML,12
Zig,12
ObjectScript,12
PogoScript,12
Qt Script,12
FreeBasic,12
Glyph,11
Opal,10
Charity,10
DataWeave,9
Markdown,8
Omgrofl,8
TI Program,7
YAML,7
RUNOFF,7
LoomScript,7
Befunge,7
HolyC,7
ZenScript,6
Bicep,6
Odin,6
Xonsh,5
Singularity,5
ImageJ Macro,5
Sieve,4
OpenQASM,4
Earthly,4
NetLinx+ERB,3
AL,3
CUE,3
Fennel,3
Kaitai Struct,3
GAML,3
JSON,3
Ring,3
Latte,3
Scaml,2
CSON,2
ZAP,2
Promela,2
Marko,2
Macaulay2,2
Wollok,2
Astro,2
Futhark,1
KiCad Schematic,1
KakouneScript,1
INI,1
Beef,1
Org,1
Q#,1
Motoko,1
Boogie,1
