name,year,quarter,count
GDScript,2015,2,147
AutoHotkey,2015,2,147
Cuda,2015,2,138
Mathematica,2015,2,135
SourcePawn,2015,2,129
PostScript,2015,2,127
Objective-J,2015,2,122
AutoIt,2015,2,120
Logos,2015,2,120
ABAP,2015,2,108
Protocol Buffer,2015,2,105
Crystal,2015,2,105
Gherkin,2015,2,103
1C Enterprise,2015,2,101
Smarty,2015,2,100
Nim,2015,2,100
JavaScript,2015,3,271532
Python,2015,3,129702
Java,2015,3,113249
PHP,2015,3,88872
Ruby,2015,3,54521
C++,2015,3,52891
C#,2015,3,41701
Go,2015,3,39090
HTML,2015,3,34773
C,2015,3,28871
TypeScript,2015,3,21894
CSS,2015,3,19055
Objective-C,2015,3,18906
Shell,2015,3,18094
CoffeeScript,2015,3,13997
Scala,2015,3,11573
Swift,2015,3,10110
Lua,2015,3,5611
Rust,2015,3,4298
Kotlin,2015,3,4228
Haskell,2015,3,4151
Clojure,2015,3,3872
Emacs Lisp,2015,3,3709
Dart,2015,3,3688
Perl,2015,3,3339
R,2015,3,3231
Groovy,2015,3,3104
Erlang,2015,3,2520
Jupyter Notebook,2015,3,2248
Elixir,2015,3,2196
DM,2015,3,2138
Julia,2015,3,1926
PowerShell,2015,3,1625
F#,2015,3,1615
TeX,2015,3,1591
Makefile,2015,3,1578
OCaml,2015,3,1335
Vim script,2015,3,1200
QML,2015,3,944
Visual Basic,2015,3,850
Haxe,2015,3,801
PLpgSQL,2015,3,775
Smalltalk,2015,3,733
Nix,2015,3,726
Dockerfile,2015,3,700
TSQL,2015,3,677
D,2015,3,669
Puppet,2015,3,654
CMake,2015,3,627
ActionScript,2015,3,602
Vala,2015,3,593
Eiffel,2015,3,569
XSLT,2015,3,549
MATLAB,2015,3,536
Matlab,2015,3,512
Pascal,2015,3,458
ApacheConf,2015,3,444
PureScript,2015,3,442
Elm,2015,3,429
SQF,2015,3,424
VimL,2015,3,422
Arduino,2015,3,422
Logos,2015,3,354
ColdFusion,2015,3,347
Apex,2015,3,314
Common Lisp,2015,3,305
LiveScript,2015,3,292
Racket,2015,3,292
Batchfile,2015,3,291
Objective-C++,2015,3,278
Roff,2015,3,274
Standard ML,2015,3,270
Nginx,2015,3,260
Fortran,2015,3,245
SourcePawn,2015,3,217
Gherkin,2015,3,196
F*,2015,3,192
Eagle,2015,3,185
Perl 6,2015,3,183
Vue,2015,3,182
ABAP,2015,3,177
Assembly,2015,3,174
PLSQL,2015,3,163
AutoHotkey,2015,3,160
Cuda,2015,3,148
Factor,2015,3,145
ooc,2015,3,145
Prolog,2015,3,144
Scheme,2015,3,143
Lasso,2015,3,134
HCL,2015,3,130
Smarty,2015,3,129
Crystal,2015,3,129
Objective-J,2015,3,123
Tcl,2015,3,120
SCSS,2015,3,119
Inno Setup,2015,3,119
Protocol Buffer,2015,3,119
Mathematica,2015,3,118
Xtend,2015,3,114
Papyrus,2015,3,112
Thrift,2015,3,111
Ceylon,2015,3,108
GDScript,2015,3,107
AppleScript,2015,3,100
JavaScript,2015,4,289862
Python,2015,4,137574
Java,2015,4,125350
PHP,2015,4,89955
C++,2015,4,61457
Ruby,2015,4,54106
C#,2015,4,49762
Go,2015,4,42766
HTML,2015,4,36431
C,2015,4,32525
TypeScript,2015,4,29695
Shell,2015,4,19943
Objective-C,2015,4,19782
CSS,2015,4,19748
Swift,2015,4,13358
CoffeeScript,2015,4,12287
Scala,2015,4,10665
Lua,2015,4,6690
Kotlin,2015,4,5144
Clojure,2015,4,4960
Rust,2015,4,4754
Haskell,2015,4,4622
Dart,2015,4,4421
Perl,2015,4,4007
Emacs Lisp,2015,4,3395
Groovy,2015,4,3360
R,2015,4,2749
Jupyter Notebook,2015,4,2666
Erlang,2015,4,2598
DM,2015,4,2319
Elixir,2015,4,2197
TeX,2015,4,2012
Julia,2015,4,1895
PowerShell,2015,4,1821
F#,2015,4,1702
Makefile,2015,4,1598
OCaml,2015,4,1539
Vim script,2015,4,1231
Nix,2015,4,1094
Pascal,2015,4,988
QML,2015,4,976
Dockerfile,2015,4,937
Puppet,2015,4,809
Visual Basic,2015,4,711
Haxe,2015,4,682
PLpgSQL,2015,4,680
Vala,2015,4,609
Matlab,2015,4,593
D,2015,4,568
CMake,2015,4,550
Elm,2015,4,546
Perl 6,2015,4,525
TSQL,2015,4,519
MATLAB,2015,4,479
VimL,2015,4,452
PureScript,2015,4,444
ActionScript,2015,4,420
Fortran,2015,4,417
Prolog,2015,4,415
Apex,2015,4,394
ooc,2015,4,389
XSLT,2015,4,389
Vue,2015,4,375
Assembly,2015,4,371
Nginx,2015,4,329
Batchfile,2015,4,311
Arduino,2015,4,299
Common Lisp,2015,4,298
Smalltalk,2015,4,288
Roff,2015,4,273
ColdFusion,2015,4,267
PLSQL,2015,4,243
AutoHotkey,2015,4,238
ApacheConf,2015,4,237
SourcePawn,2015,4,234
LiveScript,2015,4,228
SQF,2015,4,226
GDScript,2015,4,225
Ceylon,2015,4,219
Objective-C++,2015,4,208
Eagle,2015,4,201
Scheme,2015,4,184
1C Enterprise,2015,4,178
Racket,2015,4,174
Standard ML,2015,4,165
Gherkin,2015,4,160
OpenEdge ABL,2015,4,157
Cuda,2015,4,155
Protocol Buffer,2015,4,149
Xtend,2015,4,147
Web Ontology Language,2015,4,139
PostScript,2015,4,135
Game Maker Language,2015,4,135
Rascal,2015,4,133
Crystal,2015,4,130
Hack,2015,4,125
Inno Setup,2015,4,122
SCSS,2015,4,119
Groff,2015,4,119
Smarty,2015,4,113
ABAP,2015,4,108
Modelica,2015,4,106
Processing,2015,4,102
NSIS,2015,4,101
JavaScript,2016,1,341480
Python,2016,1,156217
Java,2016,1,141490
PHP,2016,1,102200
C++,2016,1,68959
Ruby,2016,1,59768
Go,2016,1,56474
C#,2016,1,55768
TypeScript,2016,1,42218
HTML,2016,1,41575
C,2016,1,34996
Shell,2016,1,24058
CSS,2016,1,23708
Objective-C,2016,1,18937
Swift,2016,1,16074
Scala,2016,1,12614
CoffeeScript,2016,1,11845
Rust,2016,1,7529
Lua,2016,1,6925
Kotlin,2016,1,6899
Dart,2016,1,4789
Perl,2016,1,4742
Haskell,2016,1,4630
Jupyter Notebook,2016,1,4285
Clojure,2016,1,4205
Groovy,2016,1,3856
Emacs Lisp,2016,1,3403
R,2016,1,3297
Erlang,2016,1,2900
Elixir,2016,1,2708
PowerShell,2016,1,2634
DM,2016,1,2360
OCaml,2016,1,2087
TeX,2016,1,1937
Vim script,2016,1,1907
Julia,2016,1,1756
Makefile,2016,1,1686
