ID	Tweet	Affect Dimension	Intensity Score
2017-En-10479	Nick said he's territorial and he'll growl if someone gets too close to me #hesananimal	anger	0.458
2017-En-11144	@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.	anger	0.562
2017-En-11243	In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.	anger	0.500
2017-En-11339	Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx.  #KGB #G-town #fury	anger	0.396
2017-En-10477	When you forget to mention you were bought dreamboys tickets 🙄😂 #raging	anger	0.458
2017-En-10742	All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein	anger	0.312
2017-En-10726	So Rangers v Celtic ll #revenge	anger	0.333
2017-En-11340	#Scorpio's can withdraw to a quiet place after being hurt, only to think of a plan to sting back.	anger	0.583
2017-En-10588	@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! 	anger	0.417
2017-En-11100	@NJDDanin123 I personally liked #relentless …didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils	anger	0.354
2017-En-11426	I can see how this will end\nIn all its bitter tragedy\nI'll give you all I have to spend\nAnd you'll give nothing back to me	anger	0.542
2017-En-10687	Tonight's #DragRace #AllStars2 episode GAVE ME LIFE! Yaassss queens! #teamalaska #teamkatya #revenge #bwahaha	anger	0.200
2017-En-10105	You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!	anger	0.708
2017-En-11236	Everything I see of American police training seems calculated to trample human dignity, inflame outrage, and escalate confrontations.	anger	0.604
2017-En-11036	I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered	anger	0.910
2017-En-10446	@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks 	anger	0.479
2017-En-11634	@EmmaHobbs1 I did that! 3 days later my order isn't even in the same postcode as me 	anger	0.542
2017-En-10196	@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail	anger	0.625
2017-En-11678	Another loss to city in the cup next 🙈 😂😂 cmon united! 	anger	0.292
2017-En-10973	So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed #bitter	anger	0.417
2017-En-10219	Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up  #treatcustomersfairly	anger	0.604
2017-En-11074	@JessicaValenti @nytimes I don't know... Wasn't punk mostly about white men throwing tantrums?	anger	0.354
2017-En-10705	Skipping meals is the national way of showing #disappointment and . #wiz	anger	0.354
2017-En-10159	@mdivincenzo9 he's stupid, I hate him lol #bitter	anger	0.646
2017-En-11448	@GreatFallVoyagr #bitter sums it up! Congrats Nicole! that's all folks #bb18 now onto #survivor !	anger	0.354
2017-En-10379	@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen.	anger	0.521
2017-En-10248	I wonder what would happen if I were to tell some people the truth #savage #uhoh #angry	anger	0.583
2017-En-40453	Cheap pout my brodcast	anger	0.232
2017-En-10797	Houston might lose a coach tomorrow or by midnight.  #yikes #offense?	anger	0.271
2017-En-10457	@simon_penn_r @AntisocialJW2 has turned into a rather fiery GG radical)	anger	0.479
2017-En-10120	@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.	anger	0.688
2017-En-10190	When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA  #oldcunt	anger	0.625
2017-En-11210	@paulsherard @margarethaynie wow I just realized how much of a sexist pig I am! I am truly sorry to anyone I offended	anger	0.405
2017-En-11157	Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha	anger	0.458
2017-En-40403	@ticcikasie1 With a frown, she let's out a distraught 'Gardevoir' saying that she wishes she had a trainer	anger	0.417
2017-En-11188	some of the casuals tweets that Vic has faved are making me gag 	anger	0.646
2017-En-11620	@Supergold2002 Terence- got a lot of anger issues from my family and school.	anger	0.625
2017-En-11409	@Evan_McMullin He's spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other'	anger	0.604
2017-En-10953	@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -	anger	0.333
2017-En-10832	@JaredLeto Jared + #snap? 💘	anger	0.188
2017-En-11166	@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted #fuming	anger	0.771
2017-En-11143	Finally uploaded the file I needed to the university server's drop box. It took like half an hour and a lot of cursing and anger on my part	anger	0.521
2017-En-40317	My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!😢💞😩	anger	0.229
2017-En-10337	Actually be arsed with my sister sometimes, she controls the TV 90% of the time and when I watch one thing she gets in a huff 🙄	anger	0.542
2017-En-10527	@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. #outrage	anger	0.438
2017-En-10141	There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know	anger	0.667
2017-En-11309	says, who are you to compared me with the others; I'm just human. #lit #fire 	anger	0.500
2017-En-11173	No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way.	anger	0.521
2017-En-10938	I hope my hustle don't offend nobody	anger	0.292
2017-En-11626	ramos does what he does best burning haters with his head	anger	0.509
2017-En-11112	@MegMuphet I wasn't meaning to offend you. I was saying from personal experience. Kids got placed into these classes and they take advantage	anger	0.417
2017-En-10651	If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work 	anger	0.375
2017-En-10827	Follow me on Snapchat 👻 Carlabtst15 #snapchat 	anger	0.188
2017-En-10653	@sippycoups if it hurts too much to eat, i read somewhere that marshmallows are good bc they are soft and don't irritate	anger	0.375
2017-En-11640	The book im riteing about wots happond has made them moor angry but im not here to plese man or hide the eval deeds of some	anger	0.479
2017-En-10212	Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! 	anger	0.604
2017-En-10622	@SarahMi40605180 @kaileighhxo sorry to burst the bubble but there was never any illusion 🙈😂😂	anger	0.396
2017-En-10067	Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps	anger	0.750
2017-En-11127	@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees	anger	0.667
2017-En-10066	my mom cut my phone off and I'm so furious 🤗	anger	0.750
2017-En-11533	Don't chase fame\nif you're going\nto resent it\nwhen it starts\nchasing you'\nWRDSMTH	anger	0.542
2017-En-11449	I hate not having the answers I need. #tomourssuck #prayinsnotcancer #angry	anger	0.792
2017-En-11444	So excited to watch @RuPaulsDragRace #allstars \n #RuPaul 	anger	0.208
2017-En-10001	So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted 	anger	0.896
2017-En-10368	#Hudcomedy #AdamRowe  #insult Slutfaceshlongnugget	anger	0.521
2017-En-11142	These NA kids are relentless	anger	0.458
2017-En-10267	Why mfs so bitter	anger	0.562
2017-En-10279	Like hello? I am your first born you must always laugh at my jokes. #offended	anger	0.562
2017-En-10319	I really really resent having to go to bed at a sensible hour, you guys. I WANT TO TALK TO MY PEOPLE.	anger	0.542
2017-En-11341	@ThatAnt_ @Football_Pollss i have hit a lot of irate villa fans lol	anger	0.333
2017-En-10632	@St8edge4life88 eh well i can do the sting vs cactus loser leaves wcw match at bash at the beach lol	anger	0.396
2017-En-11085	I had Golden Ocean the other day it was lush, then I gagged and was sick... What a waste of £20 - I was fuming @EmmaGould_ I miss you	anger	0.688
2017-En-10648	Gotta wonder why Caller Max listens to the show in the first place if you so incense him @MSignorile	anger	0.375
2017-En-11171	Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere	anger	0.464
2017-En-11073	A black female LEO💙 was shot 8 times and died in Philadelphia --Where's the #outrage black people? @BarackObama #Sharpton #blm #TheFive	anger	0.583
2017-En-40574	Now they fret about scuffs. I’ll take scuffs (which…come in) for a phone I can use wet handed or drop in a toilet any day.	anger	0.396
2017-En-41459	I need all your attention! If I don't I'll pout..	anger	0.479
2017-En-10649	I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.	anger	0.375
2017-En-10978	@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!	anger	0.729
2017-En-11098	People you need to look up the definition of protest. What you are doing is not protesting is called vandalism.  #stop	anger	0.688
2017-En-10997	Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat  #country #countrygirl	anger	0.173
2017-En-10147	That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume	anger	0.667
2017-En-11348	@RiveraJose39 happy birthday to my seed‼️‼️‼️ #renewtherivalry #imyourdaddy #cantbeatme #madden #tater	anger	0.138
2017-En-11237	@strangerpeace We'll have a ceremony next time we meet. It'll involve burning something, then possibly booze and/or caffeine.	anger	0.396
2017-En-11204	@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! 	anger	0.729
2017-En-11229	A 28 yr old man threw a saucepan of boiling water at a garda, &amp; then hit the garda with the shaft of a brush...Letterkenny District Court.	anger	0.406
2017-En-11116	JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics 	anger	0.292
2017-En-11274	@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin	anger	0.646
2017-En-10079	What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work  #hangry #day5	anger	0.729
2017-En-10551	@hoytschile fury road!!	anger	0.438
2017-En-10775	I wish the next madden has a story mode too. Just like Fifa 17 	anger	0.292
2017-En-11571	i already gets aggravated too fast like why aggravate me on purpose?	anger	0.604
2017-En-11199	Yo gurls Dm for a tribute 😜💦 #snapme #dm #nudes #tribute #cumtribute #cock #snap #cum #swallow	anger	0.271
2017-En-10670	@stoozyboy1 @chris_sutton73 😂😂 Oh the zombie rage 😂	anger	0.375
2017-En-11424	Circle K is dead to me. I hate your new slushie machine.  #livid	anger	0.750
2017-En-11633	@EmmaHobbs1 I did that! 3 days later my order isn't even in the same postcode as me #fuming	anger	0.667
2017-En-11441	@SouthernRailUK delays from Streatham Cmn to Clap Junc &amp; now train took 20 mins for 9 mins journey. Missed 2 trains to Reading #fuming	anger	0.628
2017-En-11136	We are raging angry.=1/2 bil $ for 2 pro Liars.(Actors) the most useless people in america Where is ours for working 100 X harder? @FoxNews	anger	0.667
2017-En-31557	never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*	anger	0.521
2017-En-11032	I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.	anger	0.583
2017-En-10839	Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! #relentless	anger	0.167
2017-En-11303	@UN_Women @JustinTrudeau @CanadianPM Trudeau endulging on outrage culture once again. Preaching issues ad hominem,but never quanitfying them	anger	0.500
2017-En-10203	I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media	anger	0.625
2017-En-10435	I don't even #feel #anger anymore can't explain it .. #Tulsa #Charlotte #Trayvon #SandraBland #Philando #Ferguson #BatonRouge #MichaelBrown	anger	0.479
2017-En-10528	Chris ate all my mac n cheese so imma eat all his taffy #revenge	anger	0.438
2017-En-11575	I heard Movie Bob was furious about the Skittles analogy. He was upset that there wasn't actually any Skittles.	anger	0.394
2017-En-10612	Because you offended by the lies of Alexandria Goddard doesn't mean that I'm Deric's friend or anything else. Purely a fishin expedition.	anger	0.427
2017-En-10330	@eNCA what they should be doing is directing their anger to the thieves in government...#corruption #FeesMustFall	anger	0.542
2017-En-11526	Okay you've annoyed me, you haven't done a good job there at all. #furious	anger	0.673
2017-En-11350	What u do wen ur love cheats on u ? Wen thy don't understand the emotions behind the anger, the constant waiting.. what u do ? @ritujai18874	anger	0.458
2017-En-11404	@Lowetide there is no room for jokes in hockey! This is a serious business where we made up teams to fill out the tournament! #outrage	anger	0.646
2017-En-11614	@atheist_taco @DrJillStein :^) well cucks among her ranks agree equally about their outrage of black youths shot and harambe.	anger	0.542
2017-En-11351	@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery?   #rage. #iphonePhoneHome	anger	0.667
2017-En-10170	Ever put your fist through your laptops screen? If so its time for a new one lmao #rage #anger #hp	anger	0.646
2017-En-11078	Panpiper playing Big River outside The Bridges in SR1 #outrage	anger	0.500
2017-En-40683	“Do not fret if you are not cool! Humans who follow me, become instantly cool!” #Bot	anger	0.375
2017-En-40865	@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me 😍	anger	0.271
2017-En-10570	Controlling #anger is a sign of those #righteous people promised #Paradise in the #Quran in Surah Al Imran verses 133-134 #reward #goodDeed	anger	0.417
2017-En-10282	and apparently he's supposed to have a Scottish accent??? I'm #offended	anger	0.562
2017-En-40444	Candice on great british bake off with that pout does my head in 👊🏻🙄	anger	0.583
2017-En-11176	@Remedy0_ switch host no bullet rage.	anger	0.396
2017-En-30829	@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.	anger	0.604
2017-En-10545	@bismahmalik .....Seems like a fight ready to rage on.....	anger	0.438
2017-En-10671	Prayers &amp; Protection to our brothers and sisters fighting in #Charlotte #rage #against #machines	anger	0.375
2017-En-11410	gonna eat, pick up my brother, get my car washed &amp; finally go home ressssst &amp; watch all fast &amp; furious movies 🤘🏼	anger	0.250
2017-En-10824	630am meeting Olympic House #10golds24 .  #relentless #neverquit #believe #dreambig #TeamTTO #going4gold	anger	0.208
2017-En-11021	@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus 	anger	0.521
2017-En-10851	@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30 	anger	0.125
2017-En-11022	@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus #bitter	anger	0.396
2017-En-11051	if u have time 2 open a snap, u have time 2 respond	anger	0.375
2017-En-41283	@ChrisWarcraft species cf. Don Jr. refugees/Skittles.know he likes his snacks,but even @gop frown on talking about eating humans #lizardscum	anger	0.458
2017-En-11067	Ok but how are the fast &amp; furious movies NOT classified as comedy's? 🤔	anger	0.292
2017-En-10351	@TillTheEndMMVI I accidetly dumped boiling water my myself 😫	anger	0.521
2017-En-10642	one month til someone's bday and i think it's time to flaunt that I got them something pretty awesome #revenge	anger	0.435
2017-En-11320	Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right 	anger	0.396
2017-En-10084	but that was a mistake and a half assed excuse and now here i am burning in hell forever	anger	0.729
2017-En-40724	Anyway I'm in a car with a furious white men and I have a really funny story to tell when I'm sober 😂	anger	0.333
2017-En-10979	@XboxMAD @RobotBrush Ballmer will be furious. Another delivery lost...	anger	0.500
2017-En-10615	@StarFlowerz17 @DreamerAbe #bitter. Nicole and Cory is why she was evicted.	anger	0.396
2017-En-10659	The best revenge is massive success. –Frank Sinatra	anger	0.375
2017-En-11135	#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!	anger	0.729
2017-En-10240	@UnitedFrontRev @JuanDeznuts @LucidHurricane_ sex offense happens across ALL races, cultures, and creeds &amp; they should be castrated	anger	0.629
2017-En-11406	Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx. #KGB #G-town 	anger	0.271
2017-En-11565	James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole	anger	0.708
2017-En-10500	@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone 	anger	0.458
2017-En-40131	@HannahFJames I'm distraught! 😭 Candice and her pout can piss off	anger	0.625
2017-En-10809	Tonight's #DragRace #AllStars2 episode GAVE ME LIFE! Yaassss queens! #teamalaska #teamkatya  #bwahaha	anger	0.250
2017-En-11336	I've never seen fast &amp; furious Tokyo drift. Boutta watch it	anger	0.229
2017-En-10652	also other ppl who i love a whole damn lot; erica, joanna, tiff, sirli, harley, anja, (the rest of the gc bc i ran out of chara!)	anger	0.375
2017-En-41196	The ghost of Stefano reflects on the grim indignity of being murdered by corrupt cops in faux love. #days	anger	0.521
2017-En-11534	@lericoo 35. Do you hold a grudge against your ex?	anger	0.263
2017-En-10440	@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! #revenge	anger	0.479
2017-En-11512	How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder 	anger	0.667
2017-En-11182	Nothing more entertaining and frightening than a #bitter #alcoholic trying desperately to get your attention.....	anger	0.479
2017-En-10233	@luxbet Did you even give out any pizzas ? Serious fail #hungry #furious #hangry	anger	0.447
2017-En-10179	@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines  #con!	anger	0.646
2017-En-11471	Goddamn headache. 	anger	0.646
2017-En-11540	I either look like a raging bitch, or I'm obnoxiously laughing at something not that funny. I don't think there's any middle ground.	anger	0.481
2017-En-11398	@esraalajmy huff btw ty😔	anger	0.375
2017-En-10002	@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice	anger	0.896
2017-En-11178	My back is starting to irritate me and it's barely 2:19 😓	anger	0.417
2017-En-10490	Take public opinion on revenge with Pakistan if govt is unable to decide. @aajtak @TimesNow @narendramodi	anger	0.458
2017-En-11628	@Apple thanks for ios10 update, even the best app @telegram freezing and crashing on SE. 	anger	0.375
2017-En-10636	New madden kicking 🚮	anger	0.396
2017-En-10533	@clarechampion @Westclarepage and peter your radio piece on off the ball was pure class , no digs , no revenge , a total balanced pro ! 👏👏👏	anger	0.438
2017-En-11403	@tttinplay nice. why are u fuming then 😂	anger	0.312
2017-En-10853	@jaaames1993 Literally burst out laughing.	anger	0.067
2017-En-10505	Egyptian officials expressed frustration and outrage over the Obama/Hillary administration’s support of the Muslim Brotherhood	anger	0.579
2017-En-11335	Just watching crimewatch what kind of sick fuck touches 6 year olds 😡😡😡😡 shit like this makes me fume!!!	anger	0.688
2017-En-10937	@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.	anger	0.625
2017-En-10060	@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming	anger	0.750
2017-En-10462	My baskets are better when I'm in a bad mood someone irritate me before practice please	anger	0.479
2017-En-10909	I miss my gran singing Rawhide, in her deep baritone growl.	anger	0.292
2017-En-10034	@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR	anger	0.792
2017-En-11647	You insult the late Sherri Martel	anger	0.333
2017-En-11087	No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not.	anger	0.542
2017-En-11445	@tomwilcox77 @mattgrime fuming	anger	0.729
2017-En-10426	@healeyraine I'm offended, I actually am	anger	0.479
2017-En-10764	Don't be bitter	anger	0.292
2017-En-11532	#IndiaMissingIndira that she could never solve Kashmir Problem and kept it burning for Vote Bank\n#TerrorStatePak	anger	0.458
2017-En-40665	i love the word fret so much and im in heaven	anger	0.127
2017-En-10318	I'm not saying he might be like big foot but it might be like natural biological father says blood boiling if he cross	anger	0.542
2017-En-10474	Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG	anger	0.458
2017-En-11156	@FoxNews #Poor = #angry and justly so. Offer people some hope! My god, does anyone see this?! #Education should not be for the #elite	anger	0.750
2017-En-10595	@TheDTSB @trubble1127 @nflnetwork I agree but our offense was ass after the second half td score on the first drive	anger	0.417
2017-En-10226	Just paid for chicken at @panerabread and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer 	anger	0.604
2017-En-11317	Chick told me I look like Childish Gambino. #insult or #compliment	anger	0.542
2017-En-10086	@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood	anger	0.538
2017-En-11442	@SouthernRailUK delays from Streatham Cmn to Clap Junc &amp; now train took 20 mins for 9 mins journey. Missed 2 trains to Reading 	anger	0.583
2017-En-10255	@cc_yandian @HillaryClinton her team must draw from a hat for daily personality #drugged #angry #yeller #quiet #screamer #😂😂	anger	0.583
2017-En-11407	@MarkTOByrne I offered @WholeFoods @amazon @CheapAir gold or silver but they said Nah... #bitcoin #snap	anger	0.521
2017-En-11013	You offend me, @Tansorma	anger	0.542
2017-En-11543	@RossKemp watching on +1. I would have been straight out of there with the guy who was getting irate! #ExtremeWorld	anger	0.562
2017-En-11313	my dogs making the most RIDICULOUS sounds right now its like a high pitched gargle-y growl	anger	0.333
2017-En-10035	Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly	anger	0.792
2017-En-10418	@AgentTinsley I believe that's what you call the fury of the righteous.	anger	0.500
2017-En-11109	Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. 	anger	0.729
2017-En-10395	If I spend more than £10 in shimmy on £1 drinks I'll be raging, but we all know it's gonna happen	anger	0.500
2017-En-10025	Actually fuming I have nothing to wear Saturday	anger	0.792
2017-En-10030	This fuck you is boiling up inside, its not gonna be good when I let it out.	anger	0.792
2017-En-11576	Who the hell is drilling outside my house?! Literally got to sleep at half four after a busy shift and these twats have woken me up 	anger	0.976
2017-En-10598	If you let a general tweet offend you, you definitely shouldn't be on twitter.	anger	0.417
2017-En-10277	@JuliaHB1 Bloody right 	anger	0.562
2017-En-11152	@kjwinston11 2.  the N-word. But I think all Afr-Am are entitled to it: we shouldn't take away from them the insult they have claimed back.	anger	0.583
2017-En-10682	 I can't guess if you holding a grudge against the best'	anger	0.425
2017-En-11048	#Scorpio always seek revenge!	anger	0.583
2017-En-10455	@Kim_is__bored exactly what I have been saying on fb.. #bitter	anger	0.479
2017-En-10390	Didn't think Cadres not Getting SRC deployment would make some Cadres so bitter, Ku tough Macom.	anger	0.500
2017-En-11583	@BI_Science Opioid rapid pill plague...Speed generations Pulse Rapid rabid Impairment Ist Choice Stacked usage vs street ingestion demo US	anger	0.562
2017-En-10117	angry already	anger	0.688
2017-En-11579	@bassekraah. @sunilddesai @jyoti1013 @Archnahr . A2: #irritation and isolation #lifenabler	anger	0.542
2017-En-10459	@MetPoliceFC is it true none of your players are cops? Do they drink chilled bitter? Are your players Walter Mitty types? @KeviboyAllen	anger	0.479
2017-En-10268	im on holiday for the next round, fuming!	anger	0.562
2017-En-40898	If someone keeps #laughing at you, don't #fret  . At least u r giving #happiness .'\n#quotes #quotestoliveby	anger	0.229
