Menu Category,Menu Items,Per Serve Size,Energy (kCal),Protein (g),Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Total carbohydrate (g),Total Sugars (g),Added Sugars (g),Sodium (mg)
McCafe Menu,Mango Smoothie,280 ml,231.44,3.21,3.63,2.65,0.14,9.89,46.25,38.87,29.72,85.45
McCafe Menu,Mixed Berry Smoothie,290 ml,235.43,3.33,3.59,2.64,0.15,9.99,47.16,43.0,33.65,92.07
McCafe Menu,Raw Mango Cooler,310 ml,102.38,0.14,0.04,0.04,0.04,0.4,25.18,21.06,19.28,102.68
McCafe Menu,Mix Berry Cooler,310 ml,103.85,0.16,0.04,0.04,0.04,0.4,25.56,21.25,20.52,23.82
McCafe Menu,Sweet Lime Beverage,310 ml,128.21,0.07,0.08,0.0,0.0,0.0,31.72,28.72,28.08,66.2
McCafe Menu,Iced Americano,266.5 ml,150.85,3.59,3.57,2.62,0.13,9.76,26.01,21.58,14.0,62.75
McCafe Menu,American Mud Pie Shake,317 ml,398.19,5.67,12.77,11.38,0.2,10.89,64.75,53.4,34.35,185.73
McCafe Menu,Soft serve cone,81.29 g,85.73,1.99,1.82,1.31,0.05,4.75,15.23,10.68,6.99,40.78
McCafe Menu,McSwirl ChocoDip,93.29 g,160.14,2.71,7.14,5.25,0.07,5.71,20.92,15.39,11.31,51.31
McCafe Menu,Regular Soft Serve: Hot Fudge,91.79 g,121.64,2.25,4.02,3.01,0.08,5.85,19.11,17.07,10.78,65.56
McCafe Menu,Medium Soft Serve: Hot Fudge,132.08 g,197.45,3.49,6.87,5.16,0.13,8.55,30.42,27.01,16.9,110.39
McCafe Menu,Regular Soft Serve: Strawberry,91.79 g,100.99,1.54,1.77,1.3,0.06,4.85,19.78,17.66,12.49,34.51
McCafe Menu,Medium Soft Serve: Strawberry,132.08 g,156.14,2.05,2.36,1.74,0.1,6.55,31.77,28.2,20.32,48.28
McCafe Menu,Regular Soft Serve: Brownie with Hot Fudge,110.79 g,205.26,3.2,5.45,3.65,0.1,6.04,35.26,20.75,14.39,100.89
McCafe Menu,Medium Soft Serve: Brownie with Hot Fudge,155.08 g,311.39,4.65,7.46,4.71,0.13,7.78,55.24,27.94,20.28,146.4
McCafe Menu,Regular Blackforest,125.79 g,237.89,3.22,5.47,3.66,0.11,6.19,43.42,27.79,19.94,104.47
McCafe Menu,Medium Blackforest,200.08 g,429.95,5.42,9.76,6.47,0.19,9.23,79.04,48.45,35.22,188.2
Desserts Menu,Small McFlurry - Oreo,86.79 g,116.36,2.05,3.7,2.25,0.07,4.8,18.69,14.49,10.8,80.73
Desserts Menu,Regular McFlurry - Oreo,147.38 g,209.39,3.58,6.81,4.07,0.12,8.0,33.42,25.35,19.23,150.9
Gourmet Menu,American Triple Cheese Chicken,195 g,457.94,24.43,22.65,11.56,0.17,71.23,37.45,7.64,3.84,1396.17
Gourmet Menu,American Triple Cheese Veg,207 g,524.69,19.54,23.16,14.78,0.19,48.74,56.24,7.9,3.84,1174.27
Gourmet Menu,Cheese Lava Burger,240 g,671.06,14.99,33.48,14.12,0.21,33.21,74.25,16.27,10.01,1153.99
Gourmet Menu,Chicken Cheese Lava Burger,307 g,834.36,27.37,45.18,17.0,0.27,73.11,76.03,16.75,10.01,1745.04
Gourmet Menu,Chunky Chipotle American Burger Chicken,301 g,641.36,39.47,31.51,9.54,0.26,110.37,46.24,9.16,6.32,1906.27
Gourmet Menu,McSpicy Premium Chicken Burger,264.5 g,622.25,31.49,34.65,15.55,0.24,302.61,43.6,6.07,2.64,1614.88
Gourmet Menu,McSpicy Premium Veg Burger,212.5 g,634.71,22.44,39.21,20.46,0.2,43.68,46.0,7.57,3.28,1446.87
Gourmet Menu,Piri piri Mc Spicy Chicken Burger,228 g,443.4,25.63,17.3,4.01,0.19,64.19,43.29,9.29,6.32,
Gourmet Menu,Piri piri Mc Spicy Veg Burger,211 g,517.98,11.97,24.53,6.01,0.18,8.1,58.87,12.87,6.67,1170.89
Gourmet Menu,Cheesy Veg Nuggets (6pc),90 g,252.29,8.48,13.09,7.53,0.09,20.03,23.6,1.31,0.0,428.17
Gourmet Menu,Cheesy Veg Nuggets (9pc),135 g,378.43,12.72,19.63,11.3,0.14,30.05,35.4,1.96,0.0,642.25
Beverages Menu,Small Coca-Cola,299 ml,109.56,0.0,0.0,0.0,0.0,0.0,27.39,27.39,27.39,21.17
Beverages Menu,Medium Coca-Cola,394 ml,151.36,0.0,0.0,0.0,0.0,0.0,37.84,37.84,37.84,29.24
Beverages Menu,Large Coca-Cola,544 ml,217.36,0.0,0.0,0.0,0.0,0.0,54.34,54.34,54.34,41.99
Beverages Menu,Small Fanta Oragne,299 ml,129.48,0.0,0.0,0.0,0.0,0.0,32.37,32.37,32.37,55.53
Beverages Menu,Medium Fanta Orange,394 ml,178.88,0.0,0.0,0.0,0.0,0.0,44.72,44.72,44.72,76.71
Beverages Menu,Large Fanta Oragne,544 ml,256.88,0.0,0.0,0.0,0.0,0.0,64.22,64.22,64.22,110.16
Beverages Menu,Small Thums-up,299 ml,99.6,0.0,0.0,0.0,0.0,0.0,24.9,24.9,24.9,25.15
Beverages Menu,Medium Thums-up,394 ml,137.6,0.0,0.0,0.0,0.0,0.0,34.4,34.4,34.4,34.74
Beverages Menu,Large Thums-up,544 ml,197.6,0.0,0.0,0.0,0.0,0.0,49.4,49.4,49.4,49.89
Beverages Menu,Small Sprite,299 ml,119.52,0.0,0.0,0.0,0.0,0.0,29.88,29.88,29.88,2.02
Beverages Menu,Medium Sprite,394 ml,165.12,0.0,0.0,0.0,0.0,0.0,41.28,41.28,41.28,2.79
Beverages Menu,Large Sprite,544 ml,237.12,0.0,0.0,0.0,0.0,0.0,59.28,59.28,59.28,4.0
Beverages Menu,Coke Float,286.79 ml,138.76,1.52,1.75,1.28,0.05,4.7,29.22,28.23,24.54,44.53
Beverages Menu,Fanta Float,286.79 ml,151.56,1.52,1.75,1.28,0.05,4.7,32.42,31.43,27.74,66.61
Beverages Menu,Sprite Float,286.79 ml,145.16,1.52,1.75,1.28,0.05,4.7,30.82,29.83,26.14,47.09
Beverages Menu,Coke Zero Can,330 ml,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75
Beverages Menu,Vedica Natural Mineral Water,500 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
Condiments Menu,Mustard diping sauce,25 g,81.18,0.52,5.57,1.78,0.47,0.29,7.24,6.66,4.0,221.32
Condiments Menu,BBQ diping sauce,25 g,54.89,0.26,0.49,0.15,0.04,0.25,12.36,7.65,2.5,113.23
Condiments Menu,Chilli Sauce,10 g,8.07,0.03,0.01,0.01,0.01,0.1,1.99,1.53,1.34,65.24
Condiments Menu,Piri Piri Mix,5 g,17.13,0.51,0.36,0.08,0.01,0.05,2.5,0.66,0.4,414.71
Condiments Menu,Tomato Ketchup Sachets,8 g,11.23,0.08,23.45,0.0,0.01,0.08,2.63,2.33,1.64,71.05
Condiments Menu,Maple Syrup,30 g,86.4,0.0,0.0,0.0,0.0,0.3,21.6,16.2,5.34,15.0
Condiments Menu,Cheese Slice,14 g,51.03,3.06,3.99,2.89,0.01,13.43,0.72,0.54,0.0,178.95
Condiments Menu,Sweet Corn,40 g,45.08,1.47,1.0,0.22,0.04,2.0,7.55,2.54,0.0,0.04
Condiments Menu,Mixed Fruit Beverage,180 ml,72.25,0.65,0.02,0.02,0.02,0.01,18.0,16.83,0.0,10.8
